First	first	First
copout	copout	copout
argument	argument	argument
of	of	of
state	state	state
s	s	s
rights	right	right
to	to	to
oppose	oppos	oppose
it	it	it
.	.	.
No	no	No
wonder	wonder	wonder
Trump	trump	Trump
loves	love	love
the	the	the
poorly	poor	poorly
educated	educ	educated
.	.	.
With	with	With
Trump	trump	Trump
you	you	you
never	never	never
know	know	know
who	who	who
you	you	you
re	re	re
getting	get	getting
.	.	.
One	one	One
day	day	day
he	he	he
doesn	doesn	doesn
t	t	t
want	want	want
to	to	to
raise	rais	raise
it	it	it
,	,	,
then	then	then
the	the	the
other	other	other
day	day	day
he	he	he
does	doe	doe
and	and	and
then	then	then
the	the	the
very	veri	very
next	next	next
day	day	day
he	he	he
doesn	doesn	doesn
t	t	t
again	again	again
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
Spencer	spencer	Spencer
Platt	platt	Platt
Getty	getti	Getty
Images	imag	Images
