Last	last	Last
Day	day	Day
of	of	of
Prayer	prayer	Prayer
was	was	wa
about	about	about
praying	pray	praying
for	for	for
ppl	ppl	ppl
hurting	hurt	hurting
from	from	from
hurricane	hurrican	hurricane
Harvey	harvey	Harvey
.	.	.

Shame	shame	Shame
on	on	on
you	you	you
for	for	for
making	make	making
it	it	it
about	about	about
your	your	your
hatred	hatr	hatred
for	for	for
Trump	trump	Trump
!	!	!

WellBlessYourHeart	wellblessyourheart	WellBlessYourHeart
@kc2775	@kc2775	@kc2775
September	septemb	September
5	5	5
,	,	,
2017This	2017this	2017This
Twitter	twitter	Twitter
user	user	user
told	told	told
Milano	milano	Milano
that	that	that
her	her	her
tweet	tweet	tweet
was	was	wa
the	the	the
ugliest	ugliest	ugliest
tweet	tweet	tweet
ever	ever	ever
posted	post	posted
on	on	on
Twitter	twitter	Twitter
.	.	.

She	she	She
went	went	went
on	on	on
to	to	to
tell	tell	tell
Milano	milano	Milano
that	that	that
,	,	,
You	you	You
have	have	have
lost	lost	lost
yourself	yourself	yourself
your	your	your
moral	moral	moral
compass	compass	compass
due	due	due
to	to	to
your	your	your
hateful	hate	hateful
heart	heart	heart
.	.	.

This	this	This
is	is	is
the	the	the
ugliest	ugliest	ugliest
tweet	tweet	tweet
ever	ever	ever
posted	post	posted
on	on	on
Twitter	twitter	Twitter
.	.	.

Just	just	Just
absolutely	absolut	absolutely
foul	foul	foul
.	.	.

You	you	You
have	have	have
lost	lost	lost
yourself	yourself	yourself
moral	moral	moral
compass	compass	compass
due	due	due
to	to	to
your	your	your
hateful	hate	hateful
heart	heart	heart
.	.	.

CovfefeNanceBased	covfefenancebas	CovfefeNanceBased
@NancyLCouch1	@nancylcouch1	@NancyLCouch1
September	septemb	September
5	5	5
,	,	,
2017There	2017there	2017There
is	is	is
no	no	no
more	more	more
room	room	room
in	in	in
the	the	the
world	world	world
for	for	for
hate	hate	hate
or	or	or
HYPOCRICY	hypocrici	HYPOCRICY
Love	love	Love
is	is	is
love	love	love
And	and	And
prayers	prayer	prayer
religion	religion	religion
isn't	isn't	isn't
a	a	a
bad	bad	bad
thing	thing	thing
Its	it	Its
people	peopl	people
who	who	who
manipulate	manipul	manipulate
it	it	it
TeamZayn	teamzayn	TeamZayn
@ZLNLH0009	@zlnlh0009	@ZLNLH0009
September	septemb	September
5	5	5
,	,	,
2017This	2017this	2017This
Twitter	twitter	Twitter
user	user	user
used	use	used
an	an	an
image	imag	image
to	to	to
let	let	let
Milano	milano	Milano
know	know	know
what	what	what
they	they	they
think	think	think
of	of	of
opinions	opinion	opinion
by	by	by
celebrities	celebr	celebrity
.	.	.

pic.twitter.com/jgdtGLQpRw	pic.twitter.com/jgdtglqprw	pic.twitter.com/jgdtGLQpRw
Deplorable	deplor	Deplorable
KVT	kvt	KVT
@sgtkvt	@sgtkvt	@sgtkvt
September	septemb	September
5	5	5
,	,	,
2017This	2017this	2017This
Twitter	twitter	Twitter
user	user	user
reminded	remind	reminded
the	the	the
broke	broke	broke
actress	actress	actress
that	that	that
maybe	mayb	maybe
she	she	she
should	should	should
stop	stop	stop
worrying	worri	worrying
about	about	about
President	presid	President
Trump	trump	Trump
and	and	and
pay	pay	pay
her	her	her
taxes	tax	tax
Way	way	Way
to	to	to
keep	keep	keep
killing	kill	killing
your	your	your
career	career	career
.	.	.

You	you	You
think	think	think
you	you	you
are	are	are
broke	broke	broke
now	now	now
.	.	.
.	.	.
https://t.co/l68c3q30CX	https://t.co/l68c3q30cx	https://t.co/l68c3q30CX
Long	long	Long
little	littl	little
doggie	doggi	doggie
@54Doggie	@54doggi	@54Doggie
September	septemb	September
5	5	5
,	,	,
2017	2017	2017

