You	you	You
did	did	did
claim	claim	claim
that	that	that
he	he	he
didn	didn	didn
t	t	t
know	know	know
if	if	if
he	he	he
d	d	d
be	be	be
doing	do	doing
deals	deal	deal
,	,	,
and	and	and
said	said	said
that	that	that
under	under	under
the	the	the
law	law	law
he	he	he
has	has	ha
the	the	the
right	right	right
to	to	to
do	do	do
it	it	it
,	,	,
but	but	but
he	he	he
doesn	doesn	doesn
t	t	t
want	want	want
to	to	to
.	.	.
Here	here	Here
s	s	s
the	the	the
video	video	video
It	it	It
s	s	s
becoming	becom	becoming
increasingly	increas	increasingly
clear	clear	clear
that	that	that
Trump	trump	Trump
is	is	is
a	a	a
danger	danger	danger
,	,	,
not	not	not
just	just	just
for	for	for
domestic	domest	domestic
policy	polici	policy
,	,	,
but	but	but
that	that	that
he	he	he
and	and	and
his	his	his
conflicts	conflict	conflict
of	of	of
interest	interest	interest
present	present	present
a	a	a
real	real	real
threat	threat	threat
to	to	to
the	the	the
world	world	world
.	.	.

This	this	This
issue	issu	issue
is	is	is
resonating	reson	resonating
with	with	with
the	the	the
American	american	American
people	peopl	people
,	,	,
nearly	near	nearly
2	2	2
3rds	3rds	3rds
of	of	of
whom	whom	whom
have	have	have
expressed	express	expressed
concern	concern	concern
with	with	with
Trump	trump	Trump
s	s	s
conflicts	conflict	conflict
of	of	of
interest	interest	interest
.	.	.

As	as	As
for	for	for
why	whi	why
Fox	fox	Fox
is	is	is
waking	wake	waking
up	up	up
to	to	to
that	that	that
reality	realiti	reality
now	now	now
,	,	,
and	and	and
not	not	not
before	befor	before
the	the	the
election	elect	election
,	,	,
well	well	well
,	,	,
perhaps	perhap	perhaps
they	they	they
see	see	see
it	it	it
as	as	a
their	their	their
ticket	ticket	ticket
out	out	out
of	of	of
a	a	a
wildcard	wildcard	wildcard
Trump	trump	Trump
presidency	presid	presidency
.	.	.

They	they	They
would	would	would
much	much	much
rather	rather	rather
deal	deal	deal
with	with	with
a	a	a
President	presid	President
Mike	mike	Mike
Pence	penc	Pence
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
screenshot	screenshot	screenshot

