NBC	nbc	NBC
Trump	trump	Trump
,	,	,
and	and	and
so	so	so
the	the	the
finger	finger	finger
was	was	wa
what	what	what
I	i	I
had	had	had
at	at	at
the	the	the
time	time	time
.	.	.

READ	read	READ
MORE	more	MORE
WFB	wfb	WFB

