After	after	After
pandering	pander	pandering
.	.	.

It	it	It
was	was	wa
Trump	trump	Trump
,	,	,
not	not	not
Lewandowski	lewandowski	Lewandowski
,	,	,
who	who	who
appeared	appear	appeared
on	on	on
Bill	bill	Bill
O	o	O
Reilly	reilli	Reilly
to	to	to
say	say	say
that	that	that
he	he	he
d	d	d
give	give	give
Chicago	chicago	Chicago
police	polic	police
carte	cart	carte
blanche	blanch	blanche
to	to	to
do	do	do
whatever	whatev	whatever
it	it	it
takes	take	take
to	to	to
stop	stop	stop
black	black	black
crime	crime	crime
.	.	.
Perhaps	perhap	Perhaps
Trump	trump	Trump
should	should	should
focus	focus	focus
on	on	on
the	the	the
crimes	crime	crime
that	that	that
are	are	are
taking	take	taking
place	place	place
right	right	right
under	under	under
his	his	his
nose	nose	nose
,	,	,
whether	whether	whether
that	that	that
be	be	be
the	the	the
violence	violenc	violence
at	at	at
his	his	his
rallies	ralli	rally
or	or	or
the	the	the
alleged	alleg	alleged
crimes	crime	crime
taking	take	taking
place	place	place
right	right	right
in	in	in
his	his	his
offices	offic	office
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
video	video	video
screen	screen	screen
capture	captur	capture
.	.	.

