THIRTEEN	thirteen	THIRTEEN
muslimbrotherhood	muslimbrotherhood	muslimbrotherhood
And	and	And
prepare	prepar	prepare
against	against	against
them	them	them
whatever	whatev	whatever
you	you	you
are	are	are
able	abl	able
of	of	of
power	power	power
and	and	and
of	of	of
steeds	steed	steed
of	of	of
war	war	war
by	by	by
which	which	which
you	you	you
may	may	may
terrify	terrifi	terrify
the	the	the
enemy	enemi	enemy
of	of	of
Allah	allah	Allah
and	and	and
your	your	your
enemy	enemi	enemy
and	and	and
others	other	others
besides	besid	besides
them	them	them
whom	whom	whom
you	you	you
do	do	do
not	not	not
know	know	know
but	but	but
whom	whom	whom
Allah	allah	Allah
knows	know	know
.	.	.
And	and	And
whatever	whatev	whatever
you	you	you
spend	spend	spend
in	in	in
the	the	the
cause	caus	cause
of	of	of
Allah	allah	Allah
will	will	will
be	be	be
fully	fulli	fully
repaid	repaid	repaid
to	to	to
you	you	you
,	,	,
and	and	and
you	you	you
will	will	will
not	not	not
be	be	be
wronged	wrong	wronged
.	.	.
We	we	We
are	are	are
not	not	not
terrorists	terrorist	terrorist
,	,	,
wrote	wrote	wrote
el	el	el
-Haddad	-haddad	-Haddad
in	in	in
a	a	a
recent	recent	recent
article	articl	article
in	in	in
the	the	the
New	new	New
York	york	York
Times	time	Times
.	.	.
The	the	The
Muslim	muslim	Muslim
Brotherhood	brotherhood	Brotherhood
s	s	s
philosophy	philosophi	philosophy
is	is	is
inspired	inspir	inspired
by	by	by
an	an	an
understanding	understand	understanding
of	of	of
Islam	islam	Islam
that	that	that
emphasizes	emphas	emphasizes
the	the	the
values	valu	value
of	of	of
social	social	social
justice	justic	justice
,	,	,
equality	equal	equality
and	and	and
the	the	the
rule	rule	rule
of	of	of
law	law	law
We	we	We
believe	believ	believe
that	that	that
our	our	our
faith	faith	faith
is	is	is
inherently	inher	inherently
pluralistic	pluralist	pluralistic
and	and	and
comprehensive	comprehens	comprehensive
and	and	and
that	that	that
no	no	no
one	one	one
has	has	ha
a	a	a
divine	divin	divine
mandate	mandat	mandate
or	or	or
the	the	the
right	right	right
to	to	to
impose	impos	impose
a	a	a
single	singl	single
vision	vision	vision
on	on	on
society	societi	society
Nothing	noth	Nothing
speaks	speak	speaks
more	more	more
to	to	to
our	our	our
unequivocal	unequivoc	unequivocal
commitment	commit	commitment
to	to	to
nonviolence	nonviol	nonviolence
than	than	than
our	our	our
continued	continu	continued
insistence	insist	insistence
on	on	on
peaceful	peac	peaceful
resistance	resist	resistance
,	,	,
despite	despit	despite
unprecedented	unpreced	unprecedented
state	state	state
violence	violenc	violence
.	.	.
The	the	The
faith	faith	faith
,	,	,
which	which	which
el	el	el
-Haddad	-haddad	-Haddad
avoids	avoid	avoids
naming	name	naming
,	,	,
is	is	is
Islam	islam	Islam
.	.	.
The	the	The
very	veri	very
essence	essenc	essence
of	of	of
Islam	islam	Islam
,	,	,
as	as	a
sanctioned	sanction	sanctioned
in	in	in
the	the	the
Quran	quran	Quran
and	and	and
the	the	the
hadiths	hadith	hadith
,	,	,
however	howev	however
,	,	,
seems	seem	seems
to	to	to
be	be	be
the	the	the
belief	belief	belief
in	in	in
a	a	a
divine	divin	divine
mandate	mandat	mandate
to	to	to
impose	impos	impose
the	the	the
single	singl	single
vision	vision	vision
of	of	of
Islam	islam	Islam
on	on	on
the	the	the
world	world	world
if	if	if
necessary	necessari	necessary
,	,	,
through	through	through
violent	violent	violent
jihad	jihad	jihad
.	.	.
Its	it	Its
motto	motto	motto
is	is	is
Allah	allah	Allah
is	is	is
our	our	our
objective	object	objective
;	;	;
the	the	the
Prophet	prophet	Prophet
is	is	is
our	our	our
leader	leader	leader
;	;	;
the	the	the
Quran	quran	Quran
is	is	is
our	our	our
law	law	law
;	;	;
Jihad	jihad	Jihad
is	is	is
our	our	our
way	way	way
;	;	;
dying	die	dying
in	in	in
the	the	the
way	way	way
of	of	of
Allah	allah	Allah
is	is	is
our	our	our
highest	highest	highest
hope	hope	hope
.	.	.
Even	even	Even
dawa	dawa	dawa
,	,	,
the	the	the
Islamic	islam	Islamic
call	call	call
to	to	to
conversion	convers	conversion
,	,	,
or	or	or
proselytizing	proselyt	proselytizing
as	as	a
explained	explain	explained
by	by	by
the	the	the
Muslim	muslim	Muslim
Brotherhood	brotherhood	Brotherhood
s	s	s
spiritual	spiritu	spiritual
leader	leader	leader
,	,	,
Yusuf	yusuf	Yusuf
al	al	al
-Qaradawi	-qaradawi	-Qaradawi
,	,	,
host	host	host
of	of	of
one	one	one
of	of	of
Al	al	Al
Jazeera	jazeera	Jazeera
s	s	s
most	most	most
popular	popular	popular
programs	program	program
,	,	,
Sharia	sharia	Sharia
and	and	and
Life	life	Life
,	,	,
which	which	which
reaches	reach	reach
an	an	an
estimated	estim	estimated
60	60	60
million	million	million
viewers	viewer	viewer
worldwide	worldwid	worldwide
is	is	is
an	an	an
Islamic	islam	Islamic
summons	summon	summons
for	for	for
the	the	the
non	non	non
-violent	-violent	-violent
conquest	conquest	conquest
of	of	of
non	non	non
-Muslim	-muslim	-Muslim
lands	land	land
.	.	.
As	as	As
Qaradawi	qaradawi	Qaradawi
told	told	told
a	a	a
Muslim	muslim	Muslim
Arab	arab	Arab
Youth	youth	Youth
Association	associ	Association
convention	convent	convention
in	in	in
Toledo	toledo	Toledo
,	,	,
Ohio	ohio	Ohio
,	,	,
in	in	in
1995	1995	1995
,	,	,
We	we	We
will	will	will
conquer	conquer	conquer
Europe	europ	Europe
,	,	,
we	we	we
will	will	will
conquer	conquer	conquer
America	america	America
!	!	!
Not	not	Not
through	through	through
sword	sword	sword
but	but	but
through	through	through
Da	da	Da
wa	wa	wa
.	.	.
Qaradawi	qaradawi	Qaradawi
,	,	,
in	in	in
a	a	a
recording	record	recording
from	from	from
2007	2007	2007
,	,	,
says	say	say
that	that	that
the	the	the
aim	aim	aim
of	of	of
this	this	this
peaceful	peac	peaceful
conquest	conquest	conquest
consists	consist	consists
mainly	main	mainly
of	of	of
the	the	the
introduction	introduct	introduction
of	of	of
Islamic	islam	Islamic
law	law	law
,	,	,
sharia	sharia	sharia
.	.	.
According	accord	According
to	to	to
Qaradawi	qaradawi	Qaradawi
,	,	,
sharia	sharia	sharia
should	should	should
be	be	be
introduced	introduc	introduced
in	in	in
a	a	a
new	new	new
country	countri	country
gradually	gradual	gradually
,	,	,
over	over	over
a	a	a
five	five	five
-year	-year	-year
period	period	period
,	,	,
before	befor	before
implementing	implement	implementing
it	it	it
in	in	in
full	full	full
.	.	.
Sharia	sharia	Sharia
includes	includ	includes
the	the	the
end	end	end
of	of	of
free	free	free
speech	speech	speech
under	under	under
blasphemy	blasphemi	blasphemy
laws	law	law
;	;	;
the	the	the
oppression	oppress	oppression
of	of	of
women	women	woman
,	,	,
including	includ	including
women	women	woman
being	be	being
worth	worth	worth
half	half	half
as	as	a
much	much	much
as	as	a
a	a	a
man	man	man
in	in	in
court	court	court
and	and	and
inheritance	inherit	inheritance
;	;	;
polygamy	polygami	polygamy
,	,	,
and	and	and
the	the	the
persecution	persecut	persecution
of	of	of
Jews	jew	Jews
Qaradawi	qaradawi	Qaradawi
advocates	advoc	advocate
killing	kill	killing
all	all	all
of	of	of
them	them	them
.	.	.
Qaradawi	qaradawi	Qaradawi
has	has	ha
explained	explain	explained
in	in	in
TV	tv	TV
recordings	record	recording
how	how	how
sharia	sharia	sharia
also	also	also
includes	includ	includes
chopping	chop	chopping
off	off	off
hands	hand	hand
for	for	for
theft	theft	theft
,	,	,
killing	kill	killing
apostates	apost	apostate
and	and	and
homosexuals	homosexu	homosexual
,	,	,
as	as	a
well	well	well
as	as	a
beating	beat	beating
women	women	woman
as	as	a
a	a	a
means	mean	mean
of	of	of
disciplining	disciplin	disciplining
them	them	them
.	.	.
The	the	The
New	new	New
York	york	York
Times	time	Times
,	,	,
ostensibly	ostens	ostensibly
concerned	concern	concerned
with	with	with
fake	fake	fake
news	news	news
,	,	,
evidently	evid	evidently
has	has	ha
no	no	no
qualms	qualm	qualm
about	about	about
lending	lend	lending
its	it	it
pages	page	page
to	to	to
such	such	such
straightforward	straightforward	straightforward
propaganda	propaganda	propaganda
as	as	a
El	el	El
-Haddad	-haddad	-Haddad
s	s	s
piece	piec	piece
on	on	on
behalf	behalf	behalf
of	of	of
the	the	the
Muslim	muslim	Muslim
Brotherhood	brotherhood	Brotherhood
.	.	.
Read	read	Read
more	more	more
Gatestone	gateston	Gatestone
Institute	institut	Institute
