Amateur	amateur	Amateur
he	he	he
had	had	had
with	with	with
Trump	trump	Trump
,	,	,
and	and	and
even	even	even
worse	wors	worse
for	for	for
the	the	the
alleged	alleg	alleged
president	presid	president
,	,	,
the	the	the
former	former	former
FBI	fbi	FBI
Director	director	Director
has	has	ha
agreed	agre	agreed
to	to	to
testify	testifi	testify
publicly	public	publicly
before	befor	before
the	the	the
Senate	senat	Senate
Intelligence	intellig	Intelligence
Committee	committe	Committee
at	at	at
a	a	a
date	date	date
to	to	to
be	be	be
set	set	set
after	after	after
Memorial	memori	Memorial
Day	day	Day
.	.	.
The	the	The
Committee	committe	Committee
looks	look	look
forward	forward	forward
to	to	to
receiving	receiv	receiving
testimony	testimoni	testimony
from	from	from
the	the	the
former	former	former
director	director	director
on	on	on
his	his	his
role	role	role
in	in	in
the	the	the
development	develop	development
of	of	of
the	the	the
Intelligence	intellig	Intelligence
Community	communiti	Community
Assessment	assess	Assessment
on	on	on
Russian	russian	Russian
interference	interfer	interference
in	in	in
the	the	the
2016	2016	2016
US	us	US
elections	elect	election
,	,	,
and	and	and
I	i	I
am	am	am
hopeful	hope	hopeful
that	that	that
he	he	he
will	will	will
clarify	clarifi	clarify
for	for	for
the	the	the
American	american	American
people	peopl	people
recent	recent	recent
events	event	event
that	that	that
have	have	have
been	been	been
broadly	broad	broadly
reported	report	reported
in	in	in
the	the	the
media	media	medium
,	,	,
Chairman	chairman	Chairman
Richard	richard	Richard
Burr	burr	Burr
R	r	R
-N	-n	-N
.	.	.
C	c	C
.	.	.
said	said	said
in	in	in
a	a	a
statement	statement	statement
.	.	.
The	the	The
walls	wall	wall
are	are	are
closing	close	closing
in	in	in
on	on	on
Mr	mr	Mr
.	.	.
Trump	trump	Trump
.	.	.
It	it	It
appears	appear	appears
that	that	that
his	his	his
son	son	son
-in-law	-in-law	-in-law
Jared	jare	Jared
Kushner	kushner	Kushner
is	is	is
a	a	a
person	person	person
of	of	of
interest	interest	interest
in	in	in
the	the	the
Russia	russia	Russia
investigation	investig	investigation
.	.	.
To	to	To
his	his	his
own	own	own
detriment	detriment	detriment
,	,	,
Trump	trump	Trump
seems	seem	seems
to	to	to
be	be	be
trying	tri	trying
hard	hard	hard
to	to	to
bring	bring	bring
an	an	an
obstruction	obstruct	obstruction
of	of	of
justice	justic	justice
case	case	case
against	against	against
himself	himself	himself
.	.	.
The	the	The
former	former	former
reality	realiti	reality
show	show	show
star	star	star
doesn	doesn	doesn
t	t	t
think	think	think
before	befor	before
he	he	he
tweets	tweet	tweet
or	or	or
speaks	speak	speaks
,	,	,
nor	nor	nor
does	doe	doe
he	he	he
think	think	think
about	about	about
who	who	who
he	he	he
s	s	s
speaking	speak	speaking
to	to	to
.	.	.
Telling	tell	Telling
Russian	russian	Russian
officials	offici	official
that	that	that
he	he	he
fired	fire	fired
Comey	comey	Comey
to	to	to
relieve	reliev	relieve
pressure	pressur	pressure
from	from	from
an	an	an
investigation	investig	investigation
just	just	just
screams	scream	scream
obstruction	obstruct	obstruction
of	of	of
justice	justic	justice
.	.	.
Trump	trump	Trump
must	must	must
feel	feel	feel
isolated	isol	isolated
after	after	after
trashing	trash	trashing
his	his	his
own	own	own
staff	staff	staff
with	with	with
threats	threat	threat
of	of	of
shaking	shake	shaking
up	up	up
the	the	the
White	white	White
House	hous	House
.	.	.
His	his	His
team	team	team
defended	defend	defended
him	him	him
daily	daili	daily
on	on	on
news	news	news
shows	show	show
but	but	but
now	now	now
,	,	,
they	they	they
re	re	re
MIA	mia	MIA
.	.	.
He	he	He
came	came	came
at	at	at
Comey	comey	Comey
,	,	,
and	and	and
karma	karma	karma
is	is	is
about	about	about
to	to	to
strike	strike	strike
.	.	.
Comey	comey	Comey
will	will	will
testify	testifi	testify
and	and	and
his	his	his
father	father	father
,	,	,
a	a	a
Republican	republican	Republican
,	,	,
thinks	think	think
Trump	trump	Trump
needs	need	need
to	to	to
be	be	be
locked	lock	locked
up	up	up
in	in	in
an	an	an
institution	institut	institution
.	.	.
We	we	We
hope	hope	hope
Trump	trump	Trump
will	will	will
be	be	be
haunted	haunt	haunted
forever	forev	forever
by	by	by
the	the	the
lock	lock	lock
her	her	her
up	up	up
chants	chant	chant
ringing	ring	ringing
out	out	out
at	at	at
his	his	his
rallies	ralli	rally
.	.	.
Life	life	Life
comes	come	come
at	at	at
you	you	you
fast	fast	fast
.	.	.
Photo	photo	Photo
by	by	by
Chip	chip	Chip
Somodevilla	somodevilla	Somodevilla
via	via	via
Getty	getti	Getty
Images	imag	Images
.	.	.
