Two	two	Two
months	month	month
of	of	of
getting	get	getting
no	no	no
help	help	help
with	with	with
prenatal	prenat	prenatal
care	care	care
or	or	or
the	the	the
hospital	hospit	hospital
bill	bill	bill
when	when	when
she	she	she
gives	give	give
birth	birth	birth
,	,	,
Republicans	republican	Republicans
would	would	would
immediately	immedi	immediately
deny	deni	deny
that	that	that
child	child	child
they	they	they
protected	protect	protected
from	from	from
abortion	abort	abortion
any	ani	any
form	form	form
of	of	of
state	state	state
assistance	assist	assistance
for	for	for
the	the	the
next	next	next
18	18	18
years	year	year
.	.	.
Pro	pro	Pro
-life	-life	-life
,	,	,
indeed	inde	indeed
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
Youtube	youtub	Youtube

