Watch	watch	Watch
.	.	.

What	what	What
we	we	we
do	do	do
have	have	have
is	is	is
an	an	an
election	elect	election
that	that	that
was	was	wa
surrounded	surround	surrounded
by	by	by
hacking	hack	hacking
.	.	.

3	3	3
Are	are	Are
politics	polit	politics
the	the	the
real	real	real
motivation	motiv	motivation
?	?	?

If	if	If
this	this	this
recount	recount	recount
were	were	were
truly	truli	truly
about	about	about
the	the	the
election	elect	election
s	s	s
integrity	integr	integrity
and	and	and
improving	improv	improving
public	public	public
confidence	confid	confidence
in	in	in
the	the	the
process	process	process
,	,	,
why	whi	why
not	not	not
include	includ	include
recounts	recount	recount
in	in	in
New	new	New
Hampshire	hampshir	Hampshire
and	and	and
Nevada	nevada	Nevada
which	which	which
were	were	were
states	state	state
that	that	that
Clinton	clinton	Clinton
won	won	won
with	with	with
very	veri	very
narrow	narrow	narrow
margins	margin	margin
?	?	?

In	in	In
New	new	New
Hampshire	hampshir	Hampshire
,	,	,
Clinton	clinton	Clinton
won	won	won
by	by	by
2	2	2
,	,	,
700	700	700
votes	vote	vote
which	which	which
is	is	is
the	the	the
smallest	smallest	smallest
margin	margin	margin
of	of	of
victory	victori	victory
in	in	in
any	ani	any
state	state	state
.	.	.

In	in	In
Nevada	nevada	Nevada
,	,	,
the	the	the
Hillary	hillari	Hillary
Clinton	clinton	Clinton
margin	margin	margin
of	of	of
victory	victori	victory
was	was	wa
26	26	26
,	,	,
000	000	000
votes	vote	vote
far	far	far
less	less	le
than	than	than
the	the	the
Trump	trump	Trump
margin	margin	margin
of	of	of
victory	victori	victory
in	in	in
Pennsylvania	pennsylvania	Pennsylvania
.	.	.
4	4	4
The	the	The
threshold	threshold	threshold
for	for	for
a	a	a
recount	recount	recount
will	will	will
likely	like	likely
not	not	not
be	be	be
reached	reach	reached
in	in	in
Pennsylvania	pennsylvania	Pennsylvania
.	.	.

There	there	There
would	would	would
need	need	need
to	to	to
be	be	be
evidence	evid	evidence
of	of	of
widespread	widespread	widespread
voter	voter	voter
fraud	fraud	fraud
for	for	for
a	a	a
court	court	court
-ordered	-order	-ordered
recount	recount	recount
in	in	in
PA	pa	PA
.	.	.

For	for	For
example	exampl	example
,	,	,
A	a	A
candidate	candid	candidate
can	can	can
t	t	t
actually	actual	actually
file	file	file
for	for	for
a	a	a
vote	vote	vote
recount	recount	recount
under	under	under
Pennsylvania	pennsylvania	Pennsylvania
law	law	law
.	.	.

Instead	instead	Instead
,	,	,
they	they	they
would	would	would
have	have	have
to	to	to
challenge	challeng	challenge
a	a	a
county	counti	county
board	board	board
regarding	regard	regarding
its	it	it
vote	vote	vote
computations	comput	computation
,	,	,
and	and	and
a	a	a
state	state	state
appeals	appeal	appeal
judge	judg	judge
would	would	would
have	have	have
to	to	to
rule	rule	rule
that	that	that
a	a	a
statewide	statewid	statewide
recount	recount	recount
is	is	is
necessary	necessari	necessary
.	.	.

That	that	That
means	mean	mean
the	the	the
Clinton	clinton	Clinton
campaign	campaign	campaign
or	or	or
in	in	in
this	this	this
case	case	case
Ms	ms	Ms
.	.	.
Stein	stein	Stein
s	s	s
team	team	team
would	would	would
either	either	either
have	have	have
to	to	to
request	request	request
a	a	a
recount	recount	recount
by	by	by
petition	petit	petition
in	in	in
every	everi	every
voting	vote	voting
district	district	district
or	or	or
present	present	present
a	a	a
prima	prima	prima
facie	faci	facie
case	case	case
showing	show	showing
voter	voter	voter
fraud	fraud	fraud
.	.	.

Prima	prima	Prima
facie	faci	facie
is	is	is
a	a	a
lower	lower	lower
threshold	threshold	threshold
than	than	than
beyond	beyond	beyond
a	a	a
reasonable	reason	reasonable
doubt	doubt	doubt
.	.	.

A	a	A
judge	judg	judge
would	would	would
just	just	just
have	have	have
to	to	to
rule	rule	rule
that	that	that
fraud	fraud	fraud
probably	probabl	probably
occurred	occur	occurred
in	in	in
order	order	order
to	to	to
call	call	call
for	for	for
a	a	a
recount	recount	recount
.	.	.
However	howev	However
,	,	,
Jill	jill	Jill
Stein	stein	Stein
said	said	said
she	she	she
does	doe	doe
not	not	not
have	have	have
evidence	evid	evidence
of	of	of
fraud	fraud	fraud
.	.	.
Further	further	Further
,	,	,
as	as	a
the	the	the
article	articl	article
explains	explain	explains
,	,	,
What	what	What
should	should	should
be	be	be
most	most	most
troubling	troubl	troubling
for	for	for
Clinton	clinton	Clinton
supporters	support	supporter
who	who	who
want	want	want
her	her	her
to	to	to
ask	ask	ask
for	for	for
a	a	a
Pennsylvania	pennsylvania	Pennsylvania
recount	recount	recount
is	is	is
that	that	that
in	in	in
the	the	the
past	past	past
,	,	,
these	these	these
recounts	recount	recount
have	have	have
yielded	yield	yielded
a	a	a
shift	shift	shift
of	of	of
just	just	just
a	a	a
couple	coupl	couple
hundred	hundr	hundred
votes	vote	vote
,	,	,
certainly	certain	certainly
not	not	not
enough	enough	enough
to	to	to
overturn	overturn	overturn
anything	anyth	anything
in	in	in
Pennsylvania	pennsylvania	Pennsylvania
.	.	.

Clinton	clinton	Clinton
s	s	s
team	team	team
would	would	would
have	have	have
to	to	to
rely	reli	rely
on	on	on
proving	prove	proving
massive	massiv	massive
voter	voter	voter
fraud	fraud	fraud
enough	enough	enough
for	for	for
a	a	a
Pennsylvania	pennsylvania	Pennsylvania
court	court	court
to	to	to
rule	rule	rule
the	the	the
entire	entir	entire
state	state	state
invalid	invalid	invalid
an	an	an
unprecedented	unpreced	unprecedented
and	and	and
nearly	near	nearly
impossible	imposs	impossible
feat	feat	feat
.	.	.
5	5	5
People	peopl	People
are	are	are
giving	give	giving
millions	million	million
of	of	of
dollars	dollar	dollar
to	to	to
a	a	a
cause	caus	cause
that	that	that
is	is	is
a	a	a
waste	wast	waste
of	of	of
their	their	their
money	money	money
,	,	,
based	base	based
upon	upon	upon
many	mani	many
flawed	flaw	flawed
assumptions	assumpt	assumption
,	,	,
and	and	and
some	some	some
hopes	hope	hope
and	and	and
dreams	dream	dream
that	that	that
are	are	are
unrealistic	unrealist	unrealistic
.	.	.

No	no	No
doubt	doubt	doubt
these	these	these
people	peopl	people
want	want	want
Hillary	hillari	Hillary
Clinton	clinton	Clinton
to	to	to
win	win	win
,	,	,
and	and	and
they	they	they
see	see	see
this	this	this
as	as	a
a	a	a
longshot	longshot	longshot
possibility	possibl	possibility
.	.	.

However	howev	However
,	,	,
they	they	they
are	are	are
being	be	being
deceived	deceiv	deceived
and	and	and
misled	misl	misled
based	base	based
on	on	on
generalities	general	generality
about	about	about
election	elect	election
hacking	hack	hacking
risks	risk	risk
that	that	that
were	were	were
known	known	known
for	for	for
many	mani	many
months	month	month
prior	prior	prior
to	to	to
the	the	the
election	elect	election
.	.	.
Just	just	Just
because	becaus	because
emails	email	email
were	were	were
hacked	hack	hacked
from	from	from
Hillary	hillari	Hillary
Clinton	clinton	Clinton
s	s	s
server	server	server
or	or	or
other	other	other
emails	email	email
accounts	account	account
were	were	were
hacked	hack	hacked
that	that	that
related	relat	related
to	to	to
the	the	the
election	elect	election
does	doe	doe
not	not	not
in	in	in
any	ani	any
way	way	way
prove	prove	prove
that	that	that
voting	vote	voting
machines	machin	machine
were	were	were
hacked	hack	hacked
or	or	or
counts	count	count
were	were	were
tampered	tamper	tampered
with	with	with
in	in	in
any	ani	any
state	state	state
.	.	.

To	to	To
give	give	give
false	fals	false
hope	hope	hope
to	to	to
these	these	these
people	peopl	people
is	is	is
similar	similar	similar
to	to	to
collecting	collect	collecting
money	money	money
to	to	to
promise	promis	promise
a	a	a
white	white	white
Christmas	christma	Christmas
to	to	to
the	the	the
children	children	child
in	in	in
Miami	miami	Miami
.	.	.

Some	some	Some
are	are	are
even	even	even
calling	call	calling
this	this	this
a	a	a
scam	scam	scam
,	,	,
although	although	although
I	i	I
would	would	would
not	not	not
go	go	go
that	that	that
far	far	far
.	.	.

This	this	This
website	websit	website
points	point	point
out	out	out
Then	then	Then
there	there	there
is	is	is
the	the	the
fine	fine	fine
print	print	print
that	that	that
will	will	will
allow	allow	allow
Stein	stein	Stein
s	s	s
campaign	campaign	campaign
to	to	to
keep	keep	keep
all	all	all
of	of	of
the	the	the
money	money	money
even	even	even
if	if	if
no	no	no
recounts	recount	recount
are	are	are
done	done	done
We	we	We
cannot	cannot	cannot
guarantee	guarante	guarantee
a	a	a
recount	recount	recount
will	will	will
happen	happen	happen
in	in	in
any	ani	any
of	of	of
these	these	these
states	state	state
we	we	we
are	are	are
targeting	target	targeting
.	.	.

We	we	We
can	can	can
only	onli	only
pledge	pledg	pledge
we	we	we
will	will	will
demand	demand	demand
recounts	recount	recount
in	in	in
those	those	those
states	state	state
.	.	.

If	if	If
we	we	we
raise	rais	raise
more	more	more
than	than	than
what	what	what
s	s	s
needed	need	needed
,	,	,
the	the	the
surplus	surplus	surplus
will	will	will
also	also	also
go	go	go
toward	toward	toward
election	elect	election
integrity	integr	integrity
efforts	effort	effort
and	and	and
to	to	to
promote	promot	promote
voting	vote	voting
system	system	system
reform	reform	reform
.	.	.
6	6	6
These	these	These
recounts	recount	recount
set	set	set
up	up	up
a	a	a
dangerous	danger	dangerous
precedent	preced	precedent
for	for	for
future	futur	future
elections	elect	election
and	and	and
potentially	potenti	potentially
for	for	for
many	mani	many
other	other	other
areas	area	area
of	of	of
life	life	life
where	where	where
anyone	anyon	anyone
can	can	can
question	question	question
any	ani	any
numbers	number	number
based	base	based
upon	upon	upon
the	the	the
view	view	view
maybe	mayb	maybe
there	there	there
was	was	wa
a	a	a
hack	hack	hack
somewhere	somewher	somewhere
,	,	,
somehow	somehow	somehow
.	.	.

Almost	almost	Almost
any	ani	any
data	data	data
can	can	can
be	be	be
questioned	question	questioned
using	use	using
this	this	this
type	type	type
of	of	of
superficial	superfici	superficial
analysis	analysi	analysis
.	.	.

The	the	The
thinking	think	thinking
goes	goe	go
along	along	along
the	the	the
lines	line	line
,	,	,
if	if	if
we	we	we
turn	turn	turn
over	over	over
enough	enough	enough
rocks	rock	rock
,	,	,
we	we	we
re	re	re
bound	bound	bound
to	to	to
find	find	find
something	someth	something
,	,	,
right	right	right
?	?	?

Yes	yes	Yes
one	one	one
fear	fear	fear
is	is	is
that	that	that
this	this	this
actually	actual	actually
gives	give	give
all	all	all
cybersecurity	cybersecur	cybersecurity
pros	pros	pro
a	a	a
bad	bad	bad
name	name	name
if	if	if
when	when	when
experts	expert	expert
make	make	make
these	these	these
type	type	type
of	of	of
claims	claim	claim
with	with	with
huge	huge	huge
caveats	caveat	caveat
which	which	which
create	creat	create
numerous	numer	numerous
opportunities	opportun	opportunity
to	to	to
deny	deni	deny
responsibility	respons	responsibility
.	.	.

Is	is	Is
our	our	our
new	new	new
threshold	threshold	threshold
a	a	a
potential	potenti	potential
for	for	for
hacking	hack	hacking
?	?	?

If	if	If
we	we	we
use	use	use
that	that	that
litmus	litmus	litmus
test	test	test
in	in	in
other	other	other
areas	area	area
of	of	of
life	life	life
,	,	,
what	what	what
can	can	can
be	be	be
excluded	exclud	excluded
?	?	?
Or	or	Or
,	,	,
in	in	in
J	j	J
.	.	.

Alex	alex	Alex
Halderman	halderman	Halderman
s	s	s
own	own	own
words	word	word
,	,	,
Were	were	Were
this	this	this
year	year	year
s	s	s
deviations	deviat	deviation
from	from	from
pre	pre	pre
-election	-elect	-election
polls	poll	poll
the	the	the
results	result	result
of	of	of
a	a	a
cyberattack	cyberattack	cyberattack
?	?	?

Probably	probabl	Probably
not	not	not
.	.	.

I	i	I
believe	believ	believe
the	the	the
most	most	most
likely	like	likely
explanation	explan	explanation
is	is	is
that	that	that
the	the	the
polls	poll	poll
were	were	were
systematically	systemat	systematically
wrong	wrong	wrong
,	,	,
rather	rather	rather
than	than	than
that	that	that
the	the	the
election	elect	election
was	was	wa
hacked	hack	hacked
.	.	.

My	my	My
reaction	reaction	reaction
Really	realli	Really
?	?	?

In	in	In
that	that	that
case	case	case
,	,	,
why	whi	why
did	did	did
you	you	you
go	go	go
public	public	public
?	?	?

If	if	If
I	i	I
were	were	were
to	to	to
use	use	use
that	that	that
logic	logic	logic
in	in	in
any	ani	any
of	of	of
my	my	my
many	mani	many
cybersecurity	cybersecur	cybersecurity
roles	role	role
regarding	regard	regarding
security	secur	security
incidents	incid	incident
in	in	in
government	govern	government
,	,	,
I	i	I
would	would	would
be	be	be
fired	fire	fired
or	or	or
at	at	at
least	least	least
sent	sent	sent
back	back	back
to	to	to
reexamine	reexamin	reexamine
the	the	the
specific	specif	specific
details	detail	detail
before	befor	before
going	go	going
public	public	public
.	.	.

Might	might	Might
this	this	this
just	just	just
be	be	be
a	a	a
PR	pr	PR
stunt	stunt	stunt
for	for	for
these	these	these
people	peopl	people
to	to	to
get	get	get
more	more	more
attention	attent	attention
?	?	?
7	7	7
The	the	The
states	state	state
involved	involv	involved
have	have	have
extensive	extens	extensive
certification	certif	certification
processes	process	process
and	and	and
procedures	procedur	procedure
which	which	which
were	were	were
followed	follow	followed
.	.	.

As	as	As
I	i	I
said	said	said
back	back	back
on	on	on
Nov	nov	Nov
.	.	.

5	5	5
,	,	,
before	befor	before
we	we	we
knew	knew	knew
the	the	the
election	elect	election
outcomes	outcom	outcome
and	and	and
when	when	when
Hillary	hillari	Hillary
Clinton	clinton	Clinton
was	was	wa
leading	lead	leading
in	in	in
most	most	most
of	of	of
the	the	the
polls	poll	poll
,	,	,
we	we	we
should	should	should
trust	trust	trust
the	the	the
vote	vote	vote
for	for	for
many	mani	many
reasons	reason	reason
.	.	.

I	i	I
still	still	still
believe	believ	believe
this	this	this
unless	unless	unless
specific	specif	specific
facts	fact	fact
show	show	show
otherwise	otherwis	otherwise
.	.	.

Anyone	anyon	Anyone
who	who	who
clams	clam	clam
fraud	fraud	fraud
or	or	or
other	other	other
election	elect	election
problems	problem	problem
needs	need	need
to	to	to
come	come	come
forward	forward	forward
with	with	with
real	real	real
evidence	evid	evidence
.	.	.

Polls	poll	Polls
being	be	being
wrong	wrong	wrong
is	is	is
not	not	not
evidence	evid	evidence
of	of	of
election	elect	election
fraud	fraud	fraud
.	.	.
8	8	8
A	a	A
recount	recount	recount
will	will	will
NOT	not	NOT
improve	improv	improve
integrity	integr	integrity
or	or	or
confidence	confid	confidence
in	in	in
this	this	this
election	elect	election
,	,	,
as	as	a
Jill	jill	Jill
Stein	stein	Stein
is	is	is
claiming	claim	claiming
.	.	.

Imagine	imagin	Imagine
if	if	if
this	this	this
process	process	process
does	doe	doe
move	move	move
forward	forward	forward
and	and	and
a	a	a
recount	recount	recount
is	is	is
begun	begun	begun
in	in	in
one	one	one
more	more	more
or	or	or
states	state	state
.	.	.

Numerous	numer	Numerous
global	global	global
reporters	report	reporter
will	will	will
rush	rush	rush
to	to	to
the	the	the
state	state	state
s	s	s
involved	involv	involved
to	to	to
watch	watch	watch
the	the	the
process	process	process
unfold	unfold	unfold
on	on	on
live	live	live
TV	tv	TV
.	.	.

While	while	While
hopefully	hope	hopefully
the	the	the
coverage	coverag	coverage
will	will	will
not	not	not
be	be	be
quite	quit	quite
as	as	a
intense	intens	intense
and	and	and
exhausting	exhaust	exhausting
as	as	a
the	the	the
Florida	florida	Florida
recount	recount	recount
of	of	of
2000	2000	2000
,	,	,
the	the	the
focus	focus	focus
will	will	will
dominate	domin	dominate
the	the	the
news	news	news
for	for	for
weeks	week	week
.	.	.

We	we	We
will	will	will
hear	hear	hear
assorted	assort	assorted
experts	expert	expert
offer	offer	offer
theories	theori	theory
,	,	,
opinions	opinion	opinion
and	and	and
select	select	select
facts	fact	fact
regarding	regard	regarding
what	what	what
is	is	is
going	go	going
on	on	on
and	and	and
what	what	what
they	they	they
expect	expect	expect
to	to	to
happen	happen	happen
next	next	next
and	and	and
if	if	if
Hillary	hillari	Hillary
Clinton	clinton	Clinton
could	could	could
actually	actual	actually
become	becom	become
our	our	our
next	next	next
president	presid	president
and	and	and
not	not	not
Donald	donald	Donald
Trump	trump	Trump
.	.	.

Rabbit	rabbit	Rabbit
trails	trail	trail
will	will	will
be	be	be
followed	follow	followed
.	.	.
I	i	I
suspect	suspect	suspect
that	that	that
this	this	this
extensive	extens	extensive
scrutiny	scrutini	scrutiny
may	may	may
actually	actual	actually
lower	lower	lower
,	,	,
not	not	not
raise	rais	raise
,	,	,
the	the	the
level	level	level
of	of	of
confidence	confid	confidence
in	in	in
these	these	these
elections	elect	election
with	with	with
no	no	no
change	chang	change
in	in	in
the	the	the
overall	overal	overall
outcome	outcom	outcome
of	of	of
the	the	the
winner	winner	winner
.	.	.
9	9	9
Government	govern	Government
resources	resourc	resource
will	will	will
be	be	be
diverted	divert	diverted
.	.	.

Time	time	Time
energy	energi	energy
,	,	,
money	money	money
,	,	,
will	will	will
be	be	be
taken	taken	taken
away	away	away
from	from	from
other	other	other
government	govern	government
projects	project	project
.	.	.

Assuming	assum	Assuming
the	the	the
actual	actual	actual
cost	cost	cost
of	of	of
the	the	the
effort	effort	effort
is	is	is
paid	paid	paid
by	by	by
the	the	the
money	money	money
raised	rais	raised
by	by	by
Stein	stein	Stein
,	,	,
government	govern	government
staff	staff	staff
will	will	will
still	still	still
be	be	be
required	requir	required
to	to	to
be	be	be
pulled	pull	pulled
off	off	off
of	of	of
other	other	other
meaningful	meaning	meaningful
projects	project	project
and	and	and
priorities	prioriti	priority
to	to	to
complete	complet	complete
the	the	the
recount	recount	recount
process	process	process
.	.	.

Just	just	Just
the	the	the
coordination	coordin	coordination
and	and	and
project	project	project
management	manag	management
will	will	will
be	be	be
immense	immens	immense
,	,	,
and	and	and
there	there	there
will	will	will
an	an	an
untold	untold	untold
number	number	number
of	of	of
related	relat	related
impacts	impact	impact
.	.	.
As	as	As
this	this	this
article	articl	article
explains	explain	explains
,	,	,
the	the	the
cost	cost	cost
for	for	for
paper	paper	paper
ballot	ballot	ballot
recounts	recount	recount
in	in	in
each	each	each
precinct	precinct	precinct
in	in	in
Michigan	michigan	Michigan
will	will	will
be	be	be
125	125	125
for	for	for
Stein	stein	Stein
.	.	.

Do	do	Do
you	you	you
really	realli	really
think	think	think
this	this	this
total	total	total
process	process	process
can	can	can
be	be	be
completely	complet	completely
done	done	done
for	for	for
125	125	125
per	per	per
precinct	precinct	precinct
,	,	,
with	with	with
all	all	all
government	govern	government
costs	cost	cost
included	includ	included
?	?	?

I	i	I
think	think	think
that	that	that
extra	extra	extra
money	money	money
and	and	and
time	time	time
spent	spent	spent
will	will	will
come	come	come
from	from	from
somewhere	somewher	somewhere
else	els	else
in	in	in
government	govern	government
.	.	.
10	10	10
The	the	The
country	countri	country
will	will	will
not	not	not
move	move	move
on	on	on
to	to	to
the	the	the
important	import	important
process	process	process
of	of	of
uniting	unit	uniting
,	,	,
moving	move	moving
forward	forward	forward
and	and	and
focusing	focus	focusing
on	on	on
governing	govern	governing
with	with	with
our	our	our
next	next	next
president	presid	president
of	of	of
the	the	the
United	unit	United
States	state	States
.	.	.

This	this	This
effort	effort	effort
is	is	is
a	a	a
major	major	major
distraction	distract	distraction
and	and	and
brings	bring	brings
on	on	on
more	more	more
uncertainty	uncertainti	uncertainty
at	at	at
a	a	a
time	time	time
that	that	that
we	we	we
don	don	don
t	t	t
need	need	need
it	it	it
as	as	a
a	a	a
nation	nation	nation
.	.	.

Many	mani	Many
on	on	on
the	the	the
right	right	right
claim	claim	claim
this	this	this
recount	recount	recount
effort	effort	effort
is	is	is
just	just	just
coming	come	coming
from	from	from
sore	sore	sore
losers	loser	loser
who	who	who
can	can	can
t	t	t
admit	admit	admit
defeat	defeat	defeat
.	.	.

I	i	I
m	m	m
not	not	not
so	so	so
sure	sure	sure
,	,	,
but	but	but
whether	whether	whether
you	you	you
agree	agre	agree
with	with	with
that	that	that
analysis	analysi	analysis
or	or	or
not	not	not
,	,	,
there	there	there
is	is	is
no	no	no
doubt	doubt	doubt
that	that	that
these	these	these
recounts	recount	recount
will	will	will
extend	extend	extend
the	the	the
election	elect	election
uncertainty	uncertainti	uncertainty
for	for	for
longer	longer	longer
and	and	and
fuel	fuel	fuel
more	more	more
anger	anger	anger
.	.	.
Final	final	Final
ThoughtsThe	thoughtsth	ThoughtsThe
U	u	U
.	.	.
S	s	S
.	.	.
Department	depart	Department
of	of	of
Homeland	homeland	Homeland
Security	secur	Security
under	under	under
the	the	the
Obama	obama	Obama
administration	administr	administration
was	was	wa
helping	help	helping
state	state	state
election	elect	election
teams	team	team
in	in	in
at	at	at
least	least	least
46	46	46
states	state	state
,	,	,
and	and	and
they	they	they
have	have	have
not	not	not
come	come	come
out	out	out
and	and	and
even	even	even
implied	impli	implied
any	ani	any
hacking	hack	hacking
of	of	of
voter	voter	voter
machines	machin	machine
occurred	occur	occurred
.	.	.

Don	don	Don
t	t	t
you	you	you
think	think	think
that	that	that
they	they	they
would	would	would
have	have	have
raised	rais	raised
red	red	red
flags	flag	flag
by	by	by
now	now	now
if	if	if
they	they	they
expected	expect	expected
wrongdoing	wrongdo	wrongdoing
?	?	?
Meanwhile	meanwhil	Meanwhile
,	,	,
Jill	jill	Jill
Stein	stein	Stein
has	has	ha
every	everi	every
legal	legal	legal
right	right	right
to	to	to
request	request	request
these	these	these
recounts	recount	recount
,	,	,
but	but	but
that	that	that
does	doe	doe
not	not	not
make	make	make
it	it	it
a	a	a
smart	smart	smart
or	or	or
the	the	the
right	right	right
thing	thing	thing
to	to	to
do	do	do
.	.	.

These	these	These
recounts	recount	recount
will	will	will
not	not	not
have	have	have
the	the	the
results	result	result
she	she	she
is	is	is
claiming	claim	claiming
.	.	.
Worse	wors	Worse
than	than	than
that	that	that
,	,	,
naming	name	naming
the	the	the
Russians	russian	Russians
or	or	or
pointing	point	pointing
to	to	to
unknown	unknown	unknown
hackers	hacker	hacker
as	as	a
the	the	the
reason	reason	reason
for	for	for
the	the	the
recounts	recount	recount
will	will	will
open	open	open
up	up	up
governments	govern	government
to	to	to
a	a	a
plethora	plethora	plethora
of	of	of
current	current	current
and	and	and
future	futur	future
problems	problem	problem
.	.	.

We	we	We
are	are	are
witnessing	wit	witnessing
a	a	a
sad	sad	sad
close	close	close
to	to	to
the	the	the
2016	2016	2016
presidential	presidenti	presidential
election	elect	election
,	,	,
which	which	which
is	is	is
being	be	being
driven	driven	driven
by	by	by
hypothetical	hypothet	hypothetical
hacking	hack	hacking
scenarios	scenario	scenario
based	base	based
on	on	on
the	the	the
lie	lie	lie
that	that	that
if	if	if
pollsters	pollster	pollster
didn	didn	didn
t	t	t
get	get	get
the	the	the
results	result	result
they	they	they
expected	expect	expected
,	,	,
someone	someon	someone
must	must	must
have	have	have
been	been	been
hacked	hack	hacked
.	.	.
Finally	final	Finally
,	,	,
there	there	there
is	is	is
