Something	someth	Something
politics	polit	politics
not	not	not
particularly	particular	particularly
the	the	the
brand	brand	brand
I	i	I
approve	approv	approve
of	of	of
.	.	.
Who	who	Who
would	would	would
approve	approv	approve
of	of	of
Trump	trump	Trump
s	s	s
brand	brand	brand
of	of	of
politics	polit	politics
;	;	;
it	it	it
s	s	s
smarmy	smarmi	smarmy
,	,	,
bigoted	bigot	bigoted
,	,	,
abusive	abus	abusive
,	,	,
and	and	and
flat	flat	flat
-out	-out	-out
wrong	wrong	wrong
in	in	in
so	so	so
many	mani	many
ways	way	way
.	.	.
And	and	And
even	even	even
though	though	though
Trump	trump	Trump
said	said	said
back	back	back
in	in	in
2012	2012	2012
Hillary	hillari	Hillary
Clinton	clinton	Clinton
,	,	,
I	i	I
think	think	think
,	,	,
is	is	is
a	a	a
terrific	terrif	terrific
woman	woman	woman
.	.	.
I	i	I
have	have	have
known	known	known
her	her	her
for	for	for
years	year	year
.	.	.
I	i	I
live	live	live
in	in	in
New	new	New
York	york	York
,	,	,
she	she	she
lives	live	life
in	in	in
New	new	New
York	york	York
,	,	,
and	and	and
I	i	I
ve	ve	ve
known	known	known
her	her	her
and	and	and
her	her	her
husband	husband	husband
for	for	for
years	year	year
and	and	and
I	i	I
really	realli	really
like	like	like
them	them	them
both	both	both
a	a	a
lot	lot	lot
.	.	.
It	it	It
lines	line	line
up	up	up
with	with	with
what	what	what
Hillary	hillari	Hillary
said	said	said
about	about	about
their	their	their
relationship	relationship	relationship
perfectly	perfect	perfectly
,	,	,
and	and	and
doesn	doesn	doesn
t	t	t
prove	prove	prove
,	,	,
whatsoever	whatsoev	whatsoever
,	,	,
that	that	that
they	they	they
re	re	re
pals	pal	pal
.	.	.
What	what	What
it	it	it
shows	show	show
is	is	is
Trump	trump	Trump
doing	do	doing
what	what	what
Trump	trump	Trump
does	doe	doe
do	do	do
what	what	what
s	s	s
in	in	in
the	the	the
best	best	best
interest	interest	interest
of	of	of
Trump	trump	Trump
.	.	.
Which	which	Which
is	is	is
say	say	say
and	and	and
do	do	do
anything	anyth	anything
that	that	that
will	will	will
go	go	go
to	to	to
his	his	his
favor	favor	favor
.	.	.
For	for	For
all	all	all
we	we	we
know	know	know
he	he	he
could	could	could
like	like	like
the	the	the
Clintons	clinton	Clintons
a	a	a
lot	lot	lot
,	,	,
or	or	or
he	he	he
may	may	may
loathe	loath	loathe
them	them	them
.	.	.
Trump	trump	Trump
says	say	say
what	what	what
he	he	he
wants	want	want
to	to	to
at	at	at
any	ani	any
time	time	time
,	,	,
and	and	and
that	that	that
could	could	could
change	chang	change
at	at	at
any	ani	any
given	given	given
moment	moment	moment
.	.	.
At	at	At
this	this	this
moment	moment	moment
in	in	in
time	time	time
,	,	,
you	you	you
ve	ve	ve
really	realli	really
got	got	got
to	to	to
take	take	take
Hillary	hillari	Hillary
at	at	at
her	her	her
word	word	word
on	on	on
this	this	this
,	,	,
because	becaus	because
not	not	not
only	onli	only
does	doe	doe
her	her	her
explanation	explan	explanation
make	make	make
perfect	perfect	perfect
sense	sens	sense
,	,	,
it	it	it
lines	line	line
up	up	up
with	with	with
Trump	trump	Trump
as	as	a
well	well	well
.	.	.
So	so	So
what	what	what
if	if	if
they	they	they
know	know	know
each	each	each
other	other	other
,	,	,
she	she	she
knows	know	know
A	a	A
LOT	lot	LOT
of	of	of
people	peopl	people
.	.	.
A	a	A
LOT	lot	LOT
.	.	.
So	so	So
does	doe	doe
he	he	he
.	.	.
It	it	It
doesn	doesn	doesn
t	t	t
mean	mean	mean
that	that	that
their	their	their
all	all	all
best	best	best
friends	friend	friend
forever	forev	forever
.	.	.
Featured	featur	Featured
image	imag	image
flickr	flickr	flickr
