Anyone	anyon	Anyone
thousands	thousand	thousand
of	of	of
people	peopl	people
in	in	in
Syria	syria	Syria
and	and	and
used	use	used
chemical	chemic	chemical
weapons	weapon	weapon
.	.	.
Last	last	Last
night	night	night
,	,	,
they	they	they
attacked	attack	attacked
the	the	the
Assad	assad	Assad
regime	regim	regime
.	.	.
We	we	We
need	need	need
to	to	to
know	know	know
what	what	what
is	is	is
the	the	the
Trump	trump	Trump
administration	administr	administration
thinking	think	thinking
and	and	and
what	what	what
is	is	is
their	their	their
long	long	long
-term	-term	-term
strategy	strategi	strategy
in	in	in
Syria	syria	Syria
?	?	?
Rep	rep	Rep
.	.	.
Lieu	lieu	Lieu
is	is	is
right	right	right
.	.	.
Trump	trump	Trump
s	s	s
actions	action	action
went	went	went
against	against	against
the	the	the
Constitution	constitut	Constitution
.	.	.
He	he	He
cannot	cannot	cannot
unilaterally	unilater	unilaterally
make	make	make
war	war	war
.	.	.
Further	further	Further
,	,	,
he	he	he
is	is	is
clearly	clear	clearly
an	an	an
erratic	errat	erratic
,	,	,
impulsive	impuls	impulsive
man	man	man
.	.	.
Said	said	Said
erratic	errat	erratic
,	,	,
impulsive	impuls	impulsive
man	man	man
now	now	now
has	has	ha
the	the	the
power	power	power
to	to	to
destroy	destroy	destroy
the	the	the
world	world	world
with	with	with
one	one	one
temper	temper	temper
tantrum	tantrum	tantrum
.	.	.
Therefore	therefor	Therefore
,	,	,
more	more	more
than	than	than
ever	ever	ever
,	,	,
it	it	it
is	is	is
absolutely	absolut	absolutely
imperative	imper	imperative
that	that	that
Congress	congress	Congress
use	use	use
its	it	it
Article	articl	Article
I	i	I
powers	power	power
to	to	to
check	check	check
and	and	and
balance	balanc	balance
this	this	this
dangerously	danger	dangerously
unstable	unstabl	unstable
president	presid	president
.	.	.
Watch	watch	Watch
Rep	rep	Rep
.	.	.
Lieu	lieu	Lieu
s	s	s
remarks	remark	remark
below	below	below
Featured	featur	Featured
image	imag	image
via	via	via
video	video	video
screen	screen	screen
capture	captur	capture
