Hey	hey	Hey
receives	receiv	receives
most	most	most
of	of	of
his	his	his
income	incom	income
from	from	from
capital	capit	capital
gains	gain	gain
and	and	and
dividends	dividend	dividend
,	,	,
which	which	which
are	are	are
taxed	tax	taxed
at	at	at
a	a	a
much	much	much
lower	lower	lower
rate	rate	rate
than	than	than
income	incom	income
from	from	from
work	work	work
.	.	.

This	this	This
plan	plan	plan
will	will	will
end	end	end
the	the	the
special	special	special
tax	tax	tax
break	break	break
for	for	for
capital	capit	capital
gains	gain	gain
and	and	and
dividends	dividend	dividend
on	on	on
household	household	household
income	incom	income
above	abov	above
250	250	250
,	,	,
000	000	000
.	.	.
Limit	limit	Limit
tax	tax	tax
deductions	deduct	deduction
for	for	for
rich	rich	rich
.	.	.

Revenue	revenu	Revenue
raised	rais	raised
15	15	15
billion	billion	billion
per	per	per
yearUnder	yearund	yearUnder
Bernie	berni	Bernie
s	s	s
plan	plan	plan
,	,	,
households	household	household
making	make	making
over	over	over
250	250	250
,	,	,
000	000	000
would	would	would
no	no	no
longer	longer	longer
be	be	be
able	abl	able
to	to	to
save	save	save
more	more	more
than	than	than
28	28	28
cents	cent	cent
in	in	in
taxes	tax	tax
from	from	from
every	everi	every
dollar	dollar	dollar
in	in	in
tax	tax	tax
deductions	deduct	deduction
.	.	.

This	this	This
limit	limit	limit
would	would	would
replace	replac	replace
more	more	more
complicated	complic	complicated
and	and	and
less	less	le
effective	effect	effective
limits	limit	limit
on	on	on
tax	tax	tax
breaks	break	break
for	for	for
the	the	the
rich	rich	rich
including	includ	including
the	the	the
AMT	amt	AMT
,	,	,
the	the	the
personal	person	personal
exemption	exempt	exemption
phase	phase	phase
-out	-out	-out
and	and	and
the	the	the
limit	limit	limit
on	on	on
itemized	item	itemized
deductions	deduct	deduction
.	.	.
The	the	The
Responsible	respons	Responsible
Estate	estat	Estate
Tax	tax	Tax
.	.	.

Revenue	revenu	Revenue
raised	rais	raised
21	21	21
billion	billion	billion
per	per	per
year	year	year
.	.	.
This	this	This
provision	provis	provision
would	would	would
tax	tax	tax
the	the	the
estates	estat	estate
of	of	of
the	the	the
wealthiest	wealthiest	wealthiest
0	0	0
.	.	.
3	3	3
percent	percent	percent
three	three	three
-tenths	-tenth	-tenths
of	of	of
1	1	1
percent	percent	percent
of	of	of
Americans	american	Americans
who	who	who
inherit	inherit	inherit
over	over	over
3	3	3
.	.	.
5	5	5
million	million	million
at	at	at
progressive	progress	progressive
rates	rate	rate
and	and	and
close	close	close
loopholes	loophol	loophole
in	in	in
the	the	the
estate	estat	estate
tax	tax	tax
.	.	.
Savings	save	Savings
from	from	from
health	health	health
tax	tax	tax
expenditures	expenditur	expenditure
.	.	.

Revenue	revenu	Revenue
raised	rais	raised
310	310	310
billion	billion	billion
per	per	per
year	year	year
.	.	.
Several	sever	Several
tax	tax	tax
breaks	break	break
that	that	that
subsidize	subsid	subsidize
health	health	health
care	care	care
health	health	health
-related	-relat	-related
tax	tax	tax
expenditures	expenditur	expenditure
would	would	would
become	becom	become
obsolete	obsolet	obsolete
and	and	and
disappear	disappear	disappear
under	under	under
a	a	a
single	singl	single
-payer	-payer	-payer
health	health	health
care	care	care
system	system	system
,	,	,
saving	save	saving
310	310	310
billion	billion	billion
per	per	per
year	year	year
.	.	.
Most	most	Most
importantly	import	importantly
,	,	,
health	health	health
care	care	care
provided	provid	provided
by	by	by
employers	employ	employer
is	is	is
compensation	compens	compensation
that	that	that
is	is	is
not	not	not
subject	subject	subject
to	to	to
payroll	payrol	payroll
taxes	tax	tax
or	or	or
income	incom	income
taxes	tax	tax
under	under	under
current	current	current
law	law	law
.	.	.

This	this	This
is	is	is
a	a	a
significant	signific	significant
tax	tax	tax
break	break	break
that	that	that
would	would	would
effectively	effect	effectively
disappear	disappear	disappear
under	under	under
this	this	this
plan	plan	plan
because	becaus	because
all	all	all
Americans	american	Americans
would	would	would
receive	receiv	receive
health	health	health
care	care	care
through	through	through
the	the	the
new	new	new
single	singl	single
-payer	-payer	-payer
program	program	program
instead	instead	instead
of	of	of
employer	employ	employer
-based	-base	-based
health	health	health
care	care	care
.	.	.
Via	via	Via
TAXPROFBLOG	taxprofblog	TAXPROFBLOG

