Some	some	Some
generally	general	generally
over	over	over
non	non	non
religion	religion	religion
.	.	.
Which	which	Which
is	is	is
exactly	exact	exactly
correct	correct	correct
.	.	.
Quite	quit	Quite
honestly	honest	honestly
,	,	,
her	her	her
kids	kid	kid
should	should	should
be	be	be
free	free	free
to	to	to
wear	wear	wear
whatever	whatev	whatever
they	they	they
want	want	want
,	,	,
but	but	but
the	the	the
school	school	school
itself	itself	itself
cannot	cannot	cannot
and	and	and
should	should	should
not	not	not
promote	promot	promote
any	ani	any
religion	religion	religion
.	.	.
Public	public	Public
school	school	school
is	is	is
not	not	not
a	a	a
church	church	church
,	,	,
and	and	and
thus	thus	thus
not	not	not
the	the	the
time	time	time
nor	nor	nor
place	place	place
for	for	for
public	public	public
worship	worship	worship
of	of	of
any	ani	any
God	god	God
.	.	.
Yet	yet	Yet
everyone	everyon	everyone
is	is	is
still	still	still
perfectly	perfect	perfectly
free	free	free
to	to	to
worship	worship	worship
on	on	on
their	their	their
own	own	own
time	time	time
.	.	.
No	no	No
one	one	one
is	is	is
losing	lose	losing
any	ani	any
form	form	form
of	of	of
freedom	freedom	freedom
.	.	.
No	no	No
one	one	one
.	.	.
Of	of	Of
course	cours	course
,	,	,
Taylor	taylor	Taylor
believes	believ	belief
she	she	she
s	s	s
being	be	being
told	told	told
what	what	what
to	to	to
do	do	do
,	,	,
because	becaus	because
you	you	you
know	know	know
,	,	,
she	she	she
doesn	doesn	doesn
t	t	t
understand	understand	understand
how	how	how
the	the	the
Constitution	constitut	Constitution
actually	actual	actually
works	work	work
.	.	.
She	she	She
said	said	said
,	,	,
It	it	It
will	will	will
be	be	be
in	in	in
our	our	our
children	children	child
s	s	s
hearts	heart	heart
and	and	and
they	they	they
will	will	will
not	not	not
stop	stop	stop
praising	prais	praising
God	god	God
because	becaus	because
a	a	a
group	group	group
told	told	told
them	them	them
to	to	to
.	.	.
No	no	No
one	one	one
told	told	told
your	your	your
kids	kid	kid
not	not	not
to	to	to
worship	worship	worship
.	.	.
Nope	nope	Nope
.	.	.
Not	not	Not
at	at	at
all	all	all
,	,	,
but	but	but
okay	okay	okay
.	.	.
All	all	All
that	that	that
these	these	these
parents	parent	parent
are	are	are
doing	do	doing
is	is	is
making	make	making
a	a	a
point	point	point
they	they	they
clearly	clear	clearly
don	don	don
t	t	t
need	need	need
to	to	to
make	make	make
.	.	.
But	but	But
really	realli	really
,	,	,
if	if	if
you	you	you
re	re	re
gonna	gonna	gonna
be	be	be
stupid	stupid	stupid
,	,	,
the	the	the
least	least	least
you	you	you
could	could	could
do	do	do
is	is	is
leave	leav	leave
your	your	your
kids	kid	kid
out	out	out
of	of	of
it	it	it
.	.	.
Watch	watch	Watch
the	the	the
coverage	coverag	coverage
of	of	of
this	this	this
story	stori	story
via	via	via
KYTX	kytx	KYTX
Featured	featur	Featured
image	imag	image
via	via	via
video	video	video
screen	screen	screen
capture	captur	capture
