Beware	bewar	Beware
wishing	wish	wishing
to	to	to
expand	expand	expand
the	the	the
scope	scope	scope
of	of	of
global	global	global
governance	govern	governance
,	,	,
sustainable	sustain	sustainable
development	develop	development
is	is	is
the	the	the
perfect	perfect	perfect
umbrella	umbrella	umbrella
because	becaus	because
just	just	just
about	about	about
all	all	all
human	human	human
activity	activ	activity
affects	affect	affect
the	the	the
environment	environ	environment
in	in	in
some	some	some
way	way	way
.	.	.

The	the	The
phrase	phrase	phrase
for	for	for
the	the	the
good	good	good
of	of	of
the	the	the
planet	planet	planet
can	can	can
be	be	be
used	use	used
as	as	a
an	an	an
excuse	excus	excuse
to	to	to
micromanage	micromanag	micromanage
virtually	virtual	virtually
every	everi	every
aspect	aspect	aspect
of	of	of
our	our	our
lives	live	life
.	.	.
So	so	So
for	for	for
those	those	those
that	that	that
are	are	are
concerned	concern	concerned
about	about	about
the	the	the
growing	grow	growing
power	power	power
of	of	of
the	the	the
United	unit	United
Nations	nation	Nations
,	,	,
this	this	this
summit	summit	summit
in	in	in
September	septemb	September
is	is	is
something	someth	something
to	to	to
keep	keep	keep
an	an	an
eye	eye	eye
on	on	on
.	.	.

Never	never	Never
before	befor	before
have	have	have
I	i	I
seen	seen	seen
such	such	such
an	an	an
effort	effort	effort
to	to	to
promote	promot	promote
a	a	a
UN	un	UN
summit	summit	summit
on	on	on
the	the	the
environment	environ	environment
,	,	,
and	and	and
this	this	this
new	new	new
sustainable	sustain	sustainable
development	develop	development
agenda	agenda	agenda
is	is	is
literally	liter	literally
a	a	a
framework	framework	framework
for	for	for
managing	manag	managing
the	the	the
entire	entir	entire
globe	globe	globe
.	.	.
If	if	If
you	you	you
are	are	are
not	not	not
familiar	familiar	familiar
with	with	with
this	this	this
new	new	new
sustainable	sustain	sustainable
development	develop	development
agenda	agenda	agenda
,	,	,
the	the	the
following	follow	following
is	is	is
what	what	what
the	the	the
official	offici	official
United	unit	United
Nations	nation	Nations
website	websit	website
says	say	say
about	about	about
it	it	it
The	the	The
United	unit	United
Nations	nation	Nations
is	is	is
now	now	now
in	in	in
the	the	the
process	process	process
of	of	of
defining	defin	defining
Sustainable	sustain	Sustainable
Development	develop	Development
Goals	goal	Goals
as	as	a
part	part	part
a	a	a
new	new	new
sustainable	sustain	sustainable
development	develop	development
agenda	agenda	agenda
that	that	that
must	must	must
finish	finish	finish
the	the	the
job	job	job
and	and	and
leave	leav	leave
no	no	no
one	one	one
behind	behind	behind
.	.	.

This	this	This
agenda	agenda	agenda
,	,	,
to	to	to
be	be	be
launched	launch	launched
at	at	at
the	the	the
Sustainable	sustain	Sustainable
Development	develop	Development
Summit	summit	Summit
in	in	in
September	septemb	September
2015	2015	2015
,	,	,
is	is	is
currently	current	currently
being	be	being
discussed	discuss	discussed
at	at	at
the	the	the
UN	un	UN
General	general	General
Assembly	assembl	Assembly
,	,	,
where	where	where
Member	member	Member
States	state	States
and	and	and
civil	civil	civil
society	societi	society
are	are	are
making	make	making
contributions	contribut	contribution
to	to	to
the	the	the
agenda	agenda	agenda
.	.	.
The	the	The
process	process	process
of	of	of
arriving	arriv	arriving
at	at	at
the	the	the
post	post	post
2015	2015	2015
development	develop	development
agenda	agenda	agenda
is	is	is
Member	member	Member
State	state	State
-led	-led	-led
with	with	with
broad	broad	broad
participation	particip	participation
from	from	from
Major	major	Major
Groups	group	Groups
and	and	and
other	other	other
civil	civil	civil
society	societi	society
stakeholders	stakehold	stakeholder
.	.	.

There	there	There
have	have	have
been	been	been
numerous	numer	numerous
inputs	input	input
to	to	to
the	the	the
agenda	agenda	agenda
,	,	,
notably	notabl	notably
a	a	a
set	set	set
of	of	of
Sustainable	sustain	Sustainable
Development	develop	Development
Goals	goal	Goals
proposed	propos	proposed
by	by	by
an	an	an
open	open	open
working	work	working
group	group	group
of	of	of
the	the	the
General	general	General
Assembly	assembl	Assembly
,	,	,
the	the	the
report	report	report
of	of	of
an	an	an
intergovernmental	intergovernment	intergovernmental
committee	committe	committee
of	of	of
experts	expert	expert
on	on	on
sustainable	sustain	sustainable
development	develop	development
financing	financ	financing
,	,	,
General	general	General
Assembly	assembl	Assembly
dialogues	dialogu	dialogue
on	on	on
technology	technolog	technology
facilitation	facilit	facilitation
and	and	and
many	mani	many
others	other	others
.	.	.

Posted	post	Posted
below	below	below
are	are	are
the	the	the
17	17	17
sustainable	sustain	sustainable
development	develop	development
goals	goal	goal
that	that	that
are	are	are
being	be	being
proposed	propos	proposed
so	so	so
far	far	far
.	.	.

Some	some	Some
of	of	of
them	them	them
seem	seem	seem
quite	quit	quite
reasonable	reason	reasonable
.	.	.

After	after	After
all	all	all
,	,	,
who	who	who
wouldn	wouldn	wouldn
t	t	t
want	want	want
to	to	to
end	end	end
poverty	poverti	poverty
.	.	.

But	but	But
as	as	a
you	you	you
go	go	go
down	down	down
this	this	this
list	list	list
,	,	,
you	you	you
soon	soon	soon
come	come	come
to	to	to
realize	realiz	realize
that	that	that
just	just	just
about	about	about
everything	everyth	everything
is	is	is
involved	involv	involved
in	in	in
some	some	some
way	way	way
.	.	.

In	in	In
other	other	other
words	word	word
,	,	,
this	this	this
truly	truli	truly
is	is	is
a	a	a
template	templat	template
for	for	for
radically	radic	radically
expanded	expand	expanded
global	global	global
governance	govern	governance
.	.	.

Once	onc	Once
again	again	again
,	,	,
this	this	this
was	was	wa
taken	taken	taken
directly	direct	directly
from	from	from
the	the	the
official	offici	official
UN	un	UN
website	websit	website
1	1	1
.	.	.

End	end	End
poverty	poverti	poverty
in	in	in
all	all	all
its	it	it
forms	form	form
everywhere2	everywhere2	everywhere2
.	.	.

End	end	End
hunger	hunger	hunger
,	,	,
achieve	achiev	achieve
food	food	food
security	secur	security
and	and	and
improved	improv	improved
nutrition	nutrit	nutrition
,	,	,
and	and	and
promote	promot	promote
sustainable	sustain	sustainable
agriculture3	agriculture3	agriculture3
.	.	.

Ensure	ensur	Ensure
healthy	healthi	healthy
lives	live	life
and	and	and
promote	promot	promote
wellbeing	wellb	wellbeing
for	for	for
all	all	all
at	at	at
all	all	all
ages4	ages4	ages4
.	.	.

Ensure	ensur	Ensure
inclusive	inclus	inclusive
and	and	and
equitable	equit	equitable
quality	qualiti	quality
education	educ	education
and	and	and
promote	promot	promote
lifelong	lifelong	lifelong
learning	learn	learning
opportunities	opportun	opportunity
for	for	for
all5	all5	all5
.	.	.

Achieve	achiev	Achieve
gender	gender	gender
equality	equal	equality
and	and	and
empower	empow	empower
all	all	all
women	women	woman
and	and	and
girls6	girls6	girls6
.	.	.

Ensure	ensur	Ensure
availability	avail	availability
and	and	and
sustainable	sustain	sustainable
management	manag	management
of	of	of
water	water	water
and	and	and
sanitation	sanit	sanitation
for	for	for
all7	all7	all7
.	.	.

Ensure	ensur	Ensure
access	access	access
to	to	to
affordable	afford	affordable
,	,	,
reliable	reliabl	reliable
,	,	,
sustainable	sustain	sustainable
and	and	and
modern	modern	modern
energy	energi	energy
for	for	for
all8	all8	all8
.	.	.

Promote	promot	Promote
sustained	sustain	sustained
,	,	,
inclusive	inclus	inclusive
and	and	and
sustainable	sustain	sustainable
economic	econom	economic
growth	growth	growth
,	,	,
full	full	full
and	and	and
productive	product	productive
employment	employ	employment
,	,	,
and	and	and
decent	decent	decent
work	work	work
for	for	for
all9	all9	all9
.	.	.

Build	build	Build
resilient	resili	resilient
infrastructure	infrastructur	infrastructure
,	,	,
promote	promot	promote
inclusive	inclus	inclusive
and	and	and
sustainable	sustain	sustainable
industrialisation	industrialis	industrialisation
,	,	,
and	and	and
foster	foster	foster
innovation10	innovation10	innovation10
.	.	.

Reduce	reduc	Reduce
inequality	inequ	inequality
within	within	within
and	and	and
among	among	among
countries11	countries11	countries11
.	.	.

Make	make	Make
cities	citi	city
and	and	and
human	human	human
settlements	settlement	settlement
inclusive	inclus	inclusive
,	,	,
safe	safe	safe
,	,	,
resilient	resili	resilient
and	and	and
sustainable12	sustainable12	sustainable12
.	.	.

Ensure	ensur	Ensure
sustainable	sustain	sustainable
consumption	consumpt	consumption
and	and	and
production	product	production
patterns13	patterns13	patterns13
.	.	.

Take	take	Take
urgent	urgent	urgent
action	action	action
to	to	to
combat	combat	combat
climate	climat	climate
change	chang	change
and	and	and
its	it	it
impacts	impact	impact
taking	take	taking
note	note	note
of	of	of
agreements	agreement	agreement
made	made	made
by	by	by
the	the	the
UNFCCC	unfccc	UNFCCC
forum	forum	forum
14	14	14
.	.	.

Conserve	conserv	Conserve
and	and	and
sustainably	sustain	sustainably
use	use	use
the	the	the
oceans	ocean	ocean
,	,	,
seas	sea	sea
and	and	and
marine	marin	marine
resources	resourc	resource
for	for	for
sustainable	sustain	sustainable
development15	development15	development15
.	.	.

Protect	protect	Protect
,	,	,
restore	restor	restore
and	and	and
promote	promot	promote
sustainable	sustain	sustainable
use	use	use
of	of	of
terrestrial	terrestri	terrestrial
ecosystems	ecosystem	ecosystem
,	,	,
sustainably	sustain	sustainably
manage	manag	manage
forests	forest	forest
,	,	,
combat	combat	combat
desertification	desertif	desertification
and	and	and
halt	halt	halt
and	and	and
reverse	revers	reverse
land	land	land
degradation	degrad	degradation
,	,	,
and	and	and
halt	halt	halt
biodiversity	biodivers	biodiversity
loss16	loss16	loss16
.	.	.

Promote	promot	Promote
peaceful	peac	peaceful
and	and	and
inclusive	inclus	inclusive
societies	societi	society
for	for	for
sustainable	sustain	sustainable
development	develop	development
,	,	,
provide	provid	provide
access	access	access
to	to	to
justice	justic	justice
for	for	for
all	all	all
and	and	and
build	build	build
effective	effect	effective
,	,	,
accountable	account	accountable
and	and	and
inclusive	inclus	inclusive
institutions	institut	institution
at	at	at
all	all	all
levels17	levels17	levels17
.	.	.

Strengthen	strengthen	Strengthen
the	the	the
means	mean	mean
of	of	of
implementation	implement	implementation
and	and	and
revitalise	revitalis	revitalise
the	the	the
global	global	global
partnership	partnership	partnership
for	for	for
sustainable	sustain	sustainable
developmentAs	developmenta	developmentAs
you	you	you
can	can	can
see	see	see
,	,	,
this	this	this
list	list	list
goes	goe	go
far	far	far
beyond	beyond	beyond
saving	save	saving
the	the	the
environment	environ	environment
or	or	or
fighting	fight	fighting
climate	climat	climate
change	chang	change
.	.	.
It	it	It
truly	truli	truly
covers	cover	cover
just	just	just
about	about	about
every	everi	every
realm	realm	realm
of	of	of
human	human	human
activity	activ	activity
.	.	.
Another	anoth	Another
thing	thing	thing
that	that	that
makes	make	make
this	this	this
new	new	new
sustainable	sustain	sustainable
development	develop	development
agenda	agenda	agenda
different	differ	different
is	is	is
the	the	the
unprecedented	unpreced	unprecedented
support	support	support
that	that	that
it	it	it
is	is	is
getting	get	getting
from	from	from
the	the	the
Vatican	vatican	Vatican
and	and	and
from	from	from
Pope	pope	Pope
Francis	franci	Francis
himself	himself	himself
.	.	.
In	in	In
fact	fact	fact
,	,	,
Pope	pope	Pope
Francis	franci	Francis
is	is	is
actually	actual	actually
going	go	going
to	to	to
travel	travel	travel
to	to	to
the	the	the
UN	un	UN
and	and	and
give	give	give
an	an	an
address	address	address
to	to	to
kick	kick	kick
off	off	off
the	the	the
Sustainable	sustain	Sustainable
Development	develop	Development
Summit	summit	Summit
on	on	on
September	septemb	September
25th	25th	25th
His	his	His
Holiness	holi	Holiness
Pope	pope	Pope
Francis	franci	Francis
will	will	will
visit	visit	visit
the	the	the
UN	un	UN
on	on	on
25	25	25
September	septemb	September
2015	2015	2015
,	,	,
and	and	and
give	give	give
an	an	an
address	address	address
to	to	to
the	the	the
UN	un	UN
General	general	General
Assembly	assembl	Assembly
immediately	immedi	immediately
ahead	ahead	ahead
of	of	of
the	the	the
official	offici	official
opening	open	opening
of	of	of
the	the	the
UN	un	UN
Summit	summit	Summit
for	for	for
the	the	the
adoption	adopt	adoption
of	of	of
the	the	the
post	post	post
-2015	-2015	-2015
development	develop	development
agenda	agenda	agenda
.	.	.

This	this	This
Pope	pope	Pope
has	has	ha
been	been	been
very	veri	very
open	open	open
about	about	about
his	his	his
belief	belief	belief
that	that	that
climate	climat	climate
change	chang	change
is	is	is
one	one	one
of	of	of
the	the	the
greatest	greatest	greatest
dangers	danger	danger
currently	current	currently
facing	face	facing
our	our	our
world	world	world
.	.	.

Just	just	Just
a	a	a
couple	coupl	couple
of	of	of
weeks	week	week
ago	ago	ago
,	,	,
he	he	he
actually	actual	actually
brought	brought	brought
UN	un	UN
Secretary	secretari	Secretary
General	general	General
Ban	ban	Ban
Ki	ki	Ki
-moon	-moon	-moon
to	to	to
the	the	the
Vatican	vatican	Vatican
to	to	to
speak	speak	speak
about	about	about
climate	climat	climate
change	chang	change
and	and	and
sustainable	sustain	sustainable
development	develop	development
.	.	.

Here	here	Here
is	is	is
a	a	a
summary	summari	summary
of	of	of
what	what	what
happened	happen	happened
On	on	On
28	28	28
April	april	April
,	,	,
the	the	the
Secretary	secretari	Secretary
-General	-gener	-General
met	met	met
with	with	with
His	his	His
Holiness	holi	Holiness
Pope	pope	Pope
Francis	franci	Francis
at	at	at
the	the	the
Vatican	vatican	Vatican
and	and	and
later	later	later
addressed	address	addressed
senior	senior	senior
religious	religi	religious
leaders	leader	leader
,	,	,
along	along	along
with	with	with
the	the	the
Presidents	presid	Presidents
of	of	of
Italy	itali	Italy
and	and	and
Ecuador	ecuador	Ecuador
,	,	,
Nobel	nobel	Nobel
laureates	laureat	laureate
and	and	and
leading	lead	leading
scientists	scientist	scientist
on	on	on
climate	climat	climate
change	chang	change
and	and	and
sustainable	sustain	sustainable
development	develop	development
.	.	.
Amidst	amidst	Amidst
an	an	an
unusually	unusu	unusually
heavy	heavi	heavy
rainstorm	rainstorm	rainstorm
in	in	in
Rome	rome	Rome
,	,	,
participants	particip	participant
at	at	at
the	the	the
historic	histor	historic
meeting	meet	meeting
gathered	gather	gathered
within	within	within
the	the	the
ancient	ancient	ancient
Vatican	vatican	Vatican
compound	compound	compound
to	to	to
discuss	discuss	discus
what	what	what
the	the	the
Secretary	secretari	Secretary
-General	-gener	-General
has	has	ha
called	call	called
the	the	the
defining	defin	defining
challenge	challeng	challenge
of	of	of
our	our	our
time	time	time
.	.	.

The	the	The
mere	mere	mere
fact	fact	fact
that	that	that
a	a	a
meeting	meet	meeting
took	took	took
place	place	place
between	between	between
the	the	the
religious	religi	religious
and	and	and
scientific	scientif	scientific
communities	communiti	community
on	on	on
climate	climat	climate
change	chang	change
was	was	wa
itself	itself	itself
newsworthy	newsworthi	newsworthy
.	.	.

That	that	That
it	it	it
took	took	took
place	place	place
at	at	at
the	the	the
Vatican	vatican	Vatican
,	,	,
was	was	wa
hosted	host	hosted
by	by	by
the	the	the
Pontifical	pontif	Pontifical
Academy	academi	Academy
of	of	of
Sciences	scienc	Sciences
,	,	,
and	and	and
featured	featur	featured
the	the	the
Secretary	secretari	Secretary
-General	-gener	-General
as	as	a
the	the	the
keynote	keynot	keynote
speaker	speaker	speaker
was	was	wa
all	all	all
the	the	the
more	more	more
striking	strike	striking
.	.	.

In	in	In
addition	addit	addition
,	,	,
Pope	pope	Pope
Francis	franci	Francis
is	is	is
scheduled	schedul	scheduled
to	to	to
release	releas	release
a	a	a
major	major	major
encyclical	encycl	encyclical
this	this	this
summer	summer	summer
which	which	which
will	will	will
be	be	be
primarily	primarili	primarily
focused	focus	focused
on	on	on
the	the	the
environment	environ	environment
and	and	and
climate	climat	climate
change	chang	change
.	.	.

The	the	The
following	follow	following
comes	come	come
from	from	from
the	the	the
New	new	New
York	york	York
Times	time	Times
The	the	The
much	much	much
-anticipated	-anticip	-anticipated
environmental	environment	environmental
encyclical	encycl	encyclical
that	that	that
Pope	pope	Pope
Francis	franci	Francis
plans	plan	plan
to	to	to
issue	issu	issue
this	this	this
summer	summer	summer
is	is	is
already	alreadi	already
being	be	being
translated	translat	translated
into	into	into
the	the	the
world	world	world
s	s	s
major	major	major
languages	languag	language
from	from	from
the	the	the
Latin	latin	Latin
final	final	final
draft	draft	draft
,	,	,
so	so	so
there	there	there
s	s	s
no	no	no
more	more	more
tweaking	tweak	tweaking
to	to	to
be	be	be
done	done	done
,	,	,
several	sever	several
people	peopl	people
close	close	close
to	to	to
the	the	the
process	process	process
have	have	have
told	told	told
me	me	me
in	in	in
recent	recent	recent
weeks	week	week
.	.	.

I	i	I
think	think	think
that	that	that
we	we	we
can	can	can
get	get	get
a	a	a
good	good	good
idea	idea	idea
of	of	of
the	the	the
kind	kind	kind
of	of	of
language	languag	language
that	that	that
we	we	we
will	will	will
see	see	see
in	in	in
this	this	this
encyclical	encycl	encyclical
from	from	from
another	anoth	another
Vatican	vatican	Vatican
document	document	document
which	which	which
was	was	wa
recently	recent	recently
released	releas	released
.	.	.

It	it	It
is	is	is
entitled	entitl	entitled
Climate	climat	Climate
Change	chang	Change
and	and	and
The	the	The
Common	common	Common
Good	good	Good
,	,	,
and	and	and
it	it	it
was	was	wa
produced	produc	produced
by	by	by
the	the	the
Pontifical	pontif	Pontifical
Academy	academi	Academy
of	of	of
Sciences	scienc	Sciences
and	and	and
the	the	the
Pontifical	pontif	Pontifical
Academy	academi	Academy
of	of	of
Social	social	Social
Sciences	scienc	Sciences
.	.	.

The	the	The
following	follow	following
is	is	is
a	a	a
brief	brief	brief
excerpt	excerpt	excerpt
Unsustainable	unsustain	Unsustainable
consumption	consumpt	consumption
coupled	coupl	coupled
with	with	with
a	a	a
record	record	record
human	human	human
population	popul	population
and	and	and
the	the	the
uses	use	us
of	of	of
inappropriate	inappropri	inappropriate
technologies	technolog	technology
are	are	are
causally	causal	causally
linked	link	linked
with	with	with
the	the	the
destruction	destruct	destruction
of	of	of
the	the	the
world	world	world
s	s	s
sustainability	sustain	sustainability
and	and	and
resilience	resili	resilience
.	.	.

Widening	widen	Widening
inequalities	inequ	inequality
of	of	of
wealth	wealth	wealth
and	and	and
income	incom	income
,	,	,
the	the	the
world	world	world
-wide	-wide	-wide
disruption	disrupt	disruption
of	of	of
the	the	the
physical	physic	physical
climate	climat	climate
system	system	system
and	and	and
the	the	the
loss	loss	loss
of	of	of
millions	million	million
of	of	of
species	speci	specie
that	that	that
sustain	sustain	sustain
life	life	life
are	are	are
the	the	the
grossest	grossest	grossest
manifestations	manifest	manifestation
of	of	of
unsustainability	unsustain	unsustainability
.	.	.

The	the	The
continued	continu	continued
extraction	extract	extraction
of	of	of
coal	coal	coal
,	,	,
oil	oil	oil
and	and	and
gas	gas	gas
following	follow	following
the	the	the
business	busi	business
-as-usual	-as-usu	-as-usual
mode	mode	mode
will	will	will
soon	soon	soon
create	creat	create
grave	grave	grave
existential	existenti	existential
risks	risk	risk
for	for	for
the	the	the
poorest	poorest	poorest
three	three	three
billion	billion	billion
,	,	,
and	and	and
for	for	for
generations	generat	generation
yet	yet	yet
unborn	unborn	unborn
.	.	.

Climate	climat	Climate
change	chang	change
resulting	result	resulting
largely	larg	largely
from	from	from
unsustainable	unsustain	unsustainable
consumption	consumpt	consumption
by	by	by
about	about	about
15	15	15
of	of	of
the	the	the
world	world	world
s	s	s
population	popul	population
has	has	ha
become	becom	become
a	a	a
dominant	domin	dominant
moral	moral	moral
and	and	and
ethical	ethic	ethical
issue	issu	issue
for	for	for
society	societi	society
.	.	.

There	there	There
is	is	is
still	still	still
time	time	time
to	to	to
mitigate	mitig	mitigate
unmanageable	unmanag	unmanageable
climate	climat	climate
changes	chang	change
and	and	and
repair	repair	repair
ecosystem	ecosystem	ecosystem
damages	damag	damage
,	,	,
provided	provid	provided
we	we	we
reorient	reorient	reorient
our	our	our
attitude	attitud	attitude
toward	toward	toward
nature	natur	nature
and	and	and
,	,	,
thereby	therebi	thereby
,	,	,
toward	toward	toward
ourselves	ourselv	ourselves
.	.	.

Climate	climat	Climate
change	chang	change
is	is	is
a	a	a
global	global	global
problem	problem	problem
whose	whose	whose
solution	solut	solution
will	will	will
depend	depend	depend
on	on	on
our	our	our
stepping	step	stepping
beyond	beyond	beyond
national	nation	national
affiliations	affili	affiliation
and	and	and
coming	come	coming
together	togeth	together
for	for	for
the	the	the
common	common	common
good	good	good
.	.	.

Such	such	Such
transformational	transform	transformational
changes	chang	change
in	in	in
attitudes	attitud	attitude
would	would	would
help	help	help
foster	foster	foster
the	the	the
necessary	necessari	necessary
institutional	institut	institutional
reforms	reform	reform
and	and	and
technological	technolog	technological
innovations	innov	innovation
for	for	for
providing	provid	providing
the	the	the
energy	energi	energy
sources	sourc	source
that	that	that
have	have	have
negligible	neglig	negligible
effect	effect	effect
on	on	on
global	global	global
climate	climat	climate
,	,	,
atmospheric	atmospher	atmospheric
pollution	pollut	pollution
and	and	and
eco	eco	eco
-systems	-system	-systems
,	,	,
thus	thus	thus
protecting	protect	protecting
generations	generat	generation
yet	yet	yet
to	to	to
be	be	be
born	born	born
.	.	.

Religious	religi	Religious
institutions	institut	institution
can	can	can
and	and	and
should	should	should
take	take	take
the	the	the
lead	lead	lead
in	in	in
bringing	bring	bringing
about	about	about
that	that	that
change	chang	change
in	in	in
attitude	attitud	attitude
towards	toward	towards
Creation	creation	Creation
.	.	.
Read	read	Read
more	more	more
Zero	zero	Zero
Hedge	hedg	Hedge

