U	u	U
decency	decenc	decency
in	in	in
how	how	how
you	you	you
discuss	discuss	discus
those	those	those
whom	whom	whom
you	you	you
want	want	want
to	to	to
criticize	critic	criticize
,	,	,
especially	especi	especially
when	when	when
it	it	it
s	s	s
the	the	the
president	presid	president
of	of	of
the	the	the
United	unit	United
States	state	States
.	.	.
Waters	water	Waters
alleged	alleg	alleged
she	she	she
s	s	s
been	been	been
extremely	extrem	extremely
responsible	respons	responsible
in	in	in
laying	lay	laying
out	out	out
the	the	the
case	case	case
for	for	for
why	whi	why
this	this	this
president	presid	president
should	should	should
be	be	be
impeached	impeach	impeached
.	.	.
The	the	The
problem	problem	problem
is	is	is
racists	racist	racist
,	,	,
she	she	she
said	said	said
.	.	.
I	i	I
know	know	know
that	that	that
the	the	the
right	right	right
wing	wing	wing
,	,	,
the	the	the
white	white	white
nationalists	nationalist	nationalist
,	,	,
all	all	all
of	of	of
those	those	those
who	who	who
have	have	have
organized	organ	organized
around	around	around
this	this	this
president	presid	president
,	,	,
do	do	do
not	not	not
like	like	like
this	this	this
.	.	.
And	and	And
people	peopl	people
are	are	are
not	not	not
accustomed	accustom	accustomed
to	to	to
a	a	a
woman	woman	woman
,	,	,
in	in	in
particular	particular	particular
an	an	an
African	african	African
American	american	American
woman	woman	woman
,	,	,
taking	take	taking
this	this	this
kind	kind	kind
of	of	of
leadership	leadership	leadership
,	,	,
she	she	she
said	said	said
.	.	.
How	how	How
dare	dare	dare
me	me	me
challenge	challeng	challenge
the	the	the
president	presid	president
of	of	of
the	the	the
United	unit	United
States	state	States
,	,	,
but	but	but
we	we	we
have	have	have
never	never	never
witnessed	wit	witnessed
a	a	a
president	presid	president
who	who	who
has	has	ha
been	been	been
as	as	a
irresponsible	irrespons	irresponsible
and	and	and
as	as	a
dangerous	danger	dangerous
as	as	a
this	this	this
president	presid	president
.	.	.
And	and	And
I	i	I
think	think	think
that	that	that
we	we	we
need	need	need
to	to	to
step	step	step
up	up	up
to	to	to
the	the	the
plate	plate	plate
and	and	and
tell	tell	tell
the	the	the
truth	truth	truth
and	and	and
speak	speak	speak
truth	truth	truth
to	to	to
power	power	power
and	and	and
that	that	that
s	s	s
what	what	what
I	i	I
m	m	m
doing	do	doing
and	and	and
that	that	that
s	s	s
what	what	what
I	i	I
m	m	m
going	go	going
to	to	to
continue	continu	continue
to	to	to
do	do	do
.	.	.
Waters	water	Waters
has	has	ha
used	use	used
every	everi	every
platform	platform	platform
available	avail	available
to	to	to
her	her	her
to	to	to
continue	continu	continue
her	her	her
crusade	crusad	crusade
against	against	against
President	presid	President
Trump	trump	Trump
It	it	It
s	s	s
only	onli	only
making	make	making
her	her	her
look	look	look
totally	total	totally
unhinged	unhing	unhinged
.	.	.
