Conservative	conserv	Conservative
Democrats	democrat	Democrats
decided	decid	decided
to	to	to
destroy	destroy	destroy
the	the	the
CIA	cia	CIA
after	after	after
Watergate	waterg	Watergate
.	.	.
Seriously	serious	Seriously
.	.	.
This	this	This
woman	woman	woman
thinks	think	think
that	that	that
because	becaus	because
the	the	the
CIA	cia	CIA
called	call	called
out	out	out
Russia	russia	Russia
for	for	for
their	their	their
blatant	blatant	blatant
meddling	meddl	meddling
in	in	in
our	our	our
election	elect	election
,	,	,
we	we	we
should	should	should
just	just	just
get	get	get
rid	rid	rid
of	of	of
the	the	the
entire	entir	entire
agency	agenc	agency
completely	complet	completely
.	.	.
And	and	And
,	,	,
of	of	of
course	cours	course
,	,	,
it	it	it
s	s	s
all	all	all
the	the	the
Democrats	democrat	Democrats
fault	fault	fault
.	.	.
Naturally	natur	Naturally
.	.	.
The	the	The
CIA	cia	CIA
busted	bust	busted
Trump	trump	Trump
s	s	s
buddy	buddi	buddy
Putin	putin	Putin
interfering	interf	interfering
in	in	in
our	our	our
presidential	presidenti	presidential
election	elect	election
,	,	,
on	on	on
Trump	trump	Trump
s	s	s
behalf	behalf	behalf
,	,	,
and	and	and
this	this	this
is	is	is
her	her	her
response	respons	response
.	.	.
You	you	You
really	realli	really
do	do	do
just	just	just
have	have	have
to	to	to
take	take	take
a	a	a
step	step	step
back	back	back
and	and	and
marvel	marvel	marvel
at	at	at
the	the	the
mental	mental	mental
gymnastics	gymnast	gymnastics
at	at	at
play	play	play
here	here	here
.	.	.
You	you	You
can	can	can
listen	listen	listen
to	to	to
the	the	the
interview	interview	interview
here	here	here
,	,	,
via	via	via
Media	media	Media
Matters	matter	Matters
Featured	featur	Featured
image	imag	image
via	via	via
Alberto	alberto	Alberto
E	e	E
.	.	.
Rodriguez	rodriguez	Rodriguez
Getty	getti	Getty
Images	imag	Images
