Would	would	Would
WaPo	wapo	WaPo
corrected	correct	corrected
the	the	the
record	record	record
A	a	A
2016	2016	2016
email	email	email
sent	sent	sent
to	to	to
President	presid	President
Trump	trump	Trump
and	and	and
top	top	top
aides	aid	aide
pointed	point	pointed
the	the	the
campaign	campaign	campaign
to	to	to
hacked	hack	hacked
documents	document	document
from	from	from
the	the	the
Democratic	democrat	Democratic
National	nation	National
Committee	committe	Committee
that	that	that
had	had	had
already	alreadi	already
been	been	been
made	made	made
public	public	public
by	by	by
the	the	the
group	group	group
WikiLeaks	wikileak	WikiLeaks
a	a	a
day	day	day
earlier	earlier	earlier
.	.	.
The	the	The
email	email	email
sent	sent	sent
the	the	the
afternoon	afternoon	afternoon
of	of	of
Sept	sept	Sept
.	.	.

14	14	14
,	,	,
2016	2016	2016
noted	note	noted
that	that	that
Wikileaks	wikileak	Wikileaks
has	has	ha
uploaded	upload	uploaded
another	anoth	another
huge	huge	huge
678	678	678
mb	mb	mb
archive	archiv	archive
of	of	of
files	file	file
from	from	from
the	the	the
DNC	dnc	DNC
and	and	and
included	includ	included
a	a	a
link	link	link
and	and	and
a	a	a
decryption	decrypt	decryption
key	key	key
,	,	,
according	accord	according
to	to	to
a	a	a
copy	copi	copy
obtained	obtain	obtained
by	by	by
The	the	The
Washington	washington	Washington
Post	post	Post
.	.	.
The	the	The
writer	writer	writer
,	,	,
who	who	who
said	said	said
his	his	his
name	name	name
was	was	wa
Michael	michael	Michael
J	j	J
.	.	.

Erickson	erickson	Erickson
and	and	and
described	describ	described
himself	himself	himself
as	as	a
the	the	the
president	presid	president
of	of	of
an	an	an
aviation	aviat	aviation
management	manag	management
company	compani	company
,	,	,
sent	sent	sent
the	the	the
message	messag	message
to	to	to
the	the	the
then	then	then
-Republican	-republican	-Republican
nominee	nomine	nominee
as	as	a
well	well	well
as	as	a
his	his	his
eldest	eldest	eldest
son	son	son
,	,	,
Donald	donald	Donald
Trump	trump	Trump
Jr	jr	Jr
.	.	.
,	,	,
and	and	and
other	other	other
top	top	top
advisers	advis	adviser
.	.	.
Legal	legal	Legal
Insurrection	insurrect	Insurrection
tweeted	tweet	tweeted
about	about	about
CNN	cnn	CNN
s	s	s
latest	latest	latest
VeryFakeNews	veryfakenew	VeryFakeNews
story	stori	story
Washington	washington	Washington
Post	post	Post
proving	prove	proving
that	that	that
CNN	cnn	CNN
scoop	scoop	scoop
was	was	wa
fake	fake	fake
news	news	news
.	.	.

Happy	happi	Happy
Friday	friday	Friday
!	!	!

https://t.co/GHfZdRf9Zv	https://t.co/ghfzdrf9zv	https://t.co/GHfZdRf9Zv
Legal	legal	Legal
Insurrection	insurrect	Insurrection
@LegInsurrection	@leginsurrect	@LegInsurrection
December	decemb	December
8	8	8
,	,	,
2017	2017	2017

