Beginning	begin	Beginning
as	as	a
a	a	a
registered	regist	registered
voter	voter	voter
.	.	.
As	as	As
we	we	we
get	get	get
closer	closer	closer
to	to	to
the	the	the
general	general	general
election	elect	election
,	,	,
republicans	republican	republican
will	will	will
step	step	step
up	up	up
their	their	their
efforts	effort	effort
to	to	to
disenfranchise	disenfranchis	disenfranchise
as	as	a
many	mani	many
democratic	democrat	democratic
voters	voter	voter
as	as	a
possible	possibl	possible
.	.	.
Lee	lee	Lee
Camp	camp	Camp
s	s	s
third	third	third
video	video	video
in	in	in
the	the	the
series	seri	series
Seven	seven	Seven
Ways	way	Ways
To	to	To
Beat	beat	Beat
The	the	The
Ballot	ballot	Ballot
Bandits	bandit	Bandits
drives	drive	drive
the	the	the
point	point	point
home	home	home
Go	go	Go
here	here	here
to	to	to
find	find	find
out	out	out
what	what	what
else	els	else
you	you	you
can	can	can
do	do	do
to	to	to
preserve	preserv	preserve
and	and	and
protect	protect	protect
your	your	your
vote	vote	vote
.	.	.
Image	imag	Image
credit	credit	credit
video	video	video
screen	screen	screen
capture	captur	capture
via	via	via
Greg	greg	Greg
Palast	palast	Palast
on	on	on
youtube	youtub	youtube
