Margaret	margaret	Margaret
management	manag	management
.	.	.
She	she	She
also	also	also
took	took	took
a	a	a
photo	photo	photo
,	,	,
uploading	upload	uploading
it	it	it
to	to	to
social	social	social
media	media	medium
.	.	.
The	the	The
public	public	public
backlash	backlash	backlash
that	that	that
followed	follow	followed
prompted	prompt	prompted
a	a	a
quick	quick	quick
response	respons	response
from	from	from
the	the	the
Red	red	Red
Cross	cross	Cross
The	the	The
American	american	American
Red	red	Red
Cross	cross	Cross
appreciates	appreci	appreciates
and	and	and
is	is	is
sensitive	sensit	sensitive
to	to	to
the	the	the
concerns	concern	concern
raised	rais	raised
regarding	regard	regarding
one	one	one
of	of	of
the	the	the
water	water	water
safety	safeti	safety
posters	poster	poster
we	we	we
produced	produc	produced
.	.	.
We	we	We
deeply	deepli	deeply
apologize	apolog	apologize
for	for	for
any	ani	any
misunderstanding	misunderstand	misunderstanding
,	,	,
as	as	a
it	it	it
was	was	wa
absolutely	absolut	absolutely
not	not	not
our	our	our
intent	intent	intent
to	to	to
offend	offend	offend
anyone	anyon	anyone
.	.	.
As	as	As
one	one	one
of	of	of
the	the	the
nation	nation	nation
s	s	s
oldest	oldest	oldest
and	and	and
largest	largest	largest
humanitarian	humanitarian	humanitarian
organizations	organ	organization
,	,	,
we	we	we
are	are	are
committed	commit	committed
to	to	to
diversity	divers	diversity
and	and	and
inclusion	inclus	inclusion
in	in	in
all	all	all
that	that	that
we	we	we
do	do	do
,	,	,
every	everi	every
day	day	day
.	.	.
The	the	The
organization	organ	organization
went	went	went
on	on	on
to	to	to
say	say	say
Going	go	Going
forward	forward	forward
,	,	,
we	we	we
are	are	are
developing	develop	developing
more	more	more
appropriate	appropri	appropriate
materials	materi	material
that	that	that
are	are	are
more	more	more
representative	repres	representative
of	of	of
our	our	our
workforce	workforc	workforce
and	and	and
the	the	the
communities	communiti	community
we	we	we
serve	serv	serve
.	.	.
The	the	The
Red	red	Red
Cross	cross	Cross
says	say	say
it	it	it
has	has	ha
removed	remov	removed
the	the	the
poster	poster	poster
from	from	from
its	it	it
website	websit	website
and	and	and
notified	notifi	notified
its	it	it
aquatic	aquat	aquatic
partner	partner	partner
facilities	facil	facility
to	to	to
take	take	take
it	it	it
down	down	down
.	.	.
Sawyer	sawyer	Sawyer
,	,	,
a	a	a
mother	mother	mother
of	of	of
two	two	two
,	,	,
says	say	say
the	the	the
apology	apolog	apology
isn	isn	isn
t	t	t
enough	enough	enough
.	.	.
She	she	She
is	is	is
calling	call	calling
on	on	on
the	the	the
Red	red	Red
Cross	cross	Cross
to	to	to
partner	partner	partner
with	with	with
organizations	organ	organization
like	like	like
Black	black	Black
Kids	kid	Kids
Swim	swim	Swim
,	,	,
as	as	a
well	well	well
as	as	a
groups	group	group
that	that	that
advocate	advoc	advocate
for	for	for
people	peopl	people
of	of	of
color	color	color
.	.	.
Sawyer	sawyer	Sawyer
is	is	is
also	also	also
calling	call	calling
on	on	on
the	the	the
public	public	public
to	to	to
write	write	write
letters	letter	letter
expressing	express	expressing
their	their	their
concerns	concern	concern
to	to	to
the	the	the
American	american	American
Red	red	Red
Cross	cross	Cross
.	.	.
During	dure	During
an	an	an
interview	interview	interview
with	with	with
NBC	nbc	NBC
,	,	,
Sawyer	sawyer	Sawyer
said	said	said
I	i	I
think	think	think
it	it	it
s	s	s
really	realli	really
important	import	important
to	to	to
think	think	think
about	about	about
the	the	the
messages	messag	message
that	that	that
we	we	we
re	re	re
sending	send	sending
kids	kid	kid
.	.	.
I	i	I
ask	ask	ask
for	for	for
all	all	all
of	of	of
us	us	u
to	to	to
take	take	take
that	that	that
job	job	job
on	on	on
.	.	.
Image	imag	Image
credit	credit	credit
John	john	John
Sawyer	sawyer	Sawyer
via	via	via
Twitter	twitter	Twitter
