Many	mani	Many
a	a	a
statement	statement	statement
that	that	that
was	was	wa
clearly	clear	clearly
directed	direct	directed
at	at	at
Trump	trump	Trump
,	,	,
Obama	obama	Obama
said	said	said
The	the	The
statements	statement	statement
tell	tell	tell
us	us	u
that	that	that
the	the	the
person	person	person
who	who	who
made	made	made
the	the	the
statements	statement	statement
doesn	doesn	doesn
t	t	t
know	know	know
much	much	much
about	about	about
foreign	foreign	foreign
policy	polici	policy
,	,	,
nuclear	nuclear	nuclear
policy	polici	policy
,	,	,
the	the	the
Korean	korean	Korean
peninsula	peninsula	peninsula
or	or	or
the	the	the
world	world	world
generally	general	generally
.	.	.

You	you	You
can	can	can
watch	watch	watch
that	that	that
diss	diss	dis
below	below	below
Noting	note	Noting
that	that	that
the	the	the
rest	rest	rest
of	of	of
the	the	the
world	world	world
was	was	wa
closely	close	closely
watching	watch	watching
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
election	elect	election
,	,	,
Obama	obama	Obama
added	ad	added
What	what	What
we	we	we
do	do	do
is	is	is
really	realli	really
important	import	important
to	to	to
the	the	the
rest	rest	rest
of	of	of
the	the	the
world	world	world
.	.	.

The	the	The
president	presid	president
of	of	of
the	the	the
United	unit	United
States	state	States
needs	need	need
to	to	to
know	know	know
what	what	what
s	s	s
going	go	going
on	on	on
around	around	around
the	the	the
world	world	world
.	.	.

Honestly	honest	Honestly
,	,	,
it	it	it
doesn	doesn	doesn
t	t	t
matter	matter	matter
who	who	who
would	would	would
be	be	be
Trump	trump	Trump
s	s	s
VP	vp	VP
he	he	he
s	s	s
proven	proven	proven
time	time	time
and	and	and
time	time	time
again	again	again
that	that	that
he	he	he
doesn	doesn	doesn
t	t	t
listen	listen	listen
to	to	to
anyone	anyon	anyone
but	but	but
himself	himself	himself
.	.	.

The	the	The
only	onli	only
way	way	way
to	to	to
keep	keep	keep
this	this	this
country	countri	country
safe	safe	safe
from	from	from
Trump	trump	Trump
s	s	s
idiocy	idioci	idiocy
is	is	is
to	to	to
make	make	make
sure	sure	sure
he	he	he
doesn	doesn	doesn
t	t	t
get	get	get
into	into	into
the	the	the
White	white	White
House	hous	House
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
Alex	alex	Alex
Wong	wong	Wong
Getty	getti	Getty
Images	imag	Images

