Once	onc	Once
If	if	If
the	the	the
only	onli	only
job	job	job
a	a	a
poor	poor	poor
person	person	person
can	can	can
find	find	find
is	is	is
miles	mile	mile
away	away	away
,	,	,
how	how	how
the	the	the
hell	hell	hell
are	are	are
they	they	they
supposed	suppos	supposed
to	to	to
get	get	get
to	to	to
work	work	work
on	on	on
time	time	time
every	everi	every
day	day	day
to	to	to
fulfill	fulfil	fulfill
the	the	the
requirements	requir	requirement
Alabama	alabama	Alabama
Republicans	republican	Republicans
are	are	are
forcing	forc	forcing
upon	upon	upon
them	them	them
,	,	,
especially	especi	especially
if	if	if
they	they	they
live	live	live
in	in	in
a	a	a
rural	rural	rural
area	area	area
where	where	where
there	there	there
is	is	is
no	no	no
public	public	public
transportation	transport	transportation
?	?	?

And	and	And
what	what	what
if	if	if
you	you	you
re	re	re
family	famili	family
is	is	is
so	so	so
poor	poor	poor
that	that	that
your	your	your
car	car	car
IS	is	IS
your	your	your
home	home	home
?	?	?

Then	then	Then
Republicans	republican	Republicans
would	would	would
be	be	be
forcing	forc	forcing
families	famili	family
to	to	to
choose	choos	choose
between	between	between
food	food	food
and	and	and
shelter	shelter	shelter
.	.	.
That	that	That
s	s	s
the	the	the
precise	precis	precise
reason	reason	reason
why	whi	why
Democratic	democrat	Democratic
state	state	state
Senator	senat	Senator
Rodger	rodger	Rodger
Smitherman	smitherman	Smitherman
blasted	blast	blasted
the	the	the
bill	bill	bill
and	and	and
sponsor	sponsor	sponsor
GOP	gop	GOP
state	state	state
Senator	senat	Senator
Arthur	arthur	Arthur
Orr	orr	Orr
during	dure	during
the	the	the
committee	committe	committee
vote	vote	vote
last	last	last
Wednesday	wednesday	Wednesday
.	.	.

I	i	I
m	m	m
going	go	going
to	to	to
do	do	do
whatever	whatev	whatever
I	i	I
can	can	can
to	to	to
stop	stop	stop
this	this	this
,	,	,
Smitherman	smitherman	Smitherman
angrily	angrili	angrily
declared	declar	declared
.	.	.

I	i	I
am	am	am
not	not	not
going	go	going
to	to	to
let	let	let
you	you	you
do	do	do
this	this	this
to	to	to
these	these	these
people	peopl	people
.	.	.

I	i	I
am	am	am
not	not	not
going	go	going
to	to	to
let	let	let
people	peopl	people
starve	starv	starve
.	.	.

There	there	There
s	s	s
no	no	no
provisions	provis	provision
in	in	in
there	there	there
that	that	that
guarantee	guarante	guarantee
employment	employ	employment
if	if	if
you	you	you
go	go	go
through	through	through
those	those	those
steps	step	step
.	.	.

The	the	The
committee	committe	committee
passed	pass	passed
the	the	the
bill	bill	bill
by	by	by
a	a	a
10	10	10
-3	-3	-3
vote	vote	vote
and	and	and
it	it	it
will	will	will
now	now	now
go	go	go
to	to	to
a	a	a
full	full	full
vote	vote	vote
in	in	in
the	the	the
Senate	senat	Senate
where	where	where
it	it	it
is	is	is
likely	like	likely
to	to	to
pass	pass	pas
the	the	the
GOP	gop	GOP
-dominated	-domin	-dominated
body	bodi	body
and	and	and
could	could	could
very	veri	very
well	well	well
become	becom	become
law	law	law
if	if	if
the	the	the
Republican	republican	Republican
-controlled	-control	-controlled
House	hous	House
passes	pass	pass
it	it	it
as	as	a
well	well	well
and	and	and
the	the	the
Republican	republican	Republican
governor	governor	governor
signs	sign	sign
it	it	it
.	.	.
And	and	And
once	onc	once
it	it	it
becomes	becom	becomes
law	law	law
,	,	,
children	children	child
are	are	are
going	go	going
to	to	to
be	be	be
the	the	the
ones	one	one
who	who	who
feel	feel	feel
the	the	the
hunger	hunger	hunger
pangs	pang	pang
the	the	the
most	most	most
since	sinc	since
77	77	77
percent	percent	percent
of	of	of
TANF	tanf	TANF
recipients	recipi	recipient
in	in	in
the	the	the
state	state	state
are	are	are
kids	kid	kid
,	,	,
giving	give	giving
further	further	further
credence	credenc	credence
to	to	to
the	the	the
charge	charg	charge
that	that	that
Republicans	republican	Republicans
only	onli	only
care	care	care
about	about	about
children	children	child
until	until	until
after	after	after
they	they	they
are	are	are
born	born	born
.	.	.
The	the	The
Republican	republican	Republican
war	war	war
against	against	against
the	the	the
poor	poor	poor
continues	continu	continues
on	on	on
.	.	.
Featured	featur	Featured
image	imag	image
Children	children	Children
s	s	s
Defense	defens	Defense
Fund	fund	Fund

