Sam	sam	Sam
tax	tax	tax
money	money	money
to	to	to
a	a	a
government	govern	government
that	that	that
actively	activ	actively
works	work	work
against	against	against
needs	need	need
of	of	of
its	it	it
citizens	citizen	citizen
We	we	We
take	take	take
care	care	care
of	of	of
people	peopl	people
here	here	here
and	and	and
that	that	that
is	is	is
exactly	exact	exactly
the	the	the
opposite	opposit	opposite
of	of	of
what	what	what
is	is	is
occurring	occur	occurring
.	.	.
The	the	The
funding	fund	funding
problems	problem	problem
have	have	have
led	led	led
to	to	to
the	the	the
closure	closur	closure
of	of	of
a	a	a
mental	mental	mental
health	health	health
hospital	hospit	hospital
and	and	and
a	a	a
state	state	state
rehab	rehab	rehab
office	offic	office
for	for	for
the	the	the
disabled	disabl	disabled
,	,	,
not	not	not
to	to	to
mention	mention	mention
what	what	what
s	s	s
happening	happen	happening
with	with	with
the	the	the
school	school	school
system	system	system
there	there	there
.	.	.
Brownback	brownback	Brownback
s	s	s
spokesperson	spokesperson	spokesperson
said	said	said
that	that	that
his	his	his
policies	polici	policy
have	have	have
led	led	led
to	to	to
five	five	five
straight	straight	straight
years	year	year
of	of	of
business	busi	business
growth	growth	growth
,	,	,
and	and	and
yet	yet	yet
,	,	,
the	the	the
state	state	state
is	is	is
floundering	flounder	floundering
horrifically	horrif	horrifically
.	.	.
Brownback	brownback	Brownback
and	and	and
the	the	the
Republicans	republican	Republicans
in	in	in
the	the	the
state	state	state
legislature	legislatur	legislature
don	don	don
t	t	t
seem	seem	seem
to	to	to
realize	realiz	realize
that	that	that
cutting	cut	cutting
taxes	tax	tax
means	mean	mean
taxes	tax	tax
get	get	get
cut	cut	cut
,	,	,
which	which	which
causes	caus	cause
budget	budget	budget
shortfalls	shortfal	shortfall
,	,	,
which	which	which
snowballs	snowbal	snowball
into	into	into
a	a	a
bankrupt	bankrupt	bankrupt
state	state	state
if	if	if
it	it	it
s	s	s
not	not	not
quickly	quick	quickly
addressed	address	addressed
.	.	.
Back	back	Back
in	in	in
November	novemb	November
,	,	,
Kansas	kansa	Kansas
was	was	wa
looking	look	looking
at	at	at
having	have	having
a	a	a
whopping	whop	whopping
5	5	5
.	.	.
6	6	6
million	million	million
in	in	in
cash	cash	cash
reserves	reserv	reserve
.	.	.
In	in	In
other	other	other
words	word	word
,	,	,
peanuts	peanut	peanut
,	,	,
because	becaus	because
the	the	the
projected	project	projected
tax	tax	tax
revenue	revenu	revenue
just	just	just
wasn	wasn	wasn
t	t	t
there	there	there
.	.	.
The	the	The
Save	save	Save
Kansas	kansa	Kansas
Coalition	coalit	Coalition
wants	want	want
people	peopl	people
to	to	to
be	be	be
aware	awar	aware
of	of	of
how	how	how
serious	serious	serious
their	their	their
votes	vote	vote
are	are	are
.	.	.
Brownback	brownback	Brownback
and	and	and
company	compani	company
didn	didn	didn
t	t	t
get	get	get
into	into	into
office	offic	office
by	by	by
accident	accid	accident
the	the	the
people	peopl	people
of	of	of
Kansas	kansa	Kansas
voted	vote	voted
for	for	for
these	these	these
policies	polici	policy
.	.	.
If	if	If
they	they	they
vote	vote	vote
to	to	to
re	re	re
-elect	-elect	-elect
these	these	these
ignorant	ignor	ignorant
pusnoodles	pusnoodl	pusnoodles
,	,	,
they	they	they
ll	ll	ll
be	be	be
voting	vote	voting
for	for	for
more	more	more
of	of	of
the	the	the
same	same	same
problems	problem	problem
since	sinc	since
Brownback	brownback	Brownback
can	can	can
t	t	t
admit	admit	admit
that	that	that
he	he	he
screwed	screw	screwed
everything	everyth	everything
up	up	up
,	,	,
and	and	and
as	as	a
such	such	such
,	,	,
will	will	will
continue	continu	continue
to	to	to
beat	beat	beat
this	this	this
particular	particular	particular
dead	dead	dead
horse	hors	horse
no	no	no
matter	matter	matter
what	what	what
.	.	.
Featured	featur	Featured
image	imag	image
by	by	by
Win	win	Win
McNamee	mcname	McNamee
Getty	getti	Getty
Images	imag	Images
