OBAMA	obama	OBAMA
numerous	numer	numerous
requests	request	request
to	to	to
respect	respect	respect
the	the	the
Air	air	Air
Force	forc	Force
prescribed	prescrib	prescribed
ceremony	ceremoni	ceremony
and	and	and
unfortunately	unfortun	unfortunately
was	was	wa
forcibly	forcibl	forcibly
removed	remov	removed
.	.	.

We	we	We
will	will	will
continue	continu	continue
to	to	to
investigate	investig	investigate
the	the	the
situation	situat	situation
fully	fulli	fully
.	.	.

But	but	But
John	john	John
Huffington	huffington	Huffington
,	,	,
who	who	who
said	said	said
he	he	he
is	is	is
a	a	a
friend	friend	friend
of	of	of
the	the	the
man	man	man
whose	whose	whose
retirement	retir	retirement
ceremony	ceremoni	ceremony
was	was	wa
taking	take	taking
place	place	place
,	,	,
posted	post	posted
the	the	the
video	video	video
on	on	on
his	his	his
Facebook	facebook	Facebook
with	with	with
the	the	the
comment	comment	comment
This	this	This
is	is	is
disturbing	disturb	disturbing
at	at	at
my	my	my
friend	friend	friend
s	s	s
retirement	retir	retirement
today	today	today
and	and	and
the	the	the
gentlemen	gentlemen	gentleman
that	that	that
you	you	you
are	are	are
going	go	going
to	to	to
see	see	see
in	in	in
the	the	the
video	video	video
gets	get	get
assaulted	assault	assaulted
as	as	a
a	a	a
guest	guest	guest
of	of	of
my	my	my
friend	friend	friend
.	.	.

He	he	He
speaks	speak	speaks
the	the	the
words	word	word
of	of	of
the	the	the
color	color	color
and	and	and
strips	strip	strip
sic	sic	sic
as	as	a
they	they	they
fold	fold	fold
the	the	the
flag	flag	flag
.	.	.

The	the	The
squadron	squadron	squadron
commander	command	commander
and	and	and
Oscar	oscar	Oscar
have	have	have
issues	issu	issue
from	from	from
years	year	year
ago	ago	ago
the	the	the
commander	command	commander
said	said	said
he	he	he
did	did	did
not	not	not
want	want	want
him	him	him
in	in	in
the	the	the
building	build	building
nor	nor	nor
saying	say	saying
the	the	the
words	word	word
to	to	to
the	the	the
flag	flag	flag
.	.	.

Remember	rememb	Remember
he	he	he
is	is	is
my	my	my
friend	friend	friend
s	s	s
guest	guest	guest
.	.	.

So	so	So
instead	instead	instead
of	of	of
letting	let	letting
him	him	him
finish	finish	finish
what	what	what
he	he	he
started	start	started
saying	say	saying
he	he	he
had	had	had
his	his	his
trolls	troll	troll
assault	assault	assault
him	him	him
dragging	drag	dragging
him	him	him
out	out	out
of	of	of
the	the	the
building	build	building
as	as	a
you	you	you
can	can	can
here	here	here
sic	sic	sic
him	him	him
still	still	still
saying	say	saying
the	the	the
words	word	word
to	to	to
the	the	the
flag	flag	flag
.	.	.

And	and	And
you	you	you
can	can	can
here	here	here
joe	joe	joe
saying	say	saying
do	do	do
it	it	it
do	do	do
it	it	it
.	.	.

Theater	theater	Theater
is	is	is
full	full	full
of	of	of
family	famili	family
and	and	and
guests	guest	guest
and	and	and
fellow	fellow	fellow
Air	air	Air
Force	forc	Force
members	member	member
.	.	.

This	this	This
could	could	could
have	have	have
been	been	been
handled	handl	handled
in	in	in
a	a	a
much	much	much
better	better	better
way	way	way
instead	instead	instead
of	of	of
tainting	taint	tainting
my	my	my
friend	friend	friend
s	s	s
retirement	retir	retirement
.	.	.

This	this	This
is	is	is
how	how	how
we	we	we
treat	treat	treat
our	our	our
fellow	fellow	fellow
Air	air	Air
Force	forc	Force
veterans	veteran	veteran
.	.	.

Yes	yes	Yes
I	i	I
m	m	m
pissed	piss	pissed
off	off	off
.	.	.

And	and	And
Stephen	stephen	Stephen
Sila	sila	Sila
,	,	,
who	who	who
identified	identifi	identified
himself	himself	himself
as	as	a
the	the	the
officiating	offici	officiating
officer	offic	officer
at	at	at
the	the	the
ceremony	ceremoni	ceremony
posted	post	posted
a	a	a
long	long	long
explainer	explain	explainer
on	on	on
the	the	the
Facebook	facebook	Facebook
page	page	page
of	of	of
John	john	John
Q	q	Q
Public	public	Public
,	,	,
an	an	an
army	armi	army
blog	blog	blog
where	where	where
the	the	the
story	stori	story
first	first	first
appeared	appear	appeared
.	.	.

Sila	sila	Sila
said	said	said
that	that	that
Rodriguez	rodriguez	Rodriguez
had	had	had
been	been	been
invited	invit	invited
to	to	to
speak	speak	speak
at	at	at
the	the	the
ceremony	ceremoni	ceremony
and	and	and
had	had	had
planned	plan	planned
to	to	to
read	read	read
a	a	a
statement	statement	statement
honoring	honor	honoring
the	the	the
flag	flag	flag
and	and	and
that	that	that
his	his	his
appearance	appear	appearance
had	had	had
been	been	been
cleared	clear	cleared
through	through	through
the	the	the
proper	proper	proper
avenues	avenu	avenue
.	.	.
But	but	But
non	non	non
squadron	squadron	squadron
CC	cc	CC
apparently	appar	apparently
had	had	had
an	an	an
issue	issu	issue
with	with	with
Rodriguez	rodriguez	Rodriguez
attending	attend	attending
,	,	,
apparently	appar	apparently
stemming	stem	stemming
from	from	from
a	a	a
personal	person	personal
issue	issu	issue
at	at	at
a	a	a
previous	previous	previous
squadron	squadron	squadron
between	between	between
the	the	the
squadron	squadron	squadron
CC	cc	CC
and	and	and
Mr	mr	Mr
Rodriguez	rodriguez	Rodriguez
,	,	,
claimed	claim	claimed
Sila	sila	Sila
.	.	.
He	he	He
added	ad	added
Why	whi	Why
do	do	do
you	you	you
think	think	think
people	peopl	people
are	are	are
leaving	leav	leaving
the	the	the
Air	air	Air
Force	forc	Force
in	in	in
droves	drove	drove
?	?	?

Because	becaus	Because
the	the	the
guys	guy	guy
in	in	in
the	the	the
trenches	trench	trench
are	are	are
subjected	subject	subjected
to	to	to
nonstop	nonstop	nonstop
stupidity	stupid	stupidity
from	from	from
commanders	command	commander
who	who	who
don	don	don
t	t	t
deserve	deserv	deserve
the	the	the
rank	rank	rank
,	,	,
respect	respect	respect
,	,	,
or	or	or
support	support	support
of	of	of
the	the	the
people	peopl	people
they	they	they
re	re	re
in	in	in
charge	charg	charge
of	of	of
.	.	.

But	but	But
the	the	the
Air	air	Air
Force	forc	Force
Reserve	reserv	Reserve
said	said	said
in	in	in
the	the	the
statement	statement	statement
it	it	it
respects	respect	respect
and	and	and
defends	defend	defends
the	the	the
right	right	right
to	to	to
free	free	free
speech	speech	speech
and	and	and
religious	religi	religious
expression	express	expression
.	.	.

Via	via	Via
Daily	daili	Daily
Mail	mail	Mail

