After	after	After
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
July	juli	July
12	12	12
,	,	,
2016To	2016to	2016To
all	all	all
the	the	the
Bernie	berni	Bernie
voters	voter	voter
who	who	who
want	want	want
to	to	to
stop	stop	stop
bad	bad	bad
trade	trade	trade
deals	deal	deal
global	global	global
special	special	special
interests	interest	interest
,	,	,
we	we	we
welcome	welcom	welcome
you	you	you
with	with	with
open	open	open
arms	arm	arm
.	.	.
People	peopl	People
first	first	first
.	.	.
Donald	donald	Donald
J	j	J
.	.	.
Trump	trump	Trump
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
July	juli	July
12	12	12
,	,	,
2016And	2016and	2016And
don	don	don
t	t	t
forget	forget	forget
his	his	his
pinned	pin	pinned
video	video	video
#CrookedHillary	#crookedhillari	#CrookedHillary
is	is	is
not	not	not
qualified	qualifi	qualified
!	!	!
https://t.co/6qi7KTW43O	https://t.co/6qi7ktw43o	https://t.co/6qi7KTW43O
Donald	donald	Donald
J	j	J
.	.	.
Trump	trump	Trump
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
July	juli	July
12	12	12
,	,	,
2016Now	2016now	2016Now
,	,	,
if	if	if
you	you	you
ve	ve	ve
proudly	proud	proudly
supported	support	supported
Bernie	berni	Bernie
over	over	over
the	the	the
past	past	past
year	year	year
and	and	and
his	his	his
very	veri	very
progressive	progress	progressive
agenda	agenda	agenda
,	,	,
but	but	but
now	now	now
see	see	see
yourself	yourself	yourself
supporting	support	supporting
a	a	a
staunchly	staunch	staunchly
conservative	conserv	conservative
racist	racist	racist
,	,	,
misogynistic	misogynist	misogynistic
,	,	,
Islamophobic	islamophob	Islamophobic
reality	realiti	reality
television	televis	television
star	star	star
,	,	,
you	you	you
never	never	never
actually	actual	actually
felt	felt	felt
the	the	the
Bern	bern	Bern
,	,	,
but	but	but
rather	rather	rather
just	just	just
really	realli	really
hated	hate	hated
the	the	the
idea	idea	idea
of	of	of
Hillary	hillari	Hillary
Clinton	clinton	Clinton
as	as	a
president	presid	president
.	.	.
Which	which	Which
is	is	is
fine	fine	fine
.	.	.
That	that	That
s	s	s
your	your	your
choice	choic	choice
,	,	,
but	but	but
don	don	don
t	t	t
pretend	pretend	pretend
to	to	to
be	be	be
supporter	support	supporter
of	of	of
progressive	progress	progressive
ideology	ideolog	ideology
and	and	and
making	make	making
the	the	the
nation	nation	nation
better	better	better
for	for	for
all	all	all
,	,	,
not	not	not
just	just	just
the	the	the
few	few	few
on	on	on
top	top	top
.	.	.
Trump	trump	Trump
does	doe	doe
and	and	and
says	say	say
whatever	whatev	whatever
is	is	is
necessary	necessari	necessary
to	to	to
please	pleas	please
the	the	the
audience	audienc	audience
directly	direct	directly
in	in	in
front	front	front
of	of	of
him	him	him
at	at	at
any	ani	any
given	given	given
moment	moment	moment
.	.	.
He	he	He
s	s	s
a	a	a
fraud	fraud	fraud
and	and	and
a	a	a
scam	scam	scam
artist	artist	artist
,	,	,
and	and	and
most	most	most
certainly	certain	certainly
is	is	is
not	not	not
to	to	to
be	be	be
believed	believ	believed
ever	ever	ever
.	.	.
He	he	He
s	s	s
a	a	a
salesman	salesman	salesman
and	and	and
currently	current	currently
is	is	is
just	just	just
trying	tri	trying
to	to	to
sell	sell	sell
himself	himself	himself
to	to	to
whoever	whoever	whoever
will	will	will
buy	buy	buy
it	it	it
Don	don	Don
t	t	t
buy	buy	buy
it	it	it
.	.	.
Featured	featur	Featured
Photo	photo	Photo
by	by	by
John	john	John
Moore	moor	Moore
Getty	getti	Getty
Images	imag	Images
