Let	let	Let
pool	pool	pool
than	than	than
initially	initi	initially
anticipated	anticip	anticipated
.	.	.
The	the	The
other	other	other
possibility	possibl	possibility
is	is	is
that	that	that
the	the	the
shared	share	shared
responsibility	respons	responsibility
payment	payment	payment
SRP	srp	SRP
isn	isn	isn
t	t	t
working	work	working
as	as	a
initially	initi	initially
expected	expect	expected
.	.	.

The	the	The
SRP	srp	SRP
is	is	is
a	a	a
penalty	penalti	penalty
charged	charg	charged
to	to	to
consumers	consum	consumer
who	who	who
fail	fail	fail
to	to	to
purchase	purchas	purchase
health	health	health
insurance	insur	insurance
and	and	and
who	who	who
don	don	don
t	t	t
have	have	have
a	a	a
qualified	qualifi	qualified
exemption	exempt	exemption
.	.	.

The	the	The
average	averag	average
SRP	srp	SRP
in	in	in
the	the	the
first	first	first
year	year	year
of	of	of
Obamacare	obamacar	Obamacare
2014	2014	2014
totaled	total	totaled
190	190	190
,	,	,
according	accord	according
to	to	to
H	h	H
R	r	R
Block	block	Block
,	,	,
with	with	with
the	the	the
Kaiser	kaiser	Kaiser
Family	famili	Family
Foundation	foundat	Foundation
predicting	predict	predicting
an	an	an
average	averag	average
penalty	penalti	penalty
of	of	of
661	661	661
for	for	for
2015	2015	2015
tax	tax	tax
returns	return	return
and	and	and
969	969	969
in	in	in
2016	2016	2016
.	.	.

Despite	despit	Despite
this	this	this
increasing	increas	increasing
penalty	penalti	penalty
,	,	,
young	young	young
adult	adult	adult
enrollment	enrol	enrollment
is	is	is
still	still	still
well	well	well
below	below	below
initial	initi	initial
expectations	expect	expectation
,	,	,
most	most	most
likely	like	likely
because	becaus	because
the	the	the
cost	cost	cost
of	of	of
the	the	the
penalty	penalti	penalty
is	is	is
still	still	still
much	much	much
less	less	le
than	than	than
the	the	the
annual	annual	annual
cost	cost	cost
of	of	of
purchasing	purchas	purchasing
health	health	health
insurance	insur	insurance
.	.	.
By	by	By
itself	itself	itself
,	,	,
this	this	this
9	9	9
million	million	million
-person	-person	-person
enrollment	enrol	enrollment
shortfall	shortfal	shortfall
on	on	on
Obamacare	obamacar	Obamacare
s	s	s
exchanges	exchang	exchange
is	is	is
pretty	pretti	pretty
substantial	substanti	substantial
.	.	.

Health	health	Health
-benefit	-benefit	-benefit
providers	provid	provider
had	had	had
been	been	been
licking	lick	licking
their	their	their
chops	chop	chop
with	with	with
the	the	the
expectations	expect	expectation
of	of	of
adding	ad	adding
20	20	20
million	million	million
-plus	-plus	-plus
enrollees	enrolle	enrollee
within	within	within
the	the	the
first	first	first
three	three	three
years	year	year
following	follow	following
implementation	implement	implementation
.	.	.

However	howev	However
,	,	,
that	that	that
bubble	bubbl	bubble
has	has	ha
been	been	been
popped	pop	popped
,	,	,
with	with	with
only	onli	only
a	a	a
few	few	few
insurers	insur	insurer
truly	truli	truly
benefiting	benefit	benefiting
.	.	.
But	but	But
this	this	this
mistake	mistak	mistake
is	is	is
far	far	far
from	from	from
the	the	the
worst	worst	worst
.	.	.
Now	now	Now
,	,	,
here	here	here
s	s	s
what	what	what
a	a	a
monstrous	monstrous	monstrous
forecasting	forecast	forecasting
boo	boo	boo
-boo	-boo	-boo
looks	look	look
like	like	like
As	as	As
noted	note	noted
by	by	by
the	the	the
CBO	cbo	CBO
report	report	report
,	,	,
the	the	the
biggest	biggest	biggest
boo	boo	boo
-boo	-boo	-boo
comes	come	come
the	the	the
federal	feder	federal
governments	govern	government
estimate	estim	estimate
of	of	of
how	how	how
many	mani	many
people	peopl	people
would	would	would
enroll	enrol	enroll
for	for	for
Medicaid	medicaid	Medicaid
and	and	and
Children	children	Children
s	s	s
Health	health	Health
Insurance	insur	Insurance
Program	program	Program
CHIP	chip	CHIP
.	.	.
Initial	initi	Initial
estimates	estim	estimate
from	from	from
back	back	back
in	in	in
2010	2010	2010
pegged	peg	pegged
Medicaid	medicaid	Medicaid
and	and	and
CHIP	chip	CHIP
combined	combin	combined
enrollment	enrol	enrollment
at	at	at
about	about	about
52	52	52
million	million	million
in	in	in
2016	2016	2016
.	.	.

The	the	The
actual	actual	actual
figures	figur	figure
?	?	?

How	how	How
about	about	about
68	68	68
million	million	million
current	current	current
enrollees	enrolle	enrollee
in	in	in
2016	2016	2016
,	,	,
or	or	or
a	a	a
difference	differ	difference
of	of	of
16	16	16
million	million	million
.	.	.

The	the	The
report	report	report
notes	note	note
that	that	that
total	total	total
Medicaid	medicaid	Medicaid
CHIP	chip	CHIP
enrollment	enrol	enrollment
grew	grew	grew
by	by	by
3	3	3
million	million	million
last	last	last
year	year	year
,	,	,
and	and	and
it	it	it
s	s	s
expected	expect	expected
to	to	to
swell	swell	swell
to	to	to
74	74	74
million	million	million
by	by	by
2026	2026	2026
.	.	.
How	how	How
did	did	did
the	the	the
federal	feder	federal
government	govern	government
miss	miss	miss
so	so	so
badly	bad	badly
?	?	?

The	the	The
CBO	cbo	CBO
believes	believ	belief
that	that	that
fewer	fewer	fewer
people	peopl	people
than	than	than
expected	expect	expected
enrolled	enrol	enrolled
in	in	in
employer	employ	employer
-sponsored	-sponsor	-sponsored
plans	plan	plan
because	becaus	because
they	they	they
were	were	were
eligible	elig	eligible
for	for	for
free	free	free
healthcare	healthcar	healthcare
under	under	under
the	the	the
expanded	expand	expanded
Medicaid	medicaid	Medicaid
program	program	program
.	.	.

Traditional	tradit	Traditional
Medicaid	medicaid	Medicaid
fully	fulli	fully
covers	cover	cover
consumers	consum	consumer
making	make	making
up	up	up
to	to	to
100	100	100
of	of	of
the	the	the
federal	feder	federal
poverty	poverti	poverty
level	level	level
.	.	.

Obamacare	obamacar	Obamacare
s	s	s
expanded	expand	expanded
Medicaid	medicaid	Medicaid
program	program	program
,	,	,
which	which	which
31	31	31
states	state	state
and	and	and
Washington	washington	Washington
,	,	,
D	d	D
.	.	.
C	c	C
.	.	.
,	,	,
took	took	took
advantage	advantag	advantage
of	of	of
,	,	,
covers	cover	cover
people	peopl	people
earning	earn	earning
up	up	up
to	to	to
138	138	138
of	of	of
the	the	the
federal	feder	federal
poverty	poverti	poverty
level	level	level
.	.	.

The	the	The
federal	feder	federal
government	govern	government
appears	appear	appears
to	to	to
not	not	not
have	have	have
understood	understood	understood
the	the	the
magnitude	magnitud	magnitude
of	of	of
the	the	the
lure	lure	lure
to	to	to
drop	drop	drop
out	out	out
of	of	of
employer	employ	employer
-sponsored	-sponsor	-sponsored
care	care	care
and	and	and
be	be	be
covered	cover	covered
by	by	by
Medicaid	medicaid	Medicaid
.	.	.
What	what	What
s	s	s
even	even	even
more	more	more
egregious	egregi	egregious
is	is	is
that	that	that
this	this	this
estimate	estim	estimate
in	in	in
2010	2010	2010
was	was	wa
done	done	done
before	befor	before
a	a	a
Supreme	suprem	Supreme
Court	court	Court
decision	decis	decision
in	in	in
2012	2012	2012
that	that	that
allowed	allow	allowed
states	state	state
the	the	the
right	right	right
to	to	to
choose	choos	choose
whether	whether	whether
or	or	or
not	not	not
they	they	they
wanted	want	wanted
to	to	to
expand	expand	expand
their	their	their
Medicaid	medicaid	Medicaid
program	program	program
.	.	.
When	when	When
President	presid	President
Obama	obama	Obama
initially	initi	initially
signed	sign	signed
the	the	the
Affordable	afford	Affordable
Care	care	Care
Act	act	Act
into	into	into
law	law	law
in	in	in
March	march	March
2010	2010	2010
,	,	,
Medicaid	medicaid	Medicaid
expansion	expans	expansion
was	was	wa
mandatory	mandatori	mandatory
.	.	.

However	howev	However
,	,	,
a	a	a
ruling	rule	ruling
of	of	of
7	7	7
-to-2	-to-2	-to-2
by	by	by
the	the	the
Supreme	suprem	Supreme
Court	court	Court
allowed	allow	allowed
individual	individu	individual
states	state	state
to	to	to
make	make	make
the	the	the
decision	decis	decision
of	of	of
whether	whether	whether
or	or	or
not	not	not
to	to	to
expand	expand	expand
.	.	.

Ultimately	ultim	Ultimately
,	,	,
19	19	19
states	state	state
have	have	have
chosen	chosen	chosen
not	not	not
to	to	to
.	.	.

Their	their	Their
reasoning	reason	reasoning
?	?	?

The	the	The
federal	feder	federal
government	govern	government
offered	offer	offered
financial	financi	financial
assistance	assist	assistance
to	to	to
all	all	all
expanding	expand	expanding
states	state	state
between	between	between
2014	2014	2014
and	and	and
2016	2016	2016
but	but	but
fully	fulli	fully
plans	plan	plan
to	to	to
pare	pare	pare
back	back	back
its	it	it
assistance	assist	assistance
to	to	to
just	just	just
90	90	90
from	from	from
100	100	100
between	between	between
2017	2017	2017
and	and	and
2020	2020	2020
.	.	.

The	the	The
holdout	holdout	holdout
states	state	state
simply	simpli	simply
felt	felt	felt
that	that	that
they	they	they
would	would	would
be	be	be
left	left	left
on	on	on
the	the	the
hook	hook	hook
for	for	for
too	too	too
much	much	much
additional	addit	additional
revenue	revenu	revenue
generation	generat	generation
to	to	to
cover	cover	cover
these	these	these
new	new	new
Medicaid	medicaid	Medicaid
members	member	member
.	.	.

If	if	If
Medicaid	medicaid	Medicaid
expansion	expans	expansion
was	was	wa
mandatory	mandatori	mandatory
,	,	,
the	the	the
CBO	cbo	CBO
estimates	estim	estimate
another	anoth	another
4	4	4
million	million	million
people	peopl	people
would	would	would
be	be	be
enrolled	enrol	enrolled
.	.	.
This	this	This
16	16	16
million	million	million
-person	-person	-person
shortfall	shortfal	shortfall
is	is	is
far	far	far
from	from	from
insignificant	insignific	insignificant
.	.	.

In	in	In
fact	fact	fact
,	,	,
the	the	the
CBO	cbo	CBO
estimates	estim	estimate
that	that	that
the	the	the
federal	feder	federal
government	govern	government
s	s	s
failure	failur	failure
to	to	to
accurately	accur	accurately
forecast	forecast	forecast
how	how	how
many	mani	many
people	peopl	people
would	would	would
be	be	be
enrolled	enrol	enrolled
in	in	in
Medicaid	medicaid	Medicaid
CHIP	chip	CHIP
to	to	to
be	be	be
146	146	146
billion	billion	billion
over	over	over
the	the	the
next	next	next
decade	decad	decade
.	.	.

When	when	When
taking	take	taking
into	into	into
account	account	account
factors	factor	factor
like	like	like
the	the	the
estimated	estim	estimated
46	46	46
billion	billion	billion
the	the	the
federal	feder	federal
government	govern	government
will	will	will
save	save	save
by	by	by
paying	pay	paying
out	out	out
less	less	le
than	than	than
expected	expect	expected
in	in	in
subsidies	subsidi	subsidy
for	for	for
marketplace	marketplac	marketplace
exchange	exchang	exchange
enrollees	enrolle	enrollee
,	,	,
as	as	a
well	well	well
as	as	a
the	the	the
28	28	28
billion	billion	billion
less	less	le
it	it	it
s	s	s
expected	expect	expected
to	to	to
collect	collect	collect
in	in	in
revenue	revenu	revenue
because	becaus	because
the	the	the
Cadillac	cadillac	Cadillac
Tax	tax	Tax
will	will	will
be	be	be
suspended	suspend	suspended
for	for	for
an	an	an
additional	addit	additional
two	two	two
years	year	year
,	,	,
Obamacare	obamacar	Obamacare
is	is	is
now	now	now
expected	expect	expected
to	to	to
cost	cost	cost
136	136	136
billion	billion	billion
more	more	more
than	than	than
originally	origin	originally
forecast	forecast	forecast
over	over	over
the	the	the
long	long	long
-term	-term	-term
.	.	.
Is	is	Is
Obamacare	obamacar	Obamacare
sustainable	sustain	sustainable
?	?	?

It	it	It
s	s	s
anyone	anyon	anyone
s	s	s
guess	guess	guess
at	at	at
this	this	this
point	point	point
What	what	What
does	doe	doe
the	the	the
future	futur	future
of	of	of
Obamacare	obamacar	Obamacare
hold	hold	hold
now	now	now
that	that	that
its	it	it
total	total	total
cost	cost	cost
is	is	is
expected	expect	expected
to	to	to
be	be	be
11	11	11
higher	higher	higher
between	between	between
2016	2016	2016
and	and	and
2025	2025	2025
than	than	than
initially	initi	initially
expected	expect	expected
?	?	?

That	that	That
s	s	s
really	realli	really
anyone	anyon	anyone
s	s	s
guess	guess	guess
,	,	,
as	as	a
major	major	major
changes	chang	change
could	could	could
be	be	be
on	on	on
the	the	the
horizon	horizon	horizon
like	like	like
elect	elect	elect
a	a	a
Republican	republican	Republican
President	presid	President
who	who	who
ll	ll	ll
scrap	scrap	scrap
the	the	the
entire	entir	entire
thing	thing	thing
!	!	!
Read	read	Read
more	more	more
fool	fool	fool
.	.	.
com	com	com

