What	what	What
misconduct	misconduct	misconduct
by	by	by
Hastert	hastert	Hastert
,	,	,
but	but	but
it	it	it
noted	note	noted
that	that	that
before	befor	before
entering	enter	entering
state	state	state
and	and	and
federal	feder	federal
politics	polit	politics
in	in	in
1981	1981	1981
,	,	,
Has	has	Has
tert	tert	tert
served	serv	served
for	for	for
more	more	more
than	than	than
a	a	a
decade	decad	decade
as	as	a
a	a	a
teacher	teacher	teacher
and	and	and
wrestling	wrestl	wrestling
coach	coach	coach
at	at	at
Yorkville	yorkvill	Yorkville
High	high	High
School	school	School
in	in	in
Illinois	illinoi	Illinois
.	.	.
In	in	In
2010	2010	2010
,	,	,
confronted	confront	confronted
about	about	about
the	the	the
prior	prior	prior
misconduct	misconduct	misconduct
,	,	,
the	the	the
former	former	former
speaker	speaker	speaker
agreed	agre	agreed
to	to	to
pay	pay	pay
3	3	3
.	.	.
5	5	5
million	million	million
to	to	to
the	the	the
person	person	person
to	to	to
compensate	compens	compensate
for	for	for
and	and	and
conceal	conceal	conceal
his	his	his
prior	prior	prior
misconduct	misconduct	misconduct
against	against	against
Individual	individu	Individual
A	a	A
,	,	,
prosecutors	prosecutor	prosecutor
alleged	alleg	alleged
.	.	.
That	that	That
person	person	person
,	,	,
whose	whose	whose
identity	ident	identity
was	was	wa
shielded	shield	shielded
by	by	by
prosecutors	prosecutor	prosecutor
,	,	,
has	has	ha
known	known	known
Hastert	hastert	Hastert
most	most	most
of	of	of
his	his	his
or	or	or
her	her	her
life	life	life
,	,	,
growing	grow	growing
up	up	up
in	in	in
Yorkville	yorkvill	Yorkville
,	,	,
the	the	the
city	citi	city
next	next	next
to	to	to
Hastert	hastert	Hastert
s	s	s
home	home	home
town	town	town
of	of	of
Plano	plano	Plano
,	,	,
in	in	in
the	the	the
exurbs	exurb	exurbs
west	west	west
of	of	of
Chicago	chicago	Chicago
.	.	.
Prosecutors	prosecutor	Prosecutors
said	said	said
the	the	the
actions	action	action
occurred	occur	occurred
years	year	year
earlier	earlier	earlier
than	than	than
the	the	the
2010	2010	2010
meeting	meet	meeting
that	that	that
sparked	spark	sparked
the	the	the
payments	payment	payment
.	.	.
Read	read	Read
more	more	more
wapo	wapo	wapo
