Warren	warren	Warren
just	just	just
sent	sent	sent
out	out	out
his	his	his
first	first	first
desperate	desper	desperate
email	email	email
begging	beg	begging
his	his	his
constituents	constitu	constituent
for	for	for
money	money	money
.	.	.
He	he	He
ll	ll	ll
need	need	need
those	those	those
donations	donat	donation
to	to	to
keep	keep	keep
his	his	his
campaign	campaign	campaign
running	run	running
,	,	,
not	not	not
pay	pay	pay
off	off	off
debt	debt	debt
.	.	.
Perhaps	perhap	Perhaps
he	he	he
thinks	think	think
the	the	the
debt	debt	debt
will	will	will
walk	walk	walk
quietly	quiet	quietly
away	away	away
?	?	?
This	this	This
is	is	is
significant	signific	significant
because	becaus	because
,	,	,
if	if	if
he	he	he
s	s	s
as	as	a
in	in	in
love	love	love
with	with	with
debt	debt	debt
as	as	a
he	he	he
is	is	is
with	with	with
himself	himself	himself
,	,	,
he	he	he
very	veri	very
well	well	well
could	could	could
make	make	make
our	our	our
national	nation	national
debt	debt	debt
skyrocket	skyrocket	skyrocket
despite	despit	despite
his	his	his
more	more	more
than	than	than
impossible	imposs	impossible
promise	promis	promise
to	to	to
have	have	have
it	it	it
paid	paid	paid
off	off	off
within	within	within
eight	eight	eight
years	year	year
.	.	.
He	he	He
s	s	s
far	far	far
more	more	more
likely	like	likely
to	to	to
actually	actual	actually
bankrupt	bankrupt	bankrupt
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
than	than	than
any	ani	any
other	other	other
candidate	candid	candidate
if	if	if
he	he	he
s	s	s
mired	mire	mired
in	in	in
this	this	this
notion	notion	notion
that	that	that
he	he	he
can	can	can
borrow	borrow	borrow
money	money	money
indiscriminately	indiscrimin	indiscriminately
.	.	.
Buffett	buffett	Buffett
and	and	and
Trump	trump	Trump
are	are	are
polar	polar	polar
opposites	opposit	opposite
in	in	in
the	the	the
way	way	way
they	they	they
do	do	do
business	busi	business
,	,	,
and	and	and
even	even	even
in	in	in
the	the	the
way	way	way
they	they	they
see	see	see
government	govern	government
.	.	.
For	for	For
instance	instanc	instance
,	,	,
Trump	trump	Trump
has	has	ha
bragged	brag	bragged
about	about	about
the	the	the
low	low	low
tax	tax	tax
rate	rate	rate
he	he	he
pays	pay	pay
,	,	,
as	as	a
if	if	if
that	that	that
s	s	s
something	someth	something
to	to	to
be	be	be
proud	proud	proud
of	of	of
when	when	when
the	the	the
government	govern	government
is	is	is
talking	talk	talking
about	about	about
cutting	cut	cutting
needed	need	needed
services	servic	service
because	becaus	because
there	there	there
isn	isn	isn
t	t	t
enough	enough	enough
money	money	money
.	.	.
Buffett	buffett	Buffett
,	,	,
on	on	on
the	the	the
other	other	other
hand	hand	hand
,	,	,
has	has	ha
called	call	called
for	for	for
higher	higher	higher
taxes	tax	tax
on	on	on
the	the	the
wealthy	wealthi	wealthy
repeatedly	repeat	repeatedly
.	.	.
That	that	That
makes	make	make
Buffett	buffett	Buffett
the	the	the
smart	smart	smart
one	one	one
of	of	of
these	these	these
two	two	two
,	,	,
but	but	but
then	then	then
,	,	,
we	we	we
already	alreadi	already
knew	knew	knew
that	that	that
.	.	.
Trump	trump	Trump
keeps	keep	keep
saying	say	saying
he	he	he
can	can	can
change	chang	change
his	his	his
tune	tune	tune
anytime	anytim	anytime
he	he	he
wants	want	want
,	,	,
but	but	but
the	the	the
few	few	few
paltry	paltri	paltry
efforts	effort	effort
he	he	he
s	s	s
made	made	made
have	have	have
failed	fail	failed
spectacularly	spectacular	spectacularly
within	within	within
just	just	just
a	a	a
few	few	few
days	day	day
.	.	.
It	it	It
s	s	s
a	a	a
good	good	good
bet	bet	bet
that	that	that
he	he	he
ll	ll	ll
remain	remain	remain
addicted	addict	addicted
to	to	to
borrowing	borrow	borrowing
money	money	money
,	,	,
even	even	even
as	as	a
president	presid	president
.	.	.
He	he	He
has	has	ha
his	his	his
eye	eye	eye
on	on	on
the	the	the
prize	prize	prize
,	,	,
and	and	and
the	the	the
prize	prize	prize
is	is	is
a	a	a
destroyed	destroy	destroyed
U	u	U
.	.	.
S	s	S
.	.	.
,	,	,
and	and	and
a	a	a
fat	fat	fat
wallet	wallet	wallet
for	for	for
himself	himself	himself
.	.	.
Featured	featur	Featured
image	imag	image
by	by	by
Paul	paul	Paul
Morigi	morigi	Morigi
Getty	getti	Getty
Images	imag	Images
