In	in	In
Baquet	baquet	Baquet
and	and	and
Washington	washington	Washington
Post	post	Post
legend	legend	legend
Bob	bob	Bob
Woodward	woodward	Woodward
both	both	both
said	said	said
they	they	they
would	would	would
risk	risk	risk
jail	jail	jail
by	by	by
publishing	publish	publishing
Trump	trump	Trump
s	s	s
taxes	tax	tax
if	if	if
they	they	they
ever	ever	ever
got	got	got
possession	possess	possession
of	of	of
them	them	them
.	.	.
Not	not	Not
publishing	publish	publishing
Trump	trump	Trump
s	s	s
tax	tax	tax
returns	return	return
would	would	would
have	have	have
been	been	been
a	a	a
disservice	disservic	disservice
to	to	to
the	the	the
American	american	American
people	peopl	people
and	and	and
would	would	would
have	have	have
basically	basic	basically
been	been	been
a	a	a
cover	cover	cover
-up	-up	-up
on	on	on
Trump	trump	Trump
s	s	s
behalf	behalf	behalf
.	.	.
But	but	But
Corey	corey	Corey
Lewandowski	lewandowski	Lewandowski
says	say	say
that	that	that
not	not	not
only	onli	only
should	should	should
the	the	the
New	new	New
York	york	York
Times	time	Times
have	have	have
buried	buri	buried
the	the	the
story	stori	story
,	,	,
executive	execut	executive
editor	editor	editor
Dean	dean	Dean
Baquet	baquet	Baquet
should	should	should
be	be	be
put	put	put
behind	behind	behind
bars	bar	bar
for	for	for
doing	do	doing
his	his	his
job	job	job
.	.	.
During	dure	During
a	a	a
Harvard	harvard	Harvard
University	univers	University
conference	confer	conference
on	on	on
Thursday	thursday	Thursday
,	,	,
Lewandowski	lewandowski	Lewandowski
attacked	attack	attacked
the	the	the
media	media	medium
,	,	,
accused	accus	accused
the	the	the
New	new	New
York	york	York
Times	time	Times
of	of	of
committing	commit	committing
a	a	a
felony	feloni	felony
and	and	and
said	said	said
Baquet	baquet	Baquet
should	should	should
be	be	be
jailed	jail	jailed
,	,	,
thus	thus	thus
signaling	signal	signaling
that	that	that
Trump	trump	Trump
and	and	and
his	his	his
team	team	team
intend	intend	intend
to	to	to
violate	violat	violate
the	the	the
First	first	First
Amendment	amend	Amendment
at	at	at
will	will	will
when	when	when
he	he	he
assumes	assum	assumes
power	power	power
in	in	in
January	januari	January
.	.	.
We	we	We
had	had	had
one	one	one
of	of	of
the	the	the
top	top	top
people	peopl	people
at	at	at
the	the	the
New	new	New
York	york	York
Times	time	Times
come	come	come
to	to	to
Harvard	harvard	Harvard
University	univers	University
and	and	and
say	say	say
,	,	,
I	i	I
m	m	m
willing	will	willing
to	to	to
go	go	go
to	to	to
jail	jail	jail
to	to	to
get	get	get
a	a	a
copy	copi	copy
of	of	of
Donald	donald	Donald
Trump	trump	Trump
s	s	s
taxes	tax	tax
so	so	so
I	i	I
can	can	can
publish	publish	publish
them	them	them
,	,	,
Lewandowski	lewandowski	Lewandowski
said	said	said
.	.	.
Dean	dean	Dean
Baquet	baquet	Baquet
came	came	came
here	here	here
and	and	and
offered	offer	offered
to	to	to
go	go	go
to	to	to
jail	jail	jail
.	.	.
You	you	You
re	re	re
telling	tell	telling
me	me	me
,	,	,
he	he	he
s	s	s
willing	will	willing
to	to	to
commit	commit	commit
a	a	a
felony	feloni	felony
on	on	on
a	a	a
private	privat	private
citizen	citizen	citizen
to	to	to
post	post	post
his	his	his
taxes	tax	tax
,	,	,
and	and	and
there	there	there
isn	isn	isn
t	t	t
enough	enough	enough
scrutiny	scrutini	scrutiny
on	on	on
the	the	the
Trump	trump	Trump
campaign	campaign	campaign
and	and	and
his	his	his
business	busi	business
dealings	deal	dealing
and	and	and
his	his	his
taxes	tax	tax
?	?	?
It	it	It
s	s	s
egregious	egregi	egregious
.	.	.
He	he	He
should	should	should
be	be	be
in	in	in
jail	jail	jail
.	.	.
So	so	So
one	one	one
of	of	of
Trump	trump	Trump
s	s	s
top	top	top
minions	minion	minion
literally	liter	literally
wants	want	want
to	to	to
jail	jail	jail
journalists	journalist	journalist
for	for	for
doing	do	doing
their	their	their
job	job	job
,	,	,
especially	especi	especially
if	if	if
they	they	they
publish	publish	publish
stories	stori	story
that	that	that
Trump	trump	Trump
does	doe	doe
not	not	not
like	like	like
.	.	.
We	we	We
re	re	re
talking	talk	talking
about	about	about
publishing	publish	publishing
the	the	the
facts	fact	fact
here	here	here
.	.	.
When	when	When
the	the	the
New	new	New
York	york	York
Times	time	Times
criticized	critic	criticized
Hillary	hillari	Hillary
Clinton	clinton	Clinton
you	you	you
didn	didn	didn
t	t	t
hear	hear	hear
Trump	trump	Trump
call	call	call
for	for	for
jailing	jail	jailing
journalists	journalist	journalist
then	then	then
.	.	.
And	and	And
that	that	that
because	becaus	because
he	he	he
s	s	s
okay	okay	okay
with	with	with
using	use	using
the	the	the
media	media	medium
to	to	to
attack	attack	attack
his	his	his
opponents	oppon	opponent
.	.	.
He	he	He
only	onli	only
wants	want	want
to	to	to
silence	silenc	silence
journalists	journalist	journalist
when	when	when
they	they	they
publish	publish	publish
negative	negat	negative
stories	stori	story
about	about	about
him	him	him
.	.	.
That	that	That
s	s	s
what	what	what
dictators	dictat	dictator
do	do	do
,	,	,
and	and	and
that	that	that
is	is	is
exactly	exact	exactly
what	what	what
Trump	trump	Trump
wants	want	want
to	to	to
be	be	be
.	.	.
Featured	featur	Featured
Image	imag	Image
Drew	drew	Drew
Angerer	anger	Angerer
Getty	getti	Getty
Images	imag	Images
