When	when	When
the	the	the
unsuspecting	unsuspect	unsuspecting
voter	voter	voter
grade	grade	grade
of	of	of
F	f	F
and	and	and
told	told	told
them	them	them
to	to	to
clear	clear	clear
it	it	it
up	up	up
by	by	by
voting	vote	voting
for	for	for
Cruz	cruz	Cruz
.	.	.
Fraud	fraud	Fraud
Donald	donald	Donald
J	j	J
.	.	.
Trump	trump	Trump
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
February	februari	February
3	3	3
,	,	,
2016	2016	2016
And	and	And
finally	final	finally
,	,	,
Cruz	cruz	Cruz
strongly	strong	strongly
told	told	told
thousands	thousand	thousand
of	of	of
caucusgoers	caucusgo	caucusgoers
voters	voter	voter
that	that	that
Trump	trump	Trump
was	was	wa
strongly	strong	strongly
in	in	in
favor	favor	favor
of	of	of
ObamaCare	obamacar	ObamaCare
and	and	and
choice	choic	choice
a	a	a
total	total	total
lie	lie	lie
!	!	!
Donald	donald	Donald
J	j	J
.	.	.
Trump	trump	Trump
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
February	februari	February
3	3	3
,	,	,
2016Based	2016base	2016Based
on	on	on
the	the	the
fraud	fraud	fraud
committed	commit	committed
by	by	by
Senator	senat	Senator
Ted	ted	Ted
Cruz	cruz	Cruz
during	dure	during
the	the	the
Iowa	iowa	Iowa
Caucus	caucus	Caucus
,	,	,
either	either	either
a	a	a
new	new	new
election	elect	election
should	should	should
take	take	take
place	place	place
or	or	or
Cruz	cruz	Cruz
results	result	result
nullified	nullifi	nullified
.	.	.
Donald	donald	Donald
J	j	J
.	.	.
Trump	trump	Trump
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
February	februari	February
3	3	3
,	,	,
2016The	2016the	2016The
butthurt	butthurt	butthurt
is	is	is
so	so	so
strong	strong	strong
there	there	there
.	.	.
He	he	He
is	is	is
acting	act	acting
exactly	exact	exactly
the	the	the
way	way	way
we	we	we
thought	thought	thought
he	he	he
would	would	would
act	act	act
if	if	if
he	he	he
lost	lost	lost
,	,	,
only	onli	only
it	it	it
s	s	s
even	even	even
more	more	more
pathetic	pathet	pathetic
than	than	than
we	we	we
could	could	could
imagine	imagin	imagine
.	.	.
Instead	instead	Instead
of	of	of
behaving	behav	behaving
like	like	like
an	an	an
adult	adult	adult
and	and	and
moving	move	moving
on	on	on
,	,	,
he	he	he
is	is	is
literally	liter	literally
acting	act	acting
like	like	like
a	a	a
raging	rage	raging
toddler	toddler	toddler
.	.	.
Ted	ted	Ted
Cruz	cruz	Cruz
came	came	came
out	out	out
on	on	on
top	top	top
because	becaus	because
the	the	the
Republicans	republican	Republicans
in	in	in
Iowa	iowa	Iowa
are	are	are
ber	ber	ber
conservative	conserv	conservative
Trump	trump	Trump
is	is	is
not	not	not
.	.	.
Perhaps	perhap	Perhaps
he	he	he
also	also	also
lost	lost	lost
because	becaus	because
of	of	of
his	his	his
brilliant	brilliant	brilliant
dumbass	dumbass	dumbass
decision	decis	decision
to	to	to
skip	skip	skip
the	the	the
last	last	last
debate	debat	debate
over	over	over
more	more	more
hurt	hurt	hurt
feelings	feel	feeling
.	.	.
Whatever	whatev	Whatever
the	the	the
reason	reason	reason
,	,	,
voters	voter	voter
are	are	are
not	not	not
going	go	going
to	to	to
look	look	look
at	at	at
his	his	his
recent	recent	recent
behavior	behavior	behavior
and	and	and
think	think	think
,	,	,
Yep	yep	Yep
,	,	,
this	this	this
is	is	is
the	the	the
guy	guy	guy
we	we	we
want	want	want
with	with	with
the	the	the
nuclear	nuclear	nuclear
codes	code	code
.	.	.
This	this	This
meltdown	meltdown	meltdown
is	is	is
just	just	just
solidifying	solidifi	solidifying
the	the	the
fact	fact	fact
that	that	that
he	he	he
definitely	definit	definitely
doesn	doesn	doesn
t	t	t
belong	belong	belong
in	in	in
the	the	the
White	white	White
House	hous	House
.	.	.
Featured	featur	Featured
image	imag	image
from	from	from
Rolling	roll	Rolling
Out	out	Out
