Didn	didn	Didn
FBI	fbi	FBI
during	dure	during
its	it	it
investigation	investig	investigation
of	of	of
Secretary	secretari	Secretary
Clinton	clinton	Clinton
s	s	s
use	use	use
of	of	of
a	a	a
personal	person	personal
email	email	email
system	system	system
appears	appear	appears
to	to	to
directly	direct	directly
contradict	contradict	contradict
several	sever	several
aspects	aspect	aspect
of	of	of
her	her	her
sworn	sworn	sworn
testimony	testimoni	testimony
.	.	.
In	in	In
light	light	light
of	of	of
those	those	those
contradictions	contradict	contradiction
,	,	,
the	the	the
Department	depart	Department
should	should	should
investigate	investig	investigate
and	and	and
determine	determin	determine
whether	whether	whether
to	to	to
prosecute	prosecut	prosecute
Secretary	secretari	Secretary
Clinton	clinton	Clinton
for	for	for
violating	violat	violating
statutes	statut	statute
that	that	that
prohibit	prohibit	prohibit
perjury	perjuri	perjury
and	and	and
false	fals	false
statements	statement	statement
to	to	to
Congress	congress	Congress
,	,	,
or	or	or
any	ani	any
other	other	other
relevant	relev	relevant
statutes	statut	statute
.	.	.
Background	background	Background
During	dure	During
a	a	a
July	juli	July
5	5	5
,	,	,
2016	2016	2016
hearing	hear	hearing
before	befor	before
the	the	the
House	hous	House
Oversight	oversight	Oversight
Committee	committe	Committee
,	,	,
Federal	feder	Federal
Bureau	bureau	Bureau
of	of	of
Investigation	investig	Investigation
FBI	fbi	FBI
Director	director	Director
James	jame	James
Comey	comey	Comey
stated	state	stated
the	the	the
truthfulness	truth	truthfulness
of	of	of
Secretary	secretari	Secretary
Clinton	clinton	Clinton
s	s	s
testimony	testimoni	testimony
before	befor	before
Congress	congress	Congress
was	was	wa
not	not	not
within	within	within
the	the	the
scope	scope	scope
of	of	of
the	the	the
FBI	fbi	FBI
s	s	s
investigation	investig	investigation
.	.	.
According	accord	According
to	to	to
Director	director	Director
Comey	comey	Comey
the	the	the
Department	depart	Department
of	of	of
Justice	justic	Justice
requires	requir	requires
a	a	a
criminal	crimin	criminal
referral	referr	referral
from	from	from
Congress	congress	Congress
to	to	to
initiate	initi	initiate
an	an	an
investigation	investig	investigation
into	into	into
Secretary	secretari	Secretary
Clinton	clinton	Clinton
s	s	s
congressional	congression	congressional
testimony	testimoni	testimony
.	.	.
Additionally	addit	Additionally
,	,	,
Chairman	chairman	Chairman
Chaffetz	chaffetz	Chaffetz
sent	sent	sent
a	a	a
letter	letter	letter
to	to	to
Director	director	Director
Comey	comey	Comey
requesting	request	requesting
the	the	the
FBI	fbi	FBI
s	s	s
full	full	full
investigative	investig	investigative
file	file	file
from	from	from
its	it	it
review	review	review
of	of	of
former	former	former
Secretary	secretari	Secretary
Clinton	clinton	Clinton
s	s	s
use	use	use
of	of	of
an	an	an
authorized	author	authorized
private	privat	private
email	email	email
server	server	server
.	.	.
Chairman	chairman	Chairman
Goodlatte	goodlatt	Goodlatte
sent	sent	sent
a	a	a
letter	letter	letter
to	to	to
Director	director	Director
Comey	comey	Comey
pressing	press	pressing
for	for	for
more	more	more
information	inform	information
about	about	about
the	the	the
FBI	fbi	FBI
s	s	s
investigation	investig	investigation
and	and	and
also	also	also
led	led	led
a	a	a
letter	letter	letter
signed	sign	signed
by	by	by
over	over	over
200	200	200
members	member	member
of	of	of
Congress	congress	Congress
demanding	demand	demanding
answers	answer	answer
from	from	from
FBI	fbi	FBI
Director	director	Director
Comey	comey	Comey
regarding	regard	regarding
the	the	the
many	mani	many
questions	question	question
surrounding	surround	surrounding
his	his	his
announcement	announc	announcement
that	that	that
he	he	he
does	doe	doe
not	not	not
recommend	recommend	recommend
federal	feder	federal
prosecution	prosecut	prosecution
against	against	against
former	former	former
Secretary	secretari	Secretary
Hillary	hillari	Hillary
Clinton	clinton	Clinton
for	for	for
mishandling	mishandl	mishandling
classified	classifi	classified
information	inform	information
through	through	through
private	privat	private
email	email	email
servers	server	server
.	.	.
Full	full	Full
text	text	text
of	of	of
letter	letter	letter
The	the	The
Honorable	honor	Honorable
Channing	chan	Channing
D	d	D
.	.	.
Phillips	phillip	Phillips
U	u	U
.	.	.
S	s	S
.	.	.
Attorney	attorney	Attorney
for	for	for
the	the	the
District	district	District
of	of	of
Columbia	columbia	Columbia
555	555	555
Fourth	fourth	Fourth
Street	street	Street
NW	nw	NW
Washington	washington	Washington
,	,	,
D	d	D
.	.	.
C	c	C
.	.	.
20530Dear	20530dear	20530Dear
Mr	mr	Mr
.	.	.
Phillips	phillip	Phillips
We	we	We
write	write	write
to	to	to
request	request	request
an	an	an
investigation	investig	investigation
to	to	to
determine	determin	determine
whether	whether	whether
former	former	former
Secretary	secretari	Secretary
of	of	of
State	state	State
Hillary	hillari	Hillary
Clinton	clinton	Clinton
committed	commit	committed
perjury	perjuri	perjury
and	and	and
made	made	made
false	fals	false
statements	statement	statement
during	dure	during
her	her	her
testimony	testimoni	testimony
under	under	under
oath	oath	oath
before	befor	before
congressional	congression	congressional
committees	committe	committee
.	.	.
While	while	While
testifying	testifi	testifying
before	befor	before
the	the	the
House	hous	House
Committee	committe	Committee
on	on	on
Oversight	oversight	Oversight
and	and	and
Government	govern	Government
Reform	reform	Reform
on	on	on
July	juli	July
7	7	7
,	,	,
2016	2016	2016
,	,	,
Federal	feder	Federal
Bureau	bureau	Bureau
of	of	of
Investigation	investig	Investigation
FBI	fbi	FBI
Director	director	Director
James	jame	James
Comey	comey	Comey
stated	state	stated
the	the	the
truthfulness	truth	truthfulness
of	of	of
Secretary	secretari	Secretary
Clinton	clinton	Clinton
s	s	s
testimony	testimoni	testimony
before	befor	before
Congress	congress	Congress
was	was	wa
not	not	not
within	within	within
the	the	the
scope	scope	scope
of	of	of
the	the	the
FBI	fbi	FBI
s	s	s
investigation	investig	investigation
.	.	.
Nor	nor	Nor
had	had	had
the	the	the
FBI	fbi	FBI
even	even	even
considered	consid	considered
any	ani	any
of	of	of
Secretary	secretari	Secretary
Clinton	clinton	Clinton
s	s	s
testimony	testimoni	testimony
.	.	.
Director	director	Director
Comey	comey	Comey
further	further	further
testified	testifi	testified
the	the	the
Department	depart	Department
of	of	of
Justice	justic	Justice
requires	requir	requires
a	a	a
criminal	crimin	criminal
referral	referr	referral
from	from	from
Congress	congress	Congress
to	to	to
initiate	initi	initiate
an	an	an
investigation	investig	investigation
of	of	of
Secretary	secretari	Secretary
Clinton	clinton	Clinton
s	s	s
congressional	congression	congressional
testimony	testimoni	testimony
.	.	.
We	we	We
are	are	are
writing	write	writing
for	for	for
that	that	that
purpose	purpos	purpose
.	.	.
The	the	The
evidence	evid	evidence
collected	collect	collected
by	by	by
the	the	the
FBI	fbi	FBI
during	dure	during
its	it	it
investigation	investig	investigation
of	of	of
Secretary	secretari	Secretary
Clinton	clinton	Clinton
s	s	s
use	use	use
of	of	of
a	a	a
personal	person	personal
email	email	email
system	system	system
appears	appear	appears
to	to	to
directly	direct	directly
contradict	contradict	contradict
several	sever	several
aspects	aspect	aspect
of	of	of
her	her	her
sworn	sworn	sworn
testimony	testimoni	testimony
.	.	.
In	in	In
light	light	light
of	of	of
those	those	those
contradictions	contradict	contradiction
,	,	,
the	the	the
Department	depart	Department
should	should	should
investigate	investig	investigate
and	and	and
determine	determin	determine
whether	whether	whether
to	to	to
prosecute	prosecut	prosecute
Secretary	secretari	Secretary
Clinton	clinton	Clinton
for	for	for
violating	violat	violating
statutes	statut	statute
that	that	that
prohibit	prohibit	prohibit
perjury	perjuri	perjury
and	and	and
false	fals	false
statements	statement	statement
to	to	to
Congress	congress	Congress
,	,	,
or	or	or
any	ani	any
other	other	other
relevant	relev	relevant
statutes	statut	statute
.	.	.
Thank	thank	Thank
you	you	you
for	for	for
your	your	your
attention	attent	attention
to	to	to
this	this	this
important	import	important
matter	matter	matter
.	.	.
oversight	oversight	oversight
.	.	.
house	hous	house
.	.	.
govWatch	govwatch	govWatch
Hillary	hillari	Hillary
caught	caught	caught
in	in	in
lies	lie	lie
during	dure	during
testimony	testimoni	testimony
in	in	in
video	video	video
here	here	here
Watch	watch	Watch
the	the	the
impeachment	impeach	impeachment
of	of	of
Hillary	hillari	Hillary
s	s	s
serial	serial	serial
sexual	sexual	sexual
abuser	abus	abuser
husband	husband	husband
,	,	,
Bill	bill	Bill
for	for	for
lying	lie	lying
before	befor	before
a	a	a
grand	grand	grand
jury	juri	jury
about	about	about
his	his	his
affair	affair	affair
with	with	with
young	young	young
intern	intern	intern
Monica	monica	Monica
Lewinsky	lewinski	Lewinsky
