Having	have	Having
we	we	we
must	must	must
draw	draw	draw
a	a	a
bright	bright	bright
red	red	red
line	line	line
between	between	between
political	polit	political
speech	speech	speech
and	and	and
suggestions	suggest	suggestion
of	of	of
violence	violenc	violence
.	.	.
Responsible	respons	Responsible
,	,	,
stable	stabl	stable
individuals	individu	individual
won	won	won
t	t	t
take	take	take
Trump	trump	Trump
s	s	s
rhetoric	rhetor	rhetoric
to	to	to
its	it	it
literal	liter	literal
end	end	end
,	,	,
but	but	but
his	his	his
words	word	word
may	may	may
provide	provid	provide
a	a	a
magnet	magnet	magnet
for	for	for
those	those	those
seeking	seek	seeking
infamy	infami	infamy
.	.	.
They	they	They
may	may	may
provide	provid	provide
inspiration	inspir	inspiration
or	or	or
permission	permiss	permission
for	for	for
those	those	those
bent	bent	bent
on	on	on
bloodshed	bloodsh	bloodshed
.	.	.
What	what	What
political	polit	political
leaders	leader	leader
say	say	say
matters	matter	matter
to	to	to
their	their	their
followers	follow	follower
.	.	.
When	when	When
candidates	candid	candidate
descend	descend	descend
into	into	into
coarseness	coars	coarseness
and	and	and
insult	insult	insult
,	,	,
our	our	our
politics	polit	politics
follow	follow	follow
suit	suit	suit
.	.	.
When	when	When
they	they	they
affirm	affirm	affirm
violence	violenc	violence
,	,	,
we	we	we
should	should	should
fear	fear	fear
that	that	that
violence	violenc	violence
will	will	will
follow	follow	follow
.	.	.
It	it	It
must	must	must
be	be	be
the	the	the
responsibility	respons	responsibility
of	of	of
all	all	all
Americans	american	Americans
from	from	from
Donald	donald	Donald
Trump	trump	Trump
himself	himself	himself
,	,	,
to	to	to
his	his	his
supporters	support	supporter
,	,	,
to	to	to
those	those	those
who	who	who
remain	remain	remain
silent	silent	silent
or	or	or
oppose	oppos	oppose
him	him	him
to	to	to
unambiguously	unambigu	unambiguously
condemn	condemn	condemn
these	these	these
remarks	remark	remark
and	and	and
the	the	the
violence	violenc	violence
they	they	they
insinuate	insinu	insinuate
.	.	.
The	the	The
integrity	integr	integrity
of	of	of
our	our	our
democracy	democraci	democracy
and	and	and
the	the	the
decency	decenc	decency
of	of	of
our	our	our
nation	nation	nation
is	is	is
at	at	at
stake	stake	stake
.	.	.
In	in	In
2011	2011	2011
,	,	,
Giffords	gifford	Giffords
was	was	wa
shot	shot	shot
in	in	in
the	the	the
head	head	head
while	while	while
meeting	meet	meeting
with	with	with
constituents	constitu	constituent
outside	outsid	outside
of	of	of
a	a	a
grocery	groceri	grocery
store	store	store
in	in	in
Tuscon	tuscon	Tuscon
,	,	,
Arizona	arizona	Arizona
.	.	.
Six	six	Six
people	peopl	people
were	were	were
killed	kill	killed
in	in	in
the	the	the
tragic	tragic	tragic
shooting	shoot	shooting
and	and	and
Giffords	gifford	Giffords
was	was	wa
critically	critic	critically
wounded	wound	wounded
.	.	.
Recovery	recoveri	Recovery
has	has	ha
been	been	been
long	long	long
and	and	and
hard	hard	hard
,	,	,
and	and	and
is	is	is
not	not	not
yet	yet	yet
done	done	done
,	,	,
but	but	but
she	she	she
has	has	ha
become	becom	become
a	a	a
tireless	tireless	tireless
advocate	advoc	advocate
for	for	for
gun	gun	gun
control	control	control
regulations	regul	regulation
to	to	to
make	make	make
America	america	America
safer	safer	safer
.	.	.
She	she	She
spoke	spoke	spoke
at	at	at
the	the	the
Democratic	democrat	Democratic
National	nation	National
Convention	convent	Convention
and	and	and
said	said	said
that	that	that
as	as	a
president	presid	president
,	,	,
Hillary	hillari	Hillary
Clinton	clinton	Clinton
would	would	would
fight	fight	fight
to	to	to
enact	enact	enact
gun	gun	gun
control	control	control
legislation	legisl	legislation
that	that	that
would	would	would
help	help	help
keep	keep	keep
guns	gun	gun
out	out	out
of	of	of
the	the	the
hands	hand	hand
of	of	of
people	peopl	people
like	like	like
the	the	the
man	man	man
who	who	who
shot	shot	shot
her	her	her
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
Alex	alex	Alex
Wong	wong	Wong
Getty	getti	Getty
Images	imag	Images
