Last	last	Last
threatened	threaten	threatened
,	,	,
Chappelle	chappell	Chappelle
-Nadal	-nadal	-Nadal
seems	seem	seems
to	to	to
have	have	have
found	found	found
her	her	her
conscience	conscienc	conscience
,	,	,
and	and	and
is	is	is
now	now	now
offering	offer	offering
a	a	a
heartfelt	heartfelt	heartfelt
apology	apolog	apology
to	to	to
President	presid	President
Trump	trump	Trump
.	.	.

Hmmm	hmmm	Hmmm
.	.	.
funny	funni	funny
how	how	how
that	that	that
happened	happen	happened
.	.	.
State	state	State
Sen	sen	Sen
.	.	.

Maria	maria	Maria
Chappelle	chappell	Chappelle
-Nadal	-nadal	-Nadal
apologized	apolog	apologized
at	at	at
a	a	a
press	press	press
conference	confer	conference
streamed	stream	streamed
live	live	live
on	on	on
the	the	the
Facebook	facebook	Facebook
page	page	page
of	of	of
the	the	the
Clayton	clayton	Clayton
Times	time	Times
,	,	,
a	a	a
St	st	St
.	.	.
Louis	loui	Louis
County	counti	County
newspaper	newspap	newspaper
.	.	.

President	presid	President
Trump	trump	Trump
,	,	,
I	i	I
apologize	apolog	apologize
to	to	to
you	you	you
and	and	and
your	your	your
family	famili	family
,	,	,
Chappelle	chappell	Chappelle
-Nadal	-nadal	-Nadal
said	said	said
at	at	at
the	the	the
Wellspring	wellspr	Wellspring
Church	church	Church
in	in	in
Ferguson	ferguson	Ferguson
,	,	,
Missouri	missouri	Missouri
.	.	.

I	i	I
also	also	also
apologize	apolog	apologize
to	to	to
all	all	all
the	the	the
people	peopl	people
in	in	in
Missouri	missouri	Missouri
.	.	.

And	and	And
I	i	I
also	also	also
apologize	apolog	apologize
to	to	to
my	my	my
colleagues	colleagu	colleague
in	in	in
the	the	the
Missouri	missouri	Missouri
legislature	legislatur	legislature
for	for	for
the	the	the
mistake	mistak	mistake
that	that	that
I	i	I
made	made	made
.	.	.

Watch	watch	Watch
her	her	her
tearful	tear	tearful
apology	apolog	apology
below	below	below
.	.	.

Here's	here	Here's
some	some	some
video	video	video
of	of	of
Sen	sen	Sen
.	.	.

Chappelle	chappell	Chappelle
-Nadal's	-nadal	-Nadal's
remarks	remark	remark
in	in	in
Ferguson	ferguson	Ferguson
today	today	today
.	.	.

#moleg	#moleg	#moleg
pic.twitter.com/ByMhEfvlvx	pic.twitter.com/bymhefvlvx	pic.twitter.com/ByMhEfvlvx
Celeste	celest	Celeste
Bott	bott	Bott
@celestebott	@celestebott	@celestebott
August	august	August
20	20	20
,	,	,
2017	2017	2017

