When	when	When
We	we	We
ve	ve	ve
allowed	allow	allowed
all	all	all
this	this	this
stuff	stuff	stuff
,	,	,
so	so	so
we	we	we
have	have	have
to	to	to
fix	fix	fix
it	it	it
.	.	.
But	but	But
you	you	you
can	can	can
t	t	t
say	say	say
,	,	,
Oh	oh	Oh
,	,	,
you	you	you
re	re	re
Lebanese	lebanes	Lebanese
or	or	or
you	you	you
re	re	re
black	black	black
or	or	or
you	you	you
re	re	re
Mexican	mexican	Mexican
or	or	or
you	you	you
re	re	re
a	a	a
woman	woman	woman
.	.	.
Stop	stop	Stop
blaming	blame	blaming
everybody	everybodi	everybody
.	.	.
Let	let	Let
s	s	s
fix	fix	fix
the	the	the
crap	crap	crap
.	.	.
Let	let	Let
s	s	s
just	just	just
fix	fix	fix
it	it	it
.	.	.
If	if	If
you	you	you
can	can	can
fix	fix	fix
it	it	it
,	,	,
I	i	I
will	will	will
listen	listen	listen
to	to	to
what	what	what
you	you	you
have	have	have
to	to	to
say	say	say
.	.	.
The	the	The
minute	minut	minute
you	you	you
start	start	start
pointing	point	pointing
and	and	and
saying	say	saying
that	that	that
person	person	person
is	is	is
a	a	a
rapist	rapist	rapist
and	and	and
a	a	a
murderer	murder	murderer
,	,	,
it	it	it
pisses	piss	piss
me	me	me
off	off	off
because	becaus	because
I	i	I
ve	ve	ve
been	been	been
part	part	part
of	of	of
that	that	that
when	when	when
they	they	they
just	just	just
use	use	use
a	a	a
blanket	blanket	blanket
statement	statement	statement
to	to	to
talk	talk	talk
about	about	about
black	black	black
people	peopl	people
or	or	or
when	when	when
they	they	they
use	use	use
a	a	a
blanket	blanket	blanket
statement	statement	statement
to	to	to
talk	talk	talk
about	about	about
white	white	white
people	peopl	people
or	or	or
women	women	woman
or	or	or
any	ani	any
other	other	other
group	group	group
.	.	.
I	i	I
don	don	don
t	t	t
think	think	think
that	that	that
s	s	s
America	america	America
.	.	.
I	i	I
don	don	don
t	t	t
want	want	want
it	it	it
to	to	to
be	be	be
America	america	America
.	.	.
Maybe	mayb	Maybe
it	it	it
s	s	s
time	time	time
for	for	for
me	me	me
to	to	to
move	move	move
,	,	,
you	you	you
know	know	know
.	.	.
I	i	I
can	can	can
afford	afford	afford
to	to	to
go	go	go
,	,	,
she	she	she
added	ad	added
.	.	.
I	i	I
ve	ve	ve
always	alway	always
been	been	been
an	an	an
American	american	American
,	,	,
and	and	and
this	this	this
has	has	ha
always	alway	always
been	been	been
my	my	my
country	countri	country
and	and	and
we	we	we
ve	ve	ve
always	alway	always
been	been	been
able	abl	able
to	to	to
have	have	have
discussions	discuss	discussion
.	.	.
And	and	And
suddenly	sudden	suddenly
now	now	now
it	it	it
s	s	s
turning	turn	turning
into	into	into
,	,	,
you	you	you
know	know	know
,	,	,
not	not	not
them	them	them
,	,	,
not	not	not
them	them	them
.	.	.
And	and	And
you	you	you
know	know	know
,	,	,
we	we	we
have	have	have
a	a	a
lot	lot	lot
of	of	of
friends	friend	friend
whose	whose	whose
parents	parent	parent
saw	saw	saw
this	this	this
already	alreadi	already
.	.	.
They	they	They
don	don	don
t	t	t
want	want	want
to	to	to
relive	reliv	relive
this	this	this
So	so	So
I	i	I
need	need	need
all	all	all
the	the	the
candidates	candid	candidate
to	to	to
get	get	get
it	it	it
together	togeth	together
.	.	.
Get	get	Get
back	back	back
to	to	to
American	american	American
values	valu	value
.	.	.
Behar	behar	Behar
said	said	said
,	,	,
I	i	I
must	must	must
be	be	be
naive	naiv	naive
maybe	mayb	maybe
but	but	but
I	i	I
do	do	do
believe	believ	believe
that	that	that
at	at	at
the	the	the
end	end	end
of	of	of
the	the	the
day	day	day
the	the	the
American	american	American
people	peopl	people
will	will	will
not	not	not
vote	vote	vote
for	for	for
that	that	that
type	type	type
of	of	of
xenophobia	xenophobia	xenophobia
.	.	.
The	the	The
fact	fact	fact
that	that	that
they	they	they
voted	vote	voted
twice	twice	twice
for	for	for
President	presid	President
Obama	obama	Obama
,	,	,
twice	twice	twice
for	for	for
President	presid	President
Clinton	clinton	Clinton
,	,	,
people	peopl	people
like	like	like
that	that	that
.	.	.
I	i	I
really	realli	really
do	do	do
believe	believ	believe
they	they	they
will	will	will
come	come	come
to	to	to
their	their	their
senses	sens	sens
.	.	.
You	you	You
know	know	know
what	what	what
,	,	,
he	he	he
can	can	can
t	t	t
win	win	win
without	without	without
40	40	40
percent	percent	percent
of	of	of
the	the	the
Hispanic	hispan	Hispanic
vote	vote	vote
and	and	and
he	he	he
has	has	ha
alienated	alien	alienated
the	the	the
Hispanics	hispan	Hispanics
.	.	.
Via	via	Via
Breitbart	breitbart	Breitbart
News	news	News
