If	if	If
to	to	to
find	find	find
out	out	out
what	what	what
s	s	s
really	realli	really
happening	happen	happening
.	.	.

Here	here	Here
s	s	s
the	the	the
video	video	video
via	via	via
YouTube	youtub	YouTube
.	.	.
We	we	We
have	have	have
freedom	freedom	freedom
of	of	of
the	the	the
press	press	press
in	in	in
this	this	this
country	countri	country
and	and	and
Trump	trump	Trump
needs	need	need
to	to	to
understand	understand	understand
that	that	that
.	.	.

Because	becaus	Because
right	right	right
now	now	now
it	it	it
sounds	sound	sound
like	like	like
he	he	he
intends	intend	intends
to	to	to
do	do	do
everything	everyth	everything
he	he	he
can	can	can
to	to	to
punish	punish	punish
reporters	report	reporter
for	for	for
doing	do	doing
their	their	their
jobs	job	job
.	.	.

The	the	The
way	way	way
Trump	trump	Trump
is	is	is
treating	treat	treating
the	the	the
press	press	press
right	right	right
now	now	now
is	is	is
the	the	the
way	way	way
dictators	dictat	dictator
do	do	do
.	.	.

And	and	And
that	that	that
cannot	cannot	cannot
be	be	be
allowed	allow	allowed
to	to	to
happen	happen	happen
in	in	in
America	america	America
or	or	or
democracy	democraci	democracy
and	and	and
transparency	transpar	transparency
will	will	will
be	be	be
lost	lost	lost
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
screenshot	screenshot	screenshot

