Before	befor	Before
used	use	used
with	with	with
such	such	such
gusto	gusto	gusto
for	for	for
basically	basic	basically
his	his	his
entire	entir	entire
campaign	campaign	campaign
Build	build	Build
that	that	that
wall	wall	wall
,	,	,
and	and	and
Who	who	Who
s	s	s
going	go	going
to	to	to
pay	pay	pay
for	for	for
it	it	it
?	?	?
Crowd	crowd	Crowd
response	respons	response
MEXICO	mexico	MEXICO
!	!	!
?	?	?
It	it	It
was	was	wa
all	all	all
vote	vote	vote
-bait	-bait	-bait
,	,	,
red	red	red
meat	meat	meat
for	for	for
voters	voter	voter
who	who	who
didn	didn	didn
t	t	t
know	know	know
that	that	that
it	it	it
was	was	wa
completely	complet	completely
impractical	impract	impractical
and	and	and
would	would	would
never	never	never
happen	happen	happen
.	.	.
And	and	And
within	within	within
his	his	his
first	first	first
days	day	day
in	in	in
office	offic	office
this	this	this
call	call	call
took	took	took
place	place	place
on	on	on
Jan	jan	Jan
.	.	.
27	27	27
,	,	,
a	a	a
week	week	week
after	after	after
Trump	trump	Trump
s	s	s
inauguration	inaugur	inauguration
Trump	trump	Trump
was	was	wa
already	alreadi	already
throwing	throw	throwing
in	in	in
the	the	the
towel	towel	towel
on	on	on
it	it	it
on	on	on
a	a	a
call	call	call
with	with	with
the	the	the
Mexican	mexican	Mexican
president	presid	president
.	.	.
Source	sourc	Source
Washington	washington	Washington
PostWell	postwel	PostWell
,	,	,
Trump	trump	Trump
voters	voter	voter
didn	didn	didn
t	t	t
quite	quit	quite
see	see	see
it	it	it
as	as	a
just	just	just
more	more	more
campaign	campaign	campaign
rhetoric	rhetor	rhetoric
.	.	.
According	accord	According
to	to	to
polls	poll	poll
,	,	,
79	79	79
percent	percent	percent
of	of	of
Trump	trump	Trump
voters	voter	voter
really	realli	really
wanted	want	wanted
that	that	that
wall	wall	wall
.	.	.
Now	now	Now
they	they	they
,	,	,
like	like	like
the	the	the
rest	rest	rest
of	of	of
us	us	u
,	,	,
are	are	are
screwed	screw	screwed
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
Win	win	Win
McNamee	mcname	McNamee
Getty	getti	Getty
Images	imag	Images
