Eric	eric	Eric
win	win	win
the	the	the
Republican	republican	Republican
U	u	U
.	.	.
S	s	S
.	.	.
Presidential	presidenti	Presidential
nomination	nomin	nomination
.	.	.
They	they	They
re	re	re
not	not	not
bound	bound	bound
,	,	,
not	not	not
even	even	even
on	on	on
the	the	the
first	first	first
ballot	ballot	ballot
.	.	.
They	they	They
might	might	might
pretend	pretend	pretend
to	to	to
be	be	be
,	,	,
if	if	if
they	they	they
feel	feel	feel
a	a	a
need	need	need
to	to	to
put	put	put
on	on	on
a	a	a
show	show	show
that	that	that
looks	look	look
democratic	democrat	democratic
,	,	,
but	but	but
any	ani	any
who	who	who
don	don	don
t	t	t
feel	feel	feel
the	the	the
need	need	need
to	to	to
make	make	make
such	such	such
a	a	a
pretense	pretens	pretense
,	,	,
can	can	can
do	do	do
whatever	whatev	whatever
they	they	they
want	want	want
on	on	on
the	the	the
first	first	first
ballot	ballot	ballot
,	,	,
just	just	just
like	like	like
on	on	on
any	ani	any
successive	success	successive
ballot	ballot	ballot
.	.	.
They	they	They
are	are	are
free	free	free
;	;	;
all	all	all
of	of	of
them	them	them
are	are	are
free	free	free
.	.	.
It	it	It
s	s	s
only	onli	only
the	the	the
electorate	elector	electorate
who	who	who
aren	aren	aren
t	t	t
they	they	they
re	re	re
not	not	not
represented	repres	represented
,	,	,
at	at	at
all	all	all
.	.	.
What	what	What
about	about	about
on	on	on
the	the	the
Democratic	democrat	Democratic
side	side	side
?	?	?
Wyoming	wyom	Wyoming
had	had	had
held	held	held
its	it	it
Democratic	democrat	Democratic
Party	parti	Party
caucuses	caucus	caucus
on	on	on
April	april	April
9	9	9
,	,	,
and	and	and
there	there	there
really	realli	really
were	were	were
caucuses	caucus	caucus
.	.	.
Two	two	Two
days	day	day
later	later	later
,	,	,
CNN	cnn	CNN
headlined	headlin	headlined
Wyoming	wyom	Wyoming
Democratic	democrat	Democratic
Caucuses	caucus	Caucuses
Bernie	berni	Bernie
Sanders	sander	Sanders
Picks	pick	Picks
Up	up	Up
Another	anoth	Another
Win	win	Win
,	,	,
and	and	and
reported	report	reported
Bernie	berni	Bernie
Sanders	sander	Sanders
won	won	won
the	the	the
Wyoming	wyom	Wyoming
Democratic	democrat	Democratic
caucuses	caucus	caucus
Saturday	saturday	Saturday
,	,	,
providing	provid	providing
his	his	his
campaign	campaign	campaign
with	with	with
one	one	one
more	more	more
jolt	jolt	jolt
of	of	of
momentum	momentum	momentum
before	befor	before
the	the	the
race	race	race
against	against	against
Hillary	hillari	Hillary
Clinton	clinton	Clinton
heads	head	head
east	east	east
.	.	.
Even	even	Even
so	so	so
,	,	,
he	he	he
made	made	made
no	no	no
gains	gain	gain
in	in	in
Clinton	clinton	Clinton
s	s	s
delegate	deleg	delegate
lead	lead	lead
,	,	,
as	as	a
each	each	each
earned	earn	earned
seven	seven	seven
delegates	deleg	delegate
as	as	a
a	a	a
result	result	result
.	.	.
On	on	On
April	april	April
12th	12th	12th
a	a	a
youtube	youtub	youtube
video	video	video
was	was	wa
posted	post	posted
,	,	,
MSNBC	msnbc	MSNBC
Morning	morn	Morning
Host	host	Host
Admits	admit	Admits
The	the	The
Whole	whole	Whole
Voting	vote	Voting
System	system	System
Is	is	Is
Rigged	rig	Rigged
After	after	After
Bernie	berni	Bernie
Get	get	Get
s	s	s
Cheated	cheat	Cheated
!	!	!
Here	here	Here
the	the	the
co	co	co
-hosts	-host	-hosts
had	had	had
a	a	a
conversation	convers	conversation
about	about	about
the	the	the
results	result	result
Sanders	sander	Sanders
beat	beat	beat
Hillary	hillari	Hillary
Clinton	clinton	Clinton
by	by	by
twelve	twelv	twelve
points	point	point
,	,	,
56	56	56
to	to	to
44	44	44
,	,	,
He	he	He
wins	win	win
by	by	by
twelve	twelv	twelve
points	point	point
.	.	.
The	the	The
accompanying	accompani	accompanying
image	imag	image
showed	show	showed
the	the	the
delegate	deleg	delegate
-count	-count	-count
,	,	,
in	in	in
this	this	this
contest	contest	contest
that	that	that
Sanders	sander	Sanders
had	had	had
won	won	won
by	by	by
56	56	56
to	to	to
44	44	44
18	18	18
total	total	total
.	.	.
Hillary	hillari	Hillary
Clinton	clinton	Clinton
11	11	11
,	,	,
Bernie	berni	Bernie
Sanders	sander	Sanders
7	7	7
.	.	.
It	it	It
wasn	wasn	wasn
t	t	t
7	7	7
to	to	to
7	7	7
,	,	,
after	after	after
all	all	all
.	.	.
Though	though	Though
Sanders	sander	Sanders
had	had	had
outscored	outscor	outscored
Clinton	clinton	Clinton
by	by	by
12	12	12
,	,	,
it	it	it
was	was	wa
worse	wors	worse
than	than	than
even	even	even
-steven	-steven	-steven
for	for	for
him	him	him
;	;	;
he	he	he
had	had	had
actually	actual	actually
lost	lost	lost
by	by	by
11	11	11
delegates	deleg	delegate
to	to	to
7	7	7
delegates	deleg	delegate
.	.	.
This	this	This
system	system	system
is	is	is
so	so	so
rigged	rig	rigged
!	!	!
said	said	said
one	one	one
host	host	host
.	.	.
There	there	There
s	s	s
absolutely	absolut	absolutely
no	no	no
reason	reason	reason
any	ani	any
of	of	of
those	those	those
people	peopl	people
voted	vote	voted
,	,	,
said	said	said
the	the	the
other	other	other
.	.	.
A	a	A
Hillary	hillari	Hillary
Clinton	clinton	Clinton
supporter	support	supporter
was	was	wa
the	the	the
expert	expert	expert
on	on	on
the	the	the
panel	panel	panel
,	,	,
and	and	and
he	he	he
said	said	said
,	,	,
It	it	It
s	s	s
not	not	not
rigged	rig	rigged
.	.	.
These	these	These
are	are	are
the	the	the
rules	rule	rule
.	.	.
He	he	He
wasn	wasn	wasn
t	t	t
given	given	given
time	time	time
to	to	to
explain	explain	explain
that	that	that
fine	fine	fine
point	point	point
or	or	or
how	how	how
the	the	the
rules	rule	rule
were	were	were
necessarily	necessarili	necessarily
not	not	not
rigged	rig	rigged
.	.	.
Also	also	Also
on	on	on
April	april	April
12th	12th	12th
,	,	,
Public	public	Public
Radio	radio	Radio
International	intern	International
s	s	s
Todd	todd	Todd
Zwillich	zwillich	Zwillich
headlined	headlin	headlined
falsely	fals	falsely
,	,	,
Six	six	Six
Reasons	reason	Reasons
Bernie	berni	Bernie
Sanders	sander	Sanders
Won	won	Won
Wyoming	wyom	Wyoming
,	,	,
But	but	But
Still	still	Still
Tied	tie	Tied
in	in	in
the	the	the
Delegate	deleg	Delegate
Race	race	Race
,	,	,
and	and	and
Zwillig	zwillig	Zwillig
failed	fail	failed
to	to	to
explain	explain	explain
that	that	that
word	word	word
Tied	tie	Tied
.	.	.
He	he	He
opened	open	opened
How	how	How
,	,	,
many	mani	many
of	of	of
you	you	you
ask	ask	ask
,	,	,
could	could	could
Bernie	berni	Bernie
have	have	have
won	won	won
Wyoming	wyom	Wyoming
56	56	56
percent	percent	percent
to	to	to
Hillary	hillari	Hillary
s	s	s
44	44	44
percent	percent	percent
,	,	,
but	but	but
still	still	still
split	split	split
the	the	the
delegates	deleg	delegate
with	with	with
her	her	her
50	50	50
-50	-50	-50
?	?	?
Then	then	Then
,	,	,
he	he	he
repeated	repeat	repeated
that	that	that
there	there	there
had	had	had
supposedly	suppos	supposedly
been	been	been
The	the	The
7	7	7
-7	-7	-7
split	split	split
,	,	,
but	but	but
he	he	he
also	also	also
said	said	said
Wyoming	wyom	Wyoming
has	has	ha
a	a	a
total	total	total
of	of	of
18	18	18
delegates	deleg	delegate
which	which	which
obviously	obvious	obviously
isn	isn	isn
tthe	tthe	tthe
sum	sum	sum
of	of	of
7	7	7
7	7	7
and	and	and
he	he	he
was	was	wa
also	also	also
likewise	likewis	likewise
incoherent	incoher	incoherent
,	,	,
all	all	all
the	the	the
way	way	way
through	through	through
.	.	.
Maybe	mayb	Maybe
the	the	the
rules	rule	rule
in	in	in
the	the	the
Wyoming	wyom	Wyoming
Democratic	democrat	Democratic
Party	parti	Party
are	are	are
like	like	like
that	that	that
;	;	;
but	but	but
,	,	,
whatever	whatev	whatever
they	they	they
are	are	are
,	,	,
is	is	is
so	so	so
convoluted	convolut	convoluted
,	,	,
America	america	America
s	s	s
news	news	news
-media	-media	-media
couldn	couldn	couldn
t	t	t
explain	explain	explain
what	what	what
they	they	they
were	were	were
,	,	,
much	much	much
less	less	le
were	were	were
they	they	they
able	abl	able
to	to	to
argue	argu	argue
persuasively	persuas	persuasively
that	that	that
this	this	this
was	was	wa
somehow	somehow	somehow
a	a	a
democracy	democraci	democracy
.	.	.
The	the	The
only	onli	only
thing	thing	thing
that	that	that
s	s	s
clear	clear	clear
is	is	is
that	that	that
the	the	the
electoral	elector	electoral
system	system	system
in	in	in
the	the	the
United	unit	United
States	state	States
is	is	is
so	so	so
convoluted	convolut	convoluted
,	,	,
so	so	so
complex	complex	complex
and	and	and
so	so	so
different	differ	different
from	from	from
state	state	state
to	to	to
state	state	state
and	and	and
party	parti	party
to	to	to
party	parti	party
,	,	,
that	that	that
whatever	whatev	whatever
the	the	the
intent	intent	intent
of	of	of
the	the	the
writers	writer	writer
of	of	of
America	america	America
s	s	s
Constitution	constitut	Constitution
might	might	might
have	have	have
been	been	been
,	,	,
the	the	the
system	system	system
as	as	a
it	it	it
is	is	is
today	today	today
,	,	,
can	can	can
be	be	be
successfully	success	successfully
gamed	game	gamed
and	and	and
won	won	won
only	onli	only
by	by	by
interests	interest	interest
who	who	who
can	can	can
afford	afford	afford
to	to	to
spend	spend	spend
whatever	whatev	whatever
billions	billion	billion
of	of	of
dollars	dollar	dollar
are	are	are
necessary	necessari	necessary
in	in	in
order	order	order
to	to	to
win	win	win
.	.	.
It	it	It
s	s	s
certainly	certain	certainly
anything	anyth	anything
but	but	but
democratic	democrat	democratic
.	.	.
Right	right	Right
now	now	now
,	,	,
according	accord	according
to	to	to
RealClear	realclear	RealClear
Politics	polit	Politics
,	,	,
there	there	there
are	are	are
only	onli	only
two	two	two
Presidential	presidenti	Presidential
candidates	candid	candidate
who	who	who
are	are	are
shown	shown	shown
repeatedly	repeat	repeatedly
,	,	,
and	and	and
almost	almost	almost
consistently	consist	consistently
,	,	,
to	to	to
be	be	be
preferred	prefer	preferred
by	by	by
the	the	the
majority	major	majority
of	of	of
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
electorate	elector	electorate
the	the	the
Democrat	democrat	Democrat
Bernie	berni	Bernie
Sanders	sander	Sanders
is	is	is
strongly	strong	strongly
preferred	prefer	preferred
over	over	over
the	the	the
Republicans	republican	Republicans
Trump	trump	Trump
and	and	and
Cruz	cruz	Cruz
,	,	,
and	and	and
he	he	he
is	is	is
barely	bare	barely
preferred	prefer	preferred
over	over	over
the	the	the
Republican	republican	Republican
Kasich	kasich	Kasich
;	;	;
and	and	and
the	the	the
Republican	republican	Republican
Kasich	kasich	Kasich
is	is	is
strongly	strong	strongly
preferred	prefer	preferred
over	over	over
the	the	the
Democrat	democrat	Democrat
Clinton	clinton	Clinton
.	.	.
Clinton	clinton	Clinton
loses	lose	loses
strongly	strong	strongly
to	to	to
Kasich	kasich	Kasich
and	and	and
barely	bare	barely
beats	beat	beat
Cruz	cruz	Cruz
,	,	,
while	while	while
Trump	trump	Trump
is	is	is
the	the	the
weakest	weakest	weakest
general	general	general
-election	-elect	-election
candidate	candid	candidate
of	of	of
all	all	all
.	.	.
The	the	The
strongest	strongest	strongest
general	general	general
-election	-elect	-election
candidates	candid	candidate
are	are	are
,	,	,
clearly	clear	clearly
,	,	,
Sanders	sander	Sanders
in	in	in
the	the	the
Democratic	democrat	Democratic
Party	parti	Party
,	,	,
and	and	and
Kasich	kasich	Kasich
in	in	in
the	the	the
Republican	republican	Republican
Party	parti	Party
.	.	.
In	in	In
a	a	a
democracy	democraci	democracy
,	,	,
those	those	those
would	would	would
be	be	be
the	the	the
candidates	candid	candidate
.	.	.
Throughout	throughout	Throughout
the	the	the
contest	contest	contest
thus	thus	thus
far	far	far
,	,	,
neither	neither	neither
of	of	of
these	these	these
two	two	two
has	has	ha
been	been	been
favored	favor	favored
likely	like	likely
to	to	to
win	win	win
his	his	his
respective	respect	respective
Party	parti	Party
s	s	s
nomination	nomin	nomination
,	,	,
much	much	much
less	less	le
the	the	the
Presidency	presid	Presidency
.	.	.
Whatever	whatev	Whatever
America	america	America
is	is	is
,	,	,
it	it	it
isn	isn	isn
t	t	t
a	a	a
democracy	democraci	democracy
a	a	a
one	one	one
-person-one-vote	-person-one-vot	-person-one-vote
majority	major	majority
-rule	-rule	-rule
republic	republ	republic
.	.	.
In	in	In
fact	fact	fact
,	,	,
the	the	the
only	onli	only
scientific	scientif	scientific
study	studi	study
that	that	that
has	has	ha
ever	ever	ever
been	been	been
done	done	done
of	of	of
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
political	polit	political
system	system	system
,	,	,
finds	find	find
that	that	that
it	it	it
s	s	s
no	no	no
democracy	democraci	democracy
at	at	at
all	all	all
,	,	,
but	but	but
instead	instead	instead
an	an	an
oligarchy	oligarchi	oligarchy
,	,	,
a	a	a
nation	nation	nation
ruled	rule	ruled
by	by	by
its	it	it
aristocracy	aristocraci	aristocracy
,	,	,
its	it	it
billionaires	billionair	billionaire
.	.	.
It	it	It
represents	repres	represents
them	them	them
,	,	,
not	not	not
the	the	the
citizenry	citizenri	citizenry
.	.	.
That	that	That
might	might	might
not	not	not
be	be	be
the	the	the
theory	theori	theory
,	,	,
but	but	but
empirically	empir	empirically
it	it	it
is	is	is
the	the	the
fact	fact	fact
.	.	.
An	an	An
oligarchy	oligarchi	oligarchy
is	is	is
the	the	the
commonest	commonest	commonest
type	type	type
of	of	of
dictatorship	dictatorship	dictatorship
,	,	,
and	and	and
it	it	it
certainly	certain	certainly
is	is	is
never	never	never
a	a	a
benevolent	benevol	benevolent
dictatorship	dictatorship	dictatorship
,	,	,
even	even	even
if	if	if
that	that	that
phrase	phrase	phrase
is	is	is
not	not	not
an	an	an
oxymoron	oxymoron	oxymoron
in	in	in
itself	itself	itself
.	.	.
To	to	To
sum	sum	sum
up	up	up
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
is	is	is
ruled	rule	ruled
by	by	by
and	and	and
for	for	for
the	the	the
corrupters	corrupt	corrupters
.	.	.
It	it	It
has	has	ha
been	been	been
like	like	like
that	that	that
since	sinc	since
at	at	at
least	least	least
1980	1980	1980
.	.	.
Investigative	investig	Investigative
historian	historian	historian
Eric	eric	Eric
Zuesse	zuess	Zuesse
is	is	is
the	the	the
author	author	author
,	,	,
most	most	most
recently	recent	recently
,	,	,
of	of	of
They	they	They
re	re	re
Not	not	Not
Even	even	Even
Close	close	Close
The	the	The
Democratic	democrat	Democratic
vs	vs	v
.	.	.
Republican	republican	Republican
Economic	econom	Economic
Records	record	Records
,	,	,
1910	1910	1910
-2010	-2010	-2010
,	,	,
and	and	and
of	of	of
CHRIST	christ	CHRIST
S	s	S
VENTRILOQUISTS	ventriloquist	VENTRILOQUISTS
The	the	The
Event	event	Event
that	that	that
Created	creat	Created
Christianity	christian	Christianity
.	.	.
READ	read	READ
MORE	more	MORE
US	us	US
ELECTION	elect	ELECTION
NEWS	news	NEWS
AT	at	AT
21st	21st	21st
Century	centuri	Century
Wire	wire	Wire
2016	2016	2016
Election	elect	Election
Files	file	Files
