Scott	scott	Scott
few	few	few
people	peopl	people
on	on	on
the	the	the
left	left	left
would	would	would
hope	hope	hope
to	to	to
see	see	see
in	in	in
his	his	his
successor	successor	successor
.	.	.

However	howev	However
,	,	,
this	this	this
is	is	is
a	a	a
segment	segment	segment
on	on	on
Fox	fox	Fox
Business	busi	Business
,	,	,
so	so	so
facts	fact	fact
like	like	like
that	that	that
are	are	are
not	not	not
mentioned	mention	mentioned
.	.	.
Baio	baio	Baio
goes	goe	go
on	on	on
to	to	to
say	say	say
that	that	that
Democrats	democrat	Democrats
only	onli	only
get	get	get
angry	angri	angry
over	over	over
guns	gun	gun
and	and	and
Republicans	republican	Republicans
,	,	,
yet	yet	yet
do	do	do
not	not	not
get	get	get
angry	angri	angry
over	over	over
terrorism	terror	terrorism
.	.	.

That	that	That
is	is	is
of	of	of
course	cours	course
nonsense	nonsens	nonsense
.	.	.

The	the	The
left	left	left
is	is	is
furious	furious	furious
that	that	that
the	the	the
NRA	nra	NRA
has	has	ha
taken	taken	taken
our	our	our
nation	nation	nation
hostage	hostag	hostage
,	,	,
making	make	making
it	it	it
possible	possibl	possible
for	for	for
terrorists	terrorist	terrorist
to	to	to
purchase	purchas	purchase
assault	assault	assault
weapons	weapon	weapon
in	in	in
a	a	a
matter	matter	matter
of	of	of
minutes	minut	minute
,	,	,
then	then	then
use	use	use
those	those	those
weapons	weapon	weapon
to	to	to
massacre	massacr	massacre
huge	huge	huge
numbers	number	number
of	of	of
people	peopl	people
.	.	.

The	the	The
left	left	left
also	also	also
is	is	is
pretty	pretti	pretty
furious	furious	furious
that	that	that
Muslims	muslim	Muslims
are	are	are
demonized	demon	demonized
by	by	by
the	the	the
right	right	right
and	and	and
the	the	the
media	media	medium
for	for	for
acts	act	act
of	of	of
terror	terror	terror
and	and	and
hatred	hatr	hatred
despite	despit	despite
the	the	the
fact	fact	fact
that	that	that
terrorism	terror	terrorism
is	is	is
routinely	routin	routinely
perpetrated	perpetr	perpetrated
by	by	by
members	member	member
of	of	of
all	all	all
religions	religion	religion
.	.	.
You	you	You
can	can	can
watch	watch	watch
the	the	the
segment	segment	segment
below	below	below
.	.	.
Featured	featur	Featured
image	imag	image
from	from	from
screenshot	screenshot	screenshot
via	via	via
YouTube	youtub	YouTube

