Every	everi	Every
a	a	a
joke	joke	joke
,	,	,
as	as	a
the	the	the
FBI	fbi	FBI
director	director	director
and	and	and
his	his	his
top	top	top
counterterrorism	counterterror	counterterrorism
aide	aid	aide
,	,	,
as	as	a
well	well	well
as	as	a
the	the	the
Homeland	homeland	Homeland
Security	secur	Security
and	and	and
National	nation	National
Intelligence	intellig	Intelligence
chiefs	chief	chief
,	,	,
have	have	have
all	all	all
testified	testifi	testified
.	.	.
State	state	State
notes	note	note
in	in	in
its	it	it
report	report	report
that	that	that
security	secur	security
checks	check	check
include	includ	include
biographic	biograph	biographic
name	name	name
checks	check	check
for	for	for
all	all	all
refugee	refuge	refugee
applicants	applic	applicant
and	and	and
biometric	biometr	biometric
fingerprint	fingerprint	fingerprint
checks	check	check
for	for	for
refugee	refuge	refugee
applicants	applic	applicant
.	.	.

Only	onli	Only
Syria	syria	Syria
is	is	is
a	a	a
failed	fail	failed
state	state	state
,	,	,
and	and	and
there	there	there
are	are	are
no	no	no
fingerprint	fingerprint	fingerprint
databases	databas	database
to	to	to
check	check	check
applicants	applic	applicant
against	against	against
.	.	.
The	the	The
Islamic	islam	Islamic
State	state	State
has	has	ha
publicly	public	publicly
vowed	vow	vowed
to	to	to
use	use	use
the	the	the
refugee	refuge	refugee
program	program	program
to	to	to
invade	invad	invade
Europe	europ	Europe
and	and	and
America	america	America
,	,	,
and	and	and
allegedly	alleg	allegedly
has	has	ha
already	alreadi	already
infiltrated	infiltr	infiltrated
some	some	some
4	4	4
,	,	,
000	000	000
warriors	warrior	warrior
among	among	among
the	the	the
flood	flood	flood
of	of	of
Syrian	syrian	Syrian
refugees	refuge	refugee
.	.	.
The	the	The
Obama	obama	Obama
administration	administr	administration
insists	insist	insists
that	that	that
it	it	it
will	will	will
catch	catch	catch
any	ani	any
terrorist	terrorist	terrorist
infiltrators	infiltr	infiltrator
through	through	through
its	it	it
interviewing	interview	interviewing
process	process	process
.	.	.
But	but	But
,	,	,
the	the	the
State	state	State
Department	depart	Department
report	report	report
said	said	said
,	,	,
In	in	In
some	some	some
countries	countri	country
,	,	,
such	such	such
as	as	a
Syria	syria	Syria
,	,	,
Yemen	yemen	Yemen
and	and	and
Eritrea	eritrea	Eritrea
,	,	,
Department	depart	Department
of	of	of
Homeland	homeland	Homeland
Security	secur	Security
adjudicators	adjud	adjudicator
have	have	have
been	been	been
unable	unabl	unable
to	to	to
travel	travel	travel
to	to	to
interview	interview	interview
applicants	applic	applicant
for	for	for
several	sever	several
years	year	year
.	.	.

That	that	That
s	s	s
not	not	not
all	all	all
.	.	.

The	the	The
UNHCR	unhcr	UNHCR
is	is	is
working	work	working
hand	hand	hand
in	in	in
hand	hand	hand
with	with	with
an	an	an
international	intern	international
Islamist	islamist	Islamist
group	group	group
of	of	of
57	57	57
Muslim	muslim	Muslim
nations	nation	nation
the	the	the
Organization	organ	Organization
of	of	of
Islamic	islam	Islamic
Cooperation	cooper	Cooperation
whose	whose	whose
founding	found	founding
charter	charter	charter
seeks	seek	seek
to	to	to
propagate	propag	propagate
legitimate	legitim	legitimate
jihad	jihad	jihad
and	and	and
the	the	the
norms	norm	norm
of	of	of
Islamic	islam	Islamic
Shari	shari	Shari
ah	ah	ah
.	.	.

Saudi	saudi	Saudi
-based	-base	-based
OIC	oic	OIC
,	,	,
in	in	in
fact	fact	fact
,	,	,
is	is	is
tied	tie	tied
to	to	to
the	the	the
radical	radic	radical
Muslim	muslim	Muslim
Brotherhood	brotherhood	Brotherhood
.	.	.

We	we	We
are	are	are
delighted	delight	delighted
to	to	to
work	work	work
with	with	with
the	the	the
OIC	oic	OIC
,	,	,
said	said	said
U	u	U
.	.	.
N	n	N
.	.	.
High	high	High
Commissioner	commission	Commissioner
for	for	for
Refugees	refuge	Refugees
Antonio	antonio	Antonio
Guterres	guterr	Guterres
.	.	.
So	so	So
it	it	it
s	s	s
really	realli	really
the	the	the
U	u	U
.	.	.
N	n	N
.	.	.
and	and	and
radical	radic	radical
Islamists	islamist	Islamists
who	who	who
are	are	are
choosing	choos	choosing
your	your	your
new	new	new
Muslim	muslim	Muslim
neighbors	neighbor	neighbor
.	.	.
While	while	While
the	the	the
U	u	U
.	.	.
N	n	N
.	.	.
calls	call	call
its	it	it
project	project	project
refugee	refuge	refugee
resettlement	resettl	resettlement
,	,	,
the	the	the
Islamists	islamist	Islamists
call	call	call
it	it	it
hijra	hijra	hijra
,	,	,
or	or	or
immigration	immigr	immigration
jihad	jihad	jihad
.	.	.

Via	via	Via
IBD	ibd	IBD

