Caitlyn	caitlyn	Caitlyn
?	?	?
If	if	If
that	that	that
is	is	is
the	the	the
case	case	case
I	i	I
would	would	would
seriously	serious	seriously
look	look	look
at	at	at
a	a	a
run	run	run
.	.	.
It	it	It
just	just	just
depends	depend	depends
where	where	where
I	i	I
could	could	could
be	be	be
more	more	more
effective	effect	effective
.	.	.
Some	some	Some
people	peopl	people
know	know	know
Jenner	jenner	Jenner
from	from	from
her	her	her
time	time	time
as	as	a
Bruce	bruce	Bruce
when	when	when
she	she	she
won	won	won
multiple	multipl	multiple
gold	gold	gold
medals	medal	medal
in	in	in
the	the	the
Olympics	olymp	Olympics
during	dure	during
the	the	the
1970s	1970s	1970s
.	.	.
Younger	younger	Younger
generations	generat	generation
know	know	know
her	her	her
from	from	from
the	the	the
show	show	show
Keeping	keep	Keeping
Up	up	Up
with	with	with
the	the	the
Kardashians	kardashian	Kardashians
.	.	.
Viewers	viewer	Viewers
watched	watch	watched
her	her	her
before	befor	before
her	her	her
transformation	transform	transformation
,	,	,
through	through	through
the	the	the
process	process	process
and	and	and
then	then	then
after	after	after
.	.	.
The	the	The
family	famili	family
has	has	ha
not	not	not
responded	respond	responded
well	well	well
to	to	to
her	her	her
new	new	new
book	book	book
.	.	.
Before	befor	Before
she	she	she
told	told	told
the	the	the
world	world	world
that	that	that
she	she	she
was	was	wa
transgender	transgend	transgender
,	,	,
Jenner	jenner	Jenner
thought	thought	thought
she	she	she
had	had	had
too	too	too
many	mani	many
skeletons	skeleton	skeleton
in	in	in
her	her	her
closet	closet	closet
.	.	.
Now	now	Now
that	that	that
the	the	the
world	world	world
knows	know	know
about	about	about
that	that	that
,	,	,
she	she	she
says	say	say
,	,	,
Now	now	Now
,	,	,
I	i	I
have	have	have
no	no	no
more	more	more
secrets	secret	secret
.	.	.
I	i	I
would	would	would
have	have	have
to	to	to
look	look	look
over	over	over
the	the	the
next	next	next
year	year	year
or	or	or
two	two	two
and	and	and
see	see	see
,	,	,
Can	can	Can
I	i	I
do	do	do
a	a	a
better	better	better
job	job	job
on	on	on
the	the	the
outside	outsid	outside
?	?	?
or	or	or
Am	am	Am
I	i	I
in	in	in
a	a	a
position	posit	position
now	now	now
that	that	that
I	i	I
can	can	can
do	do	do
a	a	a
better	better	better
job	job	job
for	for	for
my	my	my
community	communiti	community
on	on	on
the	the	the
inside	insid	inside
?	?	?
Featured	featur	Featured
image	imag	image
via	via	via
Santiago	santiago	Santiago
Felipe	felip	Felipe
Getty	getti	Getty
Images	imag	Images
