Amateur	amateur	Amateur
Travel	travel	Travel
and	and	and
security	secur	security
costs	cost	cost
associated	associ	associated
with	with	with
the	the	the
trips	trip	trip
to	to	to
his	his	his
resort	resort	resort
is	is	is
through	through	through
the	the	the
roof	roof	roof
.	.	.
On	on	On
top	top	top
of	of	of
that	that	that
,	,	,
this	this	this
is	is	is
a	a	a
burden	burden	burden
for	for	for
the	the	the
Secret	secret	Secret
Service	servic	Service
.	.	.
In	in	In
2015	2015	2015
,	,	,
Trump	trump	Trump
said	said	said
that	that	that
if	if	if
elected	elect	elected
,	,	,
he	he	he
would	would	would
,	,	,
rarely	rare	rarely
leave	leav	leave
the	the	the
White	white	White
House	hous	House
because	becaus	because
there	there	there
s	s	s
so	so	so
much	much	much
work	work	work
to	to	to
be	be	be
done	done	done
.	.	.
I	i	I
would	would	would
not	not	not
be	be	be
a	a	a
president	presid	president
who	who	who
took	took	took
vacations	vacat	vacation
.	.	.
I	i	I
would	would	would
not	not	not
be	be	be
a	a	a
president	presid	president
that	that	that
takes	take	take
time	time	time
off	off	off
.	.	.
Yeah	yeah	Yeah
,	,	,
we	we	we
re	re	re
going	go	going
to	to	to
go	go	go
with	with	with
he	he	he
was	was	wa
lying	lie	lying
Photo	photo	Photo
by	by	by
Mario	mario	Mario
Tama	tama	Tama
Getty	getti	Getty
Images	imag	Images
.	.	.
