Nicolas	nicola	Nicolas
?	?	?
The	the	The
Changing	chang	Changing
Face	face	Face
of	of	of
WarThe	warth	WarThe
Second	second	Second
World	world	World
War	war	War
was	was	wa
the	the	the
deadliest	deadliest	deadliest
war	war	war
ever	ever	ever
fought	fought	fought
,	,	,
with	with	with
at	at	at
least	least	least
75	75	75
million	million	million
people	peopl	people
killed	kill	killed
,	,	,
about	about	about
five	five	five
times	time	time
as	as	a
many	mani	many
as	as	a
in	in	in
the	the	the
First	first	First
World	world	World
War	war	War
.	.	.
When	when	When
the	the	the
slaughter	slaughter	slaughter
ended	end	ended
in	in	in
1945	1945	1945
,	,	,
world	world	world
leaders	leader	leader
signed	sign	signed
the	the	the
United	unit	United
Nations	nation	Nations
Charter	charter	Charter
to	to	to
try	tri	try
to	to	to
ensure	ensur	ensure
that	that	that
that	that	that
scale	scale	scale
of	of	of
mass	mass	mass
killing	kill	killing
and	and	and
destruction	destruct	destruction
would	would	would
never	never	never
happen	happen	happen
again	again	again
.	.	.
The	the	The
U	u	U
.	.	.
N	n	N
.	.	.
Charter	charter	Charter
is	is	is
still	still	still
in	in	in
force	forc	force
,	,	,
and	and	and
it	it	it
explicitly	explicit	explicitly
prohibits	prohibit	prohibits
the	the	the
threat	threat	threat
or	or	or
use	use	use
of	of	of
military	militari	military
force	forc	force
by	by	by
any	ani	any
nation	nation	nation
.	.	.
It	it	It
was	was	wa
not	not	not
just	just	just
the	the	the
scale	scale	scale
of	of	of
the	the	the
slaughter	slaughter	slaughter
that	that	that
shocked	shock	shocked
the	the	the
world	world	world
s	s	s
leaders	leader	leader
into	into	into
that	that	that
brief	brief	brief
moment	moment	moment
of	of	of
sanity	saniti	sanity
in	in	in
1945	1945	1945
.	.	.
It	it	It
was	was	wa
also	also	also
the	the	the
identities	ident	identity
of	of	of
the	the	the
dead	dead	dead
.	.	.
Two	two	Two
-thirds	-third	-thirds
of	of	of
the	the	the
people	peopl	people
killed	kill	killed
in	in	in
the	the	the
Second	second	Second
World	world	World
War	war	War
were	were	were
civilians	civilian	civilian
,	,	,
a	a	a
drastic	drastic	drastic
change	chang	change
from	from	from
the	the	the
First	first	First
World	world	World
War	war	War
,	,	,
only	onli	only
a	a	a
few	few	few
decades	decad	decade
earlier	earlier	earlier
,	,	,
when	when	when
an	an	an
estimated	estim	estimated
86	86	86
percent	percent	percent
of	of	of
the	the	the
people	peopl	people
killed	kill	killed
were	were	were
uniformed	uniform	uniformed
combatants	combat	combatant
.	.	.
The	the	The
use	use	use
of	of	of
nuclear	nuclear	nuclear
weapons	weapon	weapon
by	by	by
the	the	the
United	unit	United
States	state	States
raised	rais	raised
the	the	the
specter	specter	specter
that	that	that
future	futur	future
wars	war	war
could	could	could
kill	kill	kill
an	an	an
exponentially	exponenti	exponentially
greater	greater	greater
numbers	number	number
of	of	of
civilians	civilian	civilian
,	,	,
or	or	or
even	even	even
end	end	end
human	human	human
civilization	civil	civilization
altogether	altogeth	altogether
.	.	.
War	war	War
had	had	had
become	becom	become
total	total	total
war	war	war
,	,	,
no	no	no
longer	longer	longer
fought	fought	fought
only	onli	only
on	on	on
battlefields	battlefield	battlefield
between	between	between
soldiers	soldier	soldier
,	,	,
but	but	but
between	between	between
entire	entir	entire
societies	societi	society
with	with	with
ordinary	ordinari	ordinary
people	peopl	people
,	,	,
their	their	their
homes	home	home
and	and	and
their	their	their
lives	live	life
now	now	now
on	on	on
the	the	the
front	front	front
line	line	line
.	.	.
In	in	In
the	the	the
Second	second	Second
World	world	World
War	war	War
Fleets	fleet	Fleets
of	of	of
warplanes	warplan	warplane
deliberately	deliber	deliberately
bombed	bomb	bombed
cities	citi	city
to	to	to
dehouse	dehous	dehouse
civilian	civilian	civilian
populations	popul	population
,	,	,
as	as	a
British	british	British
officials	offici	official
described	describ	described
their	their	their
own	own	own
bombing	bomb	bombing
of	of	of
Germany	germani	Germany
.	.	.
As	as	As
I	i	I
write	write	write
this	this	this
,	,	,
George	georg	George
Orwell	orwel	Orwell
wrote	wrote	wrote
from	from	from
London	london	London
in	in	in
1941	1941	1941
,	,	,
Highly	high	Highly
civilized	civil	civilized
human	human	human
beings	be	being
are	are	are
flying	fli	flying
overhead	overhead	overhead
,	,	,
trying	tri	trying
to	to	to
kill	kill	kill
me	me	me
.	.	.
Submarines	submarin	Submarines
sank	sank	sank
hundreds	hundr	hundred
of	of	of
merchant	merchant	merchant
ships	ship	ship
in	in	in
an	an	an
effort	effort	effort
to	to	to
starve	starv	starve
their	their	their
enemies	enemi	enemy
into	into	into
submission	submiss	submission
.	.	.
General	general	General
Carter	carter	Carter
Clarke	clark	Clarke
,	,	,
who	who	who
was	was	wa
in	in	in
charge	charg	charge
of	of	of
interpreting	interpret	interpreting
Japanese	japanes	Japanese
intelligence	intellig	intelligence
for	for	for
President	presid	President
Truman	truman	Truman
,	,	,
said	said	said
in	in	in
a	a	a
1959	1959	1959
interview	interview	interview
that	that	that
Japan	japan	Japan
surrendered	surrend	surrendered
because	becaus	because
it	it	it
faced	face	faced
mass	mass	mass
starvation	starvat	starvation
due	due	due
to	to	to
the	the	the
sinking	sink	sinking
of	of	of
its	it	it
merchant	merchant	merchant
shipping	ship	shipping
,	,	,
not	not	not
because	becaus	because
of	of	of
the	the	the
gratuitous	gratuit	gratuitous
U	u	U
.	.	.
S	s	S
.	.	.
nuclear	nuclear	nuclear
attacks	attack	attack
on	on	on
Hiroshima	hiroshima	Hiroshima
and	and	and
Nagasaki	nagasaki	Nagasaki
.	.	.
It	it	It
was	was	wa
estimated	estim	estimated
that	that	that
7	7	7
million	million	million
more	more	more
civilians	civilian	civilian
would	would	would
die	die	die
of	of	of
starvation	starvat	starvation
if	if	if
Japan	japan	Japan
fought	fought	fought
on	on	on
until	until	until
1946	1946	1946
.	.	.
Genocidal	genocid	Genocidal
mass	mass	mass
extermination	extermin	extermination
campaigns	campaign	campaign
killed	kill	killed
civilians	civilian	civilian
based	base	based
only	onli	only
on	on	on
their	their	their
political	polit	political
affiliation	affili	affiliation
or	or	or
ethnicity	ethnic	ethnicity
.	.	.
Under	under	Under
cross	cross	cross
-examination	-examin	-examination
by	by	by
a	a	a
young	young	young
American	american	American
prosecutor	prosecutor	prosecutor
,	,	,
Benjamin	benjamin	Benjamin
Ferencz	ferencz	Ferencz
,	,	,
SS	ss	SS
Gruppenfuhrer	gruppenfuhr	Gruppenfuhrer
Dr	dr	Dr
.	.	.
Otto	otto	Otto
Ohlendorf	ohlendorf	Ohlendorf
explained	explain	explained
patiently	patient	patiently
to	to	to
a	a	a
courtroom	courtroom	courtroom
in	in	in
Nuremberg	nuremberg	Nuremberg
why	whi	why
he	he	he
found	found	found
it	it	it
necessary	necessari	necessary
for	for	for
the	the	the
preemptive	preemptiv	preemptive
defense	defens	defense
of	of	of
Germany	germani	Germany
to	to	to
order	order	order
the	the	the
killing	kill	killing
of	of	of
hundreds	hundr	hundred
of	of	of
thousands	thousand	thousand
of	of	of
civilians	civilian	civilian
.	.	.
He	he	He
explained	explain	explained
that	that	that
even	even	even
children	children	child
had	had	had
to	to	to
be	be	be
killed	kill	killed
to	to	to
prevent	prevent	prevent
them	them	them
too	too	too
becoming	becom	becoming
enemies	enemi	enemy
of	of	of
Germany	germani	Germany
when	when	when
they	they	they
grew	grew	grew
up	up	up
and	and	and
found	found	found
out	out	out
what	what	what
happened	happen	happened
to	to	to
their	their	their
parents	parent	parent
.	.	.
Despite	despit	Despite
the	the	the
U	u	U
.	.	.
N	n	N
.	.	.
Charter	charter	Charter
and	and	and
international	intern	international
efforts	effort	effort
to	to	to
prevent	prevent	prevent
war	war	war
,	,	,
people	peopl	people
in	in	in
countries	countri	country
afflicted	afflict	afflicted
by	by	by
war	war	war
today	today	today
still	still	still
face	face	face
the	the	the
kind	kind	kind
of	of	of
total	total	total
war	war	war
that	that	that
horrified	horrifi	horrified
world	world	world
leaders	leader	leader
in	in	in
1945	1945	1945
.	.	.
The	the	The
main	main	main
victims	victim	victim
of	of	of
total	total	total
war	war	war
in	in	in
our	our	our
modern	modern	modern
world	world	world
have	have	have
been	been	been
civilians	civilian	civilian
in	in	in
countries	countri	country
far	far	far
removed	remov	removed
from	from	from
the	the	the
safe	safe	safe
havens	haven	haven
of	of	of
power	power	power
and	and	and
privilege	privileg	privilege
where	where	where
their	their	their
fates	fate	fate
are	are	are
debated	debat	debated
and	and	and
decided	decid	decided
Yugoslavia	yugoslavia	Yugoslavia
;	;	;
Afghanistan	afghanistan	Afghanistan
;	;	;
Iraq	iraq	Iraq
;	;	;
Somalia	somalia	Somalia
;	;	;
Pakistan	pakistan	Pakistan
;	;	;
Yemen	yemen	Yemen
;	;	;
Libya	libya	Libya
;	;	;
Syria	syria	Syria
;	;	;
Ukraine	ukrain	Ukraine
.	.	.
There	there	There
has	has	ha
been	been	been
no	no	no
legal	legal	legal
or	or	or
political	polit	political
accountability	account	accountability
for	for	for
the	the	the
mass	mass	mass
destruction	destruct	destruction
of	of	of
their	their	their
cities	citi	city
,	,	,
their	their	their
homes	home	home
or	or	or
their	their	their
lives	live	life
.	.	.
Total	total	Total
war	war	war
has	has	ha
not	not	not
been	been	been
prevented	prevent	prevented
,	,	,
or	or	or
even	even	even
punished	punish	punished
,	,	,
just	just	just
externalized	extern	externalized
.	.	.
But	but	But
thanks	thank	thanks
to	to	to
billions	billion	billion
of	of	of
dollars	dollar	dollar
invested	invest	invested
in	in	in
military	militari	military
propaganda	propaganda	propaganda
and	and	and
public	public	public
relations	relat	relation
and	and	and
the	the	the
corrupt	corrupt	corrupt
nature	natur	nature
of	of	of
for	for	for
-profit	-profit	-profit
media	media	medium
systems	system	system
,	,	,
citizens	citizen	citizen
of	of	of
the	the	the
countries	countri	country
responsible	respons	responsible
for	for	for
the	the	the
killing	kill	killing
of	of	of
millions	million	million
of	of	of
their	their	their
fellow	fellow	fellow
human	human	human
beings	be	being
live	live	live
in	in	in
near	near	near
-total	-total	-total
ignorance	ignor	ignorance
of	of	of
the	the	the
mass	mass	mass
killing	kill	killing
carried	carri	carried
out	out	out
in	in	in
their	their	their
name	name	name
in	in	in
these	these	these
red	red	red
zones	zone	zone
around	around	around
the	the	the
world	world	world
.	.	.
People	peopl	People
in	in	in
ever	ever	ever
-spreading	-spread	-spreading
war	war	war
zones	zone	zone
are	are	are
living	live	living
under	under	under
the	the	the
very	veri	very
conditions	condit	condition
of	of	of
total	total	total
war	war	war
that	that	that
the	the	the
world	world	world
recoiled	recoil	recoiled
from	from	from
at	at	at
the	the	the
end	end	end
of	of	of
the	the	the
Second	second	Second
World	world	World
War	war	War
.	.	.
Like	like	Like
Orwell	orwel	Orwell
in	in	in
London	london	London
in	in	in
1941	1941	1941
,	,	,
they	they	they
hear	hear	hear
highly	high	highly
civilized	civil	civilized
human	human	human
beings	be	being
flying	fli	flying
overhead	overhead	overhead
trying	tri	trying
to	to	to
kill	kill	kill
them	them	them
,	,	,
human	human	human
beings	be	being
who	who	who
know	know	know
nothing	noth	nothing
about	about	about
them	them	them
beyond	beyond	beyond
the	the	the
name	name	name
of	of	of
the	the	the
city	citi	city
where	where	where
they	they	they
live	live	live
and	and	and
its	it	it
strategic	strateg	strategic
value	valu	value
in	in	in
wars	war	war
that	that	that
offer	offer	offer
them	them	them
,	,	,
the	the	the
victims	victim	victim
,	,	,
nothing	noth	nothing
but	but	but
death	death	death
or	or	or
destitution	destitut	destitution
.	.	.
In	in	In
the	the	the
case	case	case
of	of	of
drones	drone	drone
,	,	,
the	the	the
human	human	human
beings	be	being
trying	tri	trying
to	to	to
kill	kill	kill
them	them	them
from	from	from
the	the	the
other	other	other
side	side	side
of	of	of
the	the	the
world	world	world
are	are	are
so	so	so
highly	high	highly
civilized	civil	civilized
that	that	that
they	they	they
can	can	can
hop	hop	hop
into	into	into
cars	car	car
and	and	and
drive	drive	drive
home	home	home
to	to	to
have	have	have
dinner	dinner	dinner
with	with	with
their	their	their
families	famili	family
at	at	at
the	the	the
end	end	end
of	of	of
their	their	their
shifts	shift	shift
,	,	,
while	while	while
another	anoth	another
team	team	team
member	member	member
efficiently	effici	efficiently
takes	take	take
over	over	over
the	the	the
joy	joy	joy
-stick	-stick	-stick
and	and	and
carries	carri	carry
on	on	on
killing	kill	killing
.	.	.
People	peopl	People
in	in	in
Yemen	yemen	Yemen
,	,	,
Syria	syria	Syria
,	,	,
Iraq	iraq	Iraq
and	and	and
Libya	libya	Libya
have	have	have
been	been	been
subjected	subject	subjected
to	to	to
hunger	hunger	hunger
and	and	and
starvation	starvat	starvation
under	under	under
sieges	sieg	siege
and	and	and
naval	naval	naval
blockades	blockad	blockade
that	that	that
are	are	are
as	as	a
brutally	brutal	brutally
effective	effect	effective
as	as	a
German	german	German
and	and	and
American	american	American
submarines	submarin	submarine
were	were	were
in	in	in
World	world	World
War	war	War
Two	two	Two
.	.	.
Millions	million	Millions
of	of	of
people	peopl	people
in	in	in
Yemen	yemen	Yemen
face	face	face
an	an	an
imminent	immin	imminent
danger	danger	danger
of	of	of
starvation	starvat	starvation
under	under	under
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
-backed	-back	-backed
naval	naval	naval
blockade	blockad	blockade
and	and	and
Saudi	saudi	Saudi
and	and	and
Emirati	emirati	Emirati
bombing	bomb	bombing
of	of	of
Yemeni	yemeni	Yemeni
ports	port	port
.	.	.
In	in	In
retaliation	retali	retaliation
for	for	for
one	one	one
missile	missil	missile
fired	fire	fired
at	at	at
Riyadh	riyadh	Riyadh
,	,	,
the	the	the
Saudi	saudi	Saudi
capital	capit	capital
,	,	,
last	last	last
week	week	week
,	,	,
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
-backed	-back	-backed
coalition	coalit	coalition
completely	complet	completely
closed	close	closed
all	all	all
Yemen	yemen	Yemen
s	s	s
ports	port	port
,	,	,
tightening	tighten	tightening
the	the	the
blockade	blockad	blockade
on	on	on
millions	million	million
of	of	of
starving	starv	starving
people	peopl	people
.	.	.
The	the	The
requirements	requir	requirement
of	of	of
necessity	necess	necessity
and	and	and
proportionality	proport	proportionality
,	,	,
which	which	which
have	have	have
been	been	been
basic	basic	basic
principles	principl	principle
of	of	of
customary	customari	customary
international	intern	international
law	law	law
since	sinc	since
the	the	the
Nineteenth	nineteenth	Nineteenth
Century	centuri	Century
,	,	,
lie	lie	lie
buried	buri	buried
in	in	in
the	the	the
graveyards	graveyard	graveyard
of	of	of
Iraq	iraq	Iraq
and	and	and
Afghanistan	afghanistan	Afghanistan
.	.	.
Continue	continu	Continue
this	this	this
article	articl	article
at	at	at
Consortium	consortium	Consortium
News	news	News
READ	read	READ
MORE	more	MORE
WAR	war	WAR
ON	on	ON
TERROR	terror	TERROR
NEWS	news	NEWS
AT	at	AT
21st	21st	21st
Century	centuri	Century
Wire	wire	Wire
War	war	War
on	on	on
Terror	terror	Terror
FilesSUPPORT	filessupport	FilesSUPPORT
21WIRE	21wire	21WIRE
SUBSCRIBE	subscrib	SUBSCRIBE
BECOME	becom	BECOME
A	a	A
MEMBER	member	MEMBER
21WIRE	21wire	21WIRE
.	.	.
TV	tv	TV
