It	it	It
year	year	year
.	.	.
One	one	One
bloc	bloc	bloc
of	of	of
part	part	part
-time	-time	-time
residents	resid	resident
is	is	is
okay	okay	okay
,	,	,
another	anoth	another
is	is	is
not	not	not
.	.	.
While	while	While
snowbirds	snowbird	snowbird
might	might	might
maintain	maintain	maintain
two	two	two
permanent	perman	permanent
addresses	address	address
one	one	one
in	in	in
one	one	one
state	state	state
and	and	and
one	one	one
in	in	in
Arizona	arizona	Arizona
Thorpe	thorp	Thorpe
doesn	doesn	doesn
t	t	t
seem	seem	seem
to	to	to
have	have	have
a	a	a
problem	problem	problem
with	with	with
them	them	them
diluting	dilut	diluting
votes	vote	vote
of	of	of
permanent	perman	permanent
residents	resid	resident
.	.	.
Snowbirds	snowbird	Snowbirds
,	,	,
as	as	a
they	they	they
re	re	re
called	call	called
,	,	,
tend	tend	tend
to	to	to
vote	vote	vote
Republican	republican	Republican
,	,	,
and	and	and
they	they	they
tend	tend	tend
to	to	to
vote	vote	vote
against	against	against
things	thing	thing
like	like	like
budget	budget	budget
overrides	overrid	override
for	for	for
the	the	the
educational	educ	educational
system	system	system
,	,	,
since	sinc	since
they	they	they
don	don	don
t	t	t
want	want	want
to	to	to
pay	pay	pay
for	for	for
an	an	an
education	educ	education
system	system	system
that	that	that
doesn	doesn	doesn
t	t	t
include	includ	include
their	their	their
children	children	child
.	.	.
College	colleg	College
students	student	student
,	,	,
on	on	on
the	the	the
other	other	other
hand	hand	hand
,	,	,
tend	tend	tend
to	to	to
vote	vote	vote
Democratic	democrat	Democratic
and	and	and
education	educ	education
budget	budget	budget
questions	question	question
along	along	along
with	with	with
everything	everyth	everything
else	els	else
educational	educ	educational
affect	affect	affect
them	them	them
directly	direct	directly
.	.	.
Both	both	Both
Tucson	tucson	Tucson
and	and	and
Tempe	temp	Tempe
home	home	home
to	to	to
the	the	the
University	univers	University
of	of	of
Arizona	arizona	Arizona
and	and	and
Arizona	arizona	Arizona
State	state	State
University	univers	University
respectively	respect	respectively
are	are	are
heavily	heavili	heavily
Democratic	democrat	Democratic
.	.	.
Flagstaff	flagstaff	Flagstaff
leans	lean	lean
red	red	red
but	but	but
could	could	could
go	go	go
either	either	either
way	way	way
.	.	.
So	so	So
Thorpe	thorp	Thorpe
,	,	,
like	like	like
other	other	other
Republicans	republican	Republicans
who	who	who
would	would	would
rather	rather	rather
cheat	cheat	cheat
that	that	that
change	chang	change
their	their	their
policy	polici	policy
positions	posit	position
,	,	,
decided	decid	decided
that	that	that
the	the	the
problem	problem	problem
is	is	is
the	the	the
college	colleg	college
students	student	student
not	not	not
voting	vote	voting
where	where	where
they	they	they
ought	ought	ought
to	to	to
be	be	be
.	.	.
He	he	He
wants	want	want
to	to	to
make	make	make
it	it	it
so	so	so
they	they	they
have	have	have
to	to	to
register	regist	register
with	with	with
their	their	their
permanent	perman	permanent
addresses	address	address
,	,	,
and	and	and
then	then	then
get	get	get
their	their	their
ballots	ballot	ballot
mailed	mail	mailed
to	to	to
their	their	their
college	colleg	college
addresses	address	address
.	.	.
That	that	That
kind	kind	kind
of	of	of
thing	thing	thing
could	could	could
discourage	discourag	discourage
them	them	them
from	from	from
voting	vote	voting
,	,	,
in	in	in
addition	addit	addition
to	to	to
preventing	prevent	preventing
them	them	them
from	from	from
voting	vote	voting
for	for	for
people	peopl	people
and	and	and
things	thing	thing
that	that	that
directly	direct	directly
affect	affect	affect
them	them	them
while	while	while
they	they	they
re	re	re
in	in	in
school	school	school
.	.	.
It	it	It
s	s	s
time	time	time
for	for	for
Republicans	republican	Republicans
to	to	to
figure	figur	figure
out	out	out
why	whi	why
they	they	they
aren	aren	aren
t	t	t
reaching	reach	reaching
certain	certain	certain
demographics	demograph	demographic
and	and	and
stop	stop	stop
trying	tri	trying
to	to	to
force	forc	force
those	those	those
demographics	demograph	demographic
out	out	out
of	of	of
the	the	the
electorate	elector	electorate
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
Mark	mark	Mark
Wilson	wilson	Wilson
Getty	getti	Getty
Images	imag	Images
