Take	take	Take
stay	stay	stay
for	for	for
as	as	a
long	long	long
as	as	a
you	you	you
wish	wish	wish
.	.	.

We	we	We
will	will	will
conduct	conduct	conduct
ourselves	ourselv	ourselves
in	in	in
the	the	the
civil	civil	civil
manner	manner	manner
that	that	that
it	it	it
is	is	is
our	our	our
hope	hope	hope
to	to	to
maintain	maintain	maintain
and	and	and
reinforce	reinforc	reinforce
as	as	a
the	the	the
norm	norm	norm
at	at	at
Princeton	princeton	Princeton
.	.	.
This	this	This
dialogue	dialogu	dialogue
is	is	is
necessary	necessari	necessary
because	becaus	because
many	mani	many
students	student	student
have	have	have
shared	share	shared
with	with	with
us	us	u
that	that	that
they	they	they
are	are	are
afraid	afraid	afraid
to	to	to
state	state	state
publicly	public	publicly
their	their	their
opinions	opinion	opinion
on	on	on
recent	recent	recent
events	event	event
for	for	for
fear	fear	fear
of	of	of
being	be	being
vilified	vilifi	vilified
,	,	,
slandered	slander	slandered
,	,	,
and	and	and
subjected	subject	subjected
to	to	to
hatred	hatr	hatred
,	,	,
either	either	either
by	by	by
fellow	fellow	fellow
students	student	student
or	or	or
faculty	faculti	faculty
.	.	.

Many	mani	Many
who	who	who
questioned	question	questioned
the	the	the
protest	protest	protest
were	were	were
labeled	label	labeled
racist	racist	racist
,	,	,
and	and	and
black	black	black
students	student	student
who	who	who
expressed	express	expressed
disagreement	disagr	disagreement
with	with	with
the	the	the
protesters	protest	protester
were	were	were
called	call	called
white	white	white
sympathizers	sympath	sympathizer
and	and	and
were	were	were
told	told	told
they	they	they
were	were	were
not	not	not
black	black	black
.	.	.

We	we	We
,	,	,
the	the	the
Princeton	princeton	Princeton
Open	open	Open
Campus	campus	Campus
Coalition	coalit	Coalition
,	,	,
refuse	refus	refuse
to	to	to
let	let	let
our	our	our
peers	peer	peer
be	be	be
intimidated	intimid	intimidated
or	or	or
bullied	bulli	bullied
into	into	into
silence	silenc	silence
on	on	on
these	these	these
or	or	or
any	ani	any
important	import	important
matters	matter	matter
.	.	.
First	first	First
,	,	,
we	we	we
wish	wish	wish
to	to	to
discuss	discuss	discus
with	with	with
you	you	you
the	the	the
methods	method	method
employed	employ	employed
by	by	by
protesters	protest	protester
.	.	.

Across	across	Across
the	the	the
ideological	ideolog	ideological
spectrum	spectrum	spectrum
on	on	on
campus	campus	campus
,	,	,
many	mani	many
people	peopl	people
found	found	found
the	the	the
invasion	invas	invasion
of	of	of
your	your	your
office	offic	office
and	and	and
refusal	refus	refusal
to	to	to
leave	leav	leave
to	to	to
be	be	be
troubling	troubl	troubling
.	.	.

Admittedly	admit	Admittedly
,	,	,
civil	civil	civil
disobedience	disobedi	disobedience
and	and	and
even	even	even
law	law	law
-breaking	-break	-breaking
can	can	can
sometimes	sometim	sometimes
be	be	be
justified	justifi	justified
.	.	.

However	howev	However
,	,	,
they	they	they
cannot	cannot	cannot
be	be	be
justified	justifi	justified
when	when	when
channels	channel	channel
of	of	of
advocacy	advocaci	advocacy
,	,	,
through	through	through
fair	fair	fair
procedures	procedur	procedure
of	of	of
decision	decis	decision
-making	-make	-making
,	,	,
are	are	are
fully	fulli	fully
open	open	open
,	,	,
as	as	a
they	they	they
are	are	are
at	at	at
our	our	our
University	univers	University
.	.	.

To	to	To
adopt	adopt	adopt
these	these	these
tactics	tactic	tactic
while	while	while
such	such	such
procedures	procedur	procedure
for	for	for
debate	debat	debate
and	and	and
reform	reform	reform
are	are	are
in	in	in
place	place	place
is	is	is
to	to	to
come	come	come
dangerously	danger	dangerously
close	close	close
to	to	to
the	the	the
line	line	line
dividing	divid	dividing
demonstration	demonstr	demonstration
from	from	from
intimidation	intimid	intimidation
.	.	.

It	it	It
is	is	is
also	also	also
a	a	a
way	way	way
of	of	of
seeking	seek	seeking
an	an	an
unfair	unfair	unfair
advantage	advantag	advantage
over	over	over
people	peopl	people
with	with	with
different	differ	different
viewpoints	viewpoint	viewpoint
who	who	who
refuse	refus	refuse
to	to	to
resort	resort	resort
to	to	to
such	such	such
tactics	tactic	tactic
for	for	for
fear	fear	fear
of	of	of
damaging	damag	damaging
this	this	this
institution	institut	institution
that	that	that
they	they	they
love	love	love
.	.	.
Second	second	Second
,	,	,
we	we	we
welcome	welcom	welcome
a	a	a
fair	fair	fair
debate	debat	debate
about	about	about
the	the	the
specific	specif	specific
demands	demand	demand
that	that	that
have	have	have
been	been	been
made	made	made
.	.	.
We	we	We
oppose	oppos	oppose
efforts	effort	effort
to	to	to
purge	purg	purge
and	and	and
literally	liter	literally
paint	paint	paint
over	over	over
recognitions	recognit	recognition
of	of	of
Woodrow	woodrow	Woodrow
Wilson	wilson	Wilson
s	s	s
achievements	achiev	achievement
,	,	,
including	includ	including
Wilson	wilson	Wilson
College	colleg	College
,	,	,
the	the	the
Woodrow	woodrow	Woodrow
Wilson	wilson	Wilson
School	school	School
of	of	of
Public	public	Public
and	and	and
International	intern	International
Affairs	affair	Affairs
,	,	,
and	and	and
his	his	his
mural	mural	mural
in	in	in
Wilcox	wilcox	Wilcox
Dining	dine	Dining
Hall	hall	Hall
.	.	.

As	as	As
you	you	you
have	have	have
noted	note	noted
,	,	,
Wilson	wilson	Wilson
,	,	,
like	like	like
all	all	all
other	other	other
historical	histor	historical
figures	figur	figure
,	,	,
has	has	ha
a	a	a
mixed	mix	mixed
legacy	legaci	legacy
.	.	.

It	it	It
is	is	is
not	not	not
for	for	for
his	his	his
contemptible	contempt	contemptible
racism	racism	racism
,	,	,
but	but	but
for	for	for
his	his	his
contributions	contribut	contribution
as	as	a
president	presid	president
of	of	of
both	both	both
Princeton	princeton	Princeton
and	and	and
the	the	the
United	unit	United
States	state	States
that	that	that
we	we	we
honor	honor	honor
Wilson	wilson	Wilson
.	.	.

Moreover	moreov	Moreover
,	,	,
if	if	if
we	we	we
cease	ceas	cease
honoring	honor	honoring
flawed	flaw	flawed
individuals	individu	individual
,	,	,
there	there	there
will	will	will
be	be	be
no	no	no
names	name	name
adorning	adorn	adorning
our	our	our
buildings	build	building
,	,	,
no	no	no
statues	statu	statue
decorating	decor	decorating
our	our	our
courtyards	courtyard	courtyard
,	,	,
and	and	and
no	no	no
biographies	biographi	biography
capable	capabl	capable
of	of	of
inspiring	inspir	inspiring
future	futur	future
generations	generat	generation
.	.	.
We	we	We
worry	worri	worry
that	that	that
the	the	the
proposed	propos	proposed
distribution	distribut	distribution
requirement	requir	requirement
will	will	will
contribute	contribut	contribute
to	to	to
the	the	the
politicization	politic	politicization
of	of	of
the	the	the
University	univers	University
and	and	and
facilitate	facilit	facilitate
groupthink	groupthink	groupthink
.	.	.

However	howev	However
,	,	,
we	we	we
,	,	,
too	too	too
,	,	,
are	are	are
concerned	concern	concerned
about	about	about
diversity	divers	diversity
in	in	in
the	the	the
classroom	classroom	classroom
and	and	and
offer	offer	offer
our	our	our
own	own	own
solution	solut	solution
to	to	to
this	this	this
problem	problem	problem
.	.	.

While	while	While
we	we	we
do	do	do
not	not	not
wish	wish	wish
to	to	to
impose	impos	impose
additional	addit	additional
distribution	distribut	distribution
requirements	requir	requirement
on	on	on
students	student	student
for	for	for
fear	fear	fear
of	of	of
stifling	stifl	stifling
academic	academ	academic
exploration	explor	exploration
,	,	,
we	we	we
believe	believ	believe
that	that	that
all	all	all
students	student	student
should	should	should
be	be	be
encouraged	encourag	encouraged
to	to	to
take	take	take
courses	cours	course
taught	taught	taught
by	by	by
professors	professor	professor
who	who	who
will	will	will
challenge	challeng	challenge
their	their	their
preconceived	preconceiv	preconceived
mindsets	mindset	mindset
.	.	.

To	to	To
this	this	this
end	end	end
,	,	,
the	the	the
University	univers	University
should	should	should
make	make	make
every	everi	every
effort	effort	effort
to	to	to
attract	attract	attract
outstanding	outstand	outstanding
faculty	faculti	faculty
representing	repres	representing
a	a	a
wider	wider	wider
range	rang	range
of	of	of
viewpoints	viewpoint	viewpoint
even	even	even
controversial	controversi	controversial
viewpoints	viewpoint	viewpoint
across	across	across
all	all	all
departments	depart	department
.	.	.

Princeton	princeton	Princeton
needs	need	need
more	more	more
Peter	peter	Peter
Singers	singer	Singers
,	,	,
more	more	more
Cornel	cornel	Cornel
Wests	west	Wests
,	,	,
and	and	and
more	more	more
Robert	robert	Robert
Georges	georg	Georges
.	.	.
Similarly	similar	Similarly
,	,	,
we	we	we
believe	believ	believe
that	that	that
requiring	requir	requiring
cultural	cultur	cultural
competency	compet	competency
training	train	training
for	for	for
faculty	faculti	faculty
threatens	threaten	threatens
to	to	to
impose	impos	impose
orthodoxies	orthodoxi	orthodoxy
on	on	on
issues	issu	issue
about	about	about
which	which	which
people	peopl	people
of	of	of
good	good	good
faith	faith	faith
often	often	often
disagree	disagre	disagree
.	.	.

As	as	As
Professor	professor	Professor
Sergiu	sergiu	Sergiu
Klainerman	klainerman	Klainerman
has	has	ha
observed	observ	observed
,	,	,
it	it	it
reeks	reek	reek
of	of	of
the	the	the
reeducation	reeduc	reeducation
programs	program	program
to	to	to
which	which	which
people	peopl	people
in	in	in
his	his	his
native	nativ	native
Romania	romania	Romania
were	were	were
subjected	subject	subjected
under	under	under
communist	communist	communist
rule	rule	rule
.	.	.
We	we	We
firmly	firm	firmly
believe	believ	believe
that	that	that
there	there	there
should	should	should
be	be	be
no	no	no
space	space	space
at	at	at
a	a	a
university	univers	university
in	in	in
which	which	which
any	ani	any
member	member	member
of	of	of
the	the	the
community	communiti	community
,	,	,
student	student	student
or	or	or
faculty	faculti	faculty
,	,	,
is	is	is
safe	safe	safe
from	from	from
having	have	having
his	his	his
or	or	or
her	her	her
most	most	most
cherished	cherish	cherished
and	and	and
even	even	even
identity	ident	identity
-forming	-form	-forming
values	valu	value
challenged	challeng	challenged
.	.	.

It	it	It
is	is	is
the	the	the
very	veri	very
mission	mission	mission
of	of	of
the	the	the
university	univers	university
to	to	to
seek	seek	seek
truth	truth	truth
by	by	by
subjecting	subject	subjecting
all	all	all
beliefs	belief	belief
to	to	to
critical	critic	critical
,	,	,
rational	ration	rational
scrutiny	scrutini	scrutiny
.	.	.

While	while	While
students	student	student
with	with	with
a	a	a
shared	share	shared
interest	interest	interest
in	in	in
studying	studi	studying
certain	certain	certain
cultures	cultur	culture
are	are	are
certainly	certain	certainly
welcome	welcom	welcome
to	to	to
live	live	live
together	togeth	together
,	,	,
we	we	we
reject	reject	reject
University	univers	University
-sponsored	-sponsor	-sponsored
separatism	separat	separatism
in	in	in
housing	hous	housing
.	.	.

We	we	We
are	are	are
all	all	all
members	member	member
of	of	of
the	the	the
Princeton	princeton	Princeton
community	communiti	community
.	.	.

We	we	We
denounce	denounc	denounce
the	the	the
notion	notion	notion
that	that	that
our	our	our
basic	basic	basic
interactions	interact	interaction
with	with	with
each	each	each
other	other	other
should	should	should
be	be	be
defined	defin	defined
by	by	by
demographic	demograph	demographic
traits	trait	trait
.	.	.
We	we	We
hope	hope	hope
that	that	that
you	you	you
will	will	will
agree	agre	agree
to	to	to
meet	meet	meet
with	with	with
us	us	u
.	.	.

We	we	We
will	will	will
be	be	be
happy	happi	happy
to	to	to
make	make	make
ourselves	ourselv	ourselves
available	avail	available
to	to	to
meet	meet	meet
in	in	in
your	your	your
office	offic	office
at	at	at
your	your	your
earliest	earliest	earliest
convenience	conveni	convenience
.	.	.

We	we	We
are	are	are
also	also	also
requesting	request	requesting
a	a	a
meeting	meet	meeting
with	with	with
the	the	the
Board	board	Board
of	of	of
Trustees	truste	Trustees
.	.	.

For	for	For
reasons	reason	reason
you	you	you
have	have	have
articulated	articul	articulated
in	in	in
your	your	your
recent	recent	recent
message	messag	message
to	to	to
the	the	the
community	communiti	community
,	,	,
there	there	there
is	is	is
no	no	no
time	time	time
to	to	to
waste	wast	waste
in	in	in
having	have	having
these	these	these
discussions	discuss	discussion
.	.	.
Unlike	unlik	Unlike
their	their	their
counterparts	counterpart	counterpart
at	at	at
other	other	other
universities	univers	university
,	,	,
Princeton	princeton	Princeton
undergraduates	undergradu	undergraduate
opposed	oppos	opposed
to	to	to
the	the	the
curtailment	curtail	curtailment
of	of	of
academic	academ	academic
freedom	freedom	freedom
refuse	refus	refuse
to	to	to
remain	remain	remain
silent	silent	silent
out	out	out
of	of	of
fear	fear	fear
of	of	of
being	be	being
slandered	slander	slandered
.	.	.

We	we	We
will	will	will
not	not	not
stop	stop	stop
fighting	fight	fighting
for	for	for
what	what	what
we	we	we
believe	believ	believe
in	in	in
.	.	.
Thank	thank	Thank
you	you	you
very	veri	very
much	much	much
for	for	for
your	your	your
consideration	consider	consideration
.	.	.

We	we	We
look	look	look
forward	forward	forward
to	to	to
your	your	your
reply	repli	reply
.	.	.
-The	-the	-The
Legislative	legisl	Legislative
Committee	committe	Committee
of	of	of
Princeton	princeton	Princeton
Open	open	Open
Campus	campus	Campus
Coalition	coalit	Coalition
Allie	alli	Allie
Burton	burton	Burton
17	17	17
Evan	evan	Evan
Draim	draim	Draim
16	16	16
Josh	josh	Josh
Freeman	freeman	Freeman
18	18	18
Sofia	sofia	Sofia
Gallo	gallo	Gallo
17	17	17
Solveig	solveig	Solveig
Gold	gold	Gold
17	17	17
Andy	andi	Andy
Loo	loo	Loo
16	16	16
Sebastian	sebastian	Sebastian
Marotta	marotta	Marotta
16	16	16
Devon	devon	Devon
Naftzger	naftzger	Naftzger
16	16	16
Beni	beni	Beni
Snow	snow	Snow
19	19	19
Josh	josh	Josh
Zuckerman	zuckerman	Zuckerman
16Via	16via	16Via
Powerline	powerlin	Powerline
Blog	blog	Blog

