Mike	mike	Mike
make	make	make
conversation	convers	conversation
,	,	,
or	or	or
calling	call	calling
his	his	his
wife	wife	wife
Mother	mother	Mother
in	in	in
the	the	the
second	second	second
decade	decad	decade
of	of	of
the	the	the
21st	21st	21st
century	centuri	century
.	.	.
As	as	As
if	if	if
that	that	that
weren	weren	weren
t	t	t
bad	bad	bad
enough	enough	enough
,	,	,
it	it	it
seems	seem	seems
that	that	that
there	there	there
are	are	are
even	even	even
creepier	creepier	creepier
rules	rule	rule
with	with	with
regards	regard	regard
to	to	to
how	how	how
Pence	penc	Pence
treats	treat	treat
women	women	woman
other	other	other
than	than	than
his	his	his
wife	wife	wife
.	.	.

In	in	In
fact	fact	fact
,	,	,
according	accord	according
to	to	to
New	new	New
York	york	York
Magazine	magazin	Magazine
,	,	,
Pence	penc	Pence
is	is	is
not	not	not
allowed	allow	allowed
to	to	to
dine	dine	dine
alone	alon	alone
with	with	with
any	ani	any
woman	woman	woman
who	who	who
is	is	is
not	not	not
his	his	his
wife	wife	wife
,	,	,
Karen	karen	Karen
Pence	penc	Pence
.	.	.

Supposedly	suppos	Supposedly
,	,	,
Karen	karen	Karen
Pence	penc	Pence
is	is	is
her	her	her
husband	husband	husband
s	s	s
gut	gut	gut
check	check	check
and	and	and
prayer	prayer	prayer
warrior	warrior	warrior
,	,	,
and	and	and
is	is	is
therefore	therefor	therefore
rarely	rare	rarely
away	away	away
from	from	from
her	her	her
husband	husband	husband
.	.	.

Unsurprisingly	unsurpris	Unsurprisingly
,	,	,
though	though	though
,	,	,
we	we	we
never	never	never
hear	hear	hear
her	her	her
speak	speak	speak
.	.	.

Perhaps	perhap	Perhaps
she	she	she
is	is	is
not	not	not
allowed	allow	allowed
to	to	to
.	.	.

Hell	hell	Hell
,	,	,
Pence	penc	Pence
won	won	won
t	t	t
even	even	even
go	go	go
to	to	to
any	ani	any
sort	sort	sort
of	of	of
gathering	gather	gathering
where	where	where
there	there	there
is	is	is
booze	booz	booze
on	on	on
the	the	the
menu	menu	menu
unless	unless	unless
Karen	karen	Karen
is	is	is
right	right	right
there	there	there
.	.	.
So	so	So
,	,	,
if	if	if
Pence	penc	Pence
is	is	is
not	not	not
allowed	allow	allowed
to	to	to
be	be	be
in	in	in
a	a	a
room	room	room
with	with	with
any	ani	any
woman	woman	woman
who	who	who
is	is	is
not	not	not
his	his	his
wife	wife	wife
,	,	,
then	then	then
how	how	how
on	on	on
earth	earth	earth
does	doe	doe
he	he	he
do	do	do
government	govern	government
business	busi	business
if	if	if
the	the	the
adviser	advis	adviser
happens	happen	happens
to	to	to
be	be	be
a	a	a
woman	woman	woman
?	?	?

Does	doe	Does
his	his	his
wife	wife	wife
get	get	get
to	to	to
be	be	be
in	in	in
the	the	the
Situation	situat	Situation
Room	room	Room
?	?	?

Does	doe	Does
she	she	she
get	get	get
top	top	top
level	level	level
clearances	clearanc	clearance
?	?	?

Are	are	Are
they	they	they
allowed	allow	allowed
to	to	to
use	use	use
religious	religi	religious
liberty	liberti	liberty
as	as	a
the	the	the
reason	reason	reason
for	for	for
such	such	such
accommodations	accommod	accommodation
?	?	?

Time	time	Time
will	will	will
only	onli	only
tell	tell	tell
.	.	.

What	what	What
we	we	we
do	do	do
know	know	know
is	is	is
that	that	that
Mike	mike	Mike
Pence	penc	Pence
and	and	and
his	his	his
wife	wife	wife
get	get	get
creepier	creepier	creepier
by	by	by
the	the	the
day	day	day
,	,	,
and	and	and
that	that	that
is	is	is
very	veri	very
bad	bad	bad
for	for	for
America	america	America
.	.	.
The	the	The
only	onli	only
consolation	consol	consolation
is	is	is
that	that	that
it	it	it
sure	sure	sure
as	as	a
hell	hell	hell
explains	explain	explains
a	a	a
lot	lot	lot
but	but	but
the	the	the
more	more	more
we	we	we
learn	learn	learn
about	about	about
these	these	these
creepy	creepi	creepy
people	peopl	people
,	,	,
the	the	the
scarier	scarier	scarier
America	america	America
s	s	s
situation	situat	situation
becomes	becom	becomes
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
Alex	alex	Alex
Wong	wong	Wong
Getty	getti	Getty
Images	imag	Images

