America	america	America
murder	murder	murder
victims	victim	victim
ticked	tick	ticked
up	up	up
by	by	by
8	8	8
percent	percent	percent
,	,	,
about	about	about
the	the	the
same	same	same
as	as	a
the	the	the
increase	increas	increase
in	in	in
white	white	white
victims	victim	victim
.	.	.
These	these	These
FBI	fbi	FBI
data	data	data
should	should	should
alarm	alarm	alarm
any	ani	any
person	person	person
of	of	of
good	good	good
will	will	will
who	who	who
thinks	think	think
that	that	that
all	all	all
black	black	black
lives	live	life
matter	matter	matter
.	.	.
They	they	They
reveal	reveal	reveal
a	a	a
true	true	true
and	and	and
massive	massiv	massive
problem	problem	problem
.	.	.
The	the	The
fact	fact	fact
that	that	that
most	most	most
African	african	African
-American	-american	-American
murder	murder	murder
victims	victim	victim
were	were	were
slain	slain	slain
by	by	by
other	other	other
African	african	African
-Americans	-american	-Americans
as	as	a
most	most	most
white	white	white
victims	victim	victim
are	are	are
killed	kill	killed
by	by	by
other	other	other
whites	white	white
should	should	should
not	not	not
lessen	lessen	lessen
the	the	the
appeal	appeal	appeal
within	within	within
the	the	the
black	black	black
community	communiti	community
of	of	of
a	a	a
strong	strong	strong
law	law	law
and	and	and
order	order	order
message	messag	message
from	from	from
political	polit	political
candidates	candid	candidate
.	.	.
They	they	They
would	would	would
,	,	,
after	after	after
all	all	all
,	,	,
be	be	be
the	the	the
chief	chief	chief
beneficiaries	beneficiari	beneficiary
of	of	of
strong	strong	strong
law	law	law
and	and	and
order	order	order
policies	polici	policy
to	to	to
precisely	precis	precisely
the	the	the
same	same	same
extent	extent	extent
that	that	that
they	they	they
are	are	are
currently	current	currently
the	the	the
chief	chief	chief
victims	victim	victim
of	of	of
rising	rise	rising
violent	violent	violent
crime	crime	crime
.	.	.
popThe	popth	popThe
data	data	data
suggest	suggest	suggest
that	that	that
even	even	even
as	as	a
whites	white	white
enjoy	enjoy	enjoy
the	the	the
benefits	benefit	benefit
of	of	of
improved	improv	improved
public	public	public
safety	safeti	safety
from	from	from
the	the	the
last	last	last
two	two	two
decades	decad	decade
,	,	,
blacks	black	black
cannot	cannot	cannot
do	do	do
so	so	so
in	in	in
anything	anyth	anything
like	like	like
the	the	the
same	same	same
way	way	way
.	.	.
In	in	In
2015	2015	2015
,	,	,
there	there	there
was	was	wa
an	an	an
overall	overal	overall
13	13	13
percent	percent	percent
uptick	uptick	uptick
in	in	in
the	the	the
murder	murder	murder
tally	talli	tally
compared	compar	compared
to	to	to
2014	2014	2014
,	,	,
all	all	all
of	of	of
it	it	it
concentrated	concentr	concentrated
in	in	in
cities	citi	city
and	and	and
neighborhoods	neighborhood	neighborhood
where	where	where
large	larg	large
numbers	number	number
of	of	of
black	black	black
people	peopl	people
live	live	live
.	.	.
Murder	murder	Murder
rose	rose	rose
by	by	by
more	more	more
than	than	than
50	50	50
percent	percent	percent
in	in	in
Washington	washington	Washington
,	,	,
D	d	D
.	.	.
C	c	C
.	.	.
,	,	,
and	and	and
by	by	by
63	63	63
percent	percent	percent
in	in	in
Baltimore	baltimor	Baltimore
,	,	,
which	which	which
alone	alon	alone
account	account	account
for	for	for
about	about	about
15	15	15
percent	percent	percent
of	of	of
the	the	the
national	nation	national
increase	increas	increase
.	.	.
Black	black	Black
victims	victim	victim
accounted	account	accounted
for	for	for
nearly	near	nearly
two	two	two
-thirds	-third	-thirds
of	of	of
the	the	the
year	year	year
-over-year	-over-year	-over-year
increase	increas	increase
,	,	,
which	which	which
translates	translat	translates
to	to	to
944	944	944
additional	addit	additional
black	black	black
people	peopl	people
murdered	murder	murdered
out	out	out
of	of	of
just	just	just
under	under	under
1	1	1
,	,	,
500	500	500
additional	addit	additional
victims	victim	victim
nationwide	nationwid	nationwide
.	.	.
More	more	More
than	than	than
half	half	half
of	of	of
this	this	this
increase	increas	increase
about	about	about
811	811	811
additional	addit	additional
murders	murder	murder
came	came	came
just	just	just
from	from	from
among	among	among
blacks	black	black
aged	age	aged
17	17	17
to	to	to
39	39	39
.	.	.
Whatever	whatev	Whatever
the	the	the
cause	caus	cause
of	of	of
last	last	last
year	year	year
s	s	s
increase	increas	increase
in	in	in
murders	murder	murder
,	,	,
blacks	black	black
were	were	were
the	the	the
only	onli	only
group	group	group
represented	repres	represented
so	so	so
disproportionately	disproportion	disproportionately
within	within	within
it	it	it
.	.	.
The	the	The
number	number	number
of	of	of
Hispanic	hispan	Hispanic
murder	murder	murder
victims	victim	victim
ticked	tick	ticked
up	up	up
by	by	by
8	8	8
percent	percent	percent
,	,	,
about	about	about
the	the	the
same	same	same
as	as	a
the	the	the
increase	increas	increase
in	in	in
white	white	white
victims	victim	victim
.	.	.
Reuters	reuter	Reuters
On	on	On
the	the	the
sidewalk	sidewalk	sidewalk
of	of	of
a	a	a
public	public	public
housing	hous	housing
development	develop	development
in	in	in
Brooklyn	brooklyn	Brooklyn
,	,	,
New	new	New
York	york	York
notorious	notori	notorious
for	for	for
gang	gang	gang
violence	violenc	violence
and	and	and
drug	drug	drug
activity	activ	activity
,	,	,
the	the	the
words	word	word
Fascist	fascist	Fascist
pig	pig	pig
,	,	,
go	go	go
home	home	home
!	!	!
in	in	in
black	black	black
spray	spray	spray
paint	paint	paint
are	are	are
fading	fade	fading
but	but	but
still	still	still
legible	legibl	legible
.	.	.
These	these	These
are	are	are
the	the	the
Marcy	marci	Marcy
Houses	hous	Houses
,	,	,
27	27	27
brick	brick	brick
H	h	H
-block	-block	-block
buildings	build	building
,	,	,
each	each	each
six	six	six
stories	stori	story
high	high	high
,	,	,
that	that	that
are	are	are
home	home	home
to	to	to
nearly	near	nearly
4	4	4
,	,	,
300	300	300
people	peopl	people
,	,	,
many	mani	many
of	of	of
whom	whom	whom
are	are	are
black	black	black
or	or	or
Latino	latino	Latino
.	.	.
The	the	The
rapper	rapper	rapper
Jay	jay	Jay
-Z	-z	-Z
,	,	,
who	who	who
grew	grew	grew
up	up	up
in	in	in
the	the	the
complex	complex	complex
,	,	,
described	describ	described
Marcy	marci	Marcy
as	as	a
a	a	a
block	block	block
away	away	away
from	from	from
hell	hell	hell
,	,	,
the	the	the
place	place	place
where	where	where
news	news	news
cameras	camera	camera
never	never	never
come	come	come
,	,	,
in	in	in
a	a	a
song	song	song
called	call	called
Where	where	Where
I	i	I
m	m	m
From	from	From
.	.	.
In	in	In
recent	recent	recent
years	year	year
,	,	,
Marcy	marci	Marcy
has	has	ha
had	had	had
a	a	a
group	group	group
of	of	of
very	veri	very
reliable	reliabl	reliable
visitors	visitor	visitor
the	the	the
police	polic	police
,	,	,
who	who	who
patrol	patrol	patrol
on	on	on
foot	foot	foot
and	and	and
in	in	in
cars	car	car
as	as	a
part	part	part
of	of	of
a	a	a
controversial	controversi	controversial
broken	broken	broken
windows	window	window
strategy	strategi	strategy
that	that	that
focuses	focus	focus
on	on	on
cracking	crack	cracking
down	down	down
on	on	on
small	small	small
crimes	crime	crime
to	to	to
prevent	prevent	prevent
bigger	bigger	bigger
ones	one	one
.	.	.
Until	until	Until
three	three	three
weeks	week	week
ago	ago	ago
,	,	,
they	they	they
had	had	had
been	been	been
an	an	an
ever	ever	ever
-present	-present	-present
,	,	,
highly	high	highly
visible	visibl	visible
presence	presenc	presence
in	in	in
Marcy	marci	Marcy
Houses	hous	Houses
.	.	.
Now	now	Now
,	,	,
the	the	the
police	polic	police
have	have	have
all	all	all
but	but	but
disappeared	disappear	disappeared
,	,	,
raising	rais	raising
safety	safeti	safety
concerns	concern	concern
among	among	among
some	some	some
residents	resid	resident
while	while	while
pleasing	pleas	pleasing
others	other	others
who	who	who
view	view	view
the	the	the
police	polic	police
strategy	strategi	strategy
as	as	a
oppressive	oppress	oppressive
.	.	.
A	a	A
reporter	report	reporter
saw	saw	saw
only	onli	only
one	one	one
police	polic	police
car	car	car
on	on	on
a	a	a
visit	visit	visit
on	on	on
Thursday	thursday	Thursday
.	.	.
These	these	These
FBI	fbi	FBI
data	data	data
should	should	should
alarm	alarm	alarm
any	ani	any
person	person	person
of	of	of
good	good	good
will	will	will
who	who	who
thinks	think	think
that	that	that
all	all	all
black	black	black
lives	live	life
matter	matter	matter
.	.	.
They	they	They
reveal	reveal	reveal
a	a	a
true	true	true
and	and	and
massive	massiv	massive
problem	problem	problem
.	.	.
The	the	The
fact	fact	fact
that	that	that
most	most	most
African	african	African
-American	-american	-American
murder	murder	murder
victims	victim	victim
were	were	were
slain	slain	slain
by	by	by
other	other	other
African	african	African
-Americans	-american	-Americans
as	as	a
most	most	most
white	white	white
victims	victim	victim
are	are	are
killed	kill	killed
by	by	by
other	other	other
whites	white	white
should	should	should
not	not	not
lessen	lessen	lessen
the	the	the
appeal	appeal	appeal
within	within	within
the	the	the
black	black	black
community	communiti	community
of	of	of
a	a	a
strong	strong	strong
law	law	law
and	and	and
order	order	order
message	messag	message
from	from	from
political	polit	political
candidates	candid	candidate
.	.	.
They	they	They
would	would	would
,	,	,
after	after	after
all	all	all
,	,	,
be	be	be
the	the	the
chief	chief	chief
beneficiaries	beneficiari	beneficiary
of	of	of
strong	strong	strong
law	law	law
and	and	and
order	order	order
policies	polici	policy
to	to	to
precisely	precis	precisely
the	the	the
same	same	same
extent	extent	extent
that	that	that
they	they	they
are	are	are
currently	current	currently
the	the	the
chief	chief	chief
victims	victim	victim
of	of	of
rising	rise	rising
violent	violent	violent
crime	crime	crime
.	.	.
Via	via	Via
Washington	washington	Washington
Examiner	examin	Examiner
