If	if	If
for	for	for
stirring	stir	stirring
us	us	u
to	to	to
action	action	action
.	.	.

However	howev	However
,	,	,
that	that	that
was	was	wa
the	the	the
end	end	end
of	of	of
the	the	the
good	good	good
things	thing	thing
Holt	holt	Holt
and	and	and
the	the	the
committee	committe	committee
had	had	had
to	to	to
say	say	say
about	about	about
the	the	the
Bundy	bundi	Bundy
militia	militia	militia
.	.	.

She	she	She
went	went	went
on	on	on
to	to	to
slam	slam	slam
the	the	the
occupiers	occupi	occupier
tactics	tactic	tactic
,	,	,
saying	say	saying
that	that	that
the	the	the
committee	committe	committee
and	and	and
its	it	it
supporters	support	supporter
were	were	were
very	veri	very
upset	upset	upset
that	that	that
you	you	you
chose	chose	chose
to	to	to
take	take	take
the	the	the
aggressive	aggress	aggressive
action	action	action
of	of	of
occupying	occupi	occupying
the	the	the
refuge	refug	refuge
and	and	and
did	did	did
it	it	it
without	without	without
our	our	our
knowledge	knowledg	knowledge
or	or	or
any	ani	any
local	local	local
approval	approv	approval
,	,	,
and	and	and
in	in	in
a	a	a
fashion	fashion	fashion
that	that	that
has	has	ha
created	creat	created
huge	huge	huge
distrust	distrust	distrust
and	and	and
loss	loss	loss
of	of	of
credibility	credibl	credibility
of	of	of
and	and	and
for	for	for
us	us	u
as	as	a
a	a	a
group	group	group
and	and	and
as	as	a
residents	resid	resident
within	within	within
the	the	the
community	communiti	community
.	.	.

We	we	We
approved	approv	approved
of	of	of
most	most	most
of	of	of
your	your	your
message	messag	message
but	but	but
disapprove	disapprov	disapprove
of	of	of
your	your	your
unilateral	unilater	unilateral
methods	method	method
of	of	of
occupation	occup	occupation
.	.	.

We	we	We
ask	ask	ask
that	that	that
you	you	you
organize	organ	organize
your	your	your
people	peopl	people
,	,	,
explain	explain	explain
that	that	that
your	your	your
point	point	point
has	has	ha
been	been	been
made	made	made
and	and	and
leave	leav	leave
in	in	in
a	a	a
peaceful	peac	peaceful
and	and	and
honorable	honor	honorable
fashion	fashion	fashion
.	.	.

No	no	No
comment	comment	comment
has	has	ha
come	come	come
from	from	from
the	the	the
militia	militia	militia
occupiers	occupi	occupier
,	,	,
and	and	and
they	they	they
declined	declin	declined
to	to	to
show	show	show
up	up	up
to	to	to
the	the	the
event	event	event
that	that	that
was	was	wa
essentially	essenti	essentially
held	held	held
to	to	to
blast	blast	blast
what	what	what
they	they	they
are	are	are
doing	do	doing
.	.	.
Mr	mr	Mr
.	.	.
Bundy	bundi	Bundy
Co	co	Co
.	.	.
,	,	,
when	when	when
your	your	your
own	own	own
people	peopl	people
think	think	think
you	you	you
are	are	are
doing	do	doing
the	the	the
wrong	wrong	wrong
thing	thing	thing
,	,	,
it	it	it
really	realli	really
is	is	is
time	time	time
to	to	to
hang	hang	hang
it	it	it
up	up	up
.	.	.

Go	go	Go
home	home	home
.	.	.

The	the	The
local	local	local
communities	communiti	community
and	and	and
residents	resid	resident
,	,	,
along	along	along
with	with	with
the	the	the
federal	feder	federal
government	govern	government
,	,	,
have	have	have
been	been	been
more	more	more
than	than	than
lenient	lenient	lenient
and	and	and
patient	patient	patient
with	with	with
you	you	you
.	.	.

The	the	The
committee	committe	committee
is	is	is
right	right	right
.	.	.

The	the	The
point	point	point
has	has	ha
been	been	been
made	made	made
.	.	.

Leave	leav	Leave
.	.	.
Watch	watch	Watch
video	video	video
of	of	of
Holt	holt	Holt
s	s	s
remarks	remark	remark
below	below	below
Featured	featur	Featured
image	imag	image
via	via	via
video	video	video
screen	screen	screen
capture	captur	capture
from	from	from
Raw	raw	Raw
Story	stori	Story

