Trump	trump	Trump
Million	million	Million
Man	man	Man
March	march	March
,	,	,
it	it	it
makes	make	make
sense	sens	sense
that	that	that
the	the	the
Women	women	Women
s	s	s
March	march	March
would	would	would
want	want	want
to	to	to
gather	gather	gather
there	there	there
,	,	,
too	too	too
.	.	.

They	they	They
ve	ve	ve
secured	secur	secured
another	anoth	another
site	site	site
nearby	nearbi	nearby
,	,	,
but	but	but
it	it	it
probably	probabl	probably
won	won	won
t	t	t
have	have	have
quite	quit	quite
the	the	the
same	same	same
symbolism	symbol	symbolism
as	as	a
it	it	it
would	would	would
at	at	at
the	the	the
Lincoln	lincoln	Lincoln
Memorial	memori	Memorial
.	.	.
Featured	featur	Featured
image	imag	image
by	by	by
Steve	steve	Steve
Pope	pope	Pope
via	via	via
Getty	getti	Getty
Images	imag	Images

