Rush	rush	Rush
Missouri	missouri	Missouri
,	,	,
is	is	is
a	a	a
lie	lie	lie
.	.	.

Hands	hand	Hands
up	up	up
,	,	,
don	don	don
t	t	t
shoot	shoot	shoot
is	is	is
a	a	a
lie	lie	lie
.	.	.

The	the	The
story	stori	story
that	that	that
a	a	a
racist	racist	racist
cop	cop	cop
went	went	went
hunting	hunt	hunting
and	and	and
found	found	found
an	an	an
innocent	innoc	innocent
Gentle	gentl	Gentle
Giant	giant	Giant
walking	walk	walking
down	down	down
the	the	the
street	street	street
when	when	when
he	he	he
should	should	should
have	have	have
been	been	been
on	on	on
the	the	the
sidewalk	sidewalk	sidewalk
contemplating	contempl	contemplating
excitedly	excit	excitedly
This	this	This
is	is	is
part	part	part
of	of	of
the	the	the
story	stori	story
He	he	He
was	was	wa
eagerly	eager	eagerly
anticipating	anticip	anticipating
his	his	his
freshman	freshman	freshman
year	year	year
at	at	at
college	colleg	college
,	,	,
was	was	wa
Michael	michael	Michael
Brown	brown	Brown
,	,	,
and	and	and
this	this	this
racist	racist	racist
cop	cop	cop
went	went	went
hunting	hunt	hunting
,	,	,
and	and	and
he	he	he
found	found	found
a	a	a
guy	guy	guy
breaking	break	breaking
the	the	the
law	law	law
,	,	,
walking	walk	walking
in	in	in
the	the	the
street	street	street
!	!	!
And	and	And
he	he	he
got	got	got
up	up	up
in	in	in
his	his	his
face	face	face
and	and	and
he	he	he
all	all	all
bullied	bulli	bullied
him	him	him
and	and	and
so	so	so
forth	forth	forth
,	,	,
and	and	and
Brown	brown	Brown
was	was	wa
immediately	immedi	immediately
deferential	deferenti	deferential
and	and	and
put	put	put
his	his	his
hands	hand	hand
up	up	up
and	and	and
said	said	said
,	,	,
Don	don	Don
t	t	t
shoot	shoot	shoot
!	!	!

Don	don	Don
t	t	t
shoot	shoot	shoot
!	!	!

and	and	and
the	the	the
cop	cop	cop
shot	shot	shot
anyway	anyway	anyway
.	.	.

That	that	That
is	is	is
the	the	the
story	stori	story
that	that	that
came	came	came
out	out	out
of	of	of
there	there	there
,	,	,
and	and	and
that	that	that
story	stori	story
fed	fed	fed
entire	entir	entire
narrative	narrat	narrative
of	of	of
Black	black	Black
Lives	live	Lives
Matter	matter	Matter
and	and	and
whatever	whatev	whatever
they	they	they
re	re	re
trying	tri	trying
to	to	to
do	do	do
to	to	to
create	creat	create
controversy	controversi	controversy
and	and	and
division	divis	division
.	.	.

And	and	And
it	it	it
fed	fed	fed
the	the	the
New	new	New
Black	black	Black
Panthers	panther	Panthers
.	.	.

It	it	It
was	was	wa
a	a	a
lie	lie	lie
.	.	.

It	it	It
was	was	wa
a	a	a
total	total	total
lie	lie	lie
.	.	.
Everything	everyth	Everything
about	about	about
that	that	that
Ferguson	ferguson	Ferguson
story	stori	story
as	as	a
repeated	repeat	repeated
by	by	by
the	the	the
media	media	medium
and	and	and
prominent	promin	prominent
Democrats	democrat	Democrats
and	and	and
civil	civil	civil
rights	right	right
activists	activist	activist
was	was	wa
a	a	a
lie	lie	lie
.	.	.

What	what	What
if	if	if
?	?	?

I	i	I
want	want	want
you	you	you
to	to	to
think	think	think
about	about	about
it	it	it
.	.	.

What	what	What
if	if	if
,	,	,
in	in	in
the	the	the
aftermath	aftermath	aftermath
of	of	of
Ferguson	ferguson	Ferguson
,	,	,
Missouri	missouri	Missouri
,	,	,
Barack	barack	Barack
Obama	obama	Obama
,	,	,
as	as	a
president	presid	president
of	of	of
the	the	the
United	unit	United
States	state	States
meaning	mean	meaning
president	presid	president
of	of	of
the	the	the
whole	whole	whole
country	countri	country
,	,	,
meaning	mean	meaning
president	presid	president
of	of	of
everybody	everybodi	everybody
here	here	here
had	had	had
scheduled	schedul	scheduled
a	a	a
national	nation	national
address	address	address
from	from	from
the	the	the
Oval	oval	Oval
Office	offic	Office
,	,	,
an	an	an
address	address	address
to	to	to
the	the	the
people	peopl	people
of	of	of
America	america	America
and	and	and
told	told	told
them	them	them
the	the	the
truth	truth	truth
about	about	about
what	what	what
happened	happen	happened
in	in	in
Ferguson	ferguson	Ferguson
?	?	?
After	after	After
the	the	the
grand	grand	grand
jury	juri	jury
investigation	investig	investigation
was	was	wa
complete	complet	complete
,	,	,
after	after	after
it	it	it
was	was	wa
inarguably	inargu	inarguably
so	so	so
after	after	after
we	we	we
learned	learn	learned
exactly	exact	exactly
what	what	what
happened	happen	happened
,	,	,
that	that	that
the	the	the
Gentle	gentl	Gentle
Giant	giant	Giant
had	had	had
robbed	rob	robbed
a	a	a
convenience	conveni	convenience
store	store	store
,	,	,
that	that	that
he	he	he
was	was	wa
looking	look	looking
for	for	for
a	a	a
mechanism	mechan	mechanism
to	to	to
spoke	spoke	spoke
some	some	some
dope	dope	dope
.	.	.

He	he	He
had	had	had
bullied	bulli	bullied
the	the	the
clerk	clerk	clerk
in	in	in
the	the	the
7	7	7
-Eleven	-eleven	-Eleven
,	,	,
the	the	the
convenience	conveni	convenience
store	store	store
,	,	,
whatever	whatev	whatever
.	.	.

He	he	He
was	was	wa
walking	walk	walking
down	down	down
the	the	the
street	street	street
.	.	.

He	he	He
had	had	had
attempted	attempt	attempted
to	to	to
overtake	overtak	overtake
the	the	the
cop	cop	cop
in	in	in
his	his	his
car	car	car
.	.	.

He	he	He
had	had	had
defied	defi	defied
the	the	the
requests	request	request
and	and	and
the	the	the
orders	order	order
of	of	of
the	the	the
cop	cop	cop
.	.	.

He	he	He
had	had	had
taken	taken	taken
action	action	action
which	which	which
resulted	result	resulted
in	in	in
the	the	the
cop	cop	cop
shooting	shoot	shooting
.	.	.
Everything	everyth	Everything
about	about	about
that	that	that
story	stori	story
was	was	wa
not	not	not
true	true	true
.	.	.
What	what	What
if	if	if
Obama	obama	Obama
had	had	had
gone	gone	gone
on	on	on
TV	tv	TV
and	and	and
simply	simpli	simply
told	told	told
people	peopl	people
?	?	?

For	for	For
the	the	the
sake	sake	sake
of	of	of
national	nation	national
unity	uniti	unity
,	,	,
for	for	for
the	the	the
sake	sake	sake
of	of	of
understanding	understand	understanding
,	,	,
for	for	for
the	the	the
sake	sake	sake
of	of	of
promoting	promot	promoting
and	and	and
acknowledged	acknowledg	acknowledged
truth	truth	truth
,	,	,
what	what	what
if	if	if
Obama	obama	Obama
had	had	had
been	been	been
on	on	on
TV	tv	TV
and	and	and
acknowledged	acknowledg	acknowledged
what	what	what
really	realli	really
happened	happen	happened
and	and	and
had	had	had
told	told	told
everybody	everybodi	everybody
that	that	that
what	what	what
they	they	they
think	think	think
happened	happen	happened
in	in	in
Ferguson	ferguson	Ferguson
didn	didn	didn
t	t	t
happen	happen	happen
?	?	?

What	what	What
do	do	do
you	you	you
think	think	think
the	the	the
aftermath	aftermath	aftermath
might	might	might
have	have	have
been	been	been
?	?	?
This	this	This
is	is	is
what	what	what
we	we	we
expect	expect	expect
of	of	of
presidents	presid	president
,	,	,
is	is	is
the	the	the
point	point	point
.	.	.

We	we	We
don	don	don
t	t	t
expect	expect	expect
presidents	presid	president
to	to	to
further	further	further
and	and	and
promulgate	promulg	promulgate
lies	lie	lie
and	and	and
misinformation	misinform	misinformation
for	for	for
the	the	the
express	express	express
purpose	purpos	purpose
of	of	of
creating	creat	creating
and	and	and
fomenting	foment	fomenting
deadly	dead	deadly
anger	anger	anger
.	.	.

Presidents	presid	Presidents
try	tri	try
to	to	to
quell	quell	quell
these	these	these
situations	situat	situation
.	.	.

They	they	They
try	tri	try
to	to	to
get	get	get
a	a	a
handle	handl	handle
on	on	on
em	em	em
and	and	and
ratchet	ratchet	ratchet
down	down	down
the	the	the
tension	tension	tension
.	.	.

Such	such	Such
an	an	an
opportunity	opportun	opportunity
exists	exist	exists
here	here	here
because	becaus	because
the	the	the
truth	truth	truth
was	was	wa
the	the	the
truth	truth	truth
,	,	,
and	and	and
the	the	the
truth	truth	truth
was	was	wa
not	not	not
part	part	part
of	of	of
the	the	the
narrative	narrat	narrative
.	.	.

Now	now	Now
,	,	,
if	if	if
that	that	that
had	had	had
happened	happen	happened
and	and	and
I	i	I
can	can	can
t	t	t
predict	predict	predict
in	in	in
the	the	the
alternative	altern	alternative
future	futur	future
,	,	,
but	but	but
I	i	I
have	have	have
to	to	to
think	think	think
that	that	that
the	the	the
aftermath	aftermath	aftermath
of	of	of
that	that	that
incident	incid	incident
the	the	the
lie	lie	lie
would	would	would
have	have	have
been	been	been
short	short	short
-lived	-live	-lived
.	.	.
And	and	And
the	the	the
anger	anger	anger
would	would	would
have	have	have
subdued	subdu	subdued
.	.	.

Maybe	mayb	Maybe
it	it	it
would	would	would
have	have	have
been	been	been
redirected	redirect	redirected
toward	toward	toward
Obama	obama	Obama
;	;	;
I	i	I
don	don	don
t	t	t
know	know	know
.	.	.

But	but	But
,	,	,
remember	rememb	remember
It	it	It
fed	fed	fed
Baltimore	baltimor	Baltimore
,	,	,
it	it	it
fed	fed	fed
Freddie	freddi	Freddie
Gray	gray	Gray
,	,	,
it	it	it
fed	fed	fed
the	the	the
situation	situat	situation
in	in	in
New	new	New
York	york	York
with	with	with
the	the	the
Eric	eric	Eric
Garner	garner	Garner
who	who	who
also	also	also
died	die	died
of	of	of
a	a	a
heart	heart	heart
attack	attack	attack
,	,	,
not	not	not
a	a	a
chokehold	chokehold	chokehold
.	.	.

That	that	That
s	s	s
another	anoth	another
lie	lie	lie
that	that	that
was	was	wa
told	told	told
.	.	.

This	this	This
guy	guy	guy
was	was	wa
selling	sell	selling
knock	knock	knock
-off	-off	-off
cigarettes	cigarett	cigarette
on	on	on
the	the	the
street	street	street
of	of	of
New	new	New
York	york	York
.	.	.

He	he	He
s	s	s
telling	tell	telling
Because	becaus	Because
New	new	New
York	york	York
City	citi	City
taxes	tax	tax
it	it	it
so	so	so
high	high	high
that	that	that
the	the	the
guy	guy	guy
could	could	could
make	make	make
a	a	a
living	live	living
selling	sell	selling
black	black	black
market	market	market
cigarettes	cigarett	cigarette
,	,	,
selling	sell	selling
black	black	black
market	market	market
cigarettes	cigarett	cigarette
.	.	.
For	for	For
some	some	some
reason	reason	reason
,	,	,
he	he	he
came	came	came
to	to	to
the	the	the
attention	attent	attention
of	of	of
the	the	the
cop	cop	cop
.	.	.

They	they	They
ended	end	ended
up	up	up
applying	appli	applying
a	a	a
restraining	restrain	restraining
hold	hold	hold
on	on	on
the	the	the
guy	guy	guy
,	,	,
but	but	but
he	he	he
had	had	had
a	a	a
heart	heart	heart
attack	attack	attack
.	.	.

It	it	It
was	was	wa
not	not	not
The	the	The
chokehold	chokehold	chokehold
didn	didn	didn
t	t	t
kill	kill	kill
.	.	.

The	the	The
cops	cop	cop
did	did	did
not	not	not
kill	kill	kill
the	the	the
guy	guy	guy
.	.	.

But	but	But
that	that	that
s	s	s
not	not	not
the	the	the
story	stori	story
.	.	.

There	there	There
are	are	are
so	so	so
many	mani	many
lies	lie	lie
that	that	that
have	have	have
been	been	been
created	creat	created
and	and	and
then	then	then
,	,	,
if	if	if
not	not	not
promoted	promot	promoted
,	,	,
they	they	they
have	have	have
not	not	not
been	been	been
quelled	quell	quelled
by	by	by
the	the	the
White	white	White
House	hous	House
,	,	,
which	which	which
makes	make	make
me	me	me
question	question	question
motive	motiv	motive
.	.	.

Why	whi	Why
not	not	not
?	?	?

Of	of	Of
course	cours	course
,	,	,
I	i	I
know	know	know
the	the	the
answer	answer	answer
to	to	to
this	this	this
,	,	,
and	and	and
you	you	you
do	do	do
,	,	,
too	too	too
.	.	.
You	you	You
know	know	know
the	the	the
answer	answer	answer
lies	lie	lie
in	in	in
the	the	the
president	presid	president
s	s	s
agenda	agenda	agenda
and	and	and
is	is	is
rapidly	rapid	rapidly
becoming	becom	becoming
the	the	the
Democrat	democrat	Democrat
Party	parti	Party
agenda	agenda	agenda
.	.	.

I	i	I
was	was	wa
looking	look	looking
at	at	at
the	the	the
Democrat	democrat	Democrat
Party	parti	Party
platform	platform	platform
.	.	.

You	you	You
wouldn	wouldn	wouldn
t	t	t
believe	believ	believe
,	,	,
folks	folk	folk
.	.	.

The	the	The
Democrat	democrat	Democrat
Party	parti	Party
has	has	ha
been	been	been
totally	total	totally
now	now	now
taken	taken	taken
over	over	over
by	by	by
the	the	the
radicals	radic	radical
.	.	.

I	i	I
mean	mean	mean
,	,	,
just	just	just
insane	insan	insane
lunatic	lunat	lunatic
radicals	radic	radical
are	are	are
now	now	now
the	the	the
mainstream	mainstream	mainstream
of	of	of
the	the	the
Democrat	democrat	Democrat
Party	parti	Party
.	.	.

You	you	You
look	look	look
at	at	at
the	the	the
Democrat	democrat	Democrat
Party	parti	Party
platform	platform	platform
in	in	in
08	08	08
and	and	and
look	look	look
at	at	at
it	it	it
in	in	in
2012	2012	2012
.	.	.

They	they	They
acknowledge	acknowledg	acknowledge
the	the	the
legitimacy	legitimaci	legitimacy
of	of	of
the	the	the
Second	second	Second
Amendment	amend	Amendment
,	,	,
these	these	these
platforms	platform	platform
.	.	.
Platforms	platform	Platforms
don	don	don
t	t	t
matter	matter	matter
much	much	much
in	in	in
terms	term	term
of	of	of
future	futur	future
governing	govern	governing
.	.	.

I	i	I
mean	mean	mean
,	,	,
they	they	they
re	re	re
not	not	not
binding	bind	binding
on	on	on
presidents	presid	president
if	if	if
they	they	they
win	win	win
the	the	the
election	elect	election
to	to	to
implement	implement	implement
the	the	the
platform	platform	platform
,	,	,
whatever	whatev	whatever
.	.	.

What	what	What
the	the	the
platform	platform	platform
basically	basic	basically
does	doe	doe
is	is	is
tell	tell	tell
you	you	you
what	what	what
the	the	the
base	base	base
of	of	of
the	the	the
party	parti	party
thinks	think	think
about	about	about
things	thing	thing
,	,	,
cause	caus	cause
the	the	the
base	base	base
of	of	of
the	the	the
party	parti	party
dominates	domin	dominates
in	in	in
primaries	primari	primary
and	and	and
they	they	they
end	end	end
up	up	up
on	on	on
the	the	the
committee	committe	committee
that	that	that
writes	write	writes
the	the	the
platform	platform	platform
,	,	,
so	so	so
the	the	the
platform	platform	platform
gives	give	give
you	you	you
an	an	an
indication	indic	indication
where	where	where
the	the	the
base	base	base
of	of	of
both	both	both
parties	parti	party
are	are	are
.	.	.

The	the	The
Democrat	democrat	Democrat
Party	parti	Party
is	is	is
Not	not	Not
only	onli	only
is	is	is
it	it	it
not	not	not
John	john	John
F	f	F
.	.	.

Kennedy	kennedi	Kennedy
s	s	s
Democrat	democrat	Democrat
Party	parti	Party
.	.	.

It	it	It
isn	isn	isn
t	t	t
Bill	bill	Bill
Clinton	clinton	Clinton
or	or	or
Hillary	hillari	Hillary
Clinton	clinton	Clinton
s	s	s
Democrat	democrat	Democrat
Party	parti	Party
.	.	.

Hillary	hillari	Hillary
Clinton	clinton	Clinton
is	is	is
a	a	a
Well	well	Well
,	,	,
I	i	I
don	don	don
t	t	t
want	want	want
to	to	to
She	she	She
s	s	s
a	a	a
radical	radic	radical
in	in	in
and	and	and
of	of	of
her	her	her
own	own	own
right	right	right
,	,	,
but	but	but
she	she	she
tempers	temper	temper
her	her	her
radicalness	radic	radicalness
with	with	with
enough	enough	enough
proclamations	proclam	proclamation
or	or	or
statements	statement	statement
that	that	that
make	make	make
her	her	her
to	to	to
be	be	be
mainstream	mainstream	mainstream
in	in	in
enough	enough	enough
areas	area	area
.	.	.

But	but	But
there	there	there
isn	isn	isn
t	t	t
any	ani	any
mainstream	mainstream	mainstream
anything	anyth	anything
in	in	in
the	the	the
Democrat	democrat	Democrat
Party	parti	Party
platform	platform	platform
.	.	.

And	and	And
I	i	I
m	m	m
telling	tell	telling
you	you	you
It	it	It
s	s	s
what	what	what
happens	happen	happens
when	when	when
there	there	there
s	s	s
no	no	no
opposition	opposit	opposition
.	.	.
When	when	When
there	there	there
s	s	s
no	no	no
opposition	opposit	opposition
,	,	,
when	when	when
there	there	there
no	no	no
guardrails	guardrail	guardrail
,	,	,
when	when	when
there	there	there
s	s	s
nothing	noth	nothing
to	to	to
stop	stop	stop
people	peopl	people
from	from	from
descending	descend	descending
to	to	to
their	their	their
extreme	extrem	extreme
worst	worst	worst
,	,	,
that	that	that
s	s	s
exactly	exact	exactly
what	what	what
s	s	s
gonna	gonna	gonna
happen	happen	happen
.	.	.

And	and	And
I	i	I
m	m	m
here	here	here
to	to	to
tell	tell	tell
you	you	you
The	the	The
extremism	extrem	extremism
in	in	in
America	america	America
could	could	could
be	be	be
found	found	found
almost	almost	almost
exclusively	exclus	exclusively
on	on	on
the	the	the
Democrat	democrat	Democrat
side	side	side
,	,	,
and	and	and
that	that	that
extremism	extrem	extremism
has	has	ha
been	been	been
documented	document	documented
in	in	in
their	their	their
platform	platform	platform
