Much	much	Much
second	second	second
time	time	time
SCOTUS	scotus	SCOTUS
handed	hand	handed
down	down	down
a	a	a
more	more	more
comprehensive	comprehens	comprehensive
stay	stay	stay
of	of	of
what	what	what
is	is	is
the	the	the
Fifth	fifth	Fifth
Circuit	circuit	Circuit
s	s	s
most	most	most
draconian	draconian	draconian
anti	anti	anti
-abortion	-abort	-abortion
decision	decis	decision
to	to	to
date	date	date
,	,	,
in	in	in
the	the	the
case	case	case
of	of	of
Whole	whole	Whole
Woman	woman	Woman
s	s	s
Health	health	Health
V	v	V
.	.	.
Cole	cole	Cole
.	.	.
This	this	This
is	is	is
the	the	the
exact	exact	exact
same	same	same
type	type	type
of	of	of
law	law	law
that	that	that
the	the	the
Louisiana	louisiana	Louisiana
one	one	one
was	was	wa
,	,	,
in	in	in
that	that	that
it	it	it
called	call	called
for	for	for
admitting	admit	admitting
privileges	privileg	privilege
for	for	for
doctors	doctor	doctor
that	that	that
provide	provid	provide
abortions	abort	abortion
.	.	.
In	in	In
the	the	the
Louisiana	louisiana	Louisiana
decision	decis	decision
,	,	,
only	onli	only
Clarence	clarenc	Clarence
Thomas	thoma	Thomas
dissented	dissent	dissented
from	from	from
the	the	the
opinion	opinion	opinion
of	of	of
the	the	the
court	court	court
which	which	which
allowed	allow	allowed
the	the	the
state	state	state
s	s	s
clinics	clinic	clinic
to	to	to
re	re	re
-open	-open	-open
giving	give	giving
an	an	an
indicator	indic	indicator
the	the	the
right	right	right
-wing	-wing	-wing
s	s	s
irrational	irrat	irrational
obsession	obsess	obsession
with	with	with
women	women	woman
s	s	s
bodies	bodi	body
may	may	may
have	have	have
finally	final	finally
gone	gone	gone
too	too	too
far	far	far
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
wikicommons	wikicommon	wikicommons
