Mrs	mrs	Mrs
mirror	mirror	mirror
.	.	.
We	we	We
are	are	are
responsible	respons	responsible
for	for	for
our	our	our
own	own	own
happiness	happi	happiness
and	and	and
misery	miseri	misery
.	.	.
The	the	The
KKK	kkk	KKK
is	is	is
ignorance	ignor	ignorance
wrapped	wrap	wrapped
in	in	in
a	a	a
sheet	sheet	sheet
while	while	while
the	the	the
Black	black	Black
panthers	panther	panther
are	are	are
raised	rais	raised
on	on	on
ignorance	ignor	ignorance
and	and	and
hate	hate	hate
.	.	.
No	no	No
different	differ	different
from	from	from
the	the	the
teaching	teach	teaching
of	of	of
Islam	islam	Islam
thinking	think	thinking
their	their	their
race	race	race
is	is	is
better	better	better
than	than	than
all	all	all
other	other	other
men	men	men
.	.	.
God	god	God
is	is	is
love	love	love
and	and	and
creates	creat	creates
every	everi	every
color	color	color
to	to	to
include	includ	include
everyone	everyon	everyone
s	s	s
skin	skin	skin
.	.	.
To	to	To
truly	truli	truly
love	love	love
God	god	God
is	is	is
to	to	to
love	love	love
all	all	all
that	that	that
He	he	He
loves	love	love
.	.	.
For	for	For
that	that	that
I	i	I
love	love	love
each	each	each
of	of	of
you	you	you
and	and	and
pray	pray	pray
that	that	that
we	we	we
all	all	all
start	start	start
taking	take	taking
responsibility	respons	responsibility
for	for	for
our	our	our
own	own	own
damned	damn	damned
sins	sin	sin
.	.	.
Martin	martin	Martin
Luther	luther	Luther
King	king	King
had	had	had
a	a	a
dream	dream	dream
that	that	that
we	we	we
would	would	would
all	all	all
live	live	live
in	in	in
the	the	the
promise	promis	promise
land	land	land
.	.	.
He	he	He
is	is	is
not	not	not
remembered	rememb	remembered
for	for	for
being	be	being
black	black	black
.	.	.
He	he	He
is	is	is
remembered	rememb	remembered
for	for	for
the	the	the
love	love	love
,	,	,
and	and	and
character	charact	character
he	he	he
had	had	had
within	within	within
his	his	his
heart	heart	heart
.	.	.
If	if	If
you	you	you
don	don	don
t	t	t
like	like	like
this	this	this
country	countri	country
get	get	get
on	on	on
that	that	that
plane	plane	plane
and	and	and
never	never	never
come	come	come
back	back	back
.	.	.
I	i	I
will	will	will
stay	stay	stay
here	here	here
and	and	and
love	love	love
all	all	all
Americans	american	Americans
,	,	,
regardless	regardless	regardless
of	of	of
skin	skin	skin
.	.	.
I	i	I
will	will	will
love	love	love
the	the	the
beauty	beauti	beauty
of	of	of
what	what	what
God	god	God
created	creat	created
and	and	and
stand	stand	stand
tall	tall	tall
with	with	with
my	my	my
American	american	American
friends	friend	friend
.	.	.
Not	not	Not
because	becaus	because
of	of	of
their	their	their
color	color	color
but	but	but
for	for	for
the	the	the
character	charact	character
and	and	and
love	love	love
they	they	they
carry	carri	carry
within	within	within
.	.	.
This	this	This
country	countri	country
doesn	doesn	doesn
t	t	t
owe	owe	owe
you	you	you
anymore	anymor	anymore
than	than	than
it	it	it
owes	owe	owes
me	me	me
.	.	.
So	so	So
many	mani	many
have	have	have
thanked	thank	thanked
me	me	me
for	for	for
my	my	my
service	servic	service
and	and	and
I	i	I
will	will	will
always	alway	always
be	be	be
grateful	grate	grateful
.	.	.
I	i	I
pray	pray	pray
that	that	that
one	one	one
day	day	day
you	you	you
and	and	and
your	your	your
husband	husband	husband
might	might	might
cause	caus	cause
me	me	me
to	to	to
be	be	be
grateful	grate	grateful
for	for	for
yours	your	yours
.	.	.
You	you	You
will	will	will
never	never	never
be	be	be
remembered	rememb	remembered
as	as	a
the	the	the
First	first	First
Lady	ladi	Lady
of	of	of
Color	color	Color
but	but	but
soon	soon	soon
forgotten	forgotten	forgotten
after	after	after
you	you	you
leave	leav	leave
the	the	the
White	white	White
House	hous	House
.	.	.
You	you	You
nor	nor	nor
your	your	your
husband	husband	husband
shall	shall	shall
ever	ever	ever
divide	divid	divide
us	us	u
.	.	.
I	i	I
wish	wish	wish
you	you	you
no	no	no
harm	harm	harm
,	,	,
but	but	but
pray	pray	pray
you	you	you
will	will	will
take	take	take
your	your	your
troubles	troubl	trouble
to	to	to
a	a	a
land	land	land
you	you	you
no	no	no
longer	longer	longer
hate	hate	hate
.	.	.
Hate	hate	Hate
shall	shall	shall
come	come	come
and	and	and
go	go	go
but	but	but
His	his	His
love	love	love
shall	shall	shall
last	last	last
forever	forev	forever
.	.	.
If	if	If
you	you	you
wish	wish	wish
to	to	to
find	find	find
me	me	me
I	i	I
am	am	am
now	now	now
a	a	a
writer	writer	writer
for	for	for
the	the	the
DC	dc	DC
Gazette	gazett	Gazette
.	.	.
Also	also	Also
on	on	on
Twitter	twitter	Twitter
@mshep08_mike	@mshep08_mik	@mshep08_mike
God	god	God
bless	bless	bless
you	you	you
and	and	and
Semper	semper	Semper
Fi	fi	Fi
Mike	mike	Mike
Shepard	shepard	Shepard
