Eleven	eleven	Eleven
always	alway	always
be	be	be
people	peopl	people
who	who	who
tell	tell	tell
you	you	you
that	that	that
you	you	you
can	can	can
t	t	t
.	.	.

Here	here	Here
s	s	s
my	my	my
advice	advic	advice
don	don	don
t	t	t
listen	listen	listen
.	.	.

Keep	keep	Keep
striving	strive	striving
for	for	for
your	your	your
goals	goal	goal
,	,	,
and	and	and
remember	rememb	remember
that	that	that
it	it	it
s	s	s
good	good	good
to	to	to
be	be	be
ambitious	ambiti	ambitious
.	.	.

There	there	There
s	s	s
nothing	noth	nothing
wrong	wrong	wrong
with	with	with
knowing	know	knowing
what	what	what
you	you	you
want	want	want
and	and	and
going	go	going
after	after	after
it	it	it
.	.	.
And	and	And
Marley	marley	Marley
,	,	,
what	what	what
you	you	you
ve	ve	ve
accomplished	accomplish	accomplished
already	alreadi	already
is	is	is
proof	proof	proof
of	of	of
that	that	that
.	.	.

Marley	marley	Marley
started	start	started
#1000BlackGirlBooks	#1000blackgirlbook	#1000BlackGirlBooks
because	becaus	because
she	she	she
was	was	wa
getting	get	getting
fed	fed	fed
up	up	up
with	with	with
the	the	the
books	book	book
that	that	that
her	her	her
schools	school	school
were	were	were
having	have	having
her	her	her
read	read	read
they	they	they
re	re	re
classics	classic	classic
,	,	,
sure	sure	sure
,	,	,
but	but	but
they	they	they
almost	almost	almost
always	alway	always
feature	featur	feature
white	white	white
boys	boy	boy
as	as	a
the	the	the
main	main	main
character	charact	character
.	.	.

Black	black	Black
people	peopl	people
particularly	particular	particularly
black	black	black
girls	girl	girl
are	are	are
never	never	never
a	a	a
main	main	main
character	charact	character
in	in	in
these	these	these
books	book	book
.	.	.

Yet	yet	Yet
,	,	,
the	the	the
books	book	book
do	do	do
exist	exist	exist
and	and	and
she	she	she
was	was	wa
determined	determin	determined
to	to	to
bring	bring	bring
them	them	them
out	out	out
into	into	into
the	the	the
light	light	light
.	.	.
Her	her	Her
book	book	book
drive	drive	drive
has	has	ha
already	alreadi	already
collected	collect	collected
well	well	well
over	over	over
4	4	4
,	,	,
000	000	000
titles	titl	title
a	a	a
very	veri	very
impressive	impress	impressive
feat	feat	feat
according	accord	according
to	to	to
Hillary	hillari	Hillary
.	.	.
Featured	featur	Featured
image	imag	image
by	by	by
Justin	justin	Justin
Sullivan	sullivan	Sullivan
Getty	getti	Getty
Images	imag	Images

