Friday	friday	Friday
debt	debt	debt
increase	increas	increase
,	,	,
but	but	but
the	the	the
climate	climat	climate
debt	debt	debt
,	,	,
in	in	in
a	a	a
sense	sens	sense
,	,	,
what	what	what
we	we	we
have	have	have
to	to	to
do	do	do
to	to	to
address	address	address
climate	climat	climate
change	chang	change
,	,	,
will	will	will
be	be	be
more	more	more
and	and	and
more	more	more
difficult	difficult	difficult
to	to	to
pay	pay	pay
back	back	back
or	or	or
pay	pay	pay
down	down	down
.	.	.

Breitbart	breitbart	Breitbart
NewsThe	newsth	NewsThe
climate	climat	climate
change	chang	change
debate	debat	debate
went	went	went
nuclear	nuclear	nuclear
last	last	last
year	year	year
,	,	,
over	over	over
a	a	a
whistleblower	whistleblow	whistleblower
s	s	s
explosive	explos	explosive
allegation	alleg	allegation
that	that	that
the	the	the
National	nation	National
Oceanic	ocean	Oceanic
and	and	and
Atmospheric	atmospher	Atmospheric
Association	associ	Association
manipulated	manipul	manipulated
data	data	data
to	to	to
advance	advanc	advance
a	a	a
political	polit	political
agenda	agenda	agenda
by	by	by
hiding	hide	hiding
the	the	the
global	global	global
warming	warm	warming
pause	paus	pause
.	.	.

In	in	In
an	an	an
article	articl	article
on	on	on
the	the	the
Climate	climat	Climate
Etc	etc	Etc
.	.	.

blog	blog	blog
,	,	,
John	john	John
Bates	bate	Bates
,	,	,
who	who	who
retired	retir	retired
last	last	last
year	year	year
as	as	a
principal	princip	principal
scientist	scientist	scientist
of	of	of
the	the	the
National	nation	National
Climatic	climat	Climatic
Data	data	Data
Center	center	Center
,	,	,
accused	accus	accused
the	the	the
lead	lead	lead
author	author	author
of	of	of
the	the	the
2015	2015	2015
NOAA	noaa	NOAA
pausebuster	pausebust	pausebuster
report	report	report
of	of	of
trying	tri	trying
to	to	to
discredit	discredit	discredit
the	the	the
hiatus	hiatus	hiatus
through	through	through
flagrant	flagrant	flagrant
manipulation	manipul	manipulation
of	of	of
scientific	scientif	scientific
integrity	integr	integrity
guidelines	guidelin	guideline
and	and	and
scientific	scientif	scientific
publication	public	publication
standards	standard	standard
.	.	.

In	in	In
addition	addit	addition
,	,	,
Mr	mr	Mr
.	.	.
Bates	bate	Bates
told	told	told
the	the	the
Daily	daili	Daily
U	u	U
.	.	.
K	k	K
.	.	.
Mail	mail	Mail
that	that	that
the	the	the
report	report	report
s	s	s
author	author	author
,	,	,
former	former	former
NOAA	noaa	NOAA
National	nation	National
Centers	center	Centers
for	for	for
Environmental	environment	Environmental
Information	inform	Information
director	director	director
Thomas	thoma	Thomas
Karl	karl	Karl
,	,	,
did	did	did
so	so	so
by	by	by
insisting	insist	insisting
on	on	on
decisions	decis	decision
and	and	and
scientific	scientif	scientific
choices	choic	choice
that	that	that
maximized	maxim	maximized
warming	warm	warming
and	and	and
minimized	minim	minimized
documentation	document	documentation
.	.	.

Gradually	gradual	Gradually
,	,	,
in	in	in
the	the	the
months	month	month
after	after	after
the	the	the
report	report	report
came	came	came
out	out	out
,	,	,
the	the	the
evidence	evid	evidence
kept	kept	kept
mounting	mount	mounting
that	that	that
Tom	tom	Tom
Karl	karl	Karl
constantly	constant	constantly
had	had	had
his	his	his
thumb	thumb	thumb
on	on	on
the	the	the
scale	scale	scale
in	in	in
the	the	the
documentation	document	documentation
,	,	,
scientific	scientif	scientific
choices	choic	choice
,	,	,
and	and	and
release	releas	release
of	of	of
datasets	dataset	datasets
in	in	in
an	an	an
effort	effort	effort
to	to	to
discredit	discredit	discredit
the	the	the
notion	notion	notion
of	of	of
a	a	a
global	global	global
warming	warm	warming
hiatus	hiatus	hiatus
and	and	and
rush	rush	rush
to	to	to
time	time	time
the	the	the
publication	public	publication
of	of	of
the	the	the
paper	paper	paper
to	to	to
influence	influenc	influence
national	nation	national
and	and	and
international	intern	international
deliberations	deliber	deliberation
on	on	on
climate	climat	climate
policy	polici	policy
,	,	,
Mr	mr	Mr
.	.	.
Bates	bate	Bates
said	said	said
Saturday	saturday	Saturday
on	on	on
Climate	climat	Climate
Etc	etc	Etc
.	.	.
The	the	The
June	june	June
2015	2015	2015
report	report	report
,	,	,
Possible	possibl	Possible
artifacts	artifact	artifact
of	of	of
data	data	data
biases	bias	bias
in	in	in
the	the	the
recent	recent	recent
global	global	global
surface	surfac	surface
warming	warm	warming
hiatus	hiatus	hiatus
,	,	,
which	which	which
updated	updat	updated
the	the	the
ocean	ocean	ocean
temperature	temperatur	temperature
record	record	record
,	,	,
was	was	wa
published	publish	published
six	six	six
months	month	month
before	befor	before
the	the	the
U	u	U
.	.	.
N	n	N
.	.	.
s	s	s
Paris	pari	Paris
summit	summit	summit
.	.	.
The	the	The
accusations	accus	accusation
sparked	spark	sparked
a	a	a
fierce	fierc	fierce
back	back	back
-and-forth	-and-forth	-and-forth
Sunday	sunday	Sunday
between	between	between
so	so	so
-called	-call	-called
climate	climat	climate
warmists	warmist	warmists
and	and	and
skeptics	skeptic	skeptic
over	over	over
the	the	the
validity	valid	validity
and	and	and
implications	implic	implication
of	of	of
Mr	mr	Mr
.	.	.
Bates	bate	Bates
claim	claim	claim
,	,	,
which	which	which
he	he	he
defended	defend	defended
on	on	on
the	the	the
Climate	climat	Climate
Etc	etc	Etc
.	.	.

blog	blog	blog
run	run	run
by	by	by
former	former	former
Georgia	georgia	Georgia
Tech	tech	Tech
climatologist	climatologist	climatologist
Judith	judith	Judith
Curry	curri	Curry
.	.	.
Zeke	zeke	Zeke
Hausfather	hausfath	Hausfather
,	,	,
Berkeley	berkeley	Berkeley
Earth	earth	Earth
climate	climat	climate
scientist	scientist	scientist
,	,	,
said	said	said
in	in	in
a	a	a
Sunday	sunday	Sunday
fact	fact	fact
-check	-check	-check
on	on	on
the	the	the
CarbonBrief	carbonbrief	CarbonBrief
blog	blog	blog
that	that	that
the	the	the
Karl	karl	Karl
paper	paper	paper
s	s	s
conclusions	conclus	conclusion
have	have	have
been	been	been
validated	valid	validated
by	by	by
independent	independ	independent
data	data	data
from	from	from
satellites	satellit	satellite
,	,	,
buoys	buoy	buoy
,	,	,
and	and	and
Argo	argo	Argo
floats	float	float
and	and	and
many	mani	many
other	other	other
independent	independ	independent
groups	group	group
.	.	.

While	while	While
NOAA	noaa	NOAA
s	s	s
data	data	data
management	manag	management
procedures	procedur	procedure
may	may	may
well	well	well
need	need	need
improvement	improv	improvement
,	,	,
their	their	their
results	result	result
have	have	have
been	been	been
independently	independ	independently
validated	valid	validated
and	and	and
agree	agre	agree
with	with	with
separate	separ	separate
global	global	global
temperature	temperatur	temperature
records	record	record
created	creat	created
by	by	by
other	other	other
groups	group	group
,	,	,
Mr	mr	Mr
.	.	.
Hausfather	hausfath	Hausfather
said	said	said
,	,	,
citing	cite	citing
Berkeley	berkeley	Berkeley
Earth	earth	Earth
and	and	and
the	the	the
U	u	U
.	.	.
K	k	K
.	.	.
s	s	s
Met	met	Met
Office	offic	Office
Hadley	hadley	Hadley
Centre	centr	Centre
.	.	.
He	he	He
said	said	said
the	the	the
record	record	record
strongly	strong	strongly
suggests	suggest	suggests
that	that	that
NOAA	noaa	NOAA
got	got	got
it	it	it
right	right	right
and	and	and
that	that	that
we	we	we
have	have	have
been	been	been
underestimating	underestim	underestimating
ocean	ocean	ocean
warming	warm	warming
in	in	in
recent	recent	recent
years	year	year
.	.	.

Meanwhile	meanwhil	Meanwhile
,	,	,
the	the	the
whistleblowing	whistleblow	whistleblowing
prompted	prompt	prompted
a	a	a
we	we	we
-told-you-so	-told-you-so	-told-you-so
moment	moment	moment
from	from	from
Republicans	republican	Republicans
on	on	on
the	the	the
House	hous	House
Science	scienc	Science
,	,	,
Space	space	Space
and	and	and
Technology	technolog	Technology
Committee	committe	Committee
who	who	who
have	have	have
long	long	long
suspected	suspect	suspected
the	the	the
Obama	obama	Obama
administration	administr	administration
of	of	of
retroactively	retroact	retroactively
fiddling	fiddl	fiddling
with	with	with
climate	climat	climate
data	data	data
in	in	in
order	order	order
to	to	to
erase	eras	erase
the	the	the
1998	1998	1998
-2013	-2013	-2013
pause	paus	pause
in	in	in
global	global	global
temperature	temperatur	temperature
increases	increas	increase
.	.	.

Now	now	Now
that	that	that
Dr	dr	Dr
.	.	.
Bates	bate	Bates
has	has	ha
confirmed	confirm	confirmed
that	that	that
there	there	there
were	were	were
heated	heat	heated
disagreements	disagr	disagreement
within	within	within
NOAA	noaa	NOAA
about	about	about
the	the	the
quality	qualiti	quality
and	and	and
transparency	transpar	transparency
of	of	of
the	the	the
data	data	data
before	befor	before
publication	public	publication
,	,	,
we	we	we
know	know	know
why	whi	why
NOAA	noaa	NOAA
fought	fought	fought
transparency	transpar	transparency
and	and	and
oversight	oversight	oversight
at	at	at
every	everi	every
turn	turn	turn
,	,	,
said	said	said
Chairman	chairman	Chairman
Lamar	lamar	Lamar
Smith	smith	Smith
in	in	in
a	a	a
Sunday	sunday	Sunday
statement	statement	statement
.	.	.
The	the	The
panel	panel	panel
launched	launch	launched
an	an	an
investigation	investig	investigation
into	into	into
the	the	the
NOAA	noaa	NOAA
pausebuster	pausebust	pausebuster
report	report	report
after	after	after
whistleblowers	whistleblow	whistleblower
said	said	said
the	the	the
study	studi	study
was	was	wa
rushed	rush	rushed
to	to	to
publication	public	publication
before	befor	before
underlying	under	underlying
data	data	data
issues	issu	issue
were	were	were
resolved	resolv	resolved
to	to	to
help	help	help
influence	influenc	influence
public	public	public
debate	debat	debate
about	about	about
the	the	the
so	so	so
-called	-call	-called
Clean	clean	Clean
Power	power	Power
Plan	plan	Plan
and	and	and
upcoming	upcom	upcoming
Paris	pari	Paris
climate	climat	climate
conference	confer	conference
.	.	.

Dr	dr	Dr
.	.	.
Bates	bate	Bates
revelations	revel	revelation
and	and	and
NOAA	noaa	NOAA
s	s	s
obstruction	obstruct	obstruction
certainly	certain	certainly
lend	lend	lend
credence	credenc	credence
to	to	to
what	what	what
I	i	I
ve	ve	ve
expected	expect	expected
all	all	all
along	along	along
that	that	that
the	the	the
Karl	karl	Karl
study	studi	study
used	use	used
flawed	flaw	flawed
data	data	data
,	,	,
was	was	wa
rushed	rush	rushed
to	to	to
publication	public	publication
in	in	in
an	an	an
effort	effort	effort
to	to	to
support	support	support
the	the	the
president	presid	president
s	s	s
climate	climat	climate
change	chang	change
agenda	agenda	agenda
and	and	and
ignored	ignor	ignored
NOAA	noaa	NOAA
s	s	s
own	own	own
standards	standard	standard
for	for	for
scientific	scientif	scientific
study	studi	study
,	,	,
Mr	mr	Mr
.	.	.
Smith	smith	Smith
said	said	said
.	.	.
Mr	mr	Mr
.	.	.
Bates	bate	Bates
said	said	said
he	he	he
decided	decid	decided
to	to	to
come	come	come
forward	forward	forward
after	after	after
reading	read	reading
a	a	a
Washington	washington	Washington
Post	post	Post
article	articl	article
Dec	dec	Dec
.	.	.

13	13	13
that	that	that
said	said	said
federal	feder	federal
scientists	scientist	scientist
are	are	are
frantically	frantic	frantically
copying	copi	copying
U	u	U
.	.	.
S	s	S
.	.	.
climate	climat	climate
data	data	data
,	,	,
fearing	fear	fearing
it	it	it
might	might	might
vanish	vanish	vanish
under	under	under
Trump	trump	Trump
.	.	.

As	as	As
a	a	a
climate	climat	climate
scientist	scientist	scientist
formerly	former	formerly
responsible	respons	responsible
for	for	for
NOAA	noaa	NOAA
s	s	s
climate	climat	climate
archive	archiv	archive
,	,	,
the	the	the
most	most	most
critical	critic	critical
issue	issu	issue
in	in	in
archival	archiv	archival
of	of	of
climate	climat	climate
data	data	data
is	is	is
actually	actual	actually
scientists	scientist	scientist
who	who	who
are	are	are
unwilling	unwil	unwilling
to	to	to
formally	formal	formally
archive	archiv	archive
and	and	and
document	document	document
their	their	their
data	data	data
,	,	,
he	he	he
said	said	said
on	on	on
Climate	climat	Climate
Etc	etc	Etc
.	.	.
In	in	In
his	his	his
experience	experi	experience
,	,	,
the	the	the
most	most	most
serious	serious	serious
example	exampl	example
of	of	of
a	a	a
climate	climat	climate
scientist	scientist	scientist
not	not	not
archiving	archiv	archiving
or	or	or
documenting	document	documenting
a	a	a
critical	critic	critical
climate	climat	climate
dataset	dataset	dataset
was	was	wa
the	the	the
study	studi	study
of	of	of
Tom	tom	Tom
Karl	karl	Karl
et	et	et
al	al	al
.	.	.

2015	2015	2015
hereafter	hereaft	hereafter
referred	refer	referred
to	to	to
as	as	a
the	the	the
Karl	karl	Karl
study	studi	study
or	or	or
K15	k15	K15
,	,	,
purporting	purport	purporting
to	to	to
show	show	show
no	no	no
hiatus	hiatus	hiatus
in	in	in
global	global	global
warming	warm	warming
in	in	in
the	the	the
2000s	2000s	2000s
.	.	.

NOAA	noaa	NOAA
did	did	did
not	not	not
return	return	return
immediately	immedi	immediately
Sunday	sunday	Sunday
a	a	a
request	request	request
for	for	for
comment	comment	comment
.	.	.

The	the	The
Daily	daili	Daily
Mail	mail	Mail
said	said	said
that	that	that
Mr	mr	Mr
.	.	.
Karl	karl	Karl
admitted	admit	admitted
the	the	the
data	data	data
had	had	had
not	not	not
been	been	been
archived	archiv	archived
when	when	when
the	the	the
paper	paper	paper
was	was	wa
published	publish	published
but	but	but
denied	deni	denied
trying	tri	trying
to	to	to
influence	influenc	influence
the	the	the
climate	climat	climate
summit	summit	summit
.	.	.

Asked	ask	Asked
why	whi	why
he	he	he
had	had	had
not	not	not
waited	wait	waited
,	,	,
he	he	he
said	said	said
John	john	John
Bates	bate	Bates
is	is	is
talking	talk	talking
about	about	about
a	a	a
formal	formal	formal
process	process	process
that	that	that
takes	take	take
a	a	a
long	long	long
time	time	time
.	.	.

He	he	He
denied	deni	denied
he	he	he
was	was	wa
rushing	rush	rushing
to	to	to
get	get	get
the	the	the
paper	paper	paper
out	out	out
in	in	in
time	time	time
for	for	for
Paris	pari	Paris
,	,	,
saying	say	saying
There	there	There
was	was	wa
no	no	no
discussion	discuss	discussion
about	about	about
Paris	pari	Paris
,	,	,
said	said	said
the	the	the
Daily	daili	Daily
Mail	mail	Mail
article	articl	article
.	.	.
The	the	The
American	american	American
Geophysical	geophys	Geophysical
Union	union	Union
issued	issu	issued
a	a	a
statement	statement	statement
saying	say	saying
it	it	it
was	was	wa
very	veri	very
closely	close	closely
monitoring	monitor	monitoring
the	the	the
situation	situat	situation
,	,	,
have	have	have
considered	consid	considered
the	the	the
possible	possibl	possible
implications	implic	implication
,	,	,
and	and	and
will	will	will
be	be	be
sharing	share	sharing
any	ani	any
new	new	new
information	inform	information
or	or	or
response	respons	response
by	by	by
AGU	agu	AGU
with	with	with
you	you	you
here	here	here
.	.	.

