Republicans	republican	Republicans
the	the	the
memorial	memori	memorial
and	and	and
laid	laid	laid
a	a	a
wreath	wreath	wreath
at	at	at
the	the	the
site	site	site
.	.	.
It	it	It
was	was	wa
a	a	a
deeply	deepli	deeply
moving	move	moving
experience	experi	experience
to	to	to
be	be	be
able	abl	able
to	to	to
visit	visit	visit
The	the	The
Monument	monument	Monument
to	to	to
the	the	the
Ghetto	ghetto	Ghetto
Heroes	hero	Heroes
and	and	and
the	the	the
POLIN	polin	POLIN
Museum	museum	Museum
of	of	of
the	the	the
History	histori	History
of	of	of
the	the	the
Polish	polish	Polish
Jews	jew	Jews
.	.	.
It	it	It
was	was	wa
a	a	a
privilege	privileg	privilege
to	to	to
be	be	be
able	abl	able
to	to	to
pay	pay	pay
my	my	my
respects	respect	respect
and	and	and
remember	rememb	remember
with	with	with
gratitude	gratitud	gratitude
those	those	those
who	who	who
fought	fought	fought
with	with	with
such	such	such
tenacity	tenac	tenacity
against	against	against
all	all	all
odds	odd	odds
.	.	.
#POTUSinPolandA	#potusinpolanda	#POTUSinPolandA
post	post	post
shared	share	shared
by	by	by
Ivanka	ivanka	Ivanka
Trump	trump	Trump
@ivankatrump	@ivankatrump	@ivankatrump
on	on	on
Jul	jul	Jul
6	6	6
,	,	,
2017	2017	2017
at	at	at
3	3	3
34am	34am	34am
PDT	pdt	PDT
But	but	But
Ivanka	ivanka	Ivanka
s	s	s
visit	visit	visit
did	did	did
little	littl	little
to	to	to
soften	soften	soften
the	the	the
blow	blow	blow
of	of	of
this	this	this
perceived	perceiv	perceived
slight	slight	slight
,	,	,
particularly	particular	particularly
after	after	after
the	the	the
blatant	blatant	blatant
anti	anti	anti
-Semitism	-semit	-Semitism
he	he	he
and	and	and
his	his	his
administration	administr	administration
have	have	have
shown	shown	shown
from	from	from
the	the	the
very	veri	very
beginning	begin	beginning
.	.	.
Snubbing	snub	Snubbing
the	the	the
memorial	memori	memorial
apparently	appar	apparently
wasn	wasn	wasn
t	t	t
enough	enough	enough
for	for	for
Trump	trump	Trump
.	.	.
He	he	He
just	just	just
had	had	had
to	to	to
make	make	make
things	thing	thing
a	a	a
little	littl	little
worse	wors	worse
.	.	.
In	in	In
his	his	his
speech	speech	speech
,	,	,
Trump	trump	Trump
included	includ	included
the	the	the
Warsaw	warsaw	Warsaw
Ghetto	ghetto	Ghetto
Uprising	upris	Uprising
in	in	in
his	his	his
list	list	list
of	of	of
the	the	the
evils	evil	evil
beyond	beyond	beyond
description	descript	description
that	that	that
the	the	the
Polish	polish	Polish
people	peopl	people
suffered	suffer	suffered
through	through	through
during	dure	during
WWII	wwii	WWII
.	.	.
This	this	This
prompted	prompt	prompted
Chelsea	chelsea	Chelsea
Clinton	clinton	Clinton
to	to	to
call	call	call
him	him	him
out	out	out
on	on	on
Twitter	twitter	Twitter
.	.	.
Wait	wait	Wait
,	,	,
what	what	what
?	?	?
Surely	sure	Surely
Trump	trump	Trump
meant	meant	meant
the	the	the
Warsaw	warsaw	Warsaw
ghetto	ghetto	ghetto
way	way	way
station	station	station
to	to	to
Treblinka	treblinka	Treblinka
death	death	death
camp	camp	camp
was	was	wa
evil	evil	evil
NOT	not	NOT
the	the	the
uprising	upris	uprising
against	against	against
the	the	the
Nazis	nazi	Nazis
.	.	.
Surely	sure	Surely
https://t.co/3YbJgCM0PC	https://t.co/3ybjgcm0pc	https://t.co/3YbJgCM0PC
Chelsea	chelsea	Chelsea
Clinton	clinton	Clinton
@ChelseaClinton	@chelseaclinton	@ChelseaClinton
July	juli	July
6	6	6
,	,	,
2017Trump	2017trump	2017Trump
on	on	on
Hitler	hitler	Hitler
and	and	and
Stalin	stalin	Stalin
invading	invad	invading
Poland	poland	Poland
That	that	That
s	s	s
trouble	troubl	trouble
.	.	.
That	that	That
s	s	s
tough	tough	tough
.	.	.
pic.twitter.com/prE4uOhVnV	pic.twitter.com/pre4uohvnv	pic.twitter.com/prE4uOhVnV
Bradd	bradd	Bradd
Jaffy	jaffi	Jaffy
@BraddJaffy	@braddjaffi	@BraddJaffy
July	juli	July
6	6	6
,	,	,
2017Any	2017ani	2017Any
hope	hope	hope
of	of	of
Trump	trump	Trump
not	not	not
making	make	making
more	more	more
enemies	enemi	enemy
while	while	while
on	on	on
his	his	his
second	second	second
international	intern	international
trip	trip	trip
just	just	just
went	went	went
out	out	out
the	the	the
window	window	window
,	,	,
with	with	with
a	a	a
thud	thud	thud
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
Moshe	mosh	Moshe
Milner	milner	Milner
GPO	gpo	GPO
via	via	via
Getty	getti	Getty
Images	imag	Images
