Soooo	soooo	Soooo
s	s	s
fastest	fastest	fastest
growing	grow	growing
and	and	and
third	third	third
-largest	-largest	-largest
group	group	group
in	in	in
2012	2012	2012
,	,	,
according	accord	according
to	to	to
the	the	the
Chicago	chicago	Chicago
Tribune	tribun	Tribune
.	.	.

And	and	And
while	while	while
there	there	there
is	is	is
no	no	no
readily	readili	readily
available	avail	available
state	state	state
data	data	data
about	about	about
the	the	the
Sikh	sikh	Sikh
population	popul	population
,	,	,
there	there	there
are	are	are
half	half	half
a	a	a
million	million	million
Sikhs	sikh	Sikhs
living	live	living
in	in	in
the	the	the
United	unit	United
States	state	States
.	.	.
A	a	A
spokesperson	spokesperson	spokesperson
for	for	for
Illinois	illinoi	Illinois
Secretary	secretari	Secretary
of	of	of
State	state	State
Jesse	jess	Jesse
White	white	White
emphasized	emphas	emphasized
to	to	to
Fusion	fusion	Fusion
that	that	that
it	it	it
has	has	ha
always	alway	always
been	been	been
illegal	illeg	illegal
to	to	to
ask	ask	ask
people	peopl	people
to	to	to
remove	remov	remove
their	their	their
head	head	head
covering	cover	covering
,	,	,
and	and	and
that	that	that
the	the	the
fliers	flier	flier
serve	serv	serve
as	as	a
a	a	a
reminder	remind	reminder
for	for	for
government	govern	government
employees	employe	employee
of	of	of
how	how	how
to	to	to
respect	respect	respect
religious	religi	religious
diversity	divers	diversity
.	.	.

No	no	No
change	chang	change
has	has	ha
actually	actual	actually
taken	taken	taken
place	place	place
to	to	to
our	our	our
procedures	procedur	procedure
,	,	,
said	said	said
Henry	henri	Henry
Haupt	haupt	Haupt
,	,	,
Deputy	deputi	Deputy
Press	press	Press
Secretary	secretari	Secretary
for	for	for
the	the	the
Secretary	secretari	Secretary
of	of	of
State	state	State
s	s	s
office	offic	office
.	.	.

What	what	What
we	we	we
re	re	re
doing	do	doing
was	was	wa
always	alway	always
allowed	allow	allowed
the	the	the
religious	religi	religious
head	head	head
coverings	cover	covering
of	of	of
this	this	this
nature	natur	nature
but	but	but
what	what	what
we	we	we
want	want	want
to	to	to
ensure	ensur	ensure
is	is	is
that	that	that
the	the	the
public	public	public
s	s	s
aware	awar	aware
of	of	of
them	them	them
because	becaus	because
we	we	we
were	were	were
told	told	told
that	that	that
some	some	some
individuals	individu	individual
were	were	were
unaware	unawar	unaware
that	that	that
they	they	they
could	could	could
have	have	have
their	their	their
photo	photo	photo
taken	taken	taken
for	for	for
the	the	the
drivers	driver	driver
license	licens	license
wearing	wear	wearing
them	them	them
.	.	.

We	we	We
re	re	re
always	alway	always
mindful	mind	mindful
of	of	of
the	the	the
fact	fact	fact
that	that	that
we	we	we
want	want	want
to	to	to
communicate	communic	communicate
well	well	well
with	with	with
the	the	the
public	public	public
.	.	.

Via	via	Via
IB	ib	IB
Times	time	Times

