How	how	How
In	in	In
four	four	four
separate	separ	separate
studies	studi	study
,	,	,
people	peopl	people
who	who	who
scored	score	scored
in	in	in
the	the	the
bottom	bottom	bottom
quarter	quarter	quarter
on	on	on
tests	test	test
involving	involv	involving
everything	everyth	everything
from	from	from
humor	humor	humor
to	to	to
logic	logic	logic
,	,	,
and	and	and
even	even	even
to	to	to
grammar	grammar	grammar
,	,	,
grossly	grossli	grossly
overestimated	overestim	overestimated
where	where	where
they	they	they
thought	thought	thought
they	they	they
would	would	would
score	score	score
.	.	.
They	they	They
averaged	averag	averaged
scores	score	score
in	in	in
the	the	the
12th	12th	12th
percentile	percentil	percentile
,	,	,
while	while	while
their	their	their
average	averag	average
estimate	estim	estimate
of	of	of
their	their	their
own	own	own
scores	score	score
was	was	wa
the	the	the
62nd	62nd	62nd
percentile	percentil	percentile
.	.	.
The	the	The
researchers	research	researcher
attribute	attribut	attribute
that	that	that
huge	huge	huge
discrepancy	discrep	discrepancy
to	to	to
a	a	a
literal	liter	literal
inability	inabl	inability
to	to	to
distinguish	distinguish	distinguish
accuracy	accuraci	accuracy
from	from	from
error	error	error
.	.	.
Or	or	Or
,	,	,
to	to	to
put	put	put
it	it	it
another	anoth	another
way	way	way
,	,	,
those	those	those
who	who	who
are	are	are
the	the	the
most	most	most
lacking	lack	lacking
in	in	in
skills	skill	skill
and	and	and
knowledge	knowledg	knowledge
are	are	are
the	the	the
least	least	least
able	abl	able
to	to	to
see	see	see
it	it	it
.	.	.
Take	take	Take
the	the	the
case	case	case
of	of	of
McArthur	mcarthur	McArthur
Wheeler	wheeler	Wheeler
,	,	,
a	a	a
man	man	man
who	who	who
robbed	rob	robbed
two	two	two
banks	bank	bank
in	in	in
1995	1995	1995
and	and	and
was	was	wa
caught	caught	caught
rather	rather	rather
easily	easili	easily
.	.	.
He	he	He
thought	thought	thought
he	he	he
would	would	would
get	get	get
away	away	away
with	with	with
it	it	it
because	becaus	because
he	he	he
rubbed	rub	rubbed
his	his	his
face	face	face
with	with	with
lemon	lemon	lemon
juice	juic	juice
,	,	,
which	which	which
is	is	is
used	use	used
in	in	in
invisible	invis	invisible
ink	ink	ink
.	.	.
To	to	To
test	test	test
the	the	the
theory	theori	theory
that	that	that
lemon	lemon	lemon
juice	juic	juice
would	would	would
turn	turn	turn
him	him	him
invisible	invis	invisible
,	,	,
he	he	he
rubbed	rub	rubbed
it	it	it
on	on	on
his	his	his
face	face	face
,	,	,
took	took	took
a	a	a
Polaroid	polaroid	Polaroid
,	,	,
and	and	and
his	his	his
face	face	face
wasn	wasn	wasn
t	t	t
in	in	in
the	the	the
picture	pictur	picture
!	!	!
So	so	So
he	he	he
thought	thought	thought
he	he	he
was	was	wa
safe	safe	safe
from	from	from
security	secur	security
cameras	camera	camera
because	becaus	because
he	he	he
could	could	could
make	make	make
his	his	his
face	face	face
invisible	invis	invisible
.	.	.
He	he	He
was	was	wa
shocked	shock	shocked
when	when	when
police	polic	police
caught	caught	caught
him	him	him
because	becaus	because
of	of	of
that	that	that
,	,	,
saying	say	saying
,	,	,
But	but	But
I	i	I
wore	wore	wore
the	the	the
juice	juic	juice
.	.	.
He	he	He
literally	liter	literally
couldn	couldn	couldn
t	t	t
see	see	see
the	the	the
ridiculousness	ridicul	ridiculousness
of	of	of
that	that	that
line	line	line
of	of	of
thought	thought	thought
.	.	.
David	david	David
Dunning	dun	Dunning
,	,	,
one	one	one
of	of	of
the	the	the
first	first	first
to	to	to
catalog	catalog	catalog
the	the	the
Dunning	dun	Dunning
-Kruger	-kruger	-Kruger
effect	effect	effect
hence	henc	hence
its	it	it
name	name	name
,	,	,
has	has	ha
studied	studi	studied
human	human	human
behavior	behavior	behavior
including	includ	including
voter	voter	voter
behavior	behavior	behavior
for	for	for
decades	decad	decade
.	.	.
He	he	He
penned	pen	penned
an	an	an
op	op	op
-ed	-ed	-ed
in	in	in
Politico	politico	Politico
that	that	that
explains	explain	explains
why	whi	why
this	this	this
effect	effect	effect
is	is	is
so	so	so
pronounced	pronounc	pronounced
in	in	in
Trump	trump	Trump
s	s	s
supporters	support	supporter
It	it	It
suggests	suggest	suggests
that	that	that
some	some	some
voters	voter	voter
,	,	,
especially	especi	especially
those	those	those
facing	face	facing
significant	signific	significant
distress	distress	distress
in	in	in
their	their	their
life	life	life
,	,	,
might	might	might
like	like	like
some	some	some
of	of	of
what	what	what
they	they	they
hear	hear	hear
from	from	from
Trump	trump	Trump
,	,	,
but	but	but
they	they	they
do	do	do
not	not	not
know	know	know
enough	enough	enough
to	to	to
hold	hold	hold
him	him	him
accountable	account	accountable
for	for	for
the	the	the
serious	serious	serious
gaffes	gaff	gaffe
he	he	he
makes	make	make
.	.	.
They	they	They
fail	fail	fail
to	to	to
recognize	recogn	recognize
those	those	those
gaffes	gaff	gaffe
as	as	a
missteps	misstep	misstep
.	.	.
Again	again	Again
,	,	,
the	the	the
key	key	key
to	to	to
the	the	the
Dunning	dun	Dunning
-Kruger	-kruger	-Kruger
Effect	effect	Effect
is	is	is
not	not	not
that	that	that
unknowledgeable	unknowledg	unknowledgeable
voters	voter	voter
are	are	are
uninformed	uninform	uninformed
;	;	;
it	it	it
is	is	is
that	that	that
they	they	they
are	are	are
often	often	often
misinformed	misinform	misinformed
their	their	their
heads	head	head
filled	fill	filled
with	with	with
false	fals	false
data	data	data
,	,	,
facts	fact	fact
and	and	and
theories	theori	theory
that	that	that
can	can	can
lead	lead	lead
to	to	to
misguided	misguid	misguided
conclusions	conclus	conclusion
held	held	held
with	with	with
tenacious	tenaci	tenacious
confidence	confid	confidence
and	and	and
extreme	extrem	extreme
partisanship	partisanship	partisanship
,	,	,
perhaps	perhap	perhaps
some	some	some
that	that	that
make	make	make
them	them	them
nod	nod	nod
in	in	in
agreement	agreement	agreement
with	with	with
Trump	trump	Trump
at	at	at
his	his	his
rallies	ralli	rally
.	.	.
Trump	trump	Trump
is	is	is
completely	complet	completely
inept	inept	inept
,	,	,
and	and	and
his	his	his
supporters	support	supporter
are	are	are
way	way	way
too	too	too
poorly	poor	poorly
-informed	-inform	-informed
to	to	to
know	know	know
that	that	that
he	he	he
s	s	s
inept	inept	inept
,	,	,
and	and	and
too	too	too
dumb	dumb	dumb
themselves	themselv	themselves
to	to	to
know	know	know
how	how	how
dumb	dumb	dumb
they	they	they
are	are	are
.	.	.
That	that	That
s	s	s
why	whi	why
Trump	trump	Trump
s	s	s
supporters	support	supporter
are	are	are
so	so	so
sure	sure	sure
they	they	they
re	re	re
smart	smart	smart
and	and	and
their	their	their
president	presid	president
is	is	is
smart	smart	smart
that	that	that
they	they	they
won	won	won
t	t	t
listen	listen	listen
to	to	to
reason	reason	reason
.	.	.
The	the	The
effect	effect	effect
is	is	is
strong	strong	strong
in	in	in
these	these	these
people	peopl	people
.	.	.
Featured	featur	Featured
image	imag	image
by	by	by
Mark	mark	Mark
Wilson	wilson	Wilson
Getty	getti	Getty
Images	imag	Images
