Apparently	appar	Apparently
down	down	down
well	well	well
with	with	with
conservatives	conserv	conservative
,	,	,
who	who	who
spent	spent	spent
years	year	year
complaining	complain	complaining
about	about	about
President	presid	President
Obama	obama	Obama
bowing	bow	bowing
.	.	.
And	and	And
liberals	liber	liberal
were	were	were
quick	quick	quick
to	to	to
point	point	point
out	out	out
the	the	the
hypocrisy	hypocrisi	hypocrisy
.	.	.
And	and	And
of	of	of
course	cours	course
,	,	,
Fox	fox	Fox
News	news	News
is	is	is
desperately	desper	desperately
trying	tri	trying
to	to	to
keep	keep	keep
footage	footag	footage
of	of	of
Trump	trump	Trump
s	s	s
curtsy	curtsi	curtsy
off	off	off
the	the	the
air	air	air
.	.	.
So	so	So
when	when	when
footage	footag	footage
did	did	did
pop	pop	pop
up	up	up
during	dure	during
Fox	fox	Fox
host	host	host
Jeanine	jeanin	Jeanine
Pirro	pirro	Pirro
s	s	s
show	show	show
on	on	on
Saturday	saturday	Saturday
,	,	,
she	she	she
clearly	clear	clearly
became	becam	became
annoyed	annoy	annoyed
and	and	and
gestured	gestur	gestured
furiously	furious	furiously
with	with	with
her	her	her
hand	hand	hand
in	in	in
an	an	an
effort	effort	effort
to	to	to
get	get	get
her	her	her
staff	staff	staff
to	to	to
cut	cut	cut
the	the	the
tape	tape	tape
and	and	and
switch	switch	switch
to	to	to
something	someth	something
else	els	else
.	.	.
And	and	And
that	that	that
s	s	s
why	whi	why
Fox	fox	Fox
viewers	viewer	viewer
ended	end	ended
up	up	up
getting	get	getting
a	a	a
full	full	full
-screen	-screen	-screen
view	view	view
of	of	of
Kellyanne	kellyann	Kellyanne
Conway	conway	Conway
instead	instead	instead
of	of	of
the	the	the
split	split	split
-screen	-screen	-screen
that	that	that
had	had	had
been	been	been
playing	play	playing
.	.	.
Here	here	Here
s	s	s
the	the	the
video	video	video
via	via	via
YouTube	youtub	YouTube
.	.	.
Trump	trump	Trump
s	s	s
bow	bow	bow
to	to	to
the	the	the
Saudi	saudi	Saudi
king	king	king
is	is	is
embarrassing	embarrass	embarrassing
to	to	to
Fox	fox	Fox
hosts	host	host
,	,	,
who	who	who
also	also	also
spent	spent	spent
years	year	year
criticizing	critic	criticizing
President	presid	President
Obama	obama	Obama
for	for	for
showing	show	showing
respect	respect	respect
to	to	to
the	the	the
leaders	leader	leader
of	of	of
other	other	other
nations	nation	nation
.	.	.
Therefore	therefor	Therefore
,	,	,
Trump	trump	Trump
is	is	is
not	not	not
the	the	the
only	onli	only
hypocrite	hypocrit	hypocrite
here	here	here
.	.	.
Fox	fox	Fox
News	news	News
hosts	host	host
are	are	are
hypocrites	hypocrit	hypocrite
,	,	,
too	too	too
,	,	,
for	for	for
refusing	refus	refusing
to	to	to
criticize	critic	criticize
Trump	trump	Trump
in	in	in
the	the	the
exact	exact	exact
same	same	same
way	way	way
they	they	they
criticized	critic	criticized
President	presid	President
Obama	obama	Obama
.	.	.
Donald	donald	Donald
Trump	trump	Trump
and	and	and
Fox	fox	Fox
News	news	News
had	had	had
better	better	better
buckle	buckl	buckle
up	up	up
and	and	and
prepare	prepar	prepare
for	for	for
hell	hell	hell
to	to	to
rain	rain	rain
down	down	down
upon	upon	upon
them	them	them
.	.	.
Because	becaus	Because
every	everi	every
time	time	time
Trump	trump	Trump
does	doe	doe
something	someth	something
that	that	that
he	he	he
criticized	critic	criticized
President	presid	President
Obama	obama	Obama
for	for	for
doing	do	doing
he	he	he
is	is	is
going	go	going
to	to	to
get	get	get
called	call	called
out	out	out
for	for	for
it	it	it
,	,	,
and	and	and
Fox	fox	Fox
will	will	will
be	be	be
reminded	remind	reminded
of	of	of
how	how	how
they	they	they
treated	treat	treated
him	him	him
.	.	.
Featured	featur	Featured
Image	imag	Image
Screenshot	screenshot	Screenshot
