Monday	monday	Monday
system	system	system
s	s	s
failure	failur	failure
to	to	to
identify	identifi	identify
registered	regist	registered
voters	voter	voter
when	when	when
the	the	the
information	inform	information
was	was	wa
entered	enter	entered
in	in	in
lower	lower	lower
-case	-case	-case
letters	letter	letter
,	,	,
to	to	to
the	the	the
system	system	system
accidentally	accident	accidentally
showing	show	showing
100	100	100
percent	percent	percent
reporting	report	reporting
,	,	,
along	along	along
with	with	with
patently	patent	patently
false	fals	false
election	elect	election
results	result	result
,	,	,
at	at	at
least	least	least
six	six	six
hours	hour	hour
before	befor	before
the	the	the
last	last	last
vote	vote	vote
was	was	wa
cast	cast	cast
.	.	.
One	one	One
of	of	of
the	the	the
most	most	most
important	import	important
things	thing	thing
to	to	to
come	come	come
out	out	out
of	of	of
the	the	the
hearing	hear	hearing
,	,	,
however	howev	however
,	,	,
was	was	wa
Secretary	secretari	Secretary
of	of	of
State	state	State
Reagan	reagan	Reagan
s	s	s
acknowledgement	acknowledg	acknowledgement
that	that	that
voter	voter	voter
registration	registr	registration
information	inform	information
was	was	wa
tampered	tamper	tampered
with	with	with
.	.	.
When	when	When
asked	ask	asked
if	if	if
there	there	there
was	was	wa
any	ani	any
truth	truth	truth
to	to	to
the	the	the
widespread	widespread	widespread
allegations	alleg	allegation
that	that	that
the	the	the
party	parti	party
affiliation	affili	affiliation
of	of	of
voters	voter	voter
was	was	wa
changed	chang	changed
ahead	ahead	ahead
of	of	of
the	the	the
election	elect	election
,	,	,
Reagan	reagan	Reagan
immediately	immedi	immediately
responded	respond	responded
by	by	by
saying	say	saying
Yes	yes	Yes
.	.	.

She	she	She
then	then	then
told	told	told
the	the	the
election	elect	election
committee	committe	committee
,	,	,
This	this	This
is	is	is
something	someth	something
that	that	that
I	i	I
know	know	know
happened	happen	happened
,	,	,
and	and	and
I	i	I
know	know	know
it	it	it
happened	happen	happened
to	to	to
people	peopl	people
in	in	in
this	this	this
room	room	room
.	.	.

It	it	It
is	is	is
not	not	not
hearsay	hearsay	hearsay
.	.	.

It	it	It
happened	happen	happened
to	to	to
someone	someon	someone
in	in	in
my	my	my
own	own	own
office	offic	office
.	.	.

Watch	watch	Watch
this	this	this
video	video	video
clip	clip	clip
from	from	from
her	her	her
testimony	testimoni	testimony
below	below	below
.	.	.
On	on	On
Monday	monday	Monday
,	,	,
Anonymous	anonym	Anonymous
released	releas	released
the	the	the
preliminary	preliminari	preliminary
results	result	result
of	of	of
their	their	their
own	own	own
investigation	investig	investigation
into	into	into
Arizona	arizona	Arizona
election	elect	election
fraud	fraud	fraud
.	.	.
So	so	So
far	far	far
the	the	the
group	group	group
has	has	ha
confirmed	confirm	confirmed
151	151	151
voters	voter	voter
whose	whose	whose
party	parti	party
affiliation	affili	affiliation
was	was	wa
altered	alter	altered
ahead	ahead	ahead
of	of	of
the	the	the
Arizona	arizona	Arizona
primary	primari	primary
.	.	.

Of	of	Of
those	those	those
,	,	,
Anonymous	anonym	Anonymous
has	has	ha
verified	verifi	verified
that	that	that
12	12	12
republicans	republican	republican
,	,	,
139	139	139
Democrats	democrat	Democrats
and	and	and
one	one	one
voter	voter	voter
of	of	of
unidentified	unidentifi	unidentified
party	parti	party
affiliation	affili	affiliation
were	were	were
impacted	impact	impacted
.	.	.
The	the	The
group	group	group
further	further	further
confirms	confirm	confirms
that	that	that
of	of	of
the	the	the
139	139	139
Democrats	democrat	Democrats
they	they	they
have	have	have
identified	identifi	identified
thus	thus	thus
far	far	far
,	,	,
two	two	two
were	were	were
Hillary	hillari	Hillary
Clinton	clinton	Clinton
supporters	support	supporter
,	,	,
113	113	113
were	were	were
Bernie	berni	Bernie
Sanders	sander	Sanders
supporters	support	supporter
and	and	and
24	24	24
were	were	were
of	of	of
unknown	unknown	unknown
preference	prefer	preference
.	.	.
Anonymous	anonym	Anonymous
is	is	is
trying	tri	trying
to	to	to
determine	determin	determine
if	if	if
the	the	the
voter	voter	voter
database	databas	database
was	was	wa
hacked	hack	hacked
.	.	.
During	dure	During
the	the	the
hearing	hear	hearing
,	,	,
Geoff	geoff	Geoff
Woods	wood	Woods
of	of	of
Phoenix	phoenix	Phoenix
Rising	rise	Rising
Media	media	Media
testified	testifi	testified
that	that	that
his	his	his
organization	organ	organization
is	is	is
aware	awar	aware
of	of	of
at	at	at
least	least	least
4	4	4
,	,	,
000	000	000
people	peopl	people
whose	whose	whose
party	parti	party
affiliation	affili	affiliation
was	was	wa
changed	chang	changed
.	.	.
Secretary	secretari	Secretary
of	of	of
State	state	State
Reagan	reagan	Reagan
stated	state	stated
that	that	that
her	her	her
office	offic	office
handled	handl	handled
more	more	more
than	than	than
2	2	2
,	,	,
000	000	000
calls	call	call
on	on	on
election	elect	election
day	day	day
,	,	,
while	while	while
acknowledging	acknowledg	acknowledging
that	that	that
the	the	the
lack	lack	lack
of	of	of
staffing	staf	staffing
at	at	at
her	her	her
agency	agenc	agency
likely	like	likely
resulted	result	resulted
in	in	in
many	mani	many
calls	call	call
going	go	going
unanswered	unansw	unanswered
.	.	.
After	after	After
the	the	the
Arizona	arizona	Arizona
legislature	legislatur	legislature
made	made	made
the	the	the
decision	decis	decision
to	to	to
shut	shut	shut
down	down	down
the	the	the
hearing	hear	hearing
,	,	,
in	in	in
spite	spite	spite
of	of	of
the	the	the
fact	fact	fact
that	that	that
many	mani	many
more	more	more
disenfranchised	disenfranchis	disenfranchised
voters	voter	voter
had	had	had
waited	wait	waited
for	for	for
hours	hour	hour
to	to	to
have	have	have
their	their	their
turn	turn	turn
to	to	to
speak	speak	speak
,	,	,
the	the	the
hearing	hear	hearing
ended	end	ended
in	in	in
chaos	chao	chaos
.	.	.
At	at	At
least	least	least
one	one	one
person	person	person
was	was	wa
arrested	arrest	arrested
,	,	,
as	as	a
hundreds	hundr	hundred
of	of	of
citizens	citizen	citizen
looked	look	looked
on	on	on
in	in	in
disbelief	disbelief	disbelief
.	.	.

Is	is	Is
this	this	this
America	america	America
?	?	?

one	one	one
man	man	man
shouted	shout	shouted
.	.	.
Fox	fox	Fox
10	10	10
in	in	in
Phoenix	phoenix	Phoenix
uploaded	upload	uploaded
the	the	the
entire	entir	entire
hearing	hear	hearing
to	to	to
YouTube	youtub	YouTube
in	in	in
two	two	two
parts	part	part
.	.	.

Watch	watch	Watch
part	part	part
one	one	one
here	here	here
,	,	,
and	and	and
part	part	part
two	two	two
here	here	here
.	.	.
The	the	The
citizens	citizen	citizen
of	of	of
Arizona	arizona	Arizona
are	are	are
demanding	demand	demanding
a	a	a
federal	feder	federal
investigation	investig	investigation
into	into	into
the	the	the
May	may	May
22	22	22
election	elect	election
fiasco	fiasco	fiasco
.	.	.
Image	imag	Image
credit	credit	credit
Video	video	Video
screen	screen	screen
capture	captur	capture
via	via	via
Fox	fox	Fox
10	10	10
Phoenix	phoenix	Phoenix
on	on	on
youtube	youtub	youtube

