Keeping	keep	Keeping
rivers	river	river
that	that	that
are	are	are
violent	violent	violent
and	and	and
vicious	vicious	vicious
,	,	,
yes	yes	yes
a	a	a
large	larg	large
part	part	part
of	of	of
the	the	the
border	border	border
in	in	in
Texas	texa	Texas
consists	consist	consists
of	of	of
the	the	the
Rio	rio	Rio
Grande	grand	Grande
,	,	,
but	but	but
some	some	some
parts	part	part
of	of	of
that	that	that
river	river	river
are	are	are
barely	bare	barely
more	more	more
than	than	than
a	a	a
trickle	trickl	trickle
of	of	of
water	water	water
.	.	.
President	presid	President
Trump	trump	Trump
also	also	also
now	now	now
believes	believ	belief
the	the	the
border	border	border
wall	wall	wall
needs	need	need
to	to	to
be	be	be
transparent	transpar	transparent
.	.	.
You	you	You
have	have	have
to	to	to
be	be	be
able	abl	able
to	to	to
see	see	see
through	through	through
it	it	it
,	,	,
he	he	he
said	said	said
.	.	.
As	as	As
horrible	horribl	horrible
as	as	a
it	it	it
sounds	sound	sound
,	,	,
when	when	when
they	they	they
throw	throw	throw
the	the	the
large	larg	large
sacks	sack	sack
of	of	of
drugs	drug	drug
over	over	over
,	,	,
and	and	and
if	if	if
you	you	you
have	have	have
people	peopl	people
on	on	on
the	the	the
other	other	other
side	side	side
of	of	of
the	the	the
wall	wall	wall
,	,	,
you	you	you
don	don	don
t	t	t
see	see	see
them	them	them
.	.	.
They	they	They
hit	hit	hit
you	you	you
on	on	on
the	the	the
head	head	head
with	with	with
60	60	60
pounds	pound	pound
of	of	of
stuff	stuff	stuff
?	?	?
It	it	It
s	s	s
over	over	over
.	.	.
We	we	We
re	re	re
now	now	now
six	six	six
months	month	month
into	into	into
his	his	his
presidency	presid	presidency
and	and	and
Trump	trump	Trump
has	has	ha
only	onli	only
requested	request	requested
1	1	1
.	.	.
6	6	6
billion	billion	billion
from	from	from
Congress	congress	Congress
for	for	for
the	the	the
project	project	project
,	,	,
or	or	or
roughly	rough	roughly
8	8	8
percent	percent	percent
of	of	of
the	the	the
total	total	total
estimate	estim	estimate
.	.	.
Maybe	mayb	Maybe
he	he	he
has	has	ha
just	just	just
learned	learn	learned
that	that	that
according	accord	according
to	to	to
Pew	pew	Pew
Research	research	Research
Center	center	Center
,	,	,
approximately	approxim	approximately
66	66	66
percent	percent	percent
of	of	of
the	the	the
illegal	illeg	illegal
immigrants	immigr	immigrant
in	in	in
the	the	the
US	us	US
have	have	have
been	been	been
here	here	here
for	for	for
at	at	at
least	least	least
a	a	a
decade	decad	decade
,	,	,
that	that	that
the	the	the
amount	amount	amount
of	of	of
illegal	illeg	illegal
Mexican	mexican	Mexican
immigrants	immigr	immigrant
has	has	ha
been	been	been
in	in	in
decline	declin	decline
for	for	for
the	the	the
last	last	last
10	10	10
years	year	year
and	and	and
is	is	is
now	now	now
one	one	one
million	million	million
less	less	le
than	than	than
it	it	it
was	was	wa
in	in	in
2007	2007	2007
,	,	,
or	or	or
that	that	that
Mexicans	mexican	Mexicans
only	onli	only
make	make	make
up	up	up
52	52	52
percent	percent	percent
of	of	of
illegal	illeg	illegal
immigrants	immigr	immigrant
in	in	in
the	the	the
United	unit	United
States	state	States
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
Sandy	sandi	Sandy
Huffaker	huffak	Huffaker
Getty	getti	Getty
Images	imag	Images
