European	european	European
influx	influx	influx
to	to	to
the	the	the
liberal	liber	liberal
Scandinavian	scandinavian	Scandinavian
country	countri	country
.	.	.

Persons	person	Persons
linked	link	linked
to	to	to
Islamist	islamist	Islamist
groups	group	group
in	in	in
Oslo	oslo	Oslo
say	say	say
that	that	that
they	they	they
have	have	have
formed	form	formed
a	a	a
group	group	group
called	call	called
Soldiers	soldier	Soldiers
of	of	of
Allah	allah	Allah
.	.	.
Via	via	Via
a	a	a
central	central	central
source	sourc	source
in	in	in
the	the	the
Islamist	islamist	Islamist
environment	environ	environment
,	,	,
the	the	the
Norwegian	norwegian	Norwegian
newspaper	newspap	newspaper
VG	vg	VG
has	has	ha
received	receiv	received
a	a	a
statement	statement	statement
,	,	,
and	and	and
photographs	photograph	photograph
of	of	of
the	the	the
planned	plan	planned
uniform	uniform	uniform
.	.	.
The	the	The
group	group	group
has	has	ha
been	been	been
named	name	named
Jundullaah	jundullaah	Jundullaah
which	which	which
translates	translat	translates
to	to	to
Soldiers	soldier	Soldiers
of	of	of
Allah	allah	Allah
.	.	.

In	in	In
response	respons	response
to	to	to
the	the	the
group	group	group
of	of	of
unbelievers	unbeliev	unbeliever
in	in	in
Soldiers	soldier	Soldiers
of	of	of
Odin	odin	Odin
,	,	,
who	who	who
are	are	are
patrolling	patrol	patrolling
the	the	the
streets	street	street
,	,	,
we	we	we
Muslims	muslim	Muslims
have	have	have
chosen	chosen	chosen
to	to	to
create	creat	create
a	a	a
group	group	group
to	to	to
patrol	patrol	patrol
the	the	the
streets	street	street
,	,	,
initially	initi	initially
in	in	in
the	the	the
capital	capit	capital
Oslo	oslo	Oslo
,	,	,
to	to	to
forbid	forbid	forbid
evil	evil	evil
and	and	and
call	call	call
for	for	for
the	the	the
good	good	good
,	,	,
says	say	say
the	the	the
statement	statement	statement
.	.	.
The	the	The
planned	plan	planned
uniform	uniform	uniform
,	,	,
is	is	is
decorated	decor	decorated
with	with	with
the	the	the
black	black	black
flag	flag	flag
of	of	of
the	the	the
terrorist	terrorist	terrorist
organization	organ	organization
Islamic	islam	Islamic
State	state	State
IS	is	IS
on	on	on
the	the	the
back	back	back
,	,	,
with	with	with
a	a	a
small	small	small
logo	logo	logo
on	on	on
the	the	the
chest	chest	chest
.	.	.
On	on	On
Tuesday	tuesday	Tuesday
,	,	,
Labour	labour	Labour
s	s	s
Muslim	muslim	Muslim
deputy	deputi	deputy
chairman	chairman	chairman
,	,	,
Hadia	hadia	Hadia
Tajik	tajik	Tajik
,	,	,
said	said	said
that	that	that
the	the	the
Soldiers	soldier	Soldiers
of	of	of
Odin	odin	Odin
defy	defi	defy
Norway	norway	Norway
s	s	s
rules	rule	rule
on	on	on
private	privat	private
security	secur	security
businesses	busi	business
and	and	and
she	she	she
tried	tri	tried
to	to	to
illustrate	illustr	illustrate
the	the	the
problem	problem	problem
as	as	a
follows	follow	follows
It	it	It
is	is	is
as	as	a
if	if	if
the	the	the
Islamists	islamist	Islamists
would	would	would
be	be	be
the	the	the
uniformed	uniform	uniformed
ones	one	one
,	,	,
take	take	take
to	to	to
the	the	the
streets	street	street
and	and	and
call	call	call
themselves	themselv	themselves
guards	guard	guard
or	or	or
vigilantes	vigilant	vigilante
.	.	.

It	it	It
is	is	is
very	veri	very
undesirable	undesir	undesirable
and	and	and
unfortunate	unfortun	unfortunate
for	for	for
our	our	our
country	countri	country
,	,	,
devastating	devast	devastating
,	,	,
said	said	said
Tajik	tajik	Tajik
.	.	.
Now	now	Now
it	it	it
s	s	s
exactly	exact	exactly
what	what	what
is	is	is
about	about	about
to	to	to
happen	happen	happen
.	.	.
Great	great	Great
tip	tip	tip
,	,	,
Tajik	tajik	Tajik
.	.	.
The	the	The
information	inform	information
that	that	that
Islamists	islamist	Islamists
in	in	in
Oslo	oslo	Oslo
are	are	are
in	in	in
the	the	the
process	process	process
of	of	of
establishing	establish	establishing
a	a	a
group	group	group
,	,	,
is	is	is
also	also	also
confirmed	confirm	confirmed
by	by	by
the	the	the
temporary	temporari	temporary
spokesman	spokesman	spokesman
of	of	of
the	the	the
Prophet	prophet	Prophet
s	s	s
ummah	ummah	ummah
who	who	who
calls	call	call
himself	himself	himself
Abu	abu	Abu
Arijon	arijon	Arijon
.	.	.

He	he	He
said	said	said
that	that	that
the	the	the
plan	plan	plan
is	is	is
to	to	to
start	start	start
in	in	in
Oslo	oslo	Oslo
,	,	,
then	then	then
Drammen	drammen	Drammen
and	and	and
T	t	T
nsberg	nsberg	nsberg
.	.	.
Many	mani	Many
of	of	of
the	the	the
people	peopl	people
in	in	in
Soldiers	soldier	Soldiers
of	of	of
Allah	allah	Allah
come	come	come
from	from	from
the	the	the
environment	environ	environment
around	around	around
the	the	the
Islamist	islamist	Islamist
group	group	group
the	the	the
Prophet	prophet	Prophet
s	s	s
Ummah	ummah	Ummah
,	,	,
where	where	where
spokesman	spokesman	spokesman
Ubaydullah	ubaydullah	Ubaydullah
Hussain	hussain	Hussain
currently	current	currently
is	is	is
in	in	in
custody	custodi	custody
and	and	and
charged	charg	charged
with	with	with
recruiting	recruit	recruiting
for	for	for
IS	is	IS
.	.	.

Soldiers	soldier	Soldiers
of	of	of
Allah	allah	Allah
inform	inform	inform
in	in	in
the	the	the
statement	statement	statement
themselves	themselv	themselves
,	,	,
that	that	that
almost	almost	almost
everyone	everyon	everyone
in	in	in
the	the	the
group	group	group
is	is	is
on	on	on
the	the	the
Watch	watch	Watch
List	list	List
of	of	of
the	the	the
Police	polic	Police
Security	secur	Security
Service	servic	Service
PST	pst	PST
.	.	.

Is	is	Is
PST	pst	PST
aware	awar	aware
of	of	of
the	the	the
group	group	group
Soldiers	soldier	Soldiers
of	of	of
Allah	allah	Allah
planning	plan	planning
to	to	to
patrol	patrol	patrol
in	in	in
Oslo	oslo	Oslo
?	?	?

We	we	We
can	can	can
not	not	not
comment	comment	comment
on	on	on
individuals	individu	individual
or	or	or
individual	individu	individual
groups	group	group
,	,	,
says	say	say
senior	senior	senior
adviser	advis	adviser
in	in	in
PST	pst	PST
,	,	,
Siv	siv	Siv
Als	al	Als
n	n	n
,	,	,
to	to	to
VG	vg	VG
.	.	.
So	so	So
there	there	there
it	it	it
is	is	is
.	.	.

Regular	regular	Regular
street	street	street
battles	battl	battle
could	could	could
soon	soon	soon
be	be	be
a	a	a
reality	realiti	reality
in	in	in
Norway	norway	Norway
.	.	.

Soldiers	soldier	Soldiers
of	of	of
Odin	odin	Odin
against	against	against
Soldiers	soldier	Soldiers
of	of	of
Allah	allah	Allah
,	,	,
with	with	with
the	the	the
police	polic	police
in	in	in
between	between	between
.	.	.

However	howev	However
,	,	,
it	it	it
will	will	will
most	most	most
likely	like	likely
not	not	not
be	be	be
started	start	started
by	by	by
the	the	the
Soldiers	soldier	Soldiers
of	of	of
Odin	odin	Odin
,	,	,
but	but	but
the	the	the
rabid	rabid	rabid
Islamists	islamist	Islamists
in	in	in
the	the	the
soldiers	soldier	soldier
of	of	of
Allah	allah	Allah
.	.	.

And	and	And
then	then	then
,	,	,
even	even	even
though	though	though
the	the	the
Soldiers	soldier	Soldiers
of	of	of
Odin	odin	Odin
claim	claim	claim
to	to	to
be	be	be
a	a	a
peaceful	peac	peaceful
group	group	group
,	,	,
the	the	the
Viking	vike	Viking
has	has	ha
clearly	clear	clearly
awaken	awaken	awaken
illustrated	illustr	illustrated
by	by	by
the	the	the
logo	logo	logo
on	on	on
the	the	the
back	back	back
.	.	.

And	and	And
being	be	being
attacked	attack	attacked
by	by	by
Islamists	islamist	Islamists
,	,	,
they	they	they
will	will	will
have	have	have
no	no	no
other	other	other
choice	choic	choice
than	than	than
to	to	to
go	go	go
berserk	berserk	berserk
again	again	again
,	,	,
after	after	after
a	a	a
thousand	thousand	thousand
years	year	year
in	in	in
hibernation	hibern	hibernation
.	.	.
All	all	All
hell	hell	hell
is	is	is
breaking	break	breaking
loose	loos	loose
in	in	in
countries	countri	country
all	all	all
across	across	across
Europe	europ	Europe
.	.	.

Are	are	Are
Americans	american	Americans
paying	pay	paying
attention	attent	attention
,	,	,
or	or	or
has	has	ha
Obama	obama	Obama
s	s	s
manufactured	manufactur	manufactured
race	race	race
war	war	war
distracted	distract	distracted
us	us	u
from	from	from
his	his	his
plan	plan	plan
to	to	to
seed	seed	seed
Muslims	muslim	Muslims
in	in	in
our	our	our
small	small	small
towns	town	town
and	and	and
communities	communiti	community
across	across	across
America	america	America
through	through	through
the	the	the
US	us	US
State	state	State
Dept	dept	Dept
.	.	.

Refugee	refuge	Refugee
Resettlement	resettl	Resettlement
Program	program	Program
?	?	?

