Want	want	Want
Trump	trump	Trump
simply	simpli	simply
meant	meant	meant
vote	vote	vote
against	against	against
her	her	her
,	,	,
while	while	while
37	37	37
percent	percent	percent
said	said	said
he	he	he
meant	meant	meant
,	,	,
assassinate	assassin	assassinate
her	her	her
.	.	.

This	this	This
is	is	is
only	onli	only
slightly	slight	slightly
more	more	more
sophisticated	sophist	sophisticated
than	than	than
taking	take	taking
a	a	a
poll	poll	poll
from	from	from
your	your	your
own	own	own
social	social	social
media	media	medium
account	account	account
.	.	.

Milliti	milliti	Milliti
knows	know	know
very	veri	very
little	littl	little
about	about	about
the	the	the
people	peopl	people
who	who	who
are	are	are
answering	answer	answering
these	these	these
questions	question	question
,	,	,
but	but	but
thinks	think	think
this	this	this
is	is	is
the	the	the
wave	wave	wave
of	of	of
the	the	the
future	futur	future
for	for	for
accurate	accur	accurate
polling	poll	polling
.	.	.
According	accord	According
to	to	to
an	an	an
article	articl	article
on	on	on
Windows	window	Windows
Central	central	Central
,	,	,
the	the	the
results	result	result
of	of	of
all	all	all
the	the	the
polls	poll	poll
that	that	that
take	take	take
place	place	place
within	within	within
the	the	the
app	app	app
may	may	may
not	not	not
be	be	be
the	the	the
most	most	most
scientific	scientif	scientific
.	.	.

Well	well	Well
,	,	,
duh	duh	duh
.	.	.

Milliti	milliti	Milliti
simply	simpli	simply
takes	take	take
a	a	a
cross	cross	cross
-section	-section	-section
of	of	of
users	user	user
by	by	by
age	age	age
,	,	,
gender	gender	gender
,	,	,
and	and	and
geographical	geograph	geographical
location	locat	location
to	to	to
get	get	get
his	his	his
results	result	result
,	,	,
which	which	which
is	is	is
nothing	noth	nothing
like	like	like
enough	enough	enough
to	to	to
make	make	make
a	a	a
poll	poll	poll
scientific	scientif	scientific
.	.	.

That	that	That
s	s	s
something	someth	something
Milliti	milliti	Milliti
would	would	would
know	know	know
if	if	if
he	he	he
knew	knew	knew
anything	anyth	anything
about	about	about
polling	poll	polling
.	.	.

He	he	He
might	might	might
be	be	be
great	great	great
at	at	at
developing	develop	developing
apps	app	apps
,	,	,
but	but	but
his	his	his
skill	skill	skill
ends	end	end
there	there	there
for	for	for
right	right	right
now	now	now
.	.	.
Despite	despit	Despite
that	that	that
,	,	,
Trump	trump	Trump
supporters	support	supporter
will	will	will
still	still	still
glom	glom	glom
onto	onto	onto
this	this	this
the	the	the
way	way	way
they	they	they
re	re	re
glomming	glom	glomming
onto	onto	onto
a	a	a
poll	poll	poll
published	publish	published
by	by	by
the	the	the
Arizona	arizona	Arizona
Freedom	freedom	Freedom
Alliance	allianc	Alliance
that	that	that
claims	claim	claim
that	that	that
its	it	it
poll	poll	poll
is	is	is
far	far	far
more	more	more
accurate	accur	accurate
than	than	than
the	the	the
traditional	tradit	traditional
polls	poll	poll
.	.	.

After	after	After
all	all	all
,	,	,
Trump	trump	Trump
has	has	ha
squillions	squillion	squillions
of	of	of
Twitter	twitter	Twitter
followers	follow	follower
and	and	and
draws	draw	draw
thousands	thousand	thousand
to	to	to
his	his	his
rallies	ralli	rally
,	,	,
so	so	so
there	there	there
s	s	s
no	no	no
way	way	way
he	he	he
s	s	s
actually	actual	actually
trailing	trail	trailing
Hillary	hillari	Hillary
,	,	,
right	right	right
?	?	?
The	the	The
funny	funni	funny
thing	thing	thing
about	about	about
the	the	the
poll	poll	poll
that	that	that
the	the	the
AFA	afa	AFA
republished	republish	republished
,	,	,
though	though	though
,	,	,
is	is	is
that	that	that
the	the	the
pollsters	pollster	pollster
merely	mere	merely
called	call	called
1	1	1
,	,	,
000	000	000
people	peopl	people
in	in	in
each	each	each
state	state	state
,	,	,
and	and	and
never	never	never
published	publish	published
their	their	their
questions	question	question
or	or	or
the	the	the
methodology	methodolog	methodology
they	they	they
used	use	used
to	to	to
try	tri	try
and	and	and
ensure	ensur	ensure
they	they	they
had	had	had
representative	repres	representative
samples	sampl	sample
of	of	of
residents	resid	resident
in	in	in
each	each	each
state	state	state
.	.	.

They	they	They
seem	seem	seem
to	to	to
think	think	think
It	it	It
s	s	s
50	50	50
,	,	,
000	000	000
people	peopl	people
,	,	,
how	how	how
can	can	can
it	it	it
possibly	possibl	possibly
be	be	be
less	less	le
accurate	accur	accurate
than	than	than
polls	poll	poll
that	that	that
only	onli	only
question	question	question
600	600	600
to	to	to
1	1	1
,	,	,
000	000	000
people	peopl	people
?	?	?

Milliti	milliti	Milliti
insists	insist	insists
that	that	that
most	most	most
media	media	medium
polls	poll	poll
are	are	are
wildly	wild	wildly
inaccurate	inaccur	inaccurate
,	,	,
and	and	and
his	his	his
polls	poll	poll
are	are	are
not	not	not
.	.	.

His	his	His
polls	poll	poll
,	,	,
however	howev	however
,	,	,
could	could	could
easily	easili	easily
be	be	be
getting	get	getting
flooded	flood	flooded
with	with	with
Trump	trump	Trump
fans	fan	fan
who	who	who
are	are	are
desperate	desper	desperate
to	to	to
see	see	see
Trump	trump	Trump
ahead	ahead	ahead
somewhere	somewher	somewhere
.	.	.

Whether	whether	Whether
Milliti	milliti	Milliti
himself	himself	himself
is	is	is
a	a	a
Trump	trump	Trump
supporter	support	supporter
or	or	or
not	not	not
,	,	,
he	he	he
clearly	clear	clearly
lives	live	life
in	in	in
the	the	the
same	same	same
bubble	bubbl	bubble
that	that	that
everyone	everyon	everyone
else	els	else
who	who	who
claims	claim	claim
the	the	the
scientific	scientif	scientific
polls	poll	poll
are	are	are
dishonest	dishonest	dishonest
and	and	and
inaccurate	inaccur	inaccurate
live	live	live
in	in	in
.	.	.
Photo	photo	Photo
of	of	of
Donald	donald	Donald
Trump	trump	Trump
by	by	by
Bill	bill	Bill
Pugliano	pugliano	Pugliano
Getty	getti	Getty
Images	imag	Images
.	.	.

Photo	photo	Photo
of	of	of
Hillary	hillari	Hillary
Clinton	clinton	Clinton
by	by	by
Chip	chip	Chip
Somodevilla	somodevilla	Somodevilla
Getty	getti	Getty
Images	imag	Images
.	.	.

Photos	photo	Photos
merged	merg	merged
by	by	by
Rika	rika	Rika
Christensen	christensen	Christensen

