Following	follow	Following
does	doe	doe
Half	half	Half
True	true	True
,	,	,
Mostly	most	Mostly
False	fals	False
,	,	,
False	fals	False
and	and	and
Pants	pant	Pants
On	on	On
Fire	fire	Fire
all	all	all
together	togeth	together
,	,	,
just	just	just
like	like	like
her	her	her
chosen	chosen	chosen
running	run	running
mate	mate	mate
.	.	.
These	these	These
two	two	two
are	are	are
a	a	a
good	good	good
team	team	team
just	just	just
on	on	on
that	that	that
basis	basi	basis
.	.	.
So	so	So
is	is	is
it	it	it
really	realli	really
any	ani	any
wonder	wonder	wonder
that	that	that
Hillary	hillari	Hillary
introduced	introduc	introduced
her	her	her
running	run	running
mate	mate	mate
as	as	a
everything	everyth	everything
Donald	donald	Donald
Trump	trump	Trump
and	and	and
Mike	mike	Mike
Pence	penc	Pence
are	are	are
not	not	not
?	?	?
Of	of	Of
course	cours	course
,	,	,
she	she	she
was	was	wa
talking	talk	talking
about	about	about
the	the	the
policies	polici	policy
that	that	that
Trump	trump	Trump
and	and	and
Pence	penc	Pence
are	are	are
putting	put	putting
together	togeth	together
,	,	,
but	but	but
the	the	the
ability	abil	ability
to	to	to
acknowledge	acknowledg	acknowledge
facts	fact	fact
and	and	and
tell	tell	tell
the	the	the
truth	truth	truth
is	is	is
another	anoth	another
major	major	major
way	way	way
in	in	in
which	which	which
Hillary	hillari	Hillary
Clinton	clinton	Clinton
and	and	and
Tim	tim	Tim
Kaine	kain	Kaine
are	are	are
not	not	not
,	,	,
well	well	well
,	,	,
anything	anyth	anything
like	like	like
any	ani	any
Republican	republican	Republican
we	we	we
ve	ve	ve
got	got	got
.	.	.
In	in	In
other	other	other
words	word	word
,	,	,
we	we	we
have	have	have
two	two	two
presidential	presidenti	presidential
tickets	ticket	ticket
that	that	that
illustrate	illustr	illustrate
Republican	republican	Republican
honesty	honesti	honesty
versus	versus	versus
Democratic	democrat	Democratic
honesty	honesti	honesty
,	,	,
and	and	and
Democratic	democrat	Democratic
honesty	honesti	honesty
wins	win	win
hands	hand	hand
down	down	down
.	.	.
Facts	fact	Facts
don	don	don
t	t	t
lie	lie	lie
,	,	,
and	and	and
unfortunately	unfortun	unfortunately
for	for	for
the	the	the
GOP	gop	GOP
,	,	,
facts	fact	fact
have	have	have
a	a	a
liberal	liber	liberal
bias	bias	bias
.	.	.
Photo	photo	Photo
of	of	of
Clinton	clinton	Clinton
Kaine	kain	Kaine
by	by	by
Justin	justin	Justin
Sullivan	sullivan	Sullivan
Getty	getti	Getty
Images	imag	Images
.	.	.
Photo	photo	Photo
of	of	of
Trump	trump	Trump
Pence	penc	Pence
by	by	by
Alex	alex	Alex
Wong	wong	Wong
Getty	getti	Getty
Images	imag	Images
.	.	.
Images	imag	Images
merged	merg	merged
by	by	by
Rika	rika	Rika
Christensen	christensen	Christensen
