Maybe	mayb	Maybe
discussed	discuss	discussed
how	how	how
to	to	to
safely	safe	safely
bring	bring	bring
guns	gun	gun
to	to	to
church	church	church
,	,	,
then	then	then
spoke	spoke	spoke
of	of	of
the	the	the
deaths	death	death
with	with	with
recent	recent	recent
mass	mass	mass
shootings	shoot	shooting
,	,	,
like	like	like
,	,	,
for	for	for
example	exampl	example
,	,	,
the	the	the
recent	recent	recent
Texas	texa	Texas
massacre	massacr	massacre
in	in	in
which	which	which
a	a	a
gunman	gunman	gunman
shot	shot	shot
26	26	26
people	peopl	people
dead	dead	dead
as	as	a
they	they	they
sat	sat	sat
in	in	in
church	church	church
.	.	.
The	the	The
81	81	81
-year-old	-year-old	-year-old
man	man	man
put	put	put
the	the	the
magazine	magazin	magazine
back	back	back
into	into	into
the	the	the
gun	gun	gun
and	and	and
put	put	put
the	the	the
gun	gun	gun
back	back	back
in	in	in
the	the	the
holster	holster	holster
,	,	,
Parks	park	Parks
explained	explain	explained
,	,	,
but	but	but
then	then	then
later	later	later
,	,	,
while	while	while
parishioners	parishion	parishioner
were	were	were
cleaning	clean	cleaning
up	up	up
,	,	,
one	one	one
church	church	church
member	member	member
who	who	who
had	had	had
missed	miss	missed
the	the	the
demonstration	demonstr	demonstration
asked	ask	asked
the	the	the
man	man	man
to	to	to
see	see	see
the	the	the
firearm	firearm	firearm
and	and	and
that	that	that
s	s	s
when	when	when
everything	everyth	everything
turned	turn	turned
chaotic	chaotic	chaotic
inside	insid	inside
the	the	the
church	church	church
.	.	.
The	the	The
81	81	81
-year-old	-year-old	-year-old
accidentally	accident	accidentally
pulled	pull	pulled
the	the	the
trigger	trigger	trigger
without	without	without
realizing	realiz	realizing
the	the	the
gun	gun	gun
was	was	wa
loaded	load	loaded
,	,	,
then	then	then
a	a	a
bullet	bullet	bullet
fired	fire	fired
across	across	across
the	the	the
palm	palm	palm
of	of	of
the	the	the
man	man	man
s	s	s
hand	hand	hand
and	and	and
toward	toward	toward
his	his	his
80	80	80
-year-old	-year-old	-year-old
wife	wife	wife
,	,	,
who	who	who
was	was	wa
sitting	sit	sitting
in	in	in
a	a	a
wheelchair	wheelchair	wheelchair
next	next	next
to	to	to
him	him	him
,	,	,
entering	enter	entering
her	her	her
lower	lower	lower
left	left	left
abdomen	abdomen	abdomen
,	,	,
then	then	then
it	it	it
went	went	went
out	out	out
of	of	of
the	the	the
right	right	right
side	side	side
of	of	of
her	her	her
abdomen	abdomen	abdomen
,	,	,
into	into	into
her	her	her
right	right	right
forearm	forearm	forearm
and	and	and
out	out	out
the	the	the
backside	backsid	backside
of	of	of
her	her	her
forearm	forearm	forearm
.	.	.
Following	follow	Following
that	that	that
,	,	,
the	the	the
bullet	bullet	bullet
then	then	then
ricocheted	ricochet	ricocheted
off	off	off
the	the	the
wall	wall	wall
and	and	and
landed	land	landed
under	under	under
his	his	his
wife	wife	wife
s	s	s
wheelchair	wheelchair	wheelchair
,	,	,
Parks	park	Parks
said	said	said
.	.	.
That	that	That
prompted	prompt	prompted
panic	panic	panic
in	in	in
the	the	the
church	church	church
because	becaus	because
some	some	some
of	of	of
the	the	the
folks	folk	folk
thought	thought	thought
an	an	an
active	activ	active
gunman	gunman	gunman
was	was	wa
on	on	on
the	the	the
premises	premis	premise
.	.	.
They	they	They
had	had	had
their	their	their
backs	back	back
to	to	to
it	it	it
,	,	,
Parks	park	Parks
said	said	said
.	.	.
Somebody	somebodi	Somebody
hollers	holler	holler
,	,	,
He	he	He
s	s	s
been	been	been
shot	shot	shot
!	!	!
She	she	She
s	s	s
been	been	been
shot	shot	shot
!	!	!
Call	call	Call
911	911	911
!	!	!
Due	due	Due
to	to	to
a	a	a
lot	lot	lot
of	of	of
panic	panic	panic
during	dure	during
the	the	the
calls	call	call
to	to	to
911	911	911
,	,	,
the	the	the
dispatcher	dispatch	dispatcher
assumed	assum	assumed
someone	someon	someone
had	had	had
entered	enter	entered
the	the	the
church	church	church
and	and	and
was	was	wa
shooting	shoot	shooting
,	,	,
so	so	so
several	sever	several
schools	school	school
were	were	were
put	put	put
on	on	on
lockdown	lockdown	lockdown
.	.	.
The	the	The
injured	injur	injured
husband	husband	husband
and	and	and
wife	wife	wife
were	were	were
flown	flown	flown
to	to	to
the	the	the
University	univers	University
of	of	of
Tennessee	tennesse	Tennessee
Medical	medic	Medical
Center	center	Center
where	where	where
they	they	they
are	are	are
listed	list	listed
critical	critic	critical
condition	condit	condition
.	.	.
We	we	We
re	re	re
waiting	wait	waiting
for	for	for
the	the	the
NRA	nra	NRA
to	to	to
say	say	say
,	,	,
If	if	If
only	onli	only
the	the	the
wife	wife	wife
had	had	had
a	a	a
gun	gun	gun
,	,	,
she	she	she
could	could	could
have	have	have
protected	protect	protected
herself	herself	herself
.	.	.
Image	imag	Image
Ken	ken	Ken
Wilcox	wilcox	Wilcox
via	via	via
Flickr	flickr	Flickr
,	,	,
under	under	under
Creative	creativ	Creative
Commons	common	Commons
license	licens	license
2	2	2
.	.	.
0	0	0
.	.	.
