Last	last	Last
use	use	use
the	the	the
term	term	term
wire	wire	wire
tapping	tap	tapping
in	in	in
one	one	one
of	of	of
several	sever	several
tweets	tweet	tweet
making	make	making
the	the	the
claim	claim	claim
without	without	without
evidence	evid	evidence
on	on	on
March	march	March
4	4	4
.	.	.

Spicer	spicer	Spicer
claimed	claim	claimed
that	that	that
the	the	the
fact	fact	fact
that	that	that
Trump	trump	Trump
put	put	put
quotation	quotat	quotation
marks	mark	mark
around	around	around
the	the	the
words	word	word
wire	wire	wire
tapping	tap	tapping
in	in	in
one	one	one
tweet	tweet	tweet
was	was	wa
proof	proof	proof
that	that	that
he	he	he
was	was	wa
not	not	not
speaking	speak	speaking
literally	liter	literally
.	.	.

I	i	I
think	think	think
there	there	there
is	is	is
no	no	no
question	question	question
that	that	that
the	the	the
Obama	obama	Obama
administration	administr	administration
,	,	,
that	that	that
there	there	there
were	were	were
actions	action	action
about	about	about
surveillance	surveil	surveillance
and	and	and
other	other	other
activities	activ	activity
that	that	that
occurred	occur	occurred
in	in	in
the	the	the
2016	2016	2016
election	elect	election
.	.	.

That	that	That
is	is	is
a	a	a
widely	wide	widely
-reported	-report	-reported
activity	activ	activity
that	that	that
occurred	occur	occurred
back	back	back
then	then	then
,	,	,
Spicer	spicer	Spicer
said	said	said
.	.	.

The	the	The
president	presid	president
used	use	used
the	the	the
word	word	word
wiretap	wiretap	wiretap
in	in	in
quotes	quot	quote
to	to	to
mean	mean	mean
broadly	broad	broadly
surveillance	surveil	surveillance
and	and	and
other	other	other
activities	activ	activity
during	dure	during
that	that	that
.	.	.

Ah	ah	Ah
,	,	,
so	so	so
if	if	if
Trump	trump	Trump
used	use	used
quotes	quot	quote
he	he	he
did	did	did
so	so	so
only	onli	only
one	one	one
out	out	out
of	of	of
three	three	three
times	time	time
then	then	then
we	we	we
are	are	are
not	not	not
to	to	to
take	take	take
him	him	him
literally	liter	literally
.	.	.

Weird	weird	Weird
.	.	.

It	it	It
is	is	is
interesting	interest	interesting
how	how	how
many	mani	many
news	news	news
outlets	outlet	outlet
reported	report	reported
that	that	that
this	this	this
activity	activ	activity
was	was	wa
taking	take	taking
place	place	place
during	dure	during
the	the	the
2016	2016	2016
election	elect	election
cycle	cycl	cycle
,	,	,
and	and	and
now	now	now
we	we	we
re	re	re
wondering	wonder	wondering
where	where	where
the	the	the
proof	proof	proof
is	is	is
,	,	,
Spicer	spicer	Spicer
added	ad	added
.	.	.

It	it	It
is	is	is
many	mani	many
of	of	of
the	the	the
same	same	same
outlets	outlet	outlet
in	in	in
this	this	this
room	room	room
that	that	that
talked	talk	talked
about	about	about
the	the	the
activities	activ	activity
that	that	that
were	were	were
going	go	going
on	on	on
back	back	back
then	then	then
.	.	.

No	no	No
one	one	one
knows	know	know
what	what	what
Spicer	spicer	Spicer
is	is	is
talking	talk	talking
about	about	about
It	it	It
is	is	is
unclear	unclear	unclear
what	what	what
reports	report	report
Spicer	spicer	Spicer
was	was	wa
referring	refer	referring
to	to	to
.	.	.

News	news	News
outlets	outlet	outlet
have	have	have
reported	report	reported
that	that	that
intelligence	intellig	intelligence
officials	offici	official
have	have	have
been	been	been
investigating	investig	investigating
whether	whether	whether
there	there	there
were	were	were
inappropriate	inappropri	inappropriate
ties	tie	tie
between	between	between
the	the	the
Trump	trump	Trump
campaign	campaign	campaign
and	and	and
the	the	the
Russian	russian	Russian
government	govern	government
.	.	.

As	as	As
part	part	part
of	of	of
the	the	the
probe	probe	probe
into	into	into
the	the	the
country	countri	country
s	s	s
suspected	suspect	suspected
attempts	attempt	attempt
to	to	to
meddle	meddl	meddle
in	in	in
the	the	the
election	elect	election
and	and	and
regular	regular	regular
surveillance	surveil	surveillance
on	on	on
Russia	russia	Russia
s	s	s
ambassador	ambassador	ambassador
,	,	,
they	they	they
have	have	have
reportedly	report	reportedly
intercepted	intercept	intercepted
communications	communic	communication
between	between	between
some	some	some
campaign	campaign	campaign
aides	aid	aide
and	and	and
Russian	russian	Russian
officials	offici	official
.	.	.
There	there	There
is	is	is
no	no	no
proof	proof	proof
or	or	or
credible	credibl	credible
source	sourc	source
which	which	which
has	has	ha
reported	report	reported
that	that	that
Obama	obama	Obama
wiretapped	wiretap	wiretapped
and	and	and
or	or	or
surveilled	surveil	surveilled
Donald	donald	Donald
Trump	trump	Trump
during	dure	during
the	the	the
campaign	campaign	campaign
.	.	.
As	as	As
we	we	we
said	said	said
,	,	,
Trump	trump	Trump
only	onli	only
used	use	used
quotes	quot	quote
in	in	in
one	one	one
of	of	of
three	three	three
tweets	tweet	tweet
,	,	,
not	not	not
that	that	that
that	that	that
should	should	should
matter	matter	matter
.	.	.

Is	is	Is
it	it	it
legal	legal	legal
for	for	for
a	a	a
sitting	sit	sitting
President	presid	President
to	to	to
be	be	be
wire	wire	wire
tapping	tap	tapping
a	a	a
race	race	race
for	for	for
president	presid	president
prior	prior	prior
to	to	to
an	an	an
election	elect	election
?	?	?

Turned	turn	Turned
down	down	down
by	by	by
court	court	court
earlier	earlier	earlier
.	.	.

A	a	A
NEW	new	NEW
LOW	low	LOW
!	!	!

Trump	trump	Trump
wrote	wrote	wrote
in	in	in
one	one	one
tweet	tweet	tweet
.	.	.

I	i	I
d	d	d
bet	bet	bet
a	a	a
good	good	good
lawyer	lawyer	lawyer
could	could	could
make	make	make
a	a	a
great	great	great
case	case	case
out	out	out
of	of	of
the	the	the
fact	fact	fact
that	that	that
President	presid	President
Obama	obama	Obama
was	was	wa
tapping	tap	tapping
my	my	my
phones	phone	phone
in	in	in
October	octob	October
,	,	,
just	just	just
prior	prior	prior
to	to	to
Election	elect	Election
!	!	!

another	anoth	another
tweet	tweet	tweet
read	read	read
.	.	.

How	how	How
low	low	low
has	has	ha
President	presid	President
Obama	obama	Obama
gone	gone	gone
to	to	to
tapp	tapp	tapp
my	my	my
phones	phone	phone
during	dure	during
the	the	the
very	veri	very
sacred	sacr	sacred
election	elect	election
process	process	process
.	.	.

This	this	This
is	is	is
Nixon	nixon	Nixon
Watergate	waterg	Watergate
.	.	.

Bad	bad	Bad
or	or	or
sick	sick	sick
guy	guy	guy
!	!	!

Trump	trump	Trump
wrote	wrote	wrote
in	in	in
a	a	a
misspelled	misspel	misspelled
tweet	tweet	tweet
.	.	.
So	so	So
now	now	now
,	,	,
Trump	trump	Trump
s	s	s
Department	depart	Department
of	of	of
Justice	justic	Justice
has	has	ha
asked	ask	asked
the	the	the
chairman	chairman	chairman
and	and	and
vice	vice	vice
chairman	chairman	chairman
of	of	of
the	the	the
House	hous	House
Intelligence	intellig	Intelligence
Committee	committe	Committee
for	for	for
additional	addit	additional
time	time	time
to	to	to
collect	collect	collect
evidence	evid	evidence
to	to	to
support	support	support
Trump	trump	Trump
s	s	s
crazy	crazi	crazy
-time	-time	-time
claims	claim	claim
.	.	.

Meaning	mean	Meaning
,	,	,
Trump	trump	Trump
doesn	doesn	doesn
t	t	t
have	have	have
proof	proof	proof
.	.	.

He	he	He
just	just	just
reads	read	read
fake	fake	fake
news	news	news
sites	site	site
such	such	such
as	as	a
Breitbart	breitbart	Breitbart
and	and	and
Gateway	gateway	Gateway
Pundit	pundit	Pundit
then	then	then
tweets	tweet	tweet
the	the	the
fake	fake	fake
news	news	news
.	.	.
Photo	photo	Photo
by	by	by
Win	win	Win
McNamee	mcname	McNamee
Getty	getti	Getty
Images	imag	Images
.	.	.

