This	this	This
to	to	to
McCain	mccain	McCain
s	s	s
remarks	remark	remark
below	below	below
Not	not	Not
long	long	long
after	after	after
,	,	,
McCain	mccain	McCain
issued	issu	issued
a	a	a
statement	statement	statement
claiming	claim	claiming
he	he	he
misspoke	misspok	misspoke
even	even	even
though	though	though
he	he	he
made	made	made
his	his	his
remarks	remark	remark
twice	twice	twice
.	.	.
I	i	I
misspoke	misspok	misspoke
,	,	,
McCain	mccain	McCain
said	said	said
.	.	.
I	i	I
did	did	did
not	not	not
mean	mean	mean
to	to	to
imply	impli	imply
that	that	that
the	the	the
President	presid	President
was	was	wa
personally	person	personally
responsible	respons	responsible
.	.	.
I	i	I
was	was	wa
referring	refer	referring
to	to	to
President	presid	President
Obama	obama	Obama
s	s	s
national	nation	national
security	secur	security
decisions	decis	decision
,	,	,
not	not	not
the	the	the
President	presid	President
himself	himself	himself
.	.	.
As	as	As
I	i	I
have	have	have
said	said	said
,	,	,
President	presid	President
Obama	obama	Obama
s	s	s
decision	decis	decision
to	to	to
completely	complet	completely
withdraw	withdraw	withdraw
U	u	U
.	.	.
S	s	S
.	.	.
troops	troop	troop
from	from	from
Iraq	iraq	Iraq
in	in	in
2011	2011	2011
led	led	led
to	to	to
the	the	the
rise	rise	rise
of	of	of
ISIL	isil	ISIL
.	.	.
I	i	I
and	and	and
others	other	others
have	have	have
long	long	long
warned	warn	warned
that	that	that
the	the	the
failure	failur	failure
of	of	of
the	the	the
President	presid	President
s	s	s
policy	polici	policy
to	to	to
deny	deni	deny
ISIL	isil	ISIL
safe	safe	safe
haven	haven	haven
would	would	would
allow	allow	allow
the	the	the
terrorist	terrorist	terrorist
organization	organ	organization
to	to	to
inspire	inspir	inspire
,	,	,
plan	plan	plan
,	,	,
direct	direct	direct
or	or	or
conduct	conduct	conduct
attacks	attack	attack
on	on	on
the	the	the
United	unit	United
States	state	States
and	and	and
Europe	europ	Europe
as	as	a
they	they	they
have	have	have
done	done	done
in	in	in
Paris	pari	Paris
,	,	,
Brussels	brussel	Brussels
,	,	,
San	san	San
Bernardino	bernardino	Bernardino
and	and	and
now	now	now
Orlando	orlando	Orlando
.	.	.
Of	of	Of
course	cours	course
,	,	,
McCain	mccain	McCain
is	is	is
wrong	wrong	wrong
about	about	about
President	presid	President
Obama	obama	Obama
pulling	pull	pulling
the	the	the
troops	troop	troop
out	out	out
of	of	of
Iraq	iraq	Iraq
.	.	.
That	that	That
was	was	wa
a	a	a
decision	decis	decision
made	made	made
by	by	by
President	presid	President
Bush	bush	Bush
in	in	in
2008	2008	2008
.	.	.
President	presid	President
Obama	obama	Obama
merely	mere	merely
honored	honor	honored
the	the	the
agreement	agreement	agreement
signed	sign	signed
by	by	by
the	the	the
former	former	former
president	presid	president
.	.	.
But	but	But
McCain	mccain	McCain
could	could	could
be	be	be
the	the	the
former	former	former
Senator	senat	Senator
from	from	from
Arizona	arizona	Arizona
because	becaus	because
of	of	of
his	his	his
inflammatory	inflammatori	inflammatory
accusation	accus	accusation
against	against	against
President	presid	President
Obama	obama	Obama
.	.	.
As	as	As
it	it	it
turns	turn	turn
out	out	out
,	,	,
donations	donat	donation
have	have	have
been	been	been
pouring	pour	pouring
in	in	in
for	for	for
his	his	his
opponent	oppon	opponent
Democratic	democrat	Democratic
Rep	rep	Rep
.	.	.
Ann	ann	Ann
Kirkpatrick	kirkpatrick	Kirkpatrick
to	to	to
the	the	the
tune	tune	tune
of	of	of
at	at	at
least	least	least
100	100	100
,	,	,
000	000	000
alone	alon	alone
since	sinc	since
McCain	mccain	McCain
made	made	made
the	the	the
remarks	remark	remark
.	.	.
McCain	mccain	McCain
angered	anger	angered
many	mani	many
people	peopl	people
with	with	with
his	his	his
disrespectful	disrespect	disrespectful
comments	comment	comment
about	about	about
President	presid	President
Obama	obama	Obama
and	and	and
so	so	so
they	they	they
are	are	are
responding	respond	responding
by	by	by
supporters	support	supporter
his	his	his
challenger	challeng	challenger
.	.	.
In	in	In
addition	addit	addition
,	,	,
a	a	a
poll	poll	poll
touted	tout	touted
by	by	by
Kirkpatrick	kirkpatrick	Kirkpatrick
s	s	s
campaign	campaign	campaign
in	in	in
the	the	the
wake	wake	wake
of	of	of
McCain	mccain	McCain
s	s	s
remarks	remark	remark
shows	show	show
him	him	him
losing	lose	losing
to	to	to
her	her	her
by	by	by
two	two	two
points	point	point
.	.	.
Kirkpatrick	kirkpatrick	Kirkpatrick
spokesman	spokesman	spokesman
D	d	D
.	.	.
B	b	B
.	.	.
Mitchell	mitchel	Mitchell
slammed	slam	slammed
McCain	mccain	McCain
for	for	for
his	his	his
remarks	remark	remark
and	and	and
urged	urg	urged
people	peopl	people
to	to	to
help	help	help
oust	oust	oust
him	him	him
from	from	from
Congress	congress	Congress
.	.	.
John	john	John
McCain	mccain	McCain
s	s	s
reckless	reckless	reckless
and	and	and
appalling	appal	appalling
comments	comment	comment
about	about	about
the	the	the
Orlando	orlando	Orlando
mass	mass	mass
shooting	shoot	shooting
disappointed	disappoint	disappointed
thousands	thousand	thousand
of	of	of
Arizonans	arizonan	Arizonans
and	and	and
people	peopl	people
from	from	from
across	across	across
the	the	the
nation	nation	nation
,	,	,
said	said	said
Kirkpatrick	kirkpatrick	Kirkpatrick
spokesman	spokesman	spokesman
D	d	D
.	.	.
B	b	B
.	.	.
Mitchell	mitchel	Mitchell
.	.	.
But	but	But
his	his	his
actions	action	action
are	are	are
just	just	just
further	further	further
proof	proof	proof
that	that	that
after	after	after
33	33	33
years	year	year
in	in	in
Washington	washington	Washington
McCain	mccain	McCain
has	has	ha
changed	chang	changed
,	,	,
and	and	and
now	now	now
Americans	american	Americans
are	are	are
witnessing	wit	witnessing
that	that	that
he	he	he
s	s	s
no	no	no
longer	longer	longer
a	a	a
maverick	maverick	maverick
.	.	.
Arizonans	arizonan	Arizonans
know	know	know
it	it	it
s	s	s
time	time	time
for	for	for
new	new	new
principled	principl	principled
leadership	leadership	leadership
,	,	,
and	and	and
that	that	that
s	s	s
why	whi	why
Ann	ann	Ann
Kirkpatrick	kirkpatrick	Kirkpatrick
saw	saw	saw
the	the	the
largest	largest	largest
one	one	one
-day	-day	-day
fundraising	fundrais	fundraising
number	number	number
of	of	of
the	the	the
campaign	campaign	campaign
.	.	.
We	we	We
need	need	need
a	a	a
senator	senat	senator
who	who	who
will	will	will
put	put	put
our	our	our
national	nation	national
security	secur	security
before	befor	before
partisan	partisan	partisan
politics	polit	politics
.	.	.
We	we	We
must	must	must
do	do	do
everything	everyth	everything
we	we	we
can	can	can
to	to	to
elect	elect	elect
Ann	ann	Ann
to	to	to
the	the	the
Senate	senat	Senate
and	and	and
we	we	we
are	are	are
asking	ask	asking
you	you	you
to	to	to
make	make	make
a	a	a
donation	donat	donation
today	today	today
.	.	.
John	john	John
McCain	mccain	McCain
is	is	is
currently	current	currently
facing	face	facing
one	one	one
of	of	of
the	the	the
toughest	toughest	toughest
re	re	re
-election	-elect	-election
efforts	effort	effort
for	for	for
a	a	a
Republican	republican	Republican
this	this	this
year	year	year
.	.	.
Losing	lose	Losing
his	his	his
race	race	race
could	could	could
very	veri	very
well	well	well
tip	tip	tip
the	the	the
balance	balanc	balance
in	in	in
the	the	the
Senate	senat	Senate
and	and	and
give	give	give
the	the	the
majority	major	majority
back	back	back
to	to	to
the	the	the
Democratic	democrat	Democratic
Party	parti	Party
.	.	.
You	you	You
can	can	can
donate	donat	donate
to	to	to
Kirkpatrick	kirkpatrick	Kirkpatrick
s	s	s
campaign	campaign	campaign
here	here	here
.	.	.
Featured	featur	Featured
Image	imag	Image
Chip	chip	Chip
Somodevilla	somodevilla	Somodevilla
Getty	getti	Getty
Images	imag	Images
